x1	krossa;x out (am.)strika út; sí eis.xing
X2	1(tekn) krossur;X marks the spotstaðið er tilskilað við einum krossi2(tekn fyri ókendan) X3(tlm.;í brævio.tíl.)kossur4(um film) síx-rated
X3	(bókstavurin) x
Xanadu	
xanthin	gulligur, sum ber á gult
Xanthippe	brita, ørn, illabrita, gívur(kv),illkvendi, kvendi (kona Sokratesar; forngrikskur heimspekingur)
xanthoma	(lækn.) gulur blettur/klumpur á húð
xanthous	1gulur2(tjóðlívsfrøði, um húðarlit) gulligur3(háriviðv.) ljósur, reydligur
X-certificate	síx-rated
Xchromosome	(lívfr., likam) x-kromosom, (nýggjy.) x litil
xd.x-div	ex dividendbýtispeningur ikki uppíroknaður
xebec	(sø.)lítil trímastrað skúta (nýtt av sjórænarum í Miðjarðarhavi)
xenial	(gl.) gestablíður; blíður, blídligur; síhospitable
xenogamous	(plfr.)við kynblendingi
xenogamy	(plfr.) tvørdusting, krossdusting
xenolith	(jarðfr.) inniloka
xenology	vísindalig gransking av uttanjarðligum fyribrigdum
xenon	(evnafr.)xenon (litleyst, luftvorðið evni; xenon er frumevni, sum er ógvuliga sjáldsamt, og sum treyðugt fer í samband við onnur evni);(st.)Xe
xenophobe	útlendingahatari, fólk ið ræðist útlendingar
xenophobia	útlendingaræðsla, útlendingahatur
xenophobic	útlendingafíggindaligur
xeric	(viðv.umhvørviel.búplássi) skróvturrur og oyðin, oyðimarkarkendur (t.d.xeric conditions)
xerography	ljósritan (við ljósritingartóli,serst.við xeroxtóli)
xerophagy	(átr.) strong fasta
xerophyte	turrlendisplanta(t.d.oyðimarkarplantur)
xerox®1	1(lmynd.)avritingartól, ljósritingartól2(lmynd.)avrit, ljósrit, tvítak
xerox®2	ljósprenta, taka avrit,(tlm.)kopiera
Xerxes	Xerxes (persiskur stórkongur, 485-465)
xi	ksi (grikskt x)
xing	(am.,á vegskelti; skriviháttur fyricrossing)fara tvørturum (t.d.children xing)
XL	extra large(á klæðum) sera stór stødd
x-linked	(lívfr.)x-bundin
Xmas	Christmas
x-member	(byggil.) krossskorða
x.q.	sícross-question
x-rated	1(um film) bannaður børnumel.ikki loyvdur børnum/ungum (undir 18)2(tlm.;um film) pornografiskur, bannaður børnum/ungum
X-ray1	1røntgenmynd;have an X-rayverða røntgenmyndaður2-s fltrøntgengeislar, røntgengeisling
X-ray2	1røntgenmynda, røntgenviðgera2røntgenkanna (t.d.luggage)
X-ray3	røntgen- (t.d.X-ray treatmentrøntgenviðgerð)
X-ray burn	brunasár av røntgenviðgerð
X-ray emanation	røntgengeisling
X-ray picture	røntgenmynd
x-rds.	sícross-roads
x. ref.	sícross reference
Xt	ChristKristus
Xtal	crystal
xylan	(evnafr.) trægummi, viðargummi
xylem	(plfr.)viður, viðarvevnaður
xylem strand	(plfr.)vatnræsi
xylograph	træskurður
xylographer	træskeri, træskurðarmaður
xylography	træskurðarlist
xylophone	silofon, sylofon, xylofon (ásláttarljóðføri)
xylose	slag av plantusukri
