y.	(st.)year(s)
Y1	the Y KFUK//KFUM
Y2	(bókstavurin) y
yacht1	stuttleikabátur, játt, lítið seglskip, kappsiglari
yacht2	sigla við (í) stuttleikabátiel.játt
yacht club	stuttleikabátaklubbur
yachting	stuttleikabátasigling, sigling við stuttleikabáti, seglbátaítrótt, seglbátaítróttur
yacht racing	kappsigling
yachtsman	kappsiglingarmaður; maður ið eigur stuttleikabát, maður ið siglir við stuttleikabáti, stuttleikasiglari
yachtswoman	kappsiglingarkona; konufólk ið eigur stuttleikabát, konufólk ið siglir við stuttleikabáti, stuttleikasiglari
yack	Smøsna, roksa, tvætla, fjasa
yah	1ja2(háð.)ha, ha, ha
Yahoo1	(flt yahoos)1yahoo, jahu (andstyggilig mannlík vera lýst í bókiniGulliver’s Travels)2ófólkaligt og harðligt fólk3leitiskipan á alnetinum
yahoo2	frálíkt!, óført!, jubi
Yahve,Yahveh	Javhe, Jehova
yak1	(dý.)jakkoksi, jakkneyt(Bos mutus)
yak2	1(um kátan hund) kyrla2(tlm.)sleyga, smetta, slatra3vasa, møsna4jabba
Yale	[gitið amerikanskt fróðskaparsetur]
Yale lock	jellilás /-ll-/, yalelás, jalilás (úthurðarlás)
yam	(plfr.) jamsrót, kinverskt epli (Dioscorea batatus)2(skotskt) epli
yammer1	gremjan. eymkan
yammer2	1møsna, roksa2gremja seg, eymka seg, grenja
yank1	rykk
yank2	rykkja, skrykkja
Yank3	síYankee
Yankee	1amerikanari2(am. eis:)1norðurríkjamaður, norðurríkjafólk2fólk úr Nýonglandi (úr New England)3(sø.) norðurríkjahermaður3(niðr.)norðurríkjafólk (suðurríkjafólk um norðurríkjafólk)
Yankeefied	1amerikaniseraður2(í USA) sum hevur norðurríkjadám, sum er merktur av norðurríkjahugsanel.-áskoðano.tíl.
Yankeeism	1amerikanisma2(í USA) norðurríkjadámurel.norðurríkjamáliska
yap1	1goyggj, kyrlan2(um fólkS)kjaftur
yap2	1goyggja, kyrla2(um fólk) møsna, sussa, snakka, gáka, kjaftast, skræða seg
yapp	(bókb.)stór, bleyt sniðbrún(serst.til bíbliur)
yappy	glepsandi (t.d.voice); hvessa í e-n
yard1	1yard, jard(ur) (longdarmál =3 feet,0, 914 m)2(til hús) garður, tún3(am. eis.)urtagarður, havi4goymslupláss; -goymsla, timburgoymsla (sí t.d.coalyard, boatyard, marshalling yard, scrapyard, stockyard, shipyard),-garður5(sigl.)rá6the Yard;síScotlandYard
yard2	(um neyto.tíl.)reka saman, reka í rætt, rætta
yardage	1[frástøða/fráleiki máldur í jardum/yardum]2[vídd máld í ferjardum/feryardum]
yardarm	(sigl.)ránokki
yardbird	1(amS)revsifangi2(herm.)hermaður í stovuvarðhaldi
Yardie	[brotsmaður úrel.av Jamaika]
yardmaster	(jarnbr.)[yvirmaðurel.starvsmaður á goymsluøki á jarnbreytarstøð]
yard sale	sítagsale
yardstick	málingarstokkur, mátingarstokkur (ið hevur jard/yard sum málieind);apply the same yardstick to (fl.m.)ikki gera mannamun, døma øll eins
yare	1(gl.)tilbúgvin, til reiðar2(gl.)skjótur
Yarmouth	
yarmulke	kalott, kalottur, kollur (sum jødisk mannfólk og dreingir hava á høvdinum/skallanum)
yarn1	1tógv, (á vevi) garn2(tlm.)lygisøga, skrøgg, skrøggsøga, hersøga, spennandi søga;spin sby a yarnbilla einum okkurt inn, fáa/lokka ein at trúgva einum
yarn2	1skrøgga, pentael.bjóra søgu saman, siga frá lygisøgu, skrøgga2sussa
yarp	(hásmælt) másagól, likkugól
yarrow	(plfr.)margblømdur rølikur (Achillea millefolium)
yashmak	slør, skýla (sum muslimsk kona ber, tá ið hon er úti)
yataghan	[turkiskt króksvørðel.bogið svørð]
