Z	(bókstavurin) z;catch some Z’sfáa sær ein lítlan blundel.slang
Zaïre	(sø.)Sair (ríki í Miðafrika; nú Miðafrikalýðveldi)
Zaïrian,Zaïrean1	(sø.)sairbúgvi, fólk íel.úr Sair (nú: kongobúgvi, kongofólk)
Zaïrian,Zaïrean2	(sø.)sairskur, sairiskur, sum er íel.úr Sair (nú: kongolendskur, kongo-, sum er íel.úr Kongo)
Zambia	(landafr.) Sambia (ríki í Eysturafrika)
Zambian1	sambiari, sambiabúgvi
Zambian2	sambiskur
zander	(dý.)sandáburra, fiskur av áburruættini (lat.Sander lucioperca); eis.pike perch
zany1	(tlm.)fívil, gekkur, apuspjót, býttlingur
zany2	1fjákutur, fjantutur, láturligur, skaputur, býttligur2løgin, eitt sindur øðrumegin við, ikki rættsiktaður, eitt sindur klikkaður; láturverdur og eitt sindur ørur
zap1	1lív, snúður,(tlm.)futtur2bríksl, floyt
zap2	1beina fyri, leggja í sor (t.d.the enemy’s artillery);týna2senda ógvuliga skjótt, snarsenda (t.d.a message)3(í mikrobylgjuovni) hita upp skjótt4(við ongum ávirki) fara fúkandiel.strúkandi, fara við tí fúkandi ferð (t.d.have you seen him zapping around town on his new motor bike?; zap into town; zap through one’s homework)5[íyms.samb]zap (between channels)sappa (t.d.zap from channel to channel)
zapper	fjarstýring
zapping	lívligur; forvitnisligur (t.d.a new zapping style of gossip writing)
zappy	(tlm.)kvikur, knappur
ZAR	[skrivað stytting av suðurafrikanskum rand = gjaldoyra í Suðurafrika];all prices are listed in ZAR
zareba	steyragirðing (bygdarvarðgarður í Sudan)
zeal	ágrýtni, ídni, eldhugi, íðinskapur, brennandi áhugi; starvsemi, ídni í tænastu, starvsgleði
Zealand	(sern., landafr.)Sæland (donsk oyggj)
zealot	(forml.)eldhugað fólk, trábeitið fólk, fanatikari
zealotry	(forml.)trábeitni, fanatisma
zealous	(mestsum ov) ágrýtin, íðin; eldhugaður; trábeitin, fanatiskur
zebra	(dý.)sebra(Equus zebra)
zebra crossing	gonguteigur
zebra wood	(plfr.)sebrutræ
zebu	(dý.)kúluneyt, kúluoksi, sebu (indiskt neytaslag við kúlu á bakinum)(Bos indicus)
zed	bókstavurin z (settel.setta)
zee	(am.)sízed
zeitgeist	(tý.) tíðarandi, tíðarrák
zemindar	(indiskur) góðseigari
Zen	síZenBuddhism
zenana	(í India) tilhaldsrúmel.setstova hjá konufólkum
Zen Buddhism	senbuddatrúgv, senbuddisma (japansk buddistisk læra, har dentur verðu lagdur á sjálvsaga, meditatión og ósjálvráddael.spontana sannleikafatan)
Zend	send (fornpersiskt mál)
zenith	1(stjfr.)hápunkt á himmalhválvinum, hvirilsdepil, senit2(fl.m.)hámark, hædd (t.d.at the zenith of its power Rome ruled all of civilized Europe)
zeolite	(jarðfr.)soðsteinur
zephyr	1lítið lot, lýtt lot2(gl. el. skaldsk.) lýggjur vestanvindur, lýggj vesturætt (úr forngrikskum)3plagg úr eintráðaðum tógvi(t.d.bundnaturriklæði)4tunn sportstroyggja, sportsblusa
zeppelin	luftskip, seppelinari
zero1	1null; nullmerki2frostmark3(teld.)null
zero2	1(tól) nullstilla (t.d.the counter; the meter)2[íyms. samb.]zero in(kanón) stilla inn;zero in on1(kanón) stilla inn eftir, stilla inn á (t.d.a target);(sikti á byrsu)sikta (oneftir)2(kikara, myndatól) stilla týðiliga inn á3(fl.m.)savna seg um (t.d.an opportunity; the main question); zero in on (flm.)leggja dentel.áherðslu á eitt, hava serligt atlit at (t.d.the main question)
zero3	1null, eingin (t.d.zero tolerance);null- (t.d.zero growth)2[íyms.samb.]our chances are zerovit hava ongan møguleika yvirhøvur, vit hava at kalla ongan møguleika
zero gravity	tyngdarloysi
zero hour	(herm.)álopstíð, árásarstund
zero option	nullloysn
zero-rated	zero-rated-rated for VATeinki meirvirðisgjald, MVG verður ikki kravt
zero-sum game	nullupphæddarspæl (har ein bara kann fáa tað, ið onkur annar missir)
zest	1(um hugburð) losti, hugur, eldhugi, lystur, ídni, at vera væl fyri, at vera upplagdur2(at seta lív í) krydd, at krydda, lív,(tlm.)futtur (t.d.invite them to add somezestto the party)3(í matgerð) rivin skøl (av sitrusfruktum, nýtt sum krydd)
zester	(køkstól) rívijarn (serst.til sitrusfruktir)
Zeus	(sern., gudal.)Zeus (høvuðsgudur grikka í fornøld)
ziggurat	(sø.)siggurat (tempul í Mesopotamia í fornøld; sítrappupyramida); tempultorn
zigzag1	sniðskák, skákstrika aftur og fram, sikksakkstrika, sikksakk, at okkurt er lykkjuskotiðel.buktaskotið
zigzag2	sikksakk-, buktaskotin, lykkjuskotin, sum gongur aftur og fram(t.d.niðan brekku);zigzag ruletummastokkur
zigzag3	skákganga, skáksigla, skákkoyra, skákflúgva, snittael.ganga aftur og fram(t.d.niðaneftir), ganga á skák, ganga sikksakk, sikksakka, liggja í sniðum(t.d.gøta)
zigzag course	(sigl.) skáksigling, skákkós, sikksakkkós
zilch	(am.)null, einki
Zilla,Zillah	øki, fylki, stór sýsla (í Bangladesj, Pakistan og India)
zillion	óteljandi mongd; ørgrynni, ørgrynna; (t.d.there was a bunch of children waiting and zillions of reporters)
Zimbabwe	(landafr.) Simbabvi (ríki í Útsynningsafrika)
Zimbabwean1	simbabvi, simbavibúgvi, fólk íel.úr Simbabvi
Zimbabwean2	simbabviskur, sum er íel.úr Simbabvi
Zimmer frame	gongustativ, rullistativ
zinciferous	sinkhavin
zincify	sinkklæða, sinka, galvanisera
zincing	sinkklæðing, galvanisering
zincography	sinkskurðarlist, sinkskurður, sinkprent
zincous	sink-
zing1	(tlm.)lív, kæti, gleimur, at tað yður við lívi, at seta snúður í,(tlm.)futtur
zing2	1 fara siglandi, svíða, fara hvínandi, strúka (t.d.the shot -ed past my headkúlan sveið/fór hvínandi/singlandi aftur við høvdinum2(am.)finnast hvassliga at
zingaro	sigoyni, sigoynari
zinger	1(serst. am.)skemtisøga, skemt; rittið og hvast svar2(serst. am.)óvæntað hending, eitt ið ger ein kløkkan
zingy	1(tlm.)spennandi, 'feitur'2snøggur, smartur
zink1	sink
zink2	sinkklæða, sinka
Zion	Sion
Zionism	sionisma (jødisk rørsla ið miðaði eftir at gera Palestina til heimland jøda; nú er setningurin at stuðla jødum at flyta til Ísraels)
Zionist1	sionistur
Zionist2	sionistiskur, sionist-
zip1	1snarlás, rennilás, dragulás,(tlm.)lýnlás2(ljóð) hvin, hvæsan3(tlm.)lív, kæti, (tlm.) futtur4(am.)postnummar5(tlm.)null, einki, einki stig
zip2	1lata uppel.aftur við snarlási2(t.d.um byrsukúlu) hvína, svíða3fara turnandiel.singlandi, renna skjótt
zip code	(am.)postnummar
zip drive	(teld) trygdarritsdriv (til stóra dátunøgd)
zip-fastener	(forml.)snarlás, dragulás, rennilás,(tlm.)lýnlás
zip gun	(am.)[einfalt skotvápn sum persónur sjálvur hevur gjørt]
zip line	rennistrongur
Ziploc bag	[plastposi við karðalási]
zipped	1við snarlási2við postnummari
zipper	snarlás, dragulás, rennilás,(tlm.)lýnlás
zit	pirra, vágpirra /'våppirra/
zither	(tónl.)sitari 8streingjaljóðføri)
zodiac	(sern., stjørnufr.)djóraringur;sign of thezodiacstjørnumerki í djóraringinum(t.d.Vatnberin, Moyggin, Veðrurino.tíl.)
zodiacal	sízodiac; thezodiacallight kámt lýsi, ið sæst í djóraringinum eftir sólsetur og fyri sólarris
zombie	1(fólkatr.)uppvakningur, sombi (lík fingið til lívs aftur við gandi)2(tlm.)ein sum gongur sum í einum dula; dølskt fólk
zonal	økis-, beltis-, sonu-; býttur sundur í øki
