a	1(lingv.)vokal2(lingv.)1. bogstav i det færøske alfabet (kaldes(fyrra)el.)3(musik)tone og tilsvarende node
A	1romersk taltegn for 50002fork. forampera
abbaba	(barn.)grandonkel
abbabarn	(en mands) barnebarn
abbabeiggi	grandonkel,abbabeiggi mínmin grandonkel
abbadidd	(barn.)grandtante
abbadidda	(barn.)grandtante
abbadissa	abbedisse
abbadóttir	sønnedatter, datterdatter
abbaligur	gammel af udseende el. væsen;-liga
abbasonur	sønnesøn, dattersøn
abbasystir	grandtante
abbati	abbed
abbi	bedstefar,ein gamal abbien gammel mand
abrikosa	(bot.)abrikos
adjunktur	(skole)adjunkt
admirálur	1(militær)admiral2(zoo.)admiral(Vanessa atalanta)
adressa	adresse
advent	(kirk.)advent
adventistur	(rel.)adventist
adventskransur	adventskrans
advokatur	(jur.)advokat
aðal-	hoved-, general-
aðal1	adel
aðal2	rent og godt korn
aðalbláber	(bot.)blåbær(Vaccinium myrtillus)
aðalborin	adelig
aðalendamál	hovedformål, hovedsigte
aðalevni	hovedemne, hovedtema,aðalevnið í hesi bókhovedtema i denne bog
aðaleyðkenni	hovedkendetegn
aðalfundur	(i forening o.lign.)generalforsamling
aðalgrann	(bot.)vanligt aðalgrannædelgran(Abies alba)
aðalhugsan	hovedtanke, grundtanke
aðalhyrnissteinur	(bibl.)hovedhjørnesten
aðalkonsul	generalkonsul
aðalkorn	1det bedste korn2(overf.)det bedste (af noget),aðalkornið í bókmentum okkaradet bedste i vores litteratur
aðalligur	adelig
aðallyndi	ædelt sind
aðalmál	hovedsag
aðalmið	hovedformål,aðalmiðið hjá flokkinumpartiets hovedformål
aðalmunur	hovedforskel
aðalnevnari	(mat.)generalnævner
aðalregla	hovedregel, princip
aðalritari	generalsekretær
aðalroynd	(teater,musik)generalprøve
aðalsfólk	adelsfolk
aðalsfrúgv	adelsfrue
aðalskrivari	generalsekretær
aðalsmaður	adelsmand(fx greveel.baron)
aðalspurningur	hovedspørgsmål, hovedsag,aðalspurningurin snýr seg um støðuna hjá málinumhovedspørgsmålet gælder sprogets situation
aðalstavur	(militær)generalstab
aðalstjórn	hovedbestyrelse(fx i politisk parti)
aðalsætt	adelig slægt
aðalsøgn	(lingv.)hovedverbum
aðaltáttur	væsentlig faktor, hovedtræk, hovedpunkt, hovedfaktor
aðalumboð	generalagentur, hovedagentur
aðalverk	hovedværk,eitt aðalverk í føroyskum bókmentumet hovedværk i færøsk litteratur
aðalverkfall	generalstrejke
aðra	seannar
aðramáta	ellers, i øvrigt
aðrar	seannar
aðrastaðni	andetsteds, andre steder,her og aðrastaðniher og andetsteds
aðrir	seannar
afganari	afghaner
afgani	afghaner
Afganistan	Afghanistan
afganskur	afghansk
Afrika	Afrika
afrikanari	afrikaner
afrikani	afrikaner
afrikanskur	afrikansk
aftan1	1(kvad)aften,síðla var um aftanindet var sent om aftenen2dagen før en hellig-el.højtidsdag,jólaaftanjuleaften;nýggjársaftannytårsaften
aftan2	1bagfra,aftan fleyg ein svartur fuglurbagfra kom en sort fugl2bagpå,aftan og frammanfor og bag3(sammen med præp.)aftan á(bag) efter,hann tók húsini aftan á pápanhan overtog huset efter faren;hon gekk aftan á hann / honumhun gik bag efter ham;aftan fyriel.fyri aftanbag (ved),aftan fyri oyraðbag øret;hendur fyri aftan bakhænderne bag ryggen;aftan undanbagud fra,aftan undan hekkunibagud fra hækken;aftan úragter fra,aftan úr rongagter fra bagstavnen  / /4bag ved (nogenel.noget),hendur aftan bakhænderne bag ryggen
aftaná	1bagefter,vit fingu nógvan vind beint aftanávi fik megen vind bagfra2(om tid)senere,aftaná helt hann tað vera stuttligtbagefter syntes han det var morsomt
aftanbøn	(rel.)aftenbøn, aftenandagt
aftanfyri	1bagved2bagud(fx i idrætskonkurrence),liðið var aftanfyri fyrra hálvleikholdet var bagud i første halvleg
aftaní	agterud,báturin hongur aftaníbåden hænger agterud
aftanífrá	bagfra, fra ryggen,hann leyp á hann aftanífráhan angreb ham bagfra
aftanlestur	(rel.)andagtslæsning om aftenen
aftanskin	aftenmørke
aftantil	bagtil,aftantil á hálsinumbagtil på halsen
aftantíð	(kvad)aftenstund
aftanúr	bagud,dragna aftanúrsakke bagud
aftanvert	1(lidt) bagved,aftanvert við (e-n)lidt bagved (nogen)2aftanvert (e-t)bag på (noget), på bagsiden (af noget)
aftari	1længere bag(af to),hann vildi ikki vera aftari enn granninhan ville ikke stå tilbage for naboen2længere tilbage,hon setti seg eitt sindur aftarihun satte sig lidt længere tilbage
aftarlaga	lidt tilbage,hann var altíð aftarlaga í flokkinumhan var altid lidt tilbage i klassen;(overf.)standa aftarlagavære sent udviklet
aftarumegin	bagved
aftast	bagest
aftastur	bagest
aftna	blive aften, mørknes,dagur aftnardagen går på hæld
aftra	i ordforb.aftra segel.særbetænke sig, vige tilbage, afstå fra sit forsæt;hon aftraði seg fyri at fara innhun betænkte sig ved at gå ind
aftran	tøven, betænkelighed,uttan aftranuden tøven
aftrat	1foruden, i tilgift2ekstra, i tillæg
