b	1(lingv.)konsonant2(lingv.)3. bogstav i det færøske alfabet (kaldes )3(musik)tone og tilsvarende node
ba	(barn.)(lille) bror
babb	sludder, vrøvl
babba1	(barn.)far
babba2	sludre, vrøvle
babl	vrøvl
babla	vrøvle, sludre
badminton	(idr.)badminton
badmintondystur	(idr.)badmintonkamp
badmintonhøll	(idr.)badmintonhal
badmintonleikari	(idr.)badmintonspiller
bað1	1bad, vask,fáa sær baðfå sig bad;vera / fara í baðvære / gå i bad2badevand3badekar
bað2	sebiðja
baða	bade,baða sær / e-mbade sig / nogen
baðhús	badehus
baðihús	badehus
baðikar	badekar
baðikápa	badekåbe
baðirúm	badeværelse
baðistrond	badestrand
baðivatn	badevand
baðivekt	badevægt
baðolja	badeolie
baðstaður	badestrand
baðstova	1(stedn.,ny bet.)sauna2badeværelse
baga	fejle, fattes, være i vejen,honum bagir einkihan fejler ikke noget
bagg	hindring, fortræd, vanskelighed, skade, men,hvat er nú at baggi?hvad fejler nu? hvad er nu i vejen
bagga	fejle, fattes, være i vejen
bagi	hindring, fortræd, vanskelighed, skade
Bahamaoyggjar	Bahamas, Bahamaøerne
bahamaoyingur	bahamaner
bahamoyskur	bahamansk
bak1	1ryg,bera á bakibære på ryggen;venda e-m bakiðvende ryggen til nogen el. vende nogen ryggen2hesteryg,fara á bakstige til hest;fara (leypa, stíga) av bakistå (springe) af hesten3bagside,stólabakstoleryg4bagside, skrånende side på et græstørvgærde5i ordforb. som(kvad)venda saman bøkumvende ryggen til hinanden, stå (sidde) ryg mod ryg,hendur aftan (fyri) bakmed hænderne på ryggen;fara aftur um bakforløbe,jólini vóru farin aftur um bakjulen var forbi;koma (e-m) aftur um bakkomme en dyrt at stå(fx som hævn for noget),grindin tók sjógv á bakhvalerne skød pludselig en vældig fart gennem søen;(overf.)við sjógv á bak(i)skyndsom, hastig, ilende(fx om personer);bera kjøl á bakiomkomme på havet;eyguniel.við eygunum á bakiskottende bagud under flugt;hava nógv ár á bakivære gammel (af år);hetta hevur nætur á bakidet er ældgammelt;e-m á bakii hælene på en;bíta í bakbagtale;taka sær annað skinn um baktage sig sammen;hurðin stendur upp á bakdøren står vidt åben;siga e-t upp á bakið á e-m, tosa e-m upp á bakiðtale ondt om en bag hans ryg
bak2	1opvarmning2varmt omslag
bak3	agter,bak á bátiagter på båd;sita baksidde agter
baka1	1bage,baka breyðbage brød2opvarme,baka seg í sólinislikke sol;sólin bakar í dagsolen skinner stærkt i dag;baka sós uppopbage sovs3lægge (varmt) omslag på,baka svull
baka2	forsyne stengærde el. stenvæg med en græstørvvold på ydersiden,baka garð, ból;bakaður veggur, garður
bakaravirki	bageri
bakari	bager
bakarí	bageri
bakarovnur	bagerovn
bakbeist	bagbæst, æsel
bakbinda	bagbinde
bakbit	bagtalelse
bakbíta	bagtale
bakbíting	bagtalelse
bakbítur	bagvasker
bakborð	(mar.)bagbord;sita í bakborðsidde i bagbord
bakborðsbógvur	(båd.)bagbordsbov
bakborðsljós	(skib.)bagbordslanterne
bakborðslær	(båd.)bagbordslåring
bakborðsmegin	(mar.)på bagbordssiden
bakborðsstokkur	(båd.)bagbordsræling
bakbrestur	1brud på bagsiden af en åreel.spadeskaft2reaktion,bakbresturin kom og tað við lítreaktionen kom og den var stærk
bakbundin	sebakbinda
bakbyrða	1byrde båret på ryggen2tung byrde,tey hava eina rættiliga bakbyrðu við særde har megen bagage med sig
bakdráttur	reaktion
bakdyr	bagdør
bakendi	bagende(især på båd)
bakfettast	(om åre)bøjes bagud,bakfettist árin, er ikki rógvandi við henni
bakfjórðingur	bagfjerding(af oksekrop)
bakfjøl	(på vogn)bagsmække
bakfuglur	ynglende fugle (lomvier)
bakgongd	omvej
bakgrund	baggrund
bakhjól	baghjul
bakhond	(kortspil)i ordforb.sita í bakhondsidde i baghånden
bakhús	baghus
bakidagur	bagedag,(ordsp.)snakidagar koma eftir bakidagarman kan ikke altid leve højt
baking	1bagning2hvad der bages på en gang
bakipulvur	bagepulver
bakjørn	hængsler på skrin og kister
bakk	(mar.)1i ordforb.liggja bakk(om sejlskib)ligge med bakkende sejl og næsten stille;leggja bakk2(ny bet.)holde sig på samme sted uden at drive for strømmen(men ikke kunne fiske pga. vejret)
bakka	(om fartøj, køretøj)bakke,bilurin bakkarbilen bakker
bakkaband	rebel.line brugt ved fuglefangst i fjeldene
bakkaboð	besked om deltagelse i arbejde i fuglefjeldene
bakkafjørugras	(bot.)udspærret annelgræs(Puccinellia distans)
bakkafylgi	flok får som græsser på strandbrinkens rand
bakkagonga	det at færdes i fuglefjeldene for at fange fugle,stakmaður til bakkagonguudmærket mand til at færdes i fuglefjeldene for at fange fugle
bakkagras	græs i fuglefjeld
bakkahagi	græsgang langs med stejlfjelde
bakkahvonn	(bot.)vild kvan der vokser i fuglefjeldene
bakkakavi	sne som når helt ned til strandbrinkerne
bakkaklæddur	klædt på til arbejde i fuglefjeldene
bakkalamb	1lam der græsser på lavtliggende græsgang(e)2lam der græsser i fuglefjeldene
bakkalína	line til nedfiring el. opstigning i fuglefjeldene
bakkalóari	(talesp.)1stærkt hugel.slag, stød, eftertrykkeligt puf2rus
bakkalundi	lunde i fuglefjeld
bakkalýsi	lys nok til at man kan tage på fuglefangst i fjeldene
bakkamaður	1mand der færdes i fuglefjeldene, dygtig fuglefænger2dygtig klatrer på stejle klipper
bakkarakstur	drivning af får i samlet flok langs en strandkantel.flodbred(på vej til folden)
bakkareip	rebel.line brugt ved fuglefangst i fjeldene
bakkaseyður	får der lever på græsbevoksede afsatser i fjeldene
bakkaskegg	strå der hænger ned over kanten på et markstykke
bakkasløkja	(bot.)skov-angelik(Angelica sylvestris)
bakkast	1tilbageslag,vera fyri bakkastifå et tilbageslag(fx af sygdom)2reaktion
bakkastokkaferð	jomfrurejse
bakkastokkatúrur	jomfrurejse
bakkastokkur	bankestok, bedding, stabel,fara avel.úr bakkastokki(om fartøj)løbe af stabelen
bakkatog	tov til brug ved fuglefangst
bakkatrom	øverste kant af stejl skrænt ved kysten
bakkdagur	(mar.)uvejrsdag når fiskeskibet ligger underdrejet,umborð á skipi var eingin friður uttan bakkdagarombord på skib var der ingen fred undtagen uvejrsdage når fiskeskibet lå underdrejet
bakkgervi	(tekn.)(på bil, fartøj)bakgear
bakkgir	(tekn.)bakgear
bakki1	1stejl strandkant, klint,kava í bakka2fuglefjeld,søkja bakka;fara til bakka;vera burtur í bakka;fara fyri bakka1styrte ned ad en fjeldskrænt, omkomme ved nedstyrtning (fra klippe, ad fjeldskrænt, fjeldvæg)2(overf.)mislykkes, gå nedenom og hjem3(grøfte)kant,áin er eftir bøkkunumelven svulmer;hann er sum eftir bøkkunumhan er kanonfuld4bag el. ryg på skærende redskab5(skib.)bak, forreste overbyggede del af et skibsdæk,frammi áel.undir bakkanum6tågebanke, tæt skylag langs horisonten,í kvøld verður einki vesturskin, tí sólin setur í bakka
bakki2	bakke(fx til at bære mad og bestik på)
bakkiljós	(på køretøj)baklys, baklygte
bakknappur	(datal.)backspace
bakksegl	(mar.)liggja við bakkseglum(om sejlskib)ligge med bakkende sejl og næsten stille
bakkskrúva	(mar.)bakskrue;skipið hevur bakkskrúvuskibet har bakskrue
bakkulsi	bagværk, bakkelse
bakkur	(idr.)back,vinstriel.høgri bakkurvenstreel.højre back
bakkveður	(mar.)slemt vejr på søen så man er nødt til at ligge stille
baklás	baglås,koma í bakláskomme i baglås
bakleiðis	1baglæns,detta bakleiðisfalde baglæns2bagfra, fra ryggen af,stinga ein niður bakleiðisstikke en ned bagfra
bakleiðisorðabók	(lingv.)baglænsordbog
bakleingis	baglæns,detta bakleingisfalde baglæns
baklinja	(idr.)baglinje
bakljós	(på køretøj)baglys, baglygte
baklummi	baglomme
baklunnur	den bageste af de "lunnar" som en båd står på;jf.framlunnur,miðlunnur
baklykt	(på køretøj)baglygte
bakløstur	brud på bagsiden af en åreel.spadeskaft
bakmaður	(på båd)mand der har sin plads agter på en båd under fiskeri
bakmynd	baggrund(fx på billede)
bakperma	bagperm
bakreising	(båd.)(på båd)stævnestykket agter
bakrong	(båd.)sæde i bagstavnen på båd
bakrógvin	reaktionær
bakrúm	baglokale
bakrútur	(på køretøj)bagrude
baks	slid, tungt arbejde
baksa	bakse, tumle, slås (med),baksael.baksast við e-ttumle med noget
baksan	slid, tungt arbejde
baksari	slider
baksasligur	anstrengende, drøj, streng, trættende,baksasligt vardet var anstrengende
baksegg	svartbagens æg
baksettur	(om båd)tungt lastet agter,báturin er baksetturbåden er tungt lastet agter
baksetur	bagsæde(fx i bil)
baksíða	bagside
bakskák	(datal.)back slash
bakskorða	den bageste bådstøtte
bakskutur	(båd.)agterrum
baksláttur	1bølgers tilbageslag,tann aldan, sum slær út frá landinum, eitur baksláttur;(overf.)har kom ein bakslátturder kom en forhindring2rekyl
bakspegil	(i køretøj)bakspejl
bakspónur	hvad der saves af en tømmerstok for at få den retvinklet
