e	1(lingv.)vokal2(lingv.)6. bogstav i det færøske alfabet (kaldes )3(musik)tone og tilsvarende node
eddukvæði	(litt.)eddadigt
edikssýra	(kem.)eddikesyre(tegnCH3COOH)
edikur	eddike
ediligur	(talesp.)ædel, værdifuld;-liga
edilingur	ædel, højsindet person
edilsteinur	(talesp.)ædelsten
edrúur	ædru
edv	(datal.)edb
eðiligur	ædel, værdifuld
eff	navn på bogstavetf
effinett	akkurat, netop, præcis,øll bløðini eru so effinett líka vorðinalle bladene er præcis samme farve
eftir	1med1(efter (ens død el. bortgang), tilbage efter, som efterladenskab efter),einkjan eftir Jógvanenken efter J.;hon sprakk av harmi eftir hann(døde af sorg);hava e-n eftir seghave efterkommere;lata hann fáa alt, vit eiga, eftir okkum(arve det hele),leggja eftir seglægge tilbage efter sig, glemme at tage med sig;leggja nógv eftir segudrette meget, få meget fra hånden2(om tid)efter;tveir dagar eftir hvítusunnu;eftir jól;eftir brúdleypið;eftir tað;eftir hettasiden, dernæst3(rækkefølge)ár eftir árår efter år;nú kom bátur eftir bát;hann var deknur eftir faðirin;fáa e-t í arv eftir faðir sín;dag eftir annan, hann kongin eftir reið4(om ophav, forfatterskab)søga eftir Heðin Brú;málningur eftir Bárð Jákupsson5i ordforb. somvera væl (illa) eftir segvære godt (dårlig) tilpas bagefter;ringur eftir segmed tømmermænd;skjótur eftir segkortvarig, udrøj, som ikke forslår længe;gera eftir seggå igen, spøge2med1(om bevægelse, følelser o.a.)fylgja eftir e-mfølge efter en;fara eftir e-m;hyggja eftir (e-m);leingjast eftir (e-m);trákkast eftir (e-m);vera eftir e-mforfølge en;snarliga tað eftir honum leiðhurtigt tilbagelagde han vejen;eftir høvdinumpå hovedet;eftir nakkanumbagover;eftir liðinisidelæns;lata (hurðina) aftur eftir særlukke efter sig2i henhold til, i tråd med, i overensstemmelse med,agnið var eftir reiðskapinum;eftir mínum ráðum;tað fór eftir vón;býta eftir húsatali(i forhold til)3(om tid)i løbet af,eftir einum kvøldii løbet af en aften;eftir fýra mánaðum4(med adverbium)aftur eftir:aftur eftir hæli;fram eftir:Ólavur ríður eftir bjørgunum fram;inn eftir;niður eftir;niðan eftir:hann fór niðan eftir vegnum;upp eftir:flugan skreið upp eftir vegginum;út eftir:út eftir gólvinumud over gulvet  / /3ein fyri og annar eftirden ene efter den anden,so er hatta ikki eftirså er det ordnet, færdigt;hvørki fyrr ella eftirhverken før eller senere;dagin eftirden næste dag;árið eftiråret efter;standa eftir á berumstå tilbage med ingenting4(adverbium sammen med verbum)fxbera eftir;hava eftirhave igen;liggja eftirligge igen, tilbage;liva eftir;sita eftirvære igen, tilbage;vera eftir(se verbum)
eftiransaður	seansa eftir
eftiransan	eftersyn, kontrol, opsyn,kongurin varð settur undir eftiransan í eini av borgum sínum
eftiransin	påpasselig
eftiransing	eftersyn, kontrol, opsyn
eftiransni	påpasselighed
eftiransur	opsyn, kontrol
eftiraping	efterabelse
eftirá	i ordforb.liggja eftirá1bryde sammen, gå ned med flaget2(overf.)dø
eftirbati	(med.)rekonvalescens
eftirbátur	(overf.)person der er underlegen i forhold til andre,vit eru eftirbátar í so nógvumvi er underlegne i så meget
eftirburður	efterbyrd
eftirbøtingur	(med.)rekonvalescent
eftirdømi	eksempel
eftirdøttur	efternøler(i børneflok)
eftirepli	kartoffel fra året før,tað mesta, sum er upprunnið, eru eftirepli
eftirfarandi	pålidelig, troværdig, vederhæftig,ikkiel.illa er eftirfarandi tí, hann sigurman kan ikke stole på det, som han siger;ikki er eftirfarandi, um sólin skínur á morgniman kan ikke stole på dagens vejr, selv om solen skinner fra morgenstunden
eftirfesti	(lingv.)suffiks,"-ligur" í "stuttligur" er eftirfesti"-ligur" i "stuttligur" er suffiks
eftirfestur	(lingv.)efterhængt,"-in" er eftirfest bundið kenniorð"-in" er efterhængt bestemt artikel
eftirfylgd	konsekvens,skipanin hevur brek og trot upp á eftirfylgdsystemet har fejl og mangler konsekvens
eftirfylgi	følger, konsekvenser,hetta vóru eftirfylgini, ið huldukonan lovaðidette var konsekvenserne, som troldkvinden lovede
eftirfylging	efterfølgelse,Kristi eftirfylgingKristi efterfølgelse
eftirfylgja	1konsekvens2(med.)komplikation
eftirfylgjandi	følgende,hýsið eftirfylgjandi reglumtag op følgende linjer
eftirgáað	segáa eftir
eftirgáan	iagttagelse
eftirgáva	eftergivelse
eftirgerð	1imitation, efterligning2reproduktion(fx af kunstværk)
eftirgeving	eftergivelse
eftirgivin	segeva eftir
eftirgjalding	efterbetaling
eftirgjørdur	imiteret,eftirgjørt skinnimiteret skind
eftirgloyma	gammel jomfru, pebermø
eftirgloymingur	gammelt skrog
eftirgróður	eftergræsning(især græs, der vokser frem (i mildt vejr) efter høhøsten),seta (neyt) á eftirgróðursætte køer på eftergræsning
eftirhald	1tilbageholdelse,eftirhald í løntilbageholdelse af løn2betingelse, forudsætning, vilkår,við tí eftirhaldi, at...under den forudsætning, at...
eftirherming	efterabelse, efterabning
eftirhildin	sehalda eftir
eftirhygging	udkig
eftiri	tilbage,hetta sum eftiri erdette som er tilbage
eftirí	i ordforb. somtað sangel.dundi eftirídet gav genlyd;einki er eftiríder er ikke mere i(fx koppen, flasken etc.)
eftirkannan	undersøgelse
eftirkanning	undersøgelse
eftirkembingar	(med.)eftervirkninger (af sygdom, rus o.lign.);jf.afturkembing
eftirkomari	efterkommer, efterfølger
eftirlagan	tillempning
eftirlagdur	seleggja eftir
eftirlátin	føjelig, eftergivende
eftirlátinskapur	føjelighed, eftergivenhed
eftirlátligur	eftergivende, føjelig,maðurin var so eftirlátligur, at konan ráddi øllummanden var så eftergivende, at konen bestemte alt
eftirlátur	ustandselig latter,læa eftirlátur á segfå latterkrampe
eftirleggin	ivrig, flittig, interesseret, opmærksom
eftirleikur	efterspil,rættargangurin var endaður, men har kom ein eftirleikur(rets)sagen var afsluttet, men der kom et efterspil
eftirleitan	eftersøgning
eftirleivd	levning, rest, relikt
eftirliður	(lingv.)efterled
eftirlit	eftersyn, tilsyn, kontrol
eftirliting	farve der bruges for anden gang
eftirlitsmaður	tilsynsførende, kontrollør
eftirlitsmyndugleiki	tilsynsmyndighed,Heilsufrøðiliga starvsstovan er eftirlitsmyndugleiki á økinumdet Hygiejniske Institut er tilsynsmyndigheden på området
eftirlitsskipan	kontrolforanstaltning
eftirlitsstøð	kontrolstation
eftirlitsútbúnaður	kontrolfaciliteter
eftirlitur	farve der bruges for anden gang
eftirlíka	føje, give efter,hann eftirlíkaði hennihan gav efter for hende;hann læt sær tað eftirlíkahan fandt sig i det
eftirlíking	eftergivelse
eftirlíkna	efterligne
eftirlíkning	efterligning, skatteligning
eftirljóð	efterklang
eftirlótir	eftergivenhed, føjelighed,tey geva hasum allar eftirlótirde lader ham få sin vilje i alt
eftirlútur	vaskelud anvendt anden gang
eftirlýsing	efterlysning
eftirlæti	eftergivenhed, føjelighed,geva e-m eftirlætiføje en, tilstå en noget
eftirløn	pension
eftirlønaraldur	pensionsalder
eftirlønarfólk	pensionist
eftirlønargjald	pensionsydelse, pensionsbidrag
eftirlønargrunnur	pensionsfond, pensionskasse
eftirlønarmaður	pensionist
eftirlønarskipan	pensionsordning,ein partur av løn tíni fer hvønn mánað til eina eftirlønarskipan, ið tú hevuren del af din løn bliver hver måned sat ind på din pensionsordning
