g	1(lingv.)konsonant2(lingv.)8. bogstav i det færøske alfabet (kaldes )3(musik)tone og tilsvarende node4fork. forgramm
gabb	1pral, praleri2pralhals, blærerøv
gabba	prale, brovte, blære sig, skvadronere,hann gabbaði sær av tíhan pralede med det
gabbari	pralhals, blærerøv
gabbi	pralhals, blærerøv
gabbutur	pralende,hann er so gabbuturhan er så pralende
Gabon	Gabon
gabonbúgvi	gaboneser
gabonskur	gabonesisk
gadda	1klippe tæt,gadda omanav;alt (hárið) varð gaddað omanav2afbide græs nær ved roden,rossini gadda hagan;hagin er avgaddaðurudmarken er afgræsset;gadda niður í rótinabide græsset ned til roden3overfiske,hann gaddaði plinkin
gaddajørð	tyndt jordlag på stengrund
gaddur	tyndt jordlag på stengrund
gaddutur	(om terræn)vildt og stenet,har er harðlent og gaddutjordbunden er hård og stenet
gaffil	1gaffel(til spisning),eta við knívi og gaflispise med kniv og gaffel2gaffel på truck3(mar.)rundholt der sidder skråt ud fra masten på et skib(og som bærer den øverste kant af et gaffelsejl)
gaffilbiti	gaffilbitargaffelbidder
gaffilsegl	(skib.)gaffelsejl,stórseglið og mesanurin eru gaffilsegl
gaffiltrukkur	gaffeltruck
gagg	(om mallemukkens lyd)
gagga1	1læderstøvle med træbund(spec. til sømænd),træskostøvle2fodboldstøvle med knopper
gagga2	(barn.)lus
gagga3	(barn.)høne, and
gagga4	lyde som en mallemuk
gagguskógvur	læderstøvle med træbund(spec. til sømænd),træskostøvle,hann hirdi annan gagguskógvin inn í skinnabeinið á honumhan kastede den ene læderstøvle lige på hans skinneben
gagn	1gavn, nytte, hjælp,verða e-m at gagnivære til gavn for nogen;koma e-m til gagnsel.at gagni;gera gagngøre nytte;røkja sítt yrki til gagnspasse sit arbejde helt og fuldt2(biol.)organ
gagna	gavne, nytte, være til gavn,gagna e-mvære til gavn for en;e-t gagnast e-m væl / illanoget bekommer en vel / dårligt;maturin gagnast mær ikkimaden smager mig ikke;væl gagnist teimum tað, teir fáadet er dem vel undt;væl gagnist!velbekomme!;(neds.)væl gagnist honumdet har han godt af!
gagnfiskur	nyttefisk
gagnfuglur	nyttefugl
gagngera	forædle,virki, sum gagnger seið, livur og slógvfabrik, som forædler sej, lever og fiskeaffald
gagngóður	nyttig, fordelagtig,bøkurnar hava verið gagngóðarbøgerne har været nyttige
gagnleysur	unyttig, nytteløs
gagnligur	gavnlig, nyttig
gagnlist	brugskunst
gagnlítil	som ikke er til megen gavn, nytteløs
gagnloysi	nyttesløshed
gagnlutur	nyttegenstand
gagnmeta	kritisere,gagnmeta listaverk, bókkritisere et kunstværk, en bog
gagnmetari	kritiker
gagnnýta	udnytte,gagnnýta fiskastovnarnarudnytte fiskebestandene
gagnnýtsla	udnyttelse,fáa eina skynsamliga gagnnýtslu av fiskastovnunumfå en ordentlig udnyttelse af fiskebestandene
gagnplanta	nytteplante,gagnplantur sum epli og maisnytteplanter som kartofler og majs
gagnsamligur	appetitlig,ein gagnsamlig máltíðet appetitligt måltid;-liga
gagnsemi	gavn, nytte
gagnsleysur	unyttig, uproduktiv
gagnsmál	nytte, fordel,røkja egin gagnsmálpleje egne interesser
gagnsverk	nyttigt arbejde,háskúlin hevur gjørt gagnsverkfolkehøjskolen har gjort et nyttigt arbejde
gagnturrur	gennemtør,hoyggið er gagnturthøet er gennemtørt
gagnvegur	genvej
gagnviður	gavntømmer
gakk	seganga
gal	galen, skrig, skrålen
gala	(spec. om høns)gale,hanin gelurhanen galer;hann datt, so tað gól í kroppinumhan faldt så det sang i kroppen;nú er tað tað, sum gelur í honumnu er det det, der kører rundt i hovedet på ham;títt bartrog, gól í læraranumdin møgunge, råbte læreren
galda	1gælde, være gældende,lógin skuldi galda fyri Føroyarloven skulle gælde for Færøerne;vera galdandi2hænde, ske,vatn máttu teir hava, hvat tað enn skuldi galdavand måtte de have, uanset hvad;men hvat galt?men hvad skete?;tað galt tað samadet var lige meget, det havde ingen betydning;hon visti, hvat ið um galthun vidste, hvad der stod på spil
galdra	snakkeel.skrige op, støje,er sonurin farin at tosa? Nei, men hann galdrarer sønnen begyndt at tale? Nej, men han pludrer;hjartað fór upp at galdrahjertet begyndte at banke
galdran	skrigen, støjen,við róp og galdranmed råb og skrigen
galdrutur	støjende
galdur	trolddom, hekseri
galileari	(bibl.)galilæer
galileiskur	(bibl.)galilæisk
galin	1gal, fra forstanden, forrykt, rasende,pápi verður galin, tá ið hann frættir taðfar bliver rasende, når han hører det2gal, forkert,her var okkurt spinnandi galiðher var noget splintrende galt
galipinnur	(biol.)kildrer, klitoris
gall1	(biol.)1galde,tá var gallið tað besta í mærda var jeg rasende;oysa gall og gor út yvir einudøse sin galde over én2galdeblære
gall2	segjalla
galla	(skib.)kabys
gallarí	galleri
gallbeiskur	(om smag)bitter som galde, overordentlig bitter
gallbløðra	(biol.)galdeblære(vesica fellea)
gallfrystur	stivfrossen
gallharður	stivfrossen
galliskur	gallisk
gallróp	gjaldende råb, hyl,skera í gallrópsætte i et hyl
gallræsi	(biol.)galdegang(ductus choledochus)
gallsótt	(med.)galdesyge
gallsteinur	(med.)galdesten
gallsúrur	1bitter som galde, eddikesur2(om folk)meget sur, meget gnaven
gallsýra	(biol.)galdesyre
galossja	galoche
galt	segalda,gjalda
galtartonn	tand der vokser ud gennem tandkødet,hava galtartennhave stærke tænder
galti	(zoo.)galt (kastreret orne)
galtur	(zoo.)1galt2overmåde fedt og korpulent kreatur
galvabátur	(båd.)båd med gavl bagpå
galvanisera	galvanisere
galvflógv	tørvestabel lagt ved stenhusets gavl
galvur	1(husbyg.)gavl, gavlfelt (på hus),frá galvi til gátt(ar)om hele huset;(poet.)innan galvs og gáttainde i huset2gavl(for enden af seng, kiste, trug etc.)3(stedn.)højt, bredt og stejlt næs,Kalsoyar-
gamal	1gammel,hvat / hvussu gamal ert tú?hvor gammel er du?;fimm ára gamalfem år gammel;gamal maðurgammel mand;gomul konagammel kone;hann er gamal í garðihan er en gammel rotte;hin gamli / gamladen gamle mand / kone;teir gomluforfædrene;(talesp.)tey gomluforældrene;(talesp.)bilurin hjá gamlafars bil;hann verður ikki gamal harhan bliver der ikke længe(fx i nyt job),eg verði ikki gamal burturjeg bliver ikke længe væk;(ordsp.)góður er gamal í ráðumel.ráðiden gamle giver gode råd2gammel, arkaisk, antik,gomlu jóljul efter den gamle kalender (6. januar);gamlar gøturgamle stier;í gamlar dagarel.gomlum døgumi gamle dage;tað var so gamalt við tídet var indlysende;eftir gomlum siðiefter gammel skik;tað er bæði gamalt og forntdet er ældgammelt3forhenværende,í gamla Jugoslaviai forhenværende Jugoslavien4(eufem.)gamlikammerat, gamle ven;gamli mín!;hygga gamli!5(mar.)(hin) gamliskipperen
gamaldags	gammeldags
gamalmálsligur	gammelsproglig, klassisksproglig,gamalmálsligt studentsprógvklassisksproglig studentereksamen
gamalmenni	olding
gamalsaldur	i ordforb.á gamalsaldripå ens gamle dage
gamalseyðabógvur	bov fra et gammelt får
gamalseyðakjaftur	i ordforb. somfullur gamalseyðakjafturfår som har alle tænderne i behold
gamalseyðakjøt	kød fra gammelt får
gamalseyðakrov	fårekrop af et fedt gammelt får
gamalseyður	fedt gammelt får
gamalskapur	alderdom, alderdomsskrøbeligheder,gamalskapur og gikt er tað, ið mær bagiralderdom og gigt er mit problem
gamalsligur	gammel af udseendeel.væsen,hann er so gamalsligurhan er så gammel af udseende;gamalsligt húsgammeldags hus;-liga
gamalur	gammel
gaman	fornøjelse, spøg, skæmt,við gleði og gamnimed glæde og fornøjelse;halda sær atel.á gaman, at gamnimore sig;tá gránaði gamanda blev spøg til alvor;(tað er) gaman í(det gør jeg) med fornøjelse;tað er gaman í at hjálpa tærjeg hjælper dig med glæde;tað er gaman í hjá honumhan kan sagtens!;gaman í er hann gamal, men enn rør hann útgodt nok er han gammel, men stadig tager han på fiskeri
