h	1(lingv.)konsonant2(lingv.)9. bogstav i det færøske alfabet (kaldes )3(musik)tone og tilsvarende node4fork. forhekto-(som i hektogramm, hektolitur (hg, hl))
H	romersk taltegn for 200
ha1	hvad? hvad behager?,ha, hvat sigur tú?
ha2	fork. forhektari
haðan	derfra
haðani	(talesp.)derfra
haðanífrá	derfra
haft	1(uld)bånd til at binde køers ben sammen med,tað kundi ganga rúm tíð, áðrenn allar kýrnar vóru komnar í haft(når der var tåge);(talem.)sum kúgv í haftiforhindret, forsinket2uldbånd til at binde får med;(talem.)koma upp í haftkomme i en vanskelig situation, komme i knibe (pga. noget);(overf.)loysa fólk úr haftigive folk frihed;(talem.)tað erel.liggur sum eitt haft á mærdet ligger som en byrde på mine skuldre;(talem.)vera haft um beinið á e-mvære til besvær for nogen
haftbundin	(om får)bundet med uldbånd
haftseyðafylgi	flok får sammenbundne parvis(ved fåredrivning især fra stejle fjeldgræsgange)
haftseyður	flok får sammenbundne parvis (ved fåredrivning især fra stejle fjeldgræsgange),reka haftseyð
haftsnælda	håndten til spinding af uldbånd
haga1	1haga særopføre sig,sum hatta hagar særhvor han / hun dog opfører sig2behage, passe,(kvad)illa mundi honum haga taðdet behagede ham dårligt3(om tøj og andet materiale)skabe, danne, give facon,hon hjálpti mær at haga tað tilhun hjalp mig med at forme det til
haga2	seyðurin hagaði sær ikkiel.seyðurin hagaðist ikkifårene var ikke til at få til at gå i udmarken
hagaboð	besked om at komme og røgte får i udmarken,koma við hagaboðum
hagabýti	deling af en græsgang (i udmarken)
hagadagur	dag i udmarken(for at se til fårene),hetta var hansara fyrsti hagadagurdette var hans første dag i udmarken
hagaegg	æg af fugle der yngler i udmarken
hagafastur	(om får)som holder sig til sin bestemte græsgang
hagafressur	vildkat i udmarken
hagafuglur	(ornitol.)fugl som yngler i udmarken
hagafundur	møde om forhold vedrørende udmarken
hagagarður	gærdet omkring den dyrkede indmark
hagagonga	færden i udmarken(specielt for at se til fårene)
hagagongd	det at færdes (på egen hånd) i bjerggræsgangene,ólóglig hagagongd
hagagóður	hagagott kjøtvelsmagende kød(fra et bestemt område)
hagagras	udmarksgræs
hagagrift	grøft i udmarken
hagagrind	låge til udmarken
hagagrót	sten iel.fra udmarken
hagagrøv	grøft i udmarken
hagagyllin	gylden i udmarken
hagagøta	betrådt sti i udmarken,ganga hagagøtunagå på den betrådte sti i udmarken
hagajørð	udmarksjord(optaget til dyrkning)
hagalamb	moderløst lam
hagalendi	stykke udmark (til græsgang)
hagaleysur	(om indmark)uden tilliggende rettigheder i bjerg og udmark,hagaleys mørk
hagalitur	(brunlig) farve i udmarken
hagalóg	(jur.)lov vedrørende udmarken
hagamaðkur	(zoo.)regnorm(Lumbricus rubellus)
hagamaður	fårehyrde
hagamark1	grænseskel i udmarken
hagamark2	øremærke tilhørende bestemt del af udmarken
hagamerki	øremærke tilhørende bestemt del af udmarken
hagamógvur	en art tørvejord(af rødlig brun farve)
hagamús	(zoo.)markmus(Microtus agrestis)
hagansmark	øremærke tilhørende bestemt del af udmarken
hagapartur	del af udmark
hagaportur	låge til udmarken
hagar	derhen;higar og hagarhid og did;tað man vera so higar og hagardet er sådan op og ned
hagari	længere borte, fjernere
hagarotta	rotte som lever i udmarken
hagarøkt	røgt af udmark
hagaseyður	får som græsser i udmarken
hagaskurðargrift	grøft i udmarken
hagaskurðarmaður	mand som graver grøfter i udmarken for at afvande den
hagaskurðarveit	grøft i udmarken
hagaskurður	afvanding af udmarken ved grøftegravning
hagasólja	(bot.)1kæruld2løvetand, mælkebøtte(Leontodon, Hieracium, Taraxacum)
hagastevna	møde om forhold vedrørende udmarken
hagastur	længst væk, fjernest
hagastykki	opdyrkningsstykke i udmarken
hagastýri	bestyrelse for udmark tilhørende odelsjord
hagaveðrur	vædder som har gået i udmarken
hagaveit	grøft i udmarken
hagavillur	fara hagavillur(om får)komme bort fra sin rette græsgang
hagaær	hunfår der græsser i udmarken
hagdeild	statistisk kontor
hagfastur	1(om får)som holder sig til sin bestemte græsgang2(om kvæg)som har vænnet sig til at græsse i udmarken,neytini eru hagføstkvæget har vænnet sig til at græsse i udmarken
hagfesta	få til at græsse på en bestemt græsgang
hagfrøði	statistik
hagfrøðiligur	statistisk;-liga
hagfrøðingur	statistiker
hagga	hagga inn á (e-n)rakke ned på (nogen)
haggongdur	i stand til at færdes i udmarken,handa kúgvin er ikki haggongdden ko er ikke i stand til at færdes i udmarken(for gammel);(om folk)eg eri ikki øðrvísi enn haggongdurjeg er dårlig nok i stand til at gå ud i udmarken
hagi	uopdyrket jord, udmark(benyttet til græsgang, især for får og kvæg);tann lági haginde nedre græsbevoksede bjergskråninger;bíta hagan(om kreaturer)græsse i udmarken;fallinel.skotin av haga(om får)kommet bort fra sin rette græsgang, have forladt flokken;styggja seyð av hagaskræmme fårene så de forlader deres rette græsgang,seyðurin lækkar seg niður á haga, tá ið hann veit óveður ífårene søger længere ned, når der kommer uvejr;(spøg.)hann hevur verið (el.gingið) á góðum haga1han er nok blevet godt trakteret(med de våde varer)2han er godt i stand;síðan hann fór frá haganumsiden han opgav sit arbejde med at passe græsgange og får;(om jord)liggja í hagaligge uopdyrket;ganga burtur í hagarøgte får i udmarken;vera burtur í hagavære i udmarken for at se til fårene;(om uld)fara í haganfalde af fårene inden den er rykketel.klippet af dem(dvs. går til spilde),brótael.dyrka upp úr hagatage udyrket jord under kultur;skerael.grava upp hagaafvande udmarken ved grøftegravning
hagl	(i 1. betydning entaltalesp.også1skydehagl2haglkorn3en dråbe,leska meg eitt hagl upp í glasiðgiv mig en dråbe brændevin i glasset;kúgvin mjólkaði eitt lítið haglkoen malkede en dråbe4lille fjer, let beruselse,hann hevði eitt haglhan havde en lille fjer på5trykken, stikken, gene,eitt hagl inn fyri flagbróstiðen trykken i mellemgulvet
haglbyrsa	haglbøsse, haglgevær
haglendi	græsgang, udmarksjord,gott / ringt haglendigod / dårlig udmarksjord;eg man hava verið í onkrum góðum haglendinumjeg har vist været i godt selskab
haglposi	haglpose, haglpung
haglsteinur	(bibl.)stort haglkorn
hagreiða	1(om får ved klipning)bestemme hvilke lam der skal udtages til slagtning og hvilke til tillægsdyr,seyðamaðurin fór í rættina at hagreiða2styre, ordne, holde skik på,væl / illa hagreiddurgodt / dårligt behandletel.tilredt;hagreiða fiskbearbejde fisk
hagreiðing	behandling på en vis måde
hagreiðingarmaður	mand som bestemmer hvilke lam der skal udtages til slagtning og hvilke til tillægsdyr
hagseyður	får som græsser i udmarken
hagstova	statistisk kontor,Hagstova FøroyaFærøernes statistik
hagtal	1antal får i udmarken2hagtølstatistik
hagur	behændig, fingernem, med godt håndelag,hagur í hondunummed godt håndelag
hagvillast	(om får)forvilde sig bort fra deres rette græsgang
hagvillur	1bortkommet fra sin rette græsgang,fara hagvillur2(bibl.)gået vild, fortabt
haia	sige hvad? hvad behager?(hele tiden),statt ikki og haia!stå ikke der og sig hvad hele tiden!(især til børn)
Haiti	Haiti
haitibúgvi	haitianer
haitiskur	haitiansk
haka	gribe, tage fat,línan hakar so illa í botnlinen bliver let fast i bunden;haka áfå fodfæste;tað hakar ikki fyri hjá hennihun klarer det sagtens
hakaakslaður	med skrå skuldre, hængeskuldret
hakablað	den nedre brede del af træskaftet på "haki"
hakabløðra	vabel på håndfladen af at grave med "haki"
hakabreidd	bredden af en "haki"(som måleenhed)
hakadýpi	dybde af træskaftet på en "haki"
hakafótur	træskaftet på "haki",skefta grev upp á hakafótin
hakagrev	spadejern på "haki"
hakakrossur	hagekors[sanskritsvastika]
hakalongd	længden af en "haki",hav ikki meir enn hakalongd í benið (á torvluti)
hakaskaft	øverste del af træskaftet på "haki"
hakaskot	1dybde af træskaftet på en "haki"2det stykke grønsværel.muld der skæres løs ved et stik med "haki"
hakaspjað	1gammelt, slidt træskaft på "haki"2(noaord)hejre
hakavelting	dyrkning af jorden med "haki"
hakaveltur	dyrket med "haki",hakaveltur bøurindmark dyrket med "haki"
haki	1håndredskab til dyrkning af jord o.lign.2(mar.)langskaftet krog(til at få fisken indenbords med),rætt mær hakan!
hakk	hak, skår, indsnit,gera eitt hakk í e-tlave et indsnit i noget
hakka	1hakke(kød el.lign.),hakkað kjøthakkekød2slå græs med korte sving,hakka bakkarslå grøftekanter3stamme,hann hakkaði eitt sindurhan stammede lidt
hakkaranev	spids på hakke
hakkaraskaft	skaft på hakke
hakkari	hakke
hakkubúffur	hakkebøf
hakkukjøt	hakkekød
halaband	(i seletøj til hest)rumperem
halabein	(biol.)haleben(os coccygis)
haladoddur	uldtot yderst på hale
halafaks	halehår (på hest), hestehale
