i	1(lingv.)vokal2(lingv.)10. bogstav i det færøske alfabet (kaldesel.fyrra)
I	romersk taltegn for 1(II = 2, III = 3, IV = 4, XIII = 13osv.)
ið	1der, som,maðurin, ið átti húsini;tú sært, hvør ið har kemur;hatta er tann maðurin, ið erdet kan man kalde en mand;skamm fái hatta, ið so ikki gongurpokker stå i ham sådan som han går (og gør folk ulejlighed el. lign.);skamm og last í teg, ið ringur ikki erhvor er du dog slem!21der hvor,annar kosturin var at herja á nær við, ið aðrir skóru torvið2da, dengang da, når,(kvad)árla var um morgunin, ið sól tók fagurt at roða3hvar iðhvor, der hvor,hvar ið hann hevði verið?;hvar ið hann ætlaði sær?(hvorhen)4tá iðda, dengang da, når,tá ið tær komu, plagdu tey at taka ímóti5nú iðnu da,nú ið hann sær hann, minnist hann alt aftur6uanset, uden hensyn til,ið hvat arbeiði menn høvdu uppi á landi, róðu teir altíð út, tá til bar;ið hvør hann erhvem han end er;hvat ið hann (so) ger;lítið nyttar, ið hvat tey fáalige meget hjælper det, hvor meget de end fanger (får);hatta er ikki fossadun, ið hvat hatta er(hvad det end er);ið hvussuel.hvussu iðhvordan (hvor meget) end;ið hvussu hannel.hvussu ið hann leitaði, fann hann teir ikki(lige meget hvor);ið (í) hvussu eri det mindste, i hvert fald;sehvussu
iðra	angre, fortryde,iðra seg eftir e-mel.e-tfortryde noget;eg iðri meg ikki eftir, at eg gjørdi taðjeg fortryder ikke, at jeg gjorde det;iðra seg um e-t;iðrastærgre sig over,iðrast eftir (e-m)ærgre sig over noget
iðran	samvittighedsnag,vreiði og iðran bilgdust í honumhan bar på vrede og samvittighedsnag
iðranarfullur	angerfuld
iðranargrátur	angersgråd el. angergråd
iðranargrein	(jur.)fortrydelsesparagraf
iðranarleysur	uden anger,(bibl.)við iðranarleysa hjarta tínum
iðranartár	angerståre, angertåre
igil	(zoo.)fåreflynder, leverikte(Distomum hepaticum)
iglagras	(bot.)vandaks
iglasjúka	iktesyge, flyndersyge
iglasjúkur	(om får)vattersotig,á vátum haga tekur seyðurin ofta vatn og verður iglasjúkur
iglasólja	(bot.)nedbøjet ranunkel(Ranunculus flammula)
iglasótt	iktesyge, flyndersyge(distomatosis)
iglasóttarseyður	får med iktesyge
iglavatn	iktesyge,var seyðurin rokaður í iglavatni, so beyð hann ikki bøtur
igli	(zoo.)fåreflynder, leverikte(Distomum hepaticum),um iglar eru í livrini á seyði, verður sagt, at hann hevur iglasótt
igulker	(zoo.)søpindsvin(Echinoidea);jf.egilker,øðuker
igulkøttur	(zoo.)pindsvin(Erinaceus europaeus)
-igur	(suffiks),se fxátigur,hegnigur,kunnigur,matigur
ikin	seaka
ikki	ikke,eg royki ikkijeg ryger ikke;hann vildi ikki siga tað;drongurin roytti gentuna, "ikki!" rópti honlad være1(til at lægge tryk på nægtelse)ikki tori eg;ikki skal tað vera fyri einki, tú gert hetta;ikki mást tú gráta, omman veit vegin;ikki veit eg, hvussu hetta endar2(i spørgende sætninger)ikki eiga tygum ein royk at geva mær?De har vel ikke en smøg at give mig?;tit eiga ikki grind at selja?;bar ikki til at fáa hatta burtur hiðani?3i ordforb.ei og ikkibåde og,hann er ei og ikki ólíkur honum;ikki tær at sigasom du jo ved, som du sandsynligvis ved;ikki meir ennknapt, kun, bare;ikki tíalligevel;fyrr enn ikkii det mindste;heldur enn ikkitemmelig
-iksutur	sestór-
il	fodsål, undersiden af en fod,rundur undir ilinislem til at falde;frá høvur til iljarfra hoved til hale
-il1	(suffiks),se fxbiðil,dregil,lykil,diskil
-il2	(suffiks),se fxheimil,lítil,mikil
ildari	(zoo.)ilder(Mustela putorius)
iljarbreidd	bredde som en fodsål
iljarbreiður	så bred som en fodsål,iljarbreið rás
iljaslættur	(med.)platfodet
illa1	bebrejde, dadle, kritisere, ringeagte,tað var eingin, sum illaði hann fyri taðder var ingen, som bebrejdede ham det
illa2	1ilde, dårligt, slemt, slet, uheldigt;akta illavære meget ulydig;e-m dámarel.líkar e-t illaman kan ikke lide noget;duga illavære dårlig til noget;enda illa;fara illa1lide stor skade, få en sørgelig ende2(om kvinde)abortere3(om gæst)gå uden at nyde gæstfrihed,tú fert so illa, hevur hvørki fingið vátt ella turtdu går, før du har fået noget at spise el. drikke;fara illa viðbehandle dårligt,illa gjørdurskødesløst udført;illa ílatin;illa klæddurdårlig påklædt;láta illa atvære utilfreds med, synes noget er (for) slemt;síggja illase dårligt;sova illasove dårligt;tíma illaikke gide noget;verða illa viðblive ilde berørt(af noget som kommer uventet)2knap nok, dårligt nok, næsten ikke,illa arbeiðsførurknap nok arbejdsdygtig;teir høvdu illa fingið kastað, fyrr enn teir vóru fastir í fiski(var dårlig nok begyndt at fiske);tað er illa útfarandiman kan knapt nok gå uden for en dør;nóg illaknapt nok3(om noget som er vedvarendeel.forekommer hyppigt)tað vestasta bergið hevur lopið illa;hundurin bítur illahunden er slem til at bide;kettan klórar illa;hann bannar illahan er slem til at bande;drekka illavære meget drikfældig4hårdt, slemt,illa sjúkur;illa særdurhårdt såret;tað píndi illa5(trang, behov)vilja illa sovavære meget søvnig;vilja illa pissa, kukka, spýggja,sevilja6i ordforb.illa varvist så;fyrr var illadet var det mindste;tað var illadet var ærgerligt;koma illa av skaftimislykkes;vera illa eftir seghave tømmermænd (el. lign.)1være dårlig tilpas(pga. nattevågen o.lign.)2(om noget som synes af mere end det er)tað er illa eftir seg;tað vildi so illa tildet var så uheldigt;vera illa gitinvære berygtet;illa staddurilde stedt, dårlig forsynet;illa verði honum fyri!skam slå ham!;illa komin á hold,sehold;vera / koma e-m illa viðel.vera illa viðblive ubehageligt overrasket
illamansblomstur	(bot.)kæruld
illamansørindi	i ordforb.ganga illamansørindigå den ondes ærinde
illandi	ond ånd,óveðursins illandar
illani	(talesp.)ilde, dårligt, slemt, slet, uheldigt
illanssettur	besat
illanstíð	(bandeord)pokker heller, minsandten (om),illanstíð tímdi hann at fara at keypa;illanstíð komi tey aftur!det har de godt af!
illavorðin	1grim, styg, uskøn,ein illavorðin dronguren grim dreng;tað er illavorðið gjørt2uanstændig, upassende,tað var fyri okkum, sum orðið lygn var eitt illavorðið orð;illavorðin skriving3uhøvisk, uhøflig,hon var so illavorðin við hann;ikki siga illavorðiðikke bande(sagt til børn)4(om luften)hann stendur so illavorðindårligt vejr er i vente
illbatan	mistanke,hon hevði illbatan av, at tær sóu eitthvørt, tær vildu ikki siga
illbati	mistanke,hava illbata á e-mhave mistanke til noget;eingin hevði illbata til nakað ringt;eg hevði illbata av tíjeg havde mistanke om det
illbiðing	(bibl.)bandlysning, ekskommunikation,tessvegna oyðir illbiðing jørðina
illbikkja	ondskabsfuldt menneske,hatta hevur tú funnið upp á sjálvur, tín illbikkja
illbirtari	person der sætter splid mellem folk
illbirtil	person, der sætter splid mellem folk
illbirtin	splidagtig,full av lygn og sviki, øvundsjúk og illbirtin
illbirtni	splidagtighed
