j	1(lingv.)konsonant2(lingv.)12. bogstav i det færøske alfabet (kaldes )
J	fork. forjoule
ja1	ja,mods.nei 1,kemur tú? ja, eg komikommer du?, ja jeg kommer;ja mennjavist
ja2	ja,ein fekk krakk, annar fekk ja
jabb	hyppig gentagelse,hetta er sama jabbið aftur
jabba	gentage i det uendelige,jabba um e-t
jabban	hyppig gentagelse,undirvísingin verður ein jabban upp í saman
jabróðir	jasiger,hann er eingin jabróðir
jada	jade
jaðar	kant, udkant, rand
jaðari	kant, udkant, rand
jaðarkliptur	(bibl.)tætklippet
jaðrakona	(ornitol.)vandrikse
jaður	lag
jaga	jage, drive, forfølge(på en voldsom måde)
jagaraflogfar	(militær)jagerfly, jager
jagari	1jæger2(militær)jagerfly, jager
jagg	1småbølger, nogen uro i søen,tað er sovorðið jagg í sjónum2vedholdende småskænden, given ondt af sig,nú fekst tú løn fyri jagg títt
jagga	1(om søen)være noget urolig, være fuld af småbølger,tað jaggar inni við (land)2hyppigt småskænde og irettesætte, give ondt af sig,jagga á e-nsmåskænde ustandselig på nogen
jaggutur	1(om søen)noget urolig2som hyppigt småskænder og irettesætter
jagl	gumlen
jagla	gumle,jagla breyðskorpugumle på en brødskorpe
jagldýr	(zoo.)gumlere, dovendyr, myreslugere, bæltedyr(Edentata)
jagstra	jage, drive, forfølge(på en voldsom måde),heykarnir jagstraðu mýsnarhøgene jagede musene
jagstran	forfølgelse
jagt	1jagt2(båd.)lossepram
jagt1	jagt
jagt2	(båd.)lossepram
jagta	jagte, jage
jaguarur	(zoo.)jaguar(Panthera onca)
jakkaklæddur	jakkeklædt,jakkaklæddir krambasveinarjakkeklædte ekspedienter
jakkaklædningur	jakkesæt
jakkakot	(neds.,spøg.)en jakke af ringe værdi
jakkalummi	jakkelomme
jakkatræ	bøjle
jakkavel	jakkeskøde(r)
jakki	jakke,tvíkneptur jakkidobbeltradet jakke
jaksil	(talesp.)kindtand
jaksla	tygge med kindtænderne el. tandgærdet,jaksla e-t til
jakslan	tyggen med kindtænderne
jakslur	el.(biol.)kindtand
jaksul	(talesp.)kindtand
jakt	1jagt2lossepram
jakta	jagte, jage
jaligur	positiv
jallur	jarl
jalov	samtykke,hann vildi fáa jalov upp á jørðina
jalsdóttir	jarledatter
jalssonur	jarlesøn
Jamaika	Jamaica
jamaikabúgvi	jamaicaner
jamaikiskur	jamaicansk
Jameika	Jamaica
jameikabúgvi	jamaicaner
jameikiskur	jamaicansk
jammur	jammer,tað var eitt jammurs lagdet var sørgelige forhold
jamra	i ordforb.jamra segjamre sig
januar	januar
januarmánaður	januar måned, januar
Janus	i ordforb.hvør Hanus og Janusalle og enhver
jaorð	jaord, ægteskabsløfte,hann fekk jaorð gentunnar
Japan	Japan
japanari	japaner
japani	japaner
japanskur	japansk,japansktjapansk sprog
japansmaður	japaner
japsa	gentage i det uendelige,japsa upp í samanhyppigt gentage noget
jarða	begrave, jorde,(bibl.)lat tey deyðu jarða síni deyðu
jarðalisfrøði	geofysik(geophysica)
jarðalisfrøðingur	geofysiker
jarðan	begravelse,eftir deyða og jarðan hans
jarðar	sejørð
jarðarásur	jordakse,jarðarásurin stendur á halli
jarðarbotnur	jordbund,(overf.)har var jarðarbotnur fyri rørslunider var grobund for bevægelsen
jarðarbrúk	jordbrug, agerbrug
jarðarbræv	(jur.)skøde
jarðarbundin	jordbunden
jarðarbygd	landbrugsbygd
jarðareigari	jordbesidder
jarðareldur	vulkansk ild,millum jøkul og jarðareldmellem gletsjer og vulkansk ild
jarðarferð	begravelse
jarðarfiti	(geol.)valkejord, blegejord
jarðarfólk	jordbesidder
jarðarfundur	jordfund
jarðargóðs	jordegods
jarðargrund	jordbund
jarðarhiti	(geol.)jordvarme
jarðarhús	hus i besiddelse af odelsjord,hon var úr einum jarðarhúsi
jarðarkápa	(geol.)jordkappe
jarðarkjarni	(geol.)jordkerne
jarðarklandur	strid om jord
jarðarklóta	jordklode
jarðarknøttur	jordklode
jarðarkoma	(rel.)det at komme ned til jorden,jarðarkoma Jesusar
jarðarkona	(ornitol.)vandrikse(Rallus aqvaticus),beinini sum á jarðarkonulange og spinkle ben
jarðarkonuleggir	tynde og lange ben,hatta eru rættir jarðarkonuleggir
jarðarkringla	jordklode,hann læt menniskjuni breiðast út um alla jarðarkringluna
jarðarkringur	jordklode,(bibl.)um allan jarðarkringinjordkloden rundt
jarðarleiga	jordleje
jarðarleysur	jordløs,jarðarleysir menn
jarðarligur	jordisk
jarðarlív	jordeliv
jarðarlóg	jordlov
jarðarlóggáva	jordlovgivning
jarðarmaður	jordejer, landbruger,teir vóru góðir jarðarmennde var dygtige landbrugere
jarðarmeting	(landbr.)taksation
jarðarmóðir	jordemoder
jarðarmunur	højdeforskel(i terræn)
jarðarnavn	marknavn
jarðarnøt	(bot.)jordnød(Conopodium),stór jarðarnøtsvinenød(C. majus)
jarðarogn	jordbesiddelse, jordejendom
jarðarpetti	(mindre) stykke jord
jarðarráð	landbrugsråd,Føroya jarðarráðFærøernes Landbrugsråd
jarðarrás	(astronomi)jordbane,jarðarrásin um sólina
jarðarríki	jorderige;veit tað eingin á jarðarríki
jarðarrøkt	(landbr.)røgt af jorden
jarðarsipa	(bot.)hundelav(Peltigera canina)
jarðarsipan	(bot.)hundelav(Peltigera canina)
jarðarskattur	(økon.)ejendomsskat
jarðarskifti	(landbr.)mageskifte(bytning af fast ejendom)
jarðarskorpa	(geol.)jordskorpe
jarðarsnøkil	(mindre) stykke jord
jarðarstykki	jordstykke
jarðarsøga	(geol.)jordens historie
jarðarteigur	strimmel mark, mindre stykke jord,hann átti ongan jarðarteiginhan var jordløs
jarðartrá	længsel efter døden,nakra jarðartrá havi eg ikki kent á mær enn
jarðarvatn	grundvand
jarðaryvirflati	jordoverflade
jarðákast	jordpåkastelse
jarðbelti	zone,vársins unga ljós, sum verður føtt uppi yvir jarðbeltunum fyri norðan
jarðber	(bot.)1jordbærplante2jordbær
jarðbik	(geol.)asfalt
jarðbika	asfaltere
jarðblettur	brune pletter i gamle menneskers hud
jarðbót	(landbr.)forbedring af jord,kálk til jarðbótar
jarðbundin	1jordbunden2(elektr.)jordforbindelse
jarðeldur	vulkansk ild
jarðevnafrøði	(geol.)geokemi(mineralogia)
jarðevnafrøðiligur	(geol.)geokemisk
jarðfall	det at fælde en til jorden,fáa jarðfallfalde
jarðfastur	jordfast(ofte om (store) sten, der sidder fast i jorden el. selve klippegrunden),jarðfastur steinurjordfast sten;jarðfast fornminniet jordfast fortidsminde
jarðfesta	1gøre fast i jorden,fáa e-t at jarðfesta seg2forrette jordpåkastelse,jarðfesta lík
jarðfiti	(geol.)valkejord, blegejord
jarðflati	jordoverflade
jarðfrost	rimfrost
jarðfrøði	geologi(geologia)
jarðfrøðiligur	geologisk
jarðfrøðingur	geolog
jarðfunnin	(om artefakt)jordfunden,jarðfunnið fæjordfundne sager
jarðgass	(geol.)naturgas
jarðgimbur	i ordforb. somikki jarðgimbur;hann eigur ikki jarðgimburhan ejer ingen får
jarðgripur	danekræ,jarðgripir eru eitt nú sjáldsamar steinrenningardanekræ er fx sjældne forsteninger
jarðgrógvin	1fastgroet i jorden(især om store sten),nú liggur steinurin jarðgrógvin2(om en mand) med tyk underkrop3(overf.)jordbunden el. jordbundet,hetta er eitt jarðgrógvið fólkdette er et jordbundet menneske
jarðgrøni	(geol.)grønjord
jarðhella	klippegrund,eitt sindur av vølli omaná, og so jarðhella niðriundir
jarðir	sejørð
jarðiskur	jordisk
jarðkaðal	(elektr.)jordkabel
jarðkava	(om sne)fyge langs jorden,tað jarðkavar
jarðklettur	1den faste klippe, klippegrund2stor kampesten,teir høvdu jarðklettar til grundarsteinar
jarðlag	(geol.)jordlag
jarðleggja	1fælde (kaste) en til jorden,hann jarðlegði manninhan fældede manden2slå ihjel
jarðleggur	(bot.)jordstængel, rodstok,jarðleggur veksur ymist vatnrætt ella upp og niður
jarðleysur	jordløs
jarðligur	jordisk,jarðligar lógir, sum yvirvaldið verndar
jarðmeting	taksation
jarðnøt	(bot.)jordnød(Arachis hypogaea)
jarðolja	jordolie, mineralolie
jarðriv	(geol.)jorderosion
jarðrok	fin sne som fyger hen ad snelag på marken,tað var ikki avfall, men nógv jarðrok
jarðroykur	mosekonens bryg
jarðrøring	(geol.)småskælven i jorden
jarðsamband	1(elektr.)jordforbindelse2(overf.)jordforbindelse,hava jarðsambandhave jordforbindelse
jarðskjálvtafrøði	(geol.)seismologi
jarðskjálvti	(geol.)jordskælv
jarðskorpa	(geol.)jordskorpe
jarðskorpupláta	(geol.)jordskorpeplade
jarðskot	jordslået tøj
jarðskotin	(om tøj)jordslået
jarðsláa	slå til jorden,eg skuldi so jarðsligið teg
jarðslættur	leggja jarðslættanlægge en fladt ned på jorden
jarðspell	forringelse af dyrkningsmuligheder på et stykke jord,tað er jarðspell av grevstri teirra
jarðsøguligur	vedrørende jordens historie,í fornum jarðsøguligum øldum
jarðtala	gravtale
jarðtøkni	(geol.)geoteknik
jarðtøkniligur	(geol.)geoteknisk
jarðyrkismaður	jordbruger
jarki	ydersiden af foden,eg noyddist at ganga á jarkanum
jarm	1(om får)brægen2(overf.)jamren
jarma	1(om får)bræge,(poet.)hoyrið jarma lambið káta;jarma seg saman1(om et lam og moderfåret)finde hinanden ved hjælp af brægen2(overf.)(om dreng og pige)få kontakt med hinanden,nú hava tey jarmað seg saman3(om separeret ægtepar)komme sammen igen2jamre, klynke,jarma yvir ungdóminklynke over ungdommen
jarman	brægen
jarming	brægen
jarn	1(kem.)jern2jernkrog indfældet i træ til at hugge i store fisk for at hale dem ind i båden,hava jarn í bátinum3fiskekrog,fiskur á hvørjum jarni4lænker,hann var dømdur at arbeiða í jarni á Bremerholm5arbejdsmenneske,hon var eitt jarnhun var et jern;arbeiðsjarnarbejdsbi6i ordforb.(talem.)salta jarngå ledig, drive;hava jarnið á (e-m)tilrettevise en, irettesætte en,eg havi altíð jarnið á teimum, siga tey slíkt;seta jarnið á1stryge(glatte tøj med et strygejern)2irettesætte, gå i rette med en,seta jarnið á einirettesætte;(kortspil)7redskab af jern,góðaráðjarngoderådjern;høggujarnstemmejern;strúkijarnstrygejern;vaflujarnvaffeljern
jarnband	1jernbånd, jernlænke,í tí sterka jarnbandi2tøndebånd
jarnbetong	jernbeton
jarnbinda	armere
jarnbindari	jernbinder
jarnboltur	bolt
jarnbreyt	jernbane
jarnbreytarfar	tog
jarnbreytarferja	(skib.)jernbanefærge
jarnbreytargarður	banegård, jernbanestation
jarnbreytarstøð	banegård, jernbanestation
jarnbreytartok	tog
jarnbreytarvognur	jernbanevogn
jarnbrot	løftestang,teir loystu steinin við jarnbrotide løsnede stenen med en løftestang
jarnbrúdleyp	jernbryllup(70-års-bryllupsdag)
jarngjørð	tøndebånd
jarnharður	jernhård,hjarta hansara knýttist í ein jarnharðan knút
jarnhavin	jernholdig,jarnhavið vatnjernholdigt vand
jarnhespa	haspe af jern,barðholini vóru styrkt við jarnhespum
jarnheysur	(tilnavn)person, der selv i det værste vejr ikke bruger hovedtøj,Óli jarnheysur
jarnhælur	1jernbeslået hæl, jernhæl,(overf.)einaræðisharrin knúskaði grannaríkini undir sínum jarnhælidiktatoren knuste nabostaterne under sin jernhæl2pæl,hann setti ein jarnhæl niður í eggina og lesti seg niður
jarnídnaður	jernindustri
jarnkaldur	isende, hundekold
jarnkendur	jernholdig,jarnkent vatnjernholdigt vand
jarnketa	(jern)kæde
jarnkongur	bolt
jarnkuldi	kulde i (en kedels) jern,ketilin er einki ornaður enn, tað er bara jarnkuldin farin úr honum
jarnlagdur	jernbeslået,jarnlagdir hælirjernbeslåede hæle
jarnleistur	skomagerlæst, læst
jarnmálmur	jernmalm
jarnnagli	jernnagle
jarnnám	jernmine
jarnpetti	et stykke jern
jarnpík	jernpig,fjallstavur við sterkari jarnpík
jarnpíkur	jernpig
jarnpláta	jernplade
jarnsag	nedstryger, metalsav
jarnseymur	jernsøm
jarnskip	(skib.)jernskib
jarnsmiðja	smedeværksted, smedje
jarnsmiður	smed
jarnsmíð	smedearbejde
jarnspong	jernbeslag,jarnspong til at styrkja stevni á báti
jarnstiði	ambolt
jarnstong	jernstang
jarnsørur	jernfri
jarntak	tag af jern især bølgeblik
jarnteinur	jerngitter,jarnteinar vóru fyri vindeyganum
