k	1(lingv.)konsonant2(lingv.)13. bogstav i det færøske alfabet (kaldes ),(talem.)ikki kenna s fyri kikke engang kende bogstaverne, være en sinke3fork. forkilo-(som i kilometur (km), kilogramm (kg))
K	1romertal for 2502den kemiske betegnelse for grundstoffet kalium
kabál	(kortspil)kabale
kabúss	(skib.)1kabys2komfur
kabússa	1kabys2komfur
kaðal	(elektr.)kabel
kaðalrás	(elektr.)kabeltrace
kaðalsjónvarp	kabel-tv
kaðalskip	(skib.)kabelskib
kaffi	kaffe,kaffið er ov heittkaffen er for varm
kaffibarr	kaffebar
kaffiborð	kaffebord
kaffibót	kaffetilsætning
kaffibøn	kaffebønne
kaffibøna	kaffebønne
kaffievni	(kem.)koffein
kaffifiltur	kaffefilter
kaffigrugg	kaffegrums
kaffihít	person der (næsten) er forfalden til at drikke kaffe
kaffihús	kafé
kaffikanna	kaffekande
kaffikelling	(neds.)kaffesøster
kaffiketil	kaffekedel
kaffikíkur	person der (næsten) er forfalden til at drikke kaffe
kaffikoppur	kaffekop
kaffikrúss	kaffekrus
kaffikvørn	kaffemølle
kaffiløta	kaffepause
kaffimaskina	kaffemaskine
kaffimuður	kaffetår
kaffimunnur	kaffetår,vilt tú hava ein kaffimunn?skal det være en kaffetår?
kaffimylla	kaffemølle
kaffimylna	kaffemølle
kaffiposi	kaffepose
kaffipunsur	kaffepunch
kaffismílur	kaffeduft
kaffisteðgur	kaffepause
kaffistova	kaffebar, cafeteria
kaffitystur	kaffetørstig
kaffivognur	cafeteria, kaffebar
kag	1udkig,standa á kagistå på udkig2udkigspost, udkigstårn
kaga	kigge,kaga uttan um segse sig omkring;kaga eftir e-mkigge efter nogen
kaggaber	(bot.)mosebølle
kaggafullur	døddrukken
kaggandi	døddrukken,hann er so kaggandi fullurhan er døddrukken
kaggi	(træ)dunk (spec. til vand på bådture), bimpel, anker,á afturferðini var vatnið í kagganum gingið undan
kaghol	kighul
kagingarhol	kighul
kagmaður	(mar.)udkig
