l	1(lingv.)konsonant2(lingv.)14. bogstav i det færøske alfabet (kaldes )3fork. forlitur 2
L	romersk taltegn for 50
labbarí	i ordforb.koma í labbarí av e-mkomme i knibe af noget
labbi	lab, pote
labrarí	i ordforb.koma í labrarí av e-mkomme i knibe af noget
lað	1noget opstablet, stabel,torvið stendur í lað(num)tørvene står i en stabel2brolagt plads foran husel.kirke,fólk kemur út á laðið uttan fyri kirkjunafolk kommer ud på pladsen foran kirken
laða	1opstable, opdynge,laða upp í dyr(nar)el.uppíopgive ævred;laða upp á borðiðsætte megen mad på bordet2opføre, opdynge,laða garð, veggo.lign.bygge væg af sten;laða varðarbygge varder;laða torvstakke tørv;laða niðurrive ned(fx stengærde)3lade, indskibe, fylde,laða bátinfylde båden;handilsskipið lá laðið at fara avstaðhandelsskibet lå fuldlastet klart til at sejle;væl er fiskað, tó ikki er laðiðfangsten er god, selv om båden ikke er fuld
laðberg	flad klippe hvor en båd kan lægge til,báturin kemur spakuliga inn at laðberginumbåden kommer langsomt ind til landingspladsen
laðin	(om båd)fuldlastet,bátur laðin av fólki, fiskio.lign.en båd fuldlastet med mennesker, fisk o.lign.
laðing	1bygning af en stenvægel.et stendige2(båd.)opstabling
laðingargrót	sten til bygning af gærder o.lign.,gott / ringt laðingargrót
laðingarjarn	kort jernstang til brug ved bygning af stengærder o.lign.
laðingarmaður	mand der arbejder med at bygge gærder o.lign. af sten
laðingarsteinur	(enkelt) sten til bygning af gærder o.lign.,góður / ringur laðingarsteinur
laðklettur	flad klippe hvor en båd kan lægge til
