m	1(lingv.)konsonant2(lingv.)15. bogstav i det færøske alfabet (kaldes )3fork. formetur4fork. formilli-(som i millimetur (mm))
M	romersk taltegn for 1000
m.a.	fork. formillum annaðel.millum aðrarblandt andetel.blandt andre
Madagaskar	Madagaskar
madagaskarbúgvi	madagasker
madagaskiskur	madagaskisk
madonna	madonna
madrassa	madras
maðkaboraður	ormstukken, ormædt,maðkaboraður viðurormædt træ
maðkabrot	(barn.)et bestemt strikkemønster,binda maðkabrot
maðkadrumbur	(fisk.)ganske lille (ung) ørredel.forel
maðkafluga	spyflue
maðkahøvd	fiskehoved med maddike
maðkapirra	(fisk.)ganske lille (ung) ørredel.forel
maðkareiður	hule med maddike(fx i kød)
maðkasíl	(fisk.)ganske lille (ung) ørredel.forel
maðkasmogin	gennemboret og opædt af maddiker,tjógvið er maðkasmogiðlårkødet er opædt af maddiker
maðkatíð	den tid på året hvor der er fare for maddiker
maðkatos	summen, summende lyd af maddiker
maðkaveður	fugtigt, lummert vejr(hvor der er fare for at der kommer maddiker i ophængt fisk og kød)
maðketin	ormædt
maðkur	(zoo.)1maddike,sum maðkur í grunningshøvdiel.høvdarúgvuel.tarabrúgvi overordentlig mængde, myldrende;(talem.)móður sum maðkurmeget træt, dødtræt2orm
maður	1mand;ungur maður;gamal maður;rættur maðurmand med fremragende egenskaber;tríggir manstre mand,lítið (einki) til manna(r)svag, skrøbelig;koma til mansblive voksen;ikki maður fyri (e-m)ikke i stand til (noget),maður var hann fyri báðumhan vandt over begge;Mikkjal var annar maðurin(var dygtigere end den anden);eg verði valla maður afturjeg genvinder næppe min førlighed;vera minni maður(in)være underlegen;hann er maður fyri seghan finder sig ikke i hvad som helst;(ironi)tú ert tann maðurin, ið er!du er en uduelig person2ægtemand;maður mínmin mand;vera maður og konavære ægtefæller3menneske,mann á mannimand for mand, den ene efter den anden, en efter en;fyrstur av (á) manniførst af alle;síðstur av (á) mannisidst af alle;mann undan mannigeneration for generation;ikki langt frá monnumtemmelig nært beslægtet;(ordsp.)eingin kennirel.sær mannin longri enn at tonnunumingen ved hvad der gemmer sig i en andens sind;(ordsp.)maður kemur í mans staðingen er uerstattelig;í manna (mans) minnii mands minde;millum mannamellem mennesker;tað er manna søgnman fortæller, det siges;(ordsp.)maður er mans gamandet er en fornøjelse at være i andres selskab;sum ein maðurenige;hann er okkara maðurhan er på vores side1(anvendt i flertal)tað veit menndet ved alle2(anvendt som pronomen)nogen, en eller anden,sum maðurin segðisom der blev sagt4(på skib)matros;hann fór sum maður við skipinum51generation, slægtled,hon er 11. maður frá Heina havreka2(om slægtskab)ikki vera langt frá monnumligne sin slægt, være nærtbeslægtet;tjúgundi maður úrel.í ættfjernt beslægtet6(skak)skakbrik(undtagen bønder),taka mann av (el.úr) borðileg med skakbrikker(alle brikkerne fjernes med en springer)7(børneleg)lakka mannhoppe paradis
mafia	mafia
magabeita	bugstrimmel af en fisk(benyttet som madding)
magabløðing	(med.)maveblødning
magabruni	(med.)mavekatar, gastritis
magadraga	trække indvoldene ud af(især sild)
magaflot	(biol.)mavesaft
magailska	maveonde
magakrymp	mavekneb,hon fekk magakrymp og mátti verða borin til songarhun fik mavekneb og måtte bæres i seng
magamál	i ordforb.ikki kunna sær magamálikke kunne holde måde med spisningen
magamunni	(biol.)åbningen mellem spiserør og mave
magaportur	(biol.)åbningen mellem mave og mavetarm
magasár	(med.)mavesår
magasjúka	(med.)maveonde
magasnertir	mavekneb
magasýra	(biol.)mavesyre
maggutur	(om personer og påklædning)smagløs, uordentlig,hon er altíð so magguthun er altid så smagløst påklædt;ein maggutur kjólien ufiks kjole
magi	mave,draga magan upp í kjaftinel.hálsintrække fisk så hurtigt op fra dybet, at maven vendes;(overf.)magin er uppi í kjafti(om en der er udmattet),stórur magistor mave, tyk vom
magn	1styrke, kraft,av magniaf al magt2højde, toppunkt af noget
magna	1styrke, sætte kraft i2have kraft,tú ert so sterk, tú magnar so nógvdu er så stærk, du har kræfter til så meget;sólin magnar einkisolen formår sig ikke meget3befordre, forvolde,slíkt man ófrið magnasådan noget forvolder ufred;magnandikraftfuld, stærk,í sínum magnandi veldii al sin vælde
magnari	(elektr.)forstærker
magnesium	(kem.)magnesium
magnet	(fys.)magnet
magnetiskur	(fys.)magnetisk,tann magnetiski norðpólurinden magnetiske nordpol
magnetisma	(fys.)magnetisme
magnetnál	(fys.)magnetnål, kompasnål
magnetur	(fys.)magnet
magnfullur	kraftig, stærk, slagkraftig, dynamisk,magnfull talaslagfærdig tale;magnfult ljóðkraftig lyd
magnkelda	(fys.)kraftkilde, energikilde
magnleysur	afmægtig, kraftesløs, kraftløs, magtesløs, svag,hendur okkara eru magnleysarvores hænder er kraftløse
magnloysi	udmattelse, magtesløshed, kraftesløshed
magnmikil	kraftfuld, stærk,magnmikil songurkraftig sang
magnstjala	1magtstjæle, marvstjæle, udmarve, udpine, udtære,vónloysi nívir og magnstjelur ungdóminhåbløshed knuger og magtstjæler ungdommen2fascinere, betage, bjergtage, henrykke,hon hevði magnstolið hansara hjartahun havde betaget hans hjerte
magnýl	(med.)magnyl
magnøki	(fys.)kraftfelt
mai	maj (måned)
maimánaður	majmåned
mairót	(bot.)turnips, majroe
mais	(bot.)majs(Zea mays)
maisarmjøl	maizenamel
maisflykra	maisflykrurcornflakes;súpa maisflykrur við mjólk og sukrispise cornflakes med mælk og sukker
maismjøl	maizenamel
majorur	(militær)major
mak	mag, ro,geitin gekk í mak og gnagaði uttan fyri garðingeden gik i ro og mag og gnavede uden for gærdet
