n	1(lingv.)konsonant2(lingv.)16. bogstav i det færøske alfabet (kaldes )
nabb	(ved fiskeri)kun lidt bid, begrænset fangst,eitt lítið nabb var á miðinumder var ikke megen fangst på fiskebanken
nabba	fange lidt nu og da,vit nabbaðu nakrar fiskarvi fangede lidt fisk nu og da
nabbi	(stedn.)klippefremspring(i en fjeldvæg)
naddamáttur	(tekn.)donkraft
naftalin	(kem.)naftalen el. naftalin
nagg	lidt smerter,eg havi sovorðið nagg í tonninijeg har lidt tandpine
nagga	gnide, gnubbe,nagga eygunignide øjnene;(overf.)nagga seg uppi á e-mgnubbe sig op ad en
naggatódn	uheldig (mislykket) valkning,naggatódn kom í1valkningen mislykkedes2(overf.)arbejdet gik i stå,naggatódn er komin í samráðingarnarforhandlingerne er kommet i et dødvande;fáa naggatódnina úr afturkomme ud af dødvandet
naglabonkur	(skib.)naglebænk
naglabust	neglebørste
naglafastur	nagelfast
naglahol	naglegab
naglahøvd	naglehoved
naglajarn	naglejern
naglaklippari	negleklipper
naglakuldi	neglebid(det at fryse om fingrene),hava naglakulda
naglalakk	neglelak
naglamerki	naglegab
naglareinsari	neglerenser
naglarót	neglerod
naglaskøta	(fisk.)sømrokke(Raja clavata)
naglasoppur	(med.)neglesvamp
naglavatn	vand som man ryster af våde (nyvaskede) fingre
nagli	1nagle, søm,(talem.)nú stendur á gomlum nøglumnu skal det briste eller bære, nu gælder det;vera (so trúgvur) sum naglin í trænumvære meget trofast2træsøm, trænagle
naglsband	(biol.)neglebånd(sinus unguis)
naglskongur	ydre fingerknogle
naglsrót	neglerod
naglur	1negl,hann gevur ikki tað svarta undan naglinumhan er meget nærig;hann etur seg ikki undan naglihan er temmelig nærig;vaska sær um neglinarvaske neglene2(bot.)negl
nailon	nylon
nailonsokkur	nylonstrømpe
nakar	1nogen, nogen som helst,er nakar inni?er der nogen hjemme?;kann nakar siga mær, hvat klokkan er?kan nogen sige mig, hvad klokken er?;er nøkur mjólk, nakað breyð?er der mælk, brød?;nakrir mennnogle mænd;nakrar konurnogle kvinder;tey sóu nakað, sum tey seint fóru at gloymade så noget, som de sent ville glemme;nakrir og tjúgu mansnogle og tyve mænd2nakaðen hel del(anvendt som adj.)nakað av fiski var at síggja;vit fingu nakað av fiskivi fangede en del fisk;breyð við nakað av smøri uppiábrød med lidt smør på;millum nakað og einkimeget lidt;tað kostar millum nakað og einkidet koster meget lidt3nakaðnoget;nakað nær landiret tæt ved land;nakað leingiret længe;eg gekk nakað undan honumjeg gik lidt foran ham;teir eru nakað javnirde er temmelig jævnbyrdige;hann er nakað so fittur!han er rigtig sød!4nakaðomtrent, cirka;hann er nakað sum eg til støddarhan er omtrent så stor som jeg;tað er nakað tað samadet er omtrent det samme;nakað soomtrent det
nakin	nøgen, bar, blottet,ein nakin kroppuren nøgen krop;eg dragi naknar húkarjeg fanger ingen fisk
nakinleiki	nøgenhed
nakinskapur	nøgenhed
nakka	1hæve en sten ved at lægge understøttelse under løftestangen2en over nakken, slag over nakken,eg skal nakka tegjeg skal give dig en over nakken
nakkaagn	madding af nakkekødet på fisk
nakkabein	(biol.)nakkeben(os occipitale)
nakkabrestur	nakkestød,fáa ein nakkabrestfå et nakkestød
nakkafattur	1knejsende, stolt,ganga so nakkafatturgå og knejse2trodsig,nakkafattur í talutrodsig i ord
nakkafiskur	nakkekød på fisk
nakkafjøður	1(ornitol.)nakkefjer2nakkafjaðrarnakkehår,lat meg fáa í nakkafjaðrarnar á tærlad mig få fat i nakken på dig
nakkahár	nakkehår,nakkahárini eru farin at gránanakkehårene er blevet grå
nakkakast	nakkekast, kast med nakken,eitt firtið nakkakastet fornærmet kast med nakken
nakkakrappur	(om mennesker og dyr)knejsende, med tilbagebøjet hoved
nakkakulla	(biol.)nakkegrube
nakkalangur	flov, skamfuld, slukøret, med uforrettet sag,hann fór so nakkalangur heim afturhan vendte skamfuld hjem igen
nakkalegd	(med.)nakkefold
nakkalegdarskanning	(med.)nakkefoldsskanning
nakkaskinn	nakkeskind
nakkaskot	nakkeskud
nakkaslag	en over nakken, slag over nakken,fáa nakkaslagfå en over nakken
nakkaspik	(især på får)nakkespæk
nakkastuðul	nakkestøtte
nakkhyrntur	1(om vædderlam)med hornene voksende tæt ind til hovedet2stolt, knejsende, hovmodig, med næsen i vejret / sky,hon gongur so nakkhyrnthun er så knejsende;jf.nærhyrntur
nakki	1nakke,klóra sær í nakkanumklø sig i nakken;detta aftur eftir nakkafalde bagover;fara eftir nakkanumfalde baglæns;kasta upp á nakkaslå med nakken;traðka upp í nakka(om fodtøj)træde aldeles op, slide ganske op;skógvarnir vóru traðkaðir upp í nakkaskoene var slidt op2understøttelsespunkt for en løftestang,legg ein nakka undir jarnbrotið3bane på hammer4den øverste ende(flade) af stenbor5(båd.)den øverste del af en åretold6rundingen på fangekrog,kleppurin hevði nakka7(spøg.)hava nakkahave en fjer på, være let beruset
nakkur	(stedn.)højt forbjerg med skarp kant
nakni	nøgenhed
nakrantíð	nogensinde el. nogen sinde,hevur tú nakrantíð verið har?har du nogensinde været dér?
nakrastaðni	nogetsteds,hevur tú verið nakrastaðni?har du været ude / hjemmefra?;tað er ikki nakrastaðni at finnadet er ikke at finde nogetsteds
nakrastaðnis	(talesp.)nogetsteds
nalvabind	navlebind
nalvagras	(bot.)slægt i syrefamilien(Koenigia),íslendskt nalvagrasdværgsyre(K. islandica)
nalvalop	(med.)navlebrok,nalvalop hjá pinkubørnumnavlebrok hos spædbørn
nalvaskoðan	navlebeskuelse, selvoptagethed
nalvaskoðari	navlebeskuer, narcissist
nalvasoppur	(bot.)navlehat(Omphalina),legghærdur nalvasoppur(O. velutipes)
nalvastrongur	(biol.)navlesnor, navlestreng
nalvi	(biol.)navle
nalvungi	1(ornitol.)fugleunge der er brudt gennem skallen uden at blommesækken er helt tom(og som derfor ikke er levedygtig)2svageligt (spæd)barn,hatta er tann nalvungin, ið erhan / hun er en rigtig svækling3(neds.)grønskolling, grønært, purk,slepp tær burtur tín nalvungi!pil af, grønært!
nam	senema
Namibia	Namibia
namibiari	namibier
namibiskur	namibisk
namm	(barn.)namnam,namm, tað smakkar væl!namnam, det smager godt!
namma	(barn.)spise
nana	sidde (og rokke) et barn(på skødet),mamman sat og nanaði barninummoderen sad og rokkede barnet
naning	det at sidde (og rokke) et barn(på skødet)
napoleonshattur	napoleonshat
nappa	plukke,nappa ullplukke uld
napping	handlingen at plukke uld
nardus	(bot.)narde(Nardostachys jatamansi)
narr	1spot, hån,gera narr (at e-m)gøre nar af (nogen)2nar, gæk, dåre,títt narrdin nar
narra1	1gøre det forbi,narra einel.einagøre det forbi (med en), ophæve forlovelsen2narre, bedrage, bondefange,(ordsp.)gamal ravnur er ikki góður at narra3narrastspøge, drive spøg, gækkes;tú narrastdet kan du ikke mene
narra2	1gnide,narra eygunignide sig i øjnene;narra hendurnargnide sig i hænderne2valke en smule,narra hosurnarvalke strømperne en smule
narrarí	spøg, skæmt,tað var ikki annað enn narrarídet var kun spøg;í narrarífor sjov;hetta er ikki narrarídette er ikke spøg
narribræv	brev hvormed man gør en forlovelse forbi
nart	senerta
nartl	1gran, smule,nartl av royðugrótien smule rødlig tuf2hudafskrabning,hvørjum nartli undir ilini máttu vit geva gætur3småttærende person4(bot.)arve(Anagallis);jf.neyðarnartl
nartla	1nippe til noget,kongafiskarnir nartlaðu agnið burturavrødfiskene tog småbidder af maddingen2pille ved, berøre svagt
nasa	dø,eg sá, tá ið ærin nasaðijeg så, da hunfåret døde
nasabein	(biol.)næseben(os nasale)
nasablóð	næseblod,bløða nasablóðhave næseblod
nasadirvi	frækhed
nasadjarvur	fræk,(ordsp.)neyð ger nasadjarvannød lærer nøgen kvinde at spinde
nasadropi	næsedryp
nasaflot	(med.)løbenæse, næseflåd
nasagluggi	næsebor
nasahár	næsehår
nasahjól	(flyvning)næsehjul
nasahola	(biol.)næsehule(cavitas nasi)
nasaklemmari	lorgnet
nasaklútur	lommetørklæde
nasalangur	flov, skamfuld, slukøret, med uforrettet sag,hann fór so nasalangur heim afturhan vendte skamfuld hjem igen
nasaljóð	(lingv.)nasal, næselyd,"m" og "n" eru nasaljóð"m" og "n" er nasaler
nasaljótur	med grim næse
nasaloft	(biol.)det øverste i næsehulen
nasanabbi	næsetip
nasanebbi	næsetip
nasar	senøs
nasareari	(bibl.)nazaræer
nasareingur	(bibl.)nazaræer
nasaringur	næsering,hava nasaringgå med næsering
nasarót	næserod
nasaryggur	næseryg
nasasnippur	næsetip
nasaspískur	spidsnæset
nasastórur	stornæset
nasasøtur	som dufter sødt el. godt,nasasøtur roykursød duft
nasavegin	(med.)nasal
nashyrningur	(zoo.)næsehorn(Rhinocerotidae)
nasi	klippefremspring(i en fjeldvæg),á einum nasa í fjallinum situr ein fuglurpå et klippefremspring i en fjeldvæg sidder der en fugl;jf.nøs (2)
nasisma	(pol.)nazisme
nasistiskur	nazistisk
nasistur	nazist
naskast	være nærgående,naskast uppi áel.uppi í e-mel.upp á e-ngnide sig op ad en
naskliga	næsvist, påtrængende
naskur	næsvis, nærgående, påtrængende,(talem.)naskur sum nykurvære nærgående;naskir spurningarnærgående spørgsmål;naskt at spyrja...undskyld jeg spørger...
nasmæltur	snøvlende
naspa	stjæle, rapse, hugge
-nasutur	reyst-
nasvísur	1flov, skamfuld,eg var so nasvísurjeg var så flov2næsvis,ein framligur og nasvísur dronguren ugenert og næsvis dreng
natigur	nærig, påholdende,hann var natigurhan var nærig
natin	nærig, påholdende
natinskapur	nærighed
natni	nærighed
NATO,Nato	NATO, Atlantpagten
natrium	(kem.)natrium
natron	(kem.)natron
