o1	1(lingv.)vokal2(lingv.)17. bogstav i det færøske alfabet (kaldes )
o2	åh
o.a.	fork. forog annað
o.a.m.	fork. forog annað mangtel.meira
obeliskur	obelisk
oberstur	(militær)oberst
oblát	(kirk.)oblat, nadverbrød
odda	pege, sigte,odda knível.við knívipege med kniv;sit ikki og odda ímóti beiggja tínumsid ikke og peg imod din bror
oddablað	(bogb.)forsatsblad, smudsblad
oddadystur	(idr.)topkamp
oddafiskur	1den forreste hval i en flok grindehvaler2den forreste fisk i en stime,tá ið sildin er á gongd, síggjast oddafiskarnir leypa leysir úr sjónum3(overf.)leder, anfører, foregangsmand
oddafólk	fører, leder
oddafundur	(pol.)topmøde
oddagrein	leder, spidsartikel(i avis)
oddaleysur	(om kniv)uden spidsel.od
oddalið	(idr.)tophold,oddaliðini í 1. deild hittast sunnudagintopholdene i 1. division mødes på søndag
oddamaður	1leder, anfører,tey ungu fylktust um oddamann felagsinsde unge sluttede op om foreningens leder2(ved fåredrivning)en af de to forreste mænd i rækken
oddanevni	(lingv.)akronym, initialord(et ord som er dannet af forbogstaverne i et udtryk der består af flere ord fx NATO)
oddaskapur	styrelse, ledelse, administration
oddastarv	lederstilling, topstilling
oddbogastílur	(arkitektur)spidsbuestil, gotisk stil
oddbogi	(arkitektur)spidsbue
oddi	1den forreste del af flok (får, hvaler) der drives,vera á oddanumunder drivning af får opholde sig ved den forreste del af flokken;(overf.)være i spidsen (for noget);(om får)taka odda í segløbeel.gå foran de andre, der (så) følger;(overf.)standa á oddastå i spidsen;liggja á oddaføre, være forrest2næs, pynt
oddklombur	spids parentes, < >,í oddklombrum;jf.bugklombur,hornklombur,klovaklombur
oddur1	spids, od;oddurin á lítlafingrispidsen på lillefinger;út í odd og eggtil det yderste, til fingerspidserne;draga saman oddar(om skyer fra modsat retning)drive imod hinanden
oddur2	ørredfiskeredskab bestående af et stykke træ med liner og kroge
offiserur	(militær)officer
offur	offer,bera Gudi offurbære offer til Gud
offurdjór	offerdyr
offurdýr	offerdyr
offurfólk	brudefølge,offurfólkini skipa seg í pørbrudefølget ordner sig parvis
offurfúsur	hjælpsom, behjælpsom, imødekommende
offurgáva	offergave
offurgerð	ofring
offurlamb	offerlam
offurpengar	(kirk.)offerpenge
offursfólk	brudefølge
offurvilji	offervilje
o.fl.	fork. forog fleiri
ofra	ofre,ofra bæði tíð og peningofre både tid og penge;ofra seg fyri e-tofre sig for noget;ofra til gudarnarofre til guderne
ofring	ofring,meðan ofringin var fyrimens ofringen stod på
ofsin	ubetænksom og åbenmundet
ofta	ofte, tit,ofta og tíðumtit og ofte;ofta og stundtit og ofte;tað er ikki oftari enn sodet er ikke hver dag;fyri tað oftastafor det meste
oftani	ofte, tit
og	og,himmal og jørðhimmel og jord;svartur og hvítursort og hvid;aftur og framfrem og tilbage;av og ánu og da, undertiden, iblandt;væl og virðiligagodt og grundigt;so við og viðefterhånden;við bit og slitmed nød og næppe, med stort besvær, knap og nap;líkt og ólíktløst og fast;bæði ogbåde og;eins ogligesom, som
ogn	1ejendom, besiddelse,føst ognfast ejendom;fáa e-t til ognarfå noget som ejendom;føra til ognarbogføre som indtægt;tað er ikki hvørs mans ogndet er ikke hvermandseje;tað er ogn í tídet er værd at eje, det er værdifuldt;tykja(st) ogn í e-mvære lykkeligel.stolt ved at besidde noget,móður tykir ogn í unga sínummoderen føler sig stolt over at besidde en sådan søn2jordejendom, ejendom i odelsjord3ognir(økon.)aktiver(fx i regnskab)
ogna	tilegne, tilkende, tildele,ogna særel.ognast (e-t)tilegne sig, sætte sig (el.komme) i besiddelse af,summum ognaðist eitt lambnogle fik tildelt et lam;ogna e-m e-ttilegne en noget,bókin er ognað honumbogen er tilegnet ham
ognan	tilegnelse, dedikation
ognarbræv	(jur.)skøde
ognarbygd	bygd hvor jorden er mest i privat eje,mods.kongsbygd
ognarfornavn	(lingv.)ejestedord, possessivt pronomen,mín, tín og sín eru ognarfornøvnmin, din og sin er possessive pronomener
ognargenta	ung pige med jordejendom,trúlovaður við einari ognargentu
ognarhagi	udmark tilhørende odelsjord
ognarhús	hus i besiddelse af odelsjord,størsta ognarhúsið í bygdini
ognari	1ejer,hann var ognari til tríggjar merkur í óðalsjørð2kreditor,mods.skuldari
ognaríbúð	ejerlejlighed
ognarjørð	odelsjord,mods.kongs(jørð)
ognarleysur	ejendomsløs, ludfattig
ognarloysi	ejendomsløshed
ognarloysingur	ejendomsløs person, proletar
