p	1(lingv.)konsonant2(lingv.)19. bogstav i det færøske alfabet (kaldes )
P	romersk taltegn for 400
pa	(barn.)skarn, snavs,gera palave bæ
padda	(zoo.)padde(Amphibia)
pað	bindevævshinde omkring musklerne(fascia)
Pakistan	Pakistan
pakistanari	pakistaner
pakistani	pakistaner
pakistanskur	pakistansk
pakk	(neds.)pak, rakkerpak
pakka	1pakke,pakka innindpakke,pakka gávu innpakke en gave ind;pakka niðurpakke ned;pakka samanpakke sammen,pakka upppakke op, pakke ud2pakka seg burturpakke sig, se at komme bort;pakka teg burtur!skrub af!3(datal.)komprimere, pakke,pakka teldutøkan tekstkomprimere en maskinlæsbar tekst
pakkaferð	færdigpakket rejse
pakkamjólk	mælk i kartoner
pakkapostur	(post.)pakkepost
pakkari	pakker
pakkhús	pakhus
pakki	pakke
pakking	pakning, indpakning
pakningur	pakning(fx i vandhane)
pakt	pagt
Palau	Palau
palaubúgvi	palauer
palauskur	palausk
palestini	palæstinenser
palestinskur	palæstinensisk
pallborð	panel,við pallborðiði panelet
pallborðsfundur	panelmøde
pallborðsorðaskifti	paneldiskussion
pallmynd	scenografi
pallseta	iscenesætte
pallseting	iscenesættelse
pallsmiður	scenograf
pallsmíð	scenografi
pallur	1bænk, sæde2(mindre) afsats el. hylde i en klippevæg3scene,standa á pallispille med i et skuespil4boreplatform
palmin	palmin
Panama	Panama
panamabúgvi	panamaner
panamaskur	panamansk
panda	(zoo.)panda(Ailuropoda melanoleuca)
panna1	pande, stegepande
panna2	pande(på mennesker og dyr)
pannubreyð	brød bagt på stegepande
pannuhola	(biol.)pandehule
pannuhvítur	(om dyr)med hvid blis i panden
pannukaka	pandekage
pannukøka	pandekage
pannukøkudeiggj	pandekagedej
pannukøkuhús	pandekagehus
pannumatur	mad tilberedt på pande
pansari	1(militær)panser, brynje, rustning2(militær)panser, pansring
pant	(jur.)pant,seta húsini í pantstille huset som pant;taka pant í húsinumtage pant i huset
panta	1(økon.)pantsætte2(økon.)pante, udpante,panta e-n fyri skattpante nogen for skat3(om heste)skide
pantari	(zoo.)panter(Panthera pardus)
pantifúti	(økon.)pantefoged
panting	udpantning
pantseta	(økon.)pantsætte
pantseting	pantsættelse
papp	pap
pappageykavakshattur	(bot.)papegøjevokshat(Hygrocybe psittacina)
pappageykur	(ornitol.)papegøje
pappeskja	papæske
pappír	1papir2dokument(er)
pappírsarbeiði	papirarbejde
pappírsbátur	papirbåd
pappírsblað	papirark
pappírsdukka	udklipsdukke
pappírsfiskur	(spøg.)papirfisk
pappírsfjas	papirnusseri
pappírsflagg	papirflag
pappírshandil	papirhandel
pappírskendur	papirsagtig
pappírsklemma	clips
pappírsklipp	udklip
pappírsknívur	papirkniv
pappírskurv	papirkurv
pappírslepi	papirlap
pappírsleypur	papirkurv
pappírsligur	1(om mennesker)tynd, svag, skrøbelig2(om genstande)skrøbelig, skør
pappírspeningur	papirpenge, seddelpenge
pappírspetti	papirlap
pappírsposi	papirpose
pappírsryggja	(bogb.)paperback;jf.fikkubók
pappírstunnur	papirtynd
paprika	paprika
papuabúgvi	papuaner
Papua Nýguinea	Papua Ny Guinea
papuiskur	papuansk
par	par,par um parparvis
para	parre, ordne parvis;para seg1opstille sig parvis,tey paraðu seg samande opstillede sig parvis2(om dyr)parre sig
parabil	(mat.)parabel
paradis	paradis
paradís	paradis, himmel,lakka paradíshoppe paradis
Paraguai	Paraguay
paraguaibúgvi	paraguayaner
