r	1(lingv.)konsonant2(lingv.)20. bogstav i det færøske alfabet (kaldes )
R	romersk taltegn for 80
rabarba	(bot.)rabarber
rabarbugarður	rabarberhave
rabarbugreytur	rabarbergrød
rabarbusuppa	rabarbersuppe
rabarbusúltutoy	rabarbersyltetøj
rabarbuvín	rabarbervin
rabbini	(rel.)rabbiner
radar	radar
radari	(fys.)radar
radarstøð	radarstation
raddaður	(lingv.)stemmet
raddloysi	(lingv.)ustemthed
radiatorur	radiator
radio	1(fys.)radio, radiofoni2radiosender,Tórshavnar radio3(talesp.)radiomodtager, radioapparat,tendra / sløkkja radiotænde for radioen / slukke for radioen
radisa	(bot.)radise(Raphanus sativus)
radium	(kem.)radium
radius	(mat.)radius
rað	1rad, række,fólk stóðu í longum røðumfolk stod i lange rader;trý ár á raðtre år på rad2benrad
raða1	i ordforb. somsigla beina raðusejle med vinden lige agterind
raða2	1rage op,standa og raðarage op el. i vejret;bert mastrarnar og skorsteinurin raðaðu undan;hømiliurnar frá í fjør standa og raða upp millum steinarnar2sætte i rad og række, ordne,ørindini eru raðað og skipað eftir frásøgn3i ordforb. somraða umdreje sig om;tá ið tað raðar um taðda det handler om det;tað raðaði ikki um stavn millum bátarnar(ved kaproning)bådene kom ind på linje(samtidig),raða avsætte alle sejl til,teir raðaðu hana av
raðan	1rækkefølge, orden2sigla beina raðansejle med vinden agterind, lænse
raðbinda	(fys.)serieforbinde
raðfesta	prioritere,raðfesta arbeiðiprioritere arbejde;raðfesta íløgurprioritere investeringer
raðfesting	prioritering
raðfylgi	rækkefølge,í raðfylgii rækkefølge
raðfylgja	rækkefølge,í raðfylgjui rækkefølge
raðhald	rækværk
raðhalt	i ordforb.saga raðhaltsave efter stregen men ude af vinkel
raðhús	rækkehus
raðið	flydende, uden standsning,lesa raðiðlæse flydende;tala fremmandamál raðiðtale fremmedsprog flydende;kunnael.duga e-t raðiðkunne noget flydende;tað lá raðið fyri hjá honumdet lå godt for ham
raðsáa	(landbr.)radså
raðsending	serietransmission
raðseta	ordne, arrangere
raðskipan	orden
raðtal	ordenstal, ordinaltal,raðtøl eru fyrsti, annar, triðiosv.ordenstal er første, anden, tredje osv.
rafsast	komme sig, komme til kræfter,hann hoyrdist rafsast og skava inni í koyggjuni
raft	rafte
ragg	nogen uro i søen,fitt ragg í sjónum, tó at tað er toluliga kyrt inni á gjónni
ragga1	gå langsomt,ragga sær aftur at húsumgå langsomt hjemad
ragga2	1(fx om kniv)sløve, gøre sløv,knívurin er raggaðurkniven er sløv;illa raggaðursærdeles sløv2gøre skrå indsnit (virkende som modhager) i bolt, nagle el. lign.,ragga seym
raggutur	(om søen)temmelig urolig,raggutur sjógvurtemmelig urolig sø;raggut í sjónum
ragna	bande, sværge,blóta og ragnabande og sværge
ragnarøk	1(mytol.)ragnarok2(overf.)ragnarok,ótálmað vápnadubbing elvir til ragnarøkuhindret våbenkapløb forvolder ragnarok
rak1	lysetande,kolan brann við tveimum rakum í
rak2	magerhed,koma upp í rakblive skindmager;bláur í rakiradmager;tað bláa rakyderste grad af afmagring;fáa rakserossa-;eitt ross fekk rak um várið;doyggja í raki;gløða í rakivære radmager
rak3	mager
rak4	sereka
raka1	ramme, træffe,raka e-nel.e-tramme nogen el. noget;blakið rakti hann á hálsin;hann rakti í hvørjum kasti;raka beinttræffe målet, træffe rigtigt;raka átræffe det rigtige sted;raka við (e-t)1træffe el. støde på2få øje på, opdage
raka2	1rage, skrabe sammen(med fingre, rive etc.),rakael.raka hoyggjrive hø;raka saman (hoyggj)rive hø sammen(til stakning)2rage, rode,raka í øskuni3barbere, rage af(skæg, hår),raka særtage skægget af;raka skinnrage hårene af et skind;raka húðarskøði;skógvar av rakaðum roð;jf.rakaroð4(overf.)skrabe sammen, rage til sig,raka inn undir segrage til sig
rakan	omgang, overhaling,tað verður ein rakan, tú fært, tá ið pápi tín kemur afturdin far giver dig en ordentlig overhaling, når han kommer igen
rakarastova	barbersalon
rakari	barber;jf.bartskeri
rakaroð	fåreskind hvoraf ulden er blevet raget af,mods.roturoð
rakaroðskógvur	sko af fåreskind hvoraf ulden er blevet raget af
rakaskógvur	sko af fåreskind hvoraf ulden er blevet raget af
rakár	magert år,(ordsp.)ravnur er feitastur rakár
rakbeist	(vulg.)fattig og uduelig person
rakbendil	1meget mager person2fattig og uduelig person
rakbóndi	fattig bonde,ikki hevur tað verið rakbóndi, ið her hevur búð;ein slíkur rakbóndi átti ikki annað enn vrakvørur í sínum goymslum
rakbýlingur	slumkvarter
rakdeyði	(om får)sultedød,einki er eftir av gróðri, og rakdeyði spyrst tí víða hvar
rakdirðil	(neds.)meget mager person
rakdoyggja	dø af sult
rakdropanøs	dryppende næse
rakdropi	næsedryp
rakdýr	1magert dyr2meget mager person,fara ikki til sovorðin rakdýr at fáa sær nakað
rakdæmi	ansigtsfarve pga. magerhed
rakett	raket
rakfuglur	mager fugl,rakfuglur er loftskotin
rakføddur	underernæret(spec. om køer),leiddi við sær eitt lítið rakføtt tarvaskapilsi
rakhagi	dårlig græsgang(lidt græs, få får)
rakhola	fattig hytte
rakhosa	1vraget (kasseret) strømpe2(overf.)kasseret, rejekt person(især kvinde),so tað er ætlanin, at Tobia skal koma heim aftur higar sum ein rakhosa
rakhundur	(spøg.)mager person
rakhøna	mager høne,ein fjaðursár rakhøna
rakiblað	barberblad
rakigreiður	barbergrej;jf.greiða 1(2)
rakiknívur	ragekniv, barberkniv;(overf.)hava munn sum ein rakiknívurhave en tunge så skarp som en ragekniv;hann hevði munn sum ein rakiknívur og var ikki at teppa
rakikustur	barberkost
rakimaskina	barbermaskine
-rakin	sebein-,skeiv-
raking	barbering
rakingarblað	barberblad
rakingarkustur	barberkost
rakingarmaskina	barbermaskine
rakingartól	barbergrej
rakisápa	barbersæbe
rakiskúm	barberskum
rakispegil	barberspejl
rakispritt	barbersprit
rakistova	barbersalon
rakitól	barbergrej
rakivatn	barbervand
rakjørð	ufrugtbar jord
rakk	serøkka
rakkahorn	(båd.)bøjle af horn hvormed råen holdes ind til masten;jf.rakki 1
rakkali	hansælens avlelem
rakkendur	noget spinkel el. tynd af legemsbygning
rakki1	(båd.)rakke(på fartøj)
rakki2	(zoo.)(ung) hund
rakkroppur	menneskeel.dyr som er mager
rakkúgv	mager ko
rakleittur	med markerede ansigtstræk
raklendi	mager jord
rakligur	temmelig mager,seyðurin er heldur rakligurfårene er temmelig magre
rakløn	dårlig løn
rakmurtur	(hån.)mager småtorsk,(roynt) eftir upsum og lúsa rakmurtum
rakna	1gå løs, opløses, trævles op(spec. om strikket tøj),raknael.rakna uppopløses;jf.rekja2rakna viðkomme til besindelse igen, komme til sig selv(efter besvimelse),tá ið hann raknaði við aftur, var maðurin horvinda han kom til sig selv igen, var manden forsvundet;hann er raknaður eitt sindurhan har det bedre3rettes op,húkurin raknaði upp
rakneyt	magert kreatur
rakpláss	fattig plads, fattigt sted,hasin hagin er rakpláss hjá seyði
rakreyv	(hån.)ludfattig person,hatta er ein rakreyvdet er en ludfattig person
rakross	mager hest
rakrot	(om kreaturer)det at ulden bliver løsel.falder af(fx pga. magerhed, sygdomo.lign.),ærin hevur fingið rakrot
rakrota	tabe ulden(pga. magerhed, sygdomo.lign.),seyðurin rakrotar
rakrotna	i ordforb. somtað rakrotnar burtur av seyðinumfårene taber ulden(pga. magerhedo.lign.)
rakrukka	rynke(i et magert ansigt),rakrukkurnar rylkjast saman, og andlitið stendur í einari skriðu
rakseyður	magert får,ravnur nemur ikki rakseyð
rakskarvur	meget mager person
rakskrokkur	meget mager person
rakslánur	1(fisk.)(meget) mager (stor) torsk,upsin er vorðin ein rættur rakslánur2(overf.)opløben person
raksmakkur	smag karakteristisk for unormalt magert kød,raksmakkur gongur at kjøtinum
rakstraravlop	(økon.)driftsoverskud
rakstrarár	(økon.)driftsår
rakstrarbátur	en af de både som driver en flok grindehvaler
rakstrarboð	besked om deltagelse i drivning af får(til folden),hann hevði verið við rakstrarboðum
rakstrarbúskapur	(økon.)driftsøkonomi
rakstrardagur	dag på hvilken fåredrivning finder sted,ringur rakstrardagur
rakstrarfígging	(økon.)driftsfinansiering
rakstrargøgn	driftsmateriel
rakstrarhall	(økon.)underbalance
rakstrarhoyggj	hø der bliver liggende så længe på marken udsat for regn og tåge at det mister størstedelen af sin næringsværdi,í óterraárum verður nógv rakstrarhoyggj
rakstrarhundur	hund til at drive fåreflokke med,fyrr høvdu teir her um leiðir bæði rakstrarhundar, tøkuhundar og aktingarhundar;jf.tøkuhundur
rakstrarkostnaður	(økon.)driftsomkostning
rakstrarlag	måde at drive (fx grindehvaler) på,ringt rakstrarlag
rakstrarlán	driftslån
rakstrarlíkindi(r)	omstændigheder til drivning(af hvaler el. får),ring rakstrarlíkindi(r);góð rakstrarlíkindi(r)
rakstrarlýsi	tilstrækkeligt lys el. sigtbarhed til fåredrivning
rakstrarmaður	1mand som deltager i drivningen af en flok får fra bjergene til fårefolden,ikki so sjáldan áttu rakstrarmenninir ein lut2mand som deltager i jagt på el. drivning af en flok grindehvaler
rakstrarmáttur	(fys.)dynamik
rakstrarmiðstøð	operationscenter
rakstrarpeningur	(økon.)driftskapital,tørvur er á rakstrarpeningider er mangel på driftskapital
rakstrarroknskapur	(økon.)driftsregnskab;jf.fíggjarstøða
rakstrarróp	1propaganda2tilråbfxpå protestmødeel.demonstration,rópa rakstrarróp
rakstrarstað	(økon.)driftssted
rakstrarstjóri	(økon.)driftsleder
rakstrartíð	1den tid fåredrivningen finder sted2(økon.)driftstid
rakstrarundirskot	(økon.)driftsunderskud
rakstrarútreiðsla	(økon.)driftsomkostning, driftsudgift,rakstrarútreiðslurnar eru stórardriftsudgifterne er høje
rakstrarveður	vejr til fåredrivning,vána rakstrarveðurdårligt vejr til fåredrivning
rakstur	1drift, drivning(spec. sammendrift, drivning af får el. grindehvaler),ikki fáa rakstur á seyðel.grindikke kunne drive får el. grindehvaler(de første ind i folden, de sidste ind i bugten),vera á rakstridrive får i fold;nú kom betri rakstur á grindinanu kunne de bedre drive hvalflokken, nu begyndte hvalflokken at gå villigere2vejstrækning ad hvilken man driver fx en flok grindehvaler3det stykke vej man lader båden drive for strømmen fra fiskepladsen indtil man sejler igen til denne,leggja ein rakstur4(flok) får som drives på én gang fra bjergene til fårefolden,slapp veðurlamb úr rakstrinum, mátti tað verða hundtikið5(økon.)drift,raksturin sýnir halldriften viser underskud
rakti	serekja,raka
raktíð	mager tid, magre år,tað var mongum hollur stuðul í raktíðini
rala	ralle,tað var, so tað ralaði í honum
raman	kraftigt,hann tók so raman tilhan brugte store ord
ramaróp	ramaskrig
ramaskríggj	ramaskrig
ramdanskur	ærkedansk, pæredansk
ramføroyskur	ægte færøsk, rent færøsk,yrkingin er bæði í anda og í máli ramføroyskdigtet er rent færøsk
rami	1ram lugt2afsmag
ramjútskur	ravjysk
ramligur	kraftig, stærk, solid, robust,ein ramligur óvitiet kraftigt barn;hann gav honum eitt ramligt slaghan gav ham et voldsomt slag;-ligastærkt, hårdt,høgga ramliga til;taka ramliga til (orðanna)bruge store ord
ramma1	ramme,eg havi latið myndina seta í vakra rammujeg har fået billedet smukt rammet ind;(overf.)framsýningin hevur víðar rammur og er fyri fólk úr fleiri londum;felagið hevur fingið glæsiligar rammur at virka íder er sat rummelige rammer for foreningens virkefelt;jf.karmur
ramma2	ramme,hann rammaði nevan í grótveggin
rammi	ramme
rams	i ordforb.drekka íel.við ramsidrikke i en slurk
ramsa1	remse,læra síðu eftir síðu upp á ramsulære udenad;hon dugdi alla ramsuna
ramsa2	remse,her galt mest um at læra uttanat og ramsa
ramsaltur	meget salt, salt som havvand,hann fekk sjórokið so ramsalt oman yvir seg
ramsi	i ordforb.(drekka) við ramsa(drikke) i en slurk
ramur	1ram, stærk, kraftig, dygtig,hann var ramur í øllum verki og av ítastu dugnamonnum;hann er ramur til althan har let ved alting;tíkin er ramast í tonnunumtæven er flinkest i tænderne;ramar rúnirramme runer, kraftige (kraftigt virkende) runer;ramur á málinumgrov i mælet, grovmælet;í ramasta álvarai ramme alvor;ramur í ganditroldkyndig,hon var rom í gandihun var trolddomskyndig;ramur illgerningurram (kraftig) trolddom;har var ramt1der boede der huldrefolk2der spøgte det2(meget) udpræget, meget slem, durkdreven,ramur tjóvurfuldendt, durkdreven tyv;tað rama hungurden rene og skære hungersnød;tað rama tvætldet rene sludder3ram, skarp, stram, bitter,ramur roykurstram lugt;ramur smakkurbitter smag
randa	rande, omkranse,(poet.)tá randa rósur roðandi vín
randar	serond
randarformur	randform
randarhús	randbebyggelse
randblóma	(bot.)randblomst
randformur	randform,stoyt deiggið í smurdan randform
randhvítur	(poet.)hvidbræmmet(af brænding),á vetri so randhvítt
randhærdur	(bot.)randhåret, ciliat
randreyður	rødrandet,randreyð eygurødrandede øjne
randseyma	randsy
randseymur	randsyning
ranga	vrange, vrangside,troyggjan er á rangunitrøjen vender vrangen ud,mods.rætta 1
rangaborð	(båd.)bagbord
rangaeystur	(båd.)bagbords øserum,mods.rættaeystur
rangarendi	(båd.)enden (endestykket) af rong,(poet.)reisast brot um rangarenda
rangarhol	(båd.)den trekantede åbning mellem rong og stævn
rangarúm	(båd.)bagbords øserum,ein róði í rangarúmi og ein í rættarúmi;jf.rættarúm
rangasnúður	(ved tvinding) forkert (modsat) snoning
rangastrúpi	(med.)vrangstrube,fáa e-t í rangastrúpan1få noget galt i halsen(i den gale hals),hann hostaði, eins og hann hevði fingið okkurt í rangastrúpanhan hostede som om han havde fået noget galt i halsen2også(overf.)misforstå noget
rangatoft	(båd.)pladsen i bagbordsside på toftubekkur
rangblak	voldsom kastevind(der kommer fra en anden side end vindretningen),frek rangbløk túta og ýla uppi yvir bygdini;jf.rangur (6)
rangeyga	1(i strikning)vrangmaske2(neds.)en som er skeløjet
rangeygutur	vindøjet
ranggerð	misgerning,revsa hann fyri ranggerðir hansarastraffe ham for hans misgerninger
ranghentur	venstrehåndet,hann var ranghenturhan var venstrehåndet;jf.lámur
ranghugsan	(psyk.)vrangforestilling
rangla	rangle
ranglaðin	(båd.)forkert lastet (for tung foran) så at vandet i kølbunden ikke løber til øserummet
rangleiki	urigtighed
rangliga	urigtigt, fejlagtigt,seta spurning rangliga framstille et spørgsmål fejlagtigt;tit ganga her frá øllum tí, tit hava rangliga fingið
ranglisin	forkert læst,ranglisin orðformurforkert læst ordform
ranglýsing	forvrængning, forvanskning,ranglýsingar og beinleiðis ósannindi rapla úr teimum
ranglæra	vranglære
ranglæti	(bibl.)uretfærdighed,við ranglætimed urette
rangmintur	som husker forkert
rangmynd	1negativ2(overf.)vrængbillede,frágreiðingin sýndi rangmynd av tí, sum veruliga fór frambeskrivelsen gav et vrængbillede af hvad der virkelig var sket
rangnýttur	brugt forkert
rangoygdur	vindøjet, skeløjet,vera rangoygdurvære vindøjet
rangsettur	(båd.)(om båd)hvis bundvand ikke samler sig i øserummet
rangsinnaður	1(bibl.)ulydig, falsk,rangsinnaðir eru Harranum ein andstygd2vred, gal, rasende,konan mundi fara at verða rangsinnað, um eg ikki hevði fingið so frægt sum til knettafisk
rangsnúður	(ved tvinding)forkert (modsat) snoning
rangsnúgva	fordreje,rangsnúgva sannleikanfordreje sandheden
rangsnúgvin	fordrejet, forvrænget
rangsovari	en der sover længe om morgenen og er oppe ud på natten
rangstaddur	(idr.)offside,málið varð ikki viðurkent, tí leikarin var rangstaddurmålet blev annulleret, fordi spilleren var offside
rangstoyttur	(båd.)(om båd),hvis bundvand ikke samler sig i øserummet,torv og seiður vóru ringur farmur, tí báturin kundi skjótt verða rangstoyttur
rangstøða	(idr.)offside
rangsvøvntur	hvis søvnvaner er kommet i ulave,tey eru vorðin púra rangsvøvnt um jólini
rangtrúgvin	(bibl.)kættersk,rangtrúgvin hugsanarhátturkættersk tankegang
rangtýða	oversætte forkert
rangtýðing	forkert oversættelse
rangur	1skæv, ikke lige,støkka rangt(om mad)komme i den forkerte hals;fáa bitan í ranga hálsinfå en bid i den gale hals2vrang, med vrangsiden ud, vrænget,rangt eyga(i strikning)vrangmaske;binda rangt og rættstrikke ret og vrang;rangur kalvivrangflynder3bagvendt, galt, forkert,gjøgnum tann ranga endan á kikaranum4falsk, urigtig(fx om en ed),rangur atburðururigtig fremgangsmåde;rangur siðurfalsk skik;gerael.svørja rangan eiðsværge falsk;døma rangar dómardømme forkerte domme;hann fer ikki við rongumhan taler ikke usandt;sig mær, hvat er rangt og hvat er rættfortæl mig, hvad er rigtigt og hvad er forkert5i bagbord,sita rangursidde i bagbord;(overf.)tað er farið langt á ranga borðdet er gået den forkerte vej6(om vind)kommende fra en anden side end den værende vindretning,rong hvirla;skjótt er at kollsigla í rangari glaðu
rangviðaður	(om træ, tømmer)forvreden, med årer som går uregelmæssigt ud til siderne,(overf.)hvør mundi tann rangviðaði krotusmiðurin vera?
rangviður	tømmer med uregelmæssige årer,rangviðurin var flusnaður upp
rangvørgur	1med vrangsiden ud,lata seg í rangvørga troyggjutage trøjen på med vrangen udad2bagvendt, forkert,hetta skjalið gevur eina rangvørga mynd av viðurskiftunumdette dokument giver et forkert billede af forholdene3(om folk)sær, umedgørlig
rani	1noget smalt, smal strimmel, spids(spec. en meget smal teigur),báðir partar áttu ranan millum stykkini, men hvørgin skuldi velta hann2elefantsnabel,fílurin lyftir hana við rananum
ranka1	besøge et sted tit, gå ofte, løbe vidt omkring,ranka landið runt;ganga og ranka og slankavanke, stryge om;rankastdrive om;hvar gongur tú og rankast?
ranka2	opstable,ranka viðin uppopstable tømmeret
rankari	omløber, omstrejfer,fylgisneyti hjá útlendskum rankarumfølgesvend hos udenlandske omstrejfere
ranki	(håndv.)stabel,ranki av viðien stabel tømmer;jf.viðarranki
rankur	1(om en båd)ustøt, som let krænger;báturin er rankur undir seglinumbåden er ustøt, når sejlene er oppe2rank, strunk,hann er rankurhan er rank
rann	serenna 2
rannsaka	ransage, undersøge,løgreglan rannsakaði bústað hansarapolitiet ransagede hans bopæl;hann fór til læknan at verða rannsakaðurhan gik til lægen for at blive undersøgt;hann fer undir at rannsaka føroyskthan skal forske i færøske sprog
rannsakan	ransagelse, ransagning, undersøgelse,rannsakan fór fram í húsinumder fandt en ransagning sted i huset;eftir langa rannsakan gjørdist læknin vissur um sjúkuna
rannsókn	undersøgelse, forskning,søguligar rannsóknirhistoriske undersøgelser;náttúrufrøðiligar rannsóknirnaturvidenskabelige undersøgelser;rannsóknir av norrøna málinumundersøgelser af det norrøne sprog
rannsóknarevni	forskningsemne
rannsóknarferð	ekspedition, opdagelsesrejse,fara rannsóknarferð til Norðurgrønlandstage på ekspedition til Nordgrønland
rannsóknari	forsker, gransker
rannsóknarløgregla	opdagelsespoliti
rannsóknarmaður	forsker, videnskabsmand
rannsóknarnevnd	undersøgelseskommission
rannsóknarstova	laboratorium, undersøgelseslaboratorium
rannsóknarúrslit	forskningsresultat
rannvæla	gennemrode, endevende,hann rannvælaði øll húsini, men fann ikki tað, hann leitaði eftirhan endevendte hele huset, men fandt ikke hvad han søgte
ransón	(mar.)ration,teir fingu smáar ransónirderes rationer var små
rapa	1styrte ned, falde ned,standa at rapatrue med at styrte;har er ikki lukkuligt at lata børn spæla, tí garðurin stendur at rapa;nú tekur eggin at rapa oman í stórum;niðurrapaður garðurnedstyrtet gærde2vælte, rulle,rapa grótrulle sten ned;rapa grót oman á teir3(om æg)falde ud,eggin rapar(fxpå kniv)
