s	(lingv.)1konsonant221. bogstav i det færøske alfabet;(talem.)ikki kenna s fyri kikke engang kende bogstaverne, være en sinke
S	romersk taltegn for 70
SA	kendingsbogstaver på skibe registreret i Sandoy(forkortelse forSandø)
sabbatur	sabbat
saddukeari	(bibl.)jøde i et bestemt trossamfund på Jesu tid(troede fx ikke på genopstandelse fra de døde)
saðil	sadel, ridesadel
saðilbogin	1(om hest)sadelrygget, svajet2(om personer)svajrygget
saðilboygdur	(om hest)sadelrygget, svajet
saðildýr	(kvad)hest,stíga til saðildýrastige til hest
saðilkertil	(biol.)hypofyse
saðilsmiður	sadelmager
saðla	1sadle, lægge sadel på,saðla hest;(talem.)hann ríður ikki sama dag, hann saðlarhan rider ikke den dag han sadler, han forhaster sig ikke2lægge snor på en spinderok,saðla rokkin
safirur	safir
saft	saft
saftarlítil	saftløs
saftarmikil	saftig, saftholdig
saftigur	saftig, saftholdig
saftmikil	saftig, saftholdig,saftmikið grassaftholdigt græs;plantur við saftmiklum bløðumplante med saftholdige blade
saftvatn	saftevand, lemonade
sag	sav
saga	1save, skære med sav2(om fisk, især lange),skære (snøren over) med tænderne,longan sagaði teymin av3med stort besvær ro gennem et område med stærk strøm,tað var so vit sagaðu (tað)
sagan	(om at sejle, ro imod stærk strøm),det at kæmpe sig frem,tað var ein sagan at koma aftur til lands
sagarblað	savblad, savklinge
sagarkjaftur	i ordforb. somlíggin er sum ein sagarkjafturleen har skår i æggen
sagarknabbi	(håndv.)savdup, savknap(hvortil klingen er fastgjort og hvormed den drejes)
sagarlað	savelad, stillads hvorpå der saves
sagartonn	savtand
sagblað	savblad, savklinge
sagilað	savelad, stillads hvorpå der saves
sagknappur	savdup, savknap
sagnareykasetningur	(lingv.)udsagnsledsætning, at-sætning,í setninginum "eg veit, at hann kemur" er "at hann kemur" sagnareykasetninguri sætningen "jeg ved, at han kommer" er "at han kommer" udsagnsledsætning
sagnaringur	(litt.)sagnkreds,Sjúrðarkvæði hava evni sítt úr samgermanska sagnaringinum um nivlungarSigurdkvadene har sit stof fra den fællesgermanske sagnkreds om nibelungerne
sagnarnavnorð	(lingv.)verbalsubstantiv,"lestur" er sagnarnavnorð av "lesa"
sagnir	sesøgn
sagnkendur	sagnagtig, uvirkelig, eventyrlig
sagnliður	(lingv.)verbal,í setninginum "hann hevði vaskað bilin" er "hevði vaskað" sagnliðuri sætningen "han havde vasket bilen" er "havde vasket" verbal
sagnorð	(lingv.)verbum,sterkt bend / veikt bend sagnorðstærkt bøjet / svagt bøjet verbum;ávirkandi / óávirkandi sagnorðtransitivt / intransitivt verbum;hjálparsagnorðhjælpeverbum
sagogrýn	sagogryn
sagomjøl	sagomel
sagont	(ornitol.)toppet skallesluger
sagosuppa	sagosuppe
sagosúpan	sagosuppe
sagspenni	(håndv.)savsnor
sagtentur	(bot.)savtakket
sagtonn	(zoo.)savtand
sagulað	savelad, stillads hvorpå der saves
saguspønir	savsmuld
sagverk	savværk
sagvirki	savværk
sak	1sag, retssag,liggja í sak við e-nligge i retssag med nogen2anliggende, formål, sag,hann bað teir geva seg í Guds hond og fara, tí at teir høvdu eina góða sak
saka	1skade, være til fortrædel.hinder,honum sakar einkihan fejler ikke noget;tað man ongan saka;hon er eitt sindur brekað, men hvat sakar tað?;einkiel.ikki sakardet gør ikke noget, det spiller ingen rolle2anklage, gå i rette med, udskælde,saka e-n um e-tbeskylde en for noget
sakan	anklage
sakarleysur	sagesløs, godtroende, naiv,eitt sakarleyst barnet sagesløst barn
sakarmál	(jur.)anklage, sagsanlæg, søgsmål
sakarmálskostnaður	(jur.)sagsomkostninger
sakfella	(bibl.)domfælde, dømme skyldig
sakføraravirki	(jur.)advokatvirksomhed
sakførari	(jur.)sagfører, advokat
sakkarin	(kem.)sakkarin
sakleysliga	uskyldigt
sakleysur	uskyldig, sagesløs,leikur hennara var sakleysur og meinaleysurhendes leg var sagesløs;tú hevur dripið hann sakleysandu har dræbt ham uskyldig
sakligur	1saglig,hann verður hugtikin av hini sakligu frásøgninihan bliver grebet af den saglige fremstilling2lempelig, varsom, rolig, mådeholden,altíð var hon sakligur, leyp ongantíð framavhun var altid rolig, overreagerede aldrig
sakloysi	uskyld, sagesløshed
sakna	1savne, føle savn, længes efter nogen,sakna e-n / e-tsavne nogen / noget;sakna e-n burtursavne en2sakna seg (burtur)slumre lidt
saknaður	savn, tab
saknur	savn, tab,tað er stórur saknur í títabet deraf er et føleligt savn;saknur er í honumhan er savnet
sakrament	(rel.)sakramente,dópur og altargangur eru sakramentdåb og altergang er sakramenter
sakramenti	(rel.)sakramente
saks1	indgroet skarn (i rifter) i huden(især på fødderne og hænderne)
saks2	hale på sæl
saksa1	(landbr.)redskab til hakning af jord, harve
saksa2	harve
saksagingin	overmåde snavset
saksaklovi	dårlig saks
saksalopin	overmåde snavset
saksapartur	den ene halvdel af en saks
saksari	redskab til hakning af jord
sakshaki	spade til hakning af jorden
saksi	sakser
saksijarn	redskab til hakning af jord
saksing	handlingen at ophakke og smuldre den tilsåede muld med spaden
saksingardagur	dag hvor man arbejder på hakning af jord,tann fyrsti saksingardagurin var hálvur hátíðardagur
saksingarhaki	spade til hakning af jorden
saksingarjarn	redskab til hakning af jord
saksingarríva	rive til hakning af jord
saksiskur	saksisk
Saksland	Sachsen
sakslendingur	sakser
saksofon	(musik)saxofon
Saksun	(stedn.)bygd i nordlige del af Streymoy,í / úr Saksun,til Saksunar
saksuningur	person iel.fra bygden Saksun
saksur	saks
sakta	1sagtne,hon saktaði gonguna;(kvad)Ívar saktar síni ferð2(om ur)sagtne, tabe
saktans	sagtens,hetta er alt, ið eftir er, men her er saktans nóg mikið til tín viðdette er alt, som er tilbage, men her er sagtens nok til dig også
salamandra	(zoo.)salamander(Urodela)
salat	salat
salatblað	salatblad
salathøvd	(bot.)salathoved
salatolja	salatolie
salatsós	dressing, salatdressing
saling1	rustpletter
saling2	(skib.)(på skib)saling
salingardropi	rustplet på linned
salingur	rustpletter
salmiakk	(kem.)salmiak, ammoniumklorid(NH4Cl)
salmonella	salmonella
salón	(skib.)salon
salpetur	(kem.)salpeter
salpetursýra	(kem.)salpetersyre(tegnHNO3)
salt	salt,grovt saltgroft salt;fínt saltfint salt;(talem.)salt bøtir alt uttan mjøð og malt;svart salttangsalt;brenna salt(om skarve)baske med vingerne, brede vingerne ud
salta	salte, nedsalte,salta í flógvsalte i stak;salta í tunnusalte i tønde;salta niður;(overf.)alt saltaðist niðurel.alt lá saltað niðuralle blevel.lå syge;(talesp.)saltaðurdyr, pebret,handa vøran er saltaðdenne vare er dyr;(mar.)salta jarndrive den af
saltbing	saltsilo
saltfiskur	saltfisk
saltfuglur	saltet fuglisærlomvie
saltgrind	saltet kød af grindehval
salthella	flad sten hvorpå man knuste (groft) salt
salthús	hus hvori fisk saltes
salting	saltning
saltílat	1saltkar til saltmad,saltíløtini stóðu tóm2saltbøsse
saltkar	saltkar
saltkendur	lidt salt, saltholdig,saltkent vatnsaltholdigt vand
saltkjallari	kælder hvor fisk saltes
saltkjøt	saltet kød
saltkorn	saltkorn, gran af salt
saltkrubba	(skib.)(i skibslast)afskottet rum med salt
saltlaki	saltlage(til mad)
saltleiki	saltindhold
saltlundi	saltet søpapegøje
saltmatur	nedsaltet føde, saltmad,saltmatur og turrur matur til døgurðanedsaltet og tør mad til middag
Saltnes	(stedn.)bygd på øen Eysturoy,í / úr Saltnesi,(inn / út) í Saltnes
saltnesmaður	person iel.fra bygden Saltnes
saltposaleggur	tykt, uformeligt ben
saltseiður	saltet gråsej
saltsild	saltet sild
saltspik	saltet spæk
