t	1(lingv.)konsonant2(lingv.)22. bogstav i det færøske alfabet (kaldes )3fork. fortons4fork. fortummi
t.	fork. fortími
T	romersk taltegn for 160
ta	setann
tabell	(mat.)tabel
tablett	(med.)tablet
tadd	dårligt pillet kødben,lat meg fáa hatta taddið at piðalad mig pille det kødben
tadna	(om tøj, uldvarer)blive løsere, utættere;tadnael.tadna sundur;hatta er tadnaðdet er blevet løsere;tað tadnar (sundur) uppi á honumtøjet hænger slapt på ham
tadsjikari	tadsjiker
tadsjikiskur	tadsjikisk
Tadsjikistan	Tadsjikistan
tað1	1det,skipið er komið, eg havi ikki sæð tað ennskibet er ankommet, jeg har ikke set det endnu;tey fóru út at spælade tog ud for at lege;tað bæðide to;býráðið og fyriseting tessbyrådet og dets administration2tað hendi í gjárdet skete i går;tað var ein vakran summardagdet var en smuk sommerdag;tað kavardet sner;tað regnardet regner3(anvendt som adverbium)prísurin er valla tað høgurprisen er næppe så høj
tað2	setann
taða	gøde, gødske,jørðin var vorðin forn, og henni tørvaði at verða taðaðjorden var blevet gammel og havde brug for at blive gødet
taðevni	(kem.)næringsstof
taðfall	gødning(fra kreaturer),teir nýttu slógv, har ið taðfallið tvørraðide brugte indvolde fra fisk, når der var mangel på gødning fra kreaturer
taðing	gødning, gødskning,tað eru heldur ikki allar plantur, ið tola stórvegis taðingdet er ikke alle planter, som tåler betydelige mængder af gødning
tagað	setiga
tagdi	setiga
tagga	1tak, spids, tand (på redskab),fram við rondini á nevinum standa smáar taggur av hornifrem langs næbbets kant er der små takke af horn;kombikk er slag av smávaksnum fiski við spískum, hvøssum taggumhundestejle er en lille fisk med spidse, hvasse takker2(med.)isærhæmorider
taggutur	takket,ein taggutur koyrilen takket pisk
tagl	de lange hår i koens og hestens hale, haledusk,hann fekk í halan á tarvinum, men taglið slitnaðihan fik fat i tyrens hale, men hårene blev slidt over
tagla	hænge (stykkevis) op, hænge i rad og række, hænge op til en byrde el. bunke,tagla (byrði) upp á segstykkevist hænge en byrde på sig;taglaðurel.avtaglaðurtæt behængt el. besat;jólatræið er taglað við prýðijuletræet er behængt med pynt
tagna	1blive tavs,hann tagnaði og sá ógvuliga hulur úthan blev tavs og så meget hemmelighedsfuld ud;sjarrið av barninum tagnaði so líðandibarnet holdt langsomt op med at klynke;(talem.)tagnar (el.tigur) ikki heldur enn ritan í berginumkan aldrig tie stille2(om lyd)blive tavs, forstumme, dø hen,ljóðið var tagnaðlyden var forstummet
tagnar	setøgn
tagnarbundin	tavshedspligtig, med tavshedspligt
tagnarheimur	(bibl.)verden hvor tavshed hersker,mín sál var í tagnarheimimin sjæl var i tavshedens verden
tagnarskylda	tavshedspligt,hava tagnarskylduhave tavshedspligt
Tailand	Thailand
tailendingur	thailænder el. thai
tailendskur	thailandsk
Taivan	Taiwan
taivanari	taiwaner
taivani	taiwaner
taivanskur	taiwansk
tak1	tag, hustag,húsini eru komin undir takhuset er bragt under tag;vera undir takivære under tag, være inden døre,hann var sjáldan undir taki - hann streyk um bygdinahan var sjældent hjemme - han strejfede om i hele bygden;tað gongst illa at fáa kornið undir takdet går ikke godt med at få kornet bragt under tag
