v	1(lingv.)konsonant2(lingv.)25. bogstav i det færøske alfabet (kaldes )
V	1romersk taltegn for 52fork. forvolt
VA	kendingsbogstaver på skibe der er indregistreret i Vágar(forkortelse forVaagø)
vadmal	vadmel
vað1	vadested
vað2	1fiskeline, fiskesnøre, medesnor2en fiskesnøres behørige længde,eitt vað er 60 favnar
vað3	fiskestime,sildrekin eltir sildavaðinivågehvalen jagter fiskestimen;leggja í vaðiðgå i gang med, kaste sig ud i (en aktivitet)
vaða	ogsåvade,sólin veður íel.á luftinisolen kan næppe skimtes gennem skyerne
vaðansgildi	en omgang (brændevin) som den der for første gang fanger en helleflynder giver det øvrige bådsmandskab
vaðbeinatíð	den tid da alt havfiskeri foregik med håndsnøre,í vaðbeinatíðini
vaðblýggj	blylod (sænkelod) på fiskesnøre;jf.vaðsteinur
vaðbløðra	vabel på hånden af at trække fisk med håndsnøre
vaðfuglur	(ornitol.)vadefugl
vaðhorn	1hælben på køer2kastanje (vorteagtig horndannelse på den indvendige side af hestens ben)
vaðhornsliður	(zoo.)ankelled(på kreaturer)
vaðhornssina	(zoo.)akillessene
vaðkall	(båd.)lille afrundet træklods som er fastgjort i rælingen af en båd og hvorover man lader fiskesnøren løbe
vaðkallur	(båd.)lille afrundet træklods som er fastgjort i rælingen af en båd og hvorover man lader fiskesnøren løbe
vaðmal	vadmel
vaðmalsklæddur	vadmelsklædt
vaðmalskot	vadmelskofte
vaðskítur	(mar.)1uheldig fisker, en der ikke fanger nogen fisk,vera vaðskíturkomme tomhændet tilbage fra fiskeri2draga vaðskítforgæves trække fiskesnøren op i den tro at der er fisk på krogen;fiska vaðskítar(spøg.)ikke fange en eneste fisk
vaðskrín	(båd.)madkasse, madskrin (under bådfiskeri)
vaðvøttur	(båd.)vante egnet til fiskeri med håndline
vafla	vaffel
vaflujarn	vaffeljern
vagga	1vugge,vaggaður í blundvugget i søvn2slingre, vralte,sóljurnar stóðu og vaggaðu í lotinumengkabbelejerne stod og vuggede i vinden
vagl	hjald (i hønsehus)
vagnsveinur	(bibl.)vognstyrer
vagnur	vogn
vaka	1våge, være vågen,vaka alla náttinavære vågen hele natten;vaka eyguni út á kinnvåge øjnene ud af hovedet2overvåge,vaka uppi yvir e-msidde og våge hos en;vaka yvir e-mvåge over (nogen), bevogte (nogen)
vakin	1vågen2vågen, kvik,í nógvu ferðsluni í stórbýnum ræður um at vera vakini storbytrafikken gælder det om at være vågen
vakja	(talesp.)våge, være vågen
vakna	1vågne (af søvn),vakna við afturvågne op af en besvimelse2komme til sig selv (efter besvimelse el.lign.),hon vaknaði við, og tað var, sum hevði hon droymthun kom til sig selv, og det var som om hun havde drømt
vakning	opvågnen, vækkelse,tjóðskaparlig vakningnational vækkelse
vaks	voks
vaksa	1(biol.)vokse(om planter og skæg også),gro,børnini vaksa;hann er vaksin upp undir skýggjhan er vokset meget;(overf.)tá vuksu eyguni í honumhan gjorde store øjne;alt sum dagurin vakshen på dagen, som dagen skred frem;talið veksurtallet vokser;ansurin er vaksininteressen er vokset;brimið vaksbrændingen blev større;vindurin vaksel.hann vaks vindin;hitin veksurvarmen stiger2vokse op el. frem, gro,gularøtur vaksa best í sandmoldgulerødder vokser bedst i sandjord;skeggið var farið at vaksaskægget er begyndt at vokse  / /vaksa framvokse frem;vaksa frá:vaksa frá e-mvokse fra noget(fx leg),hon var vaksin frá at spæla við dukkurhun var vokset fra at lege med dukker;vaksa tilvokse til;vaksa umforstørre;vaksa uppvokse op;vaksandi1eitt vaksandi brús2(astronomi)vaksandi sóltiltagende måne
vaksdúkur	voksdug
vakshattur	(bot.)vokshat(Hygrocybe),sliputur vakshattur(H. unguinosa),spískur vakshattur(H. persistens),gulur vakshatturgul vokshat(H. chlorophana),bleikgulur vakshattur(H. citrinopallida),bláreyður vakshattur(H. lilacina),fagurligur vakshattur(H. splendidissima),reyður vakshatturcinnober-vokshat(H. coccinea),døkkflusutur vakshatturtørvemos-vokshat(H. turunda),flusutur vakshattur(H. lepida)
vaksin	1voksen,tey vaksnude voksne;tað ert tú ikki nóg vaksin tildet er du ikke voksen nok til2bevokset,tær flestu tekjurnar vóru vaksnar við lundasinude fleste tag var bevokset med rødsvingel;landið er vaksið við skógilandet er skovbevokset3dannet, formet
vakskøka	(bibl.)vokskage
vaksljós	vokslys
vaksmyndasavn	vokskabinet, panoptikon
vaksnamanna-	voksen-
vaksnamannadópur	voksendåb
vaksnamannatal	i ordforb.koma upp í vaksnamannatalregnes for voksen
vaksnamannatonn	(biol.)blivende tand
vaksreyðflíggj	(bot.)voksrødblad(Entoloma cetratum)
vakstramanna-	vaksnamanna-
vakstrarbelti	vegetationsbælte
vakstrargarður	have,rundan um húsini er stórur vakstrargarðurder er en stor have omkring huset
vakstrarhús	drivhus
vakstrarhúsárin	(økol.)drivhuseffekt
vakstrarkista	vækstbænk, drivbænk, mistbænk
vakstrarkveikur	æggen, tilskyndelse, opmuntring, inspiration
vakstrarlag	legemsbygning, figur,líkjast í vakstrarlagligne hinanden i legemsbygning
vakstrarlendi	grobund,gott / ringt vakstrarlendigod / dårlig jord mht. frugtbarhed
vakstrarlíkindi(r)	vækstbetingelser,vánalig vakstrarlíkindi(r)dårlige vækstbetingelser
vakstrarlítil	lille af vækst,sum barn var hann vakstrarlítilsom barn var han lille af vækst
vakstrarlop	(biol.)vækstring, årring,vakstrarlopið vísir, hvussu gamal fiskurin erårringen viser, hvor gammel fisken er
vakstrarmáttur	grokraft
vakstrarmegi	grokraft
vakstrarmunur	forskel i vækst
vakstrarstaður	voksested, lokalitet, biotop
vakstrartíð	væksttid,alt má hava sína vakstrartíðalting må have sin væksttid
vakstrarvánir	vækstbetingelser
vakstrarvón	vækstbetingelse
vakt	1vagt,halda vakt (yvir e-m)holde vagt (over nogen);læknin hevur vakt í náttlægen har vagt i nat;umborð á skipi er samdøgrið býtt sundur í seks vaktirombord på skib er døgnet opdelt i seks vagter2(mar.)vagthold3vagt, vogter, person der holder vagt,eg leyp inn um vaktirnarjeg sprang ind forbi vagterne
vakta	vogte, beskytte, passe på
vaktarfiskur	fisk som den fik i løn der vækkede og samlede bådsmandskabet tidligt om morgenen til fiskeri
vaktarhald	vagt, vagthold
vaktarhundur	vagthund
vaktarhús	(stedn.)hus i udmark el. fjeld hvor man tidligere holdt vagt mod sørøverskibe
vaktarhvalur	hval som løn for at holde vagt i grindefangst
vaktari	vogter
vaktarlið	(militær)garde, livvagt
vaktarmaður	1vogter2mand der vækkede og samlede mandskabet til fiskeri,vaktarmaðurin kannaði útróðrarlíkindini
vaktarskip	(skib.)vagtskib, inspektionsskib
vaktarstøða	vagtplads, vagtpost
vaktartænasta	vagttjeneste, bevogtningstjeneste
vaktaskifti	vagtskifte
vaktil	(ornitol.)vagtel(Coturnix coturnix)
vakur	smuk, skøn,ein sjáldsama vakur daguren usædvanlig smuk dag;eitt vakurt andlitet smukt ansigt;vøkur orðsmukke ord
vakurleikadrotning	skønhedsdronning
vakurleikakapping	skønhedskonkurrence
vakurleikarøkt	skønhedspleje
vakurleiki	skønhed
vakurliga	smukt, skønt
vakurligani	(talesp.)smukt, skønt,hvussu vakurligani, hann málbar seghvor smukt han formulerede sig
val	1valg(det at vælge),hava í valihave at vælge imellem;annað hevði hann einki valnoget andet havde han ikke at vælge imellem;fara á valgå til valg;stilla upp til valstille op til valg,kommunuvalkommunevalg;løgtingsvallagtingsvalg2kvalitet,i ordforb.tal og lítið valstort antal, men ringe kvalitet
vala-	udmærket, ypperlig, fortrinlig
valagn	valgflæsk
valaks	seksradet byg(Hordeum hexastichum);jf.langaks
valaksabundi	kornneg af seksradet byg
valaldur	(pol.)valgretsalder
valaverk	mesterværk, mesterstykke,bókin er eitt valaverkbogen er et mesterværk
valborð1	ekstra gode brædder(spec. til bådebord)
valborð2	valgbord,fara til valborðiðgå til valg
valborgarmessa	valborgsdag (1. maj)
valbólkur	(pol.)valggruppe
valbræv	valgbrev
valbundin	fakultativ, valgfri
valbæri	valgbarhed
valbærur	valgbar,valbær eru øll tey, ið hava valrætt til løgtingiðalle er valgbare, som har valgret til lagtinget
vald	magt, myndighed,hava vald á e-mhave magt el. rådighed over nogenel.noget;(ordsp.)tá ið vesalamaður fær vald, kann hann sær ikki afturhaldnår skidt kommer til ære, ved det ikke hvordan det vil være;taka (e-n / e-t) við valditage (nogen / noget) med magt
valda1	råde over, have magt el. rådighed over,hann, ið valdar yvir menniskjanna lagnuden, som råder over menneskenes skæbne;har valdar tøgnder råder tavshed
valda2	1volde, forvolde, forårsage,valda sorg, deyða, skaðavolde sorg, død, skade;tað veldur mær sorgdet volder mig sorg;hann voldi aldri ófriðhan lavede aldrig ballade2valdastkomme an på;tað valdastel.veldst umdet kommer an på (forholdene);tað skal valdastder skal være måde med alt;vinir og vinir valdastel.tað valdast viniralle venner er ikke lige gode
valdagur	valgdag
valdfúsur	magtbegærlig
valdfýsni	magtbegær
valdgirnd	magtbegær, herskesyge, magtsyge
valdkærur	magtbegærlig
valdmikil	magtfuld
valdræningi	usurpator
valdsgerð	voldsgerning, voldshandling, vold
valdsharri	hersker, magthaver, diktator
valdsmaður	1hersker, magthaver, diktator2voldsmand
valdur1	(mat.)faktor
valdur2	udvalgt,tvey vald lombto udvalgte lam
valdømi	(pol.)valgdistrikt
valevnalisti	kandidatliste
valevni	kandidat,bjóða seg fram sum valevnistille sig som kandidat til valg
valeygleiðari	valgobservatør
valfelag	vælgerforening
valfrælsi	valgfrihed
valfundur	valgmøde, vælgermøde
valførur	valgberettiget
valg	(talesp.)valg
valhøli	valglokale
Valhøll	(mytol.)Valhal
valin	udvalgt,valið plássudvalgt sted
valkirkjulið	(kirk.)valgmenighed
valkostur	alternativ
valkyrja	(mytol.)valkyrie
valla1	i ordforb. somvalla afturel.vallast afturblive græsbevokset igen
valla2	lige netop komme til syne (med kant el. top),tað vallar á skerinumdet øverste af skæret er synligt;á fjøru vallar á taraskógunum, men meginparturin er altíð undirved ebbe kommer tangskoven lige akkurat til syne, men det meste er altid under;mánin vallar á eini fjalltrommånen kommer lige netop til syne på en bjergrand
valla3	vandre, flakke omkring
valla4	næppe
vallaður	forsynet med grønsvær, græsgroet, græsbevokset,vallaður dalurgræsgroet dal;vallað bergfjeld dækket med grønsvær
vallalendi	græsgroet terræn
vallaraferð	pilgrimsrejse, valfart
vallaragongd	pilgrimsgang
vallaraheim	vandrerhjem, vandrehjem
vallari	1pilgrim2omstrejfer
vallarland	græsplet i klippevæg,lundin eigur í vallarlandi
vallbakki	græsbevokset kant el. skrænt
vallberg	fjeld dækket med grønsvær,í vallbergi grevur lundin sær holur
vallbjølluvísa	(bot.)lund-padderok(Equisetum pratense)
vallfløta	steppe
vallgarður	gærde af græstørv
vallgrógvin	grønsværdækket, græsgroet,vallgrógvin garðurgræsgroet gærde
valling	grønsværdækket område,lundin eigur á eystaru síðu, tí har er meiri vallinglunderne har rede på den østlige side, fordi der er området mere grønsværdækket
vallisti	(pol.)valgliste
vallklingra	grønsværplet i fjeld (klippevæg)
vallland	parti (i klippevæg) dækket af grønsvær
vallnám	det yderste grønsvær på strandkanten
valloyri	(geol.)marsk
vallóg	(jur.)valglov
vallrók	græsbevokset afsats i en klippevæg
vallryggur	græsgroet højderyg,breiður vallryggurbred græsgroet højderyg
valluttøka	valgdeltagelse
vallyfti	valgløfte
vallærugrein	(skole)valgfag
valmásaskuri	(ornitol.)gråmågeunge
valmási	(ornitol.)gråmåge(Larus hyperboreus),lítil valmásihvidvinget måge
valmua	(bot.)valmue
valmynd	(datal.)menu
valmøguleiki	valgmulighed,eg hevði ongan valmøguleikajeg havde intet valg
valnevnd	(pol.)valgbestyrelse
valnøt	(bot.)1valnød2valnøddetræ, valnødtræ
valnøtatræ	(bot.)valnøddetræ, valnødtræ(Juglans regia)
valorð	motto
valplakat	valgplakat
valrættaraldur	valgretsalder
valrættur	valgret, stemmeret,hava valrætthave valgret;jf.valbærur
valsa	valse
valsigur	valgsejr
valskeið	valgperiode
valskipan	valgsystem
valskúli	(skole)tilvalgsskole
valstaðarkanning	exit poll
valstaður	(pol.)valgsted
valstríð	(pol.)valgkamp
valstýri	(pol.)valgbestyrelse
valsur	vals,dansa valsdanse vals
valsvik	valgsvindel, valgfusk
valtra	vandre, flakke,hann gekk og valtraði úti á vegnumhan gik omkring ude på vejen, han gik frem og tilbage
valtran	farten, omstrejfen
valtrari	landstryger, omstrejfer, vagabond,valtrarar, sum fjakkaðu umlandstrygere, som strejfede omkring
valuti	(økon.)valuta,fremmandur valutifremmed valuta
valúrslit	valgresultat
vambakona	kvinde der renser fårevomme efter slagtning
vambardalur	i ordforb. somtað er farið í vambardaldet er spist
vambarfylla	mavefyld
vambarindur	blodpølse fyldt i et stykke (lamme)vom
vambarkast	voldsomt stød ved kast el. fald (mod jorden),hann fekk eitt sovorðið vambarkast
vambarsíður	med hængemave
vambur	i ordforb. som(seta seg) við hondum í vambriel.við hondum í vambur(sætte sig) med korslagte arme;sita hendur í vambrisidde med korslagte arme
vaml	1væmmelse, modbydelighed, afsky,hann hevði vaml av sær sjálvumhan følte afsky ved sig selv2kvalme,hann fekk vaml av ov feitum matihan fik kvalme af for fed mad
vamla	være usikker på benene,vamla umgå usikker på benene
vamlast	væmmes, vamles, føle kvalme,vamlast við e-tvæmmes ved noget;(overf.)vamlast við e-nikke kunne fordrage en
vamlisligur	1afskyelig,hatta vamlisliga beistiðden afskyelige slyngel2(om mad)vammel, ulækker
vammaður	1skadet, beskadiget, svagelig,hann er vammaður av sjúkdómihan er svækket af sygdom2evnesvag3straffet, vanæret ved straf
vammaleysur	fejlfri
vanabundin	vanebundet, vanemæssig, traditionel,børn eru so vanabundinbørn er så vanebundet
vanafastur	med faste vaner, vanebundet,fólkið var vanafast og afturhildið í hugsanarháttifolket var vanebundet og konservativt i sin måde at tænke på
vanafesta	vanebundethed
vanafullur	med faste vaner, vanemæssig,seyður er so vanafullurfår har så faste vaner
vanahugsan	vanetænkning
vanalív	vaneliv
vanalyndi	vanebundet sindelag,eitt gudlýðið vanalyndiet gudfrygtigt, vanebundet sindelag
vanbrúk	vanrøgt,vera / liggja í vanbrúkivære / ligge i vanrøgt
vanbýti	forfordeling,i ordforb.ver(ð)a fyri vanbýtiblive forfordelt
vanbýttur	forfordelt,vera vanbýtturvære forfordelt;tað var vanbýttdet var ulige fordelt
vanbøn	ed, ond bøn, ondt ønske,tað kom ikki vanbøn av hansara munnider kom ikke en ed fra hans mund
vanda	1udføre med omhu,vanda sær um e-tgøre noget omhyggeligt el. med omhu, gøre sig umage med noget;vanda sær um máliðgøre sig umage med sproget;vandað arbeiðidygtigt arbejde2være kræsen, vrage (noget),fiskurin hevur hug at vanda agnfiskene er tilbøjelige til at være kræsne mht. madding3vanda veðuranse vejret for at være for slemt(til at foretage en rejse el. lign.)
vandaarbeiði	arbejde som man må gøre sig umage med
vandabólkur	(med.)risikogruppe
vandabøn	ed, ond bøn, ondt ønske,biðja vandabønbande
vandaður	omhyggelig udført el. forarbejdet,væl vandað arbeiðigodt udført arbejde
vandaferð	farlig, vanskelig rejse
vandafullur	farefuld, farlig,vandafull ferðfarefuld rejse
vandahond	godt håndelag,tað sæst, at her er ein vandahond ádet kan ses, at der står en dygtig person bag
vandaleið	farligt farvand, farezone
vandaleysur	udenfor fare,her heima ert tú vandaleysurher hjemme er du i sikkerhed;spælið er ikki heilt vandaleystlegen er ikke helt ufarlig
vandaligur	1omhyggelig,hann er so vandaligur í øllum, hann fæst viðhan er omhyggelig med alting som han foretager sig2omhyggelig udført el. forarbejdet,hon var vandalig upp á kropphun havde en smuk figur3(om arbejde)der kræver særlig omhu,tað var vandaligt arbeiðidet var et arbejde, der krævede særlig omhu;-ligaomhyggeligt
vandamál	vanskeligt spørgsmål, problem
vandameiri	afvandamikil
vandamikil	farlig,vandamikil ferðfarlig rejse
vandari	i ordforb.ikki vandariikke anderledes, uden at betænke sig
vandasamur	(om arbejde)der kræver særlig omhu,vandasamt verkarbejde som kræver særlig omhu
vandasigling	farefuld sejlads,innferðin gjørdist vandasigling av ringasta slagindsejlingen blev en meget farefuld sejlads
vandasjógvur	farligt farvand, farezone,sigla vandasjógvsejle i farligt farvand
vandastund	farens stund
vandastøða	farlig situation, faresituation
vandatíð	farefuld tid,seinni heimsbardagi var ein vandatíðanden verdenskrig var en farefuld tid
vandaveður	vejr i hvilket man er i livsfare
vandaøki	farezone
vandfingin	vanskelig at få fat på,mods.eyðfingin
vandfunnin	vanskelig at finde,mods.eyðfunnin
vandi1	fare, livsfare, vanskelighed, vanskelig situation,nú er vandi á ferðnu er der fare på færde;har var eingin vandider var ingen fare;koma e-m / sær í vandakomme i vanskeligheder;vandi fyri smittusmittefare;(ordsp.)vandi er í hvørjari vælferðder kan altid ske noget, som man ikke er forberedt på
vandi2	sevenja 2
vandin	1omhyggelig, som anvender omhu,hann er vandin í orðumhan vælger sine ord med omhu2kræsen, kritisk,vandin í matikræsen med mad
vandlátur	(bibl.)nidkær
vandlæti	(bibl.)nidkærhed
vandni	omhyggelighed, kritisk sans
vandra	ligge i halvvågen tilstand, døse, blunde
vandring	halvvågen tilstand,hon legði seg og var komin í vandringhun lå og halvsov
vandræði	vanskelighed
vandur1	vænnet, trænet, opdraget,væl / illa vandurgodt / dårlig opdraget
vandur2	vanskelig,eg gjørdi ikki so vantjeg gjorde det ikke besværligere end nødvendigt
vanegli	1(om person)drog, døgenigt2udskud3(om dyr)værdiløs el. unyttig skabning, sølle dyr4dårligt udført stykke håndværk
vanførur	vanfør, handicappet,vanfør og kryplarhandicappede og invalider
vangabein	(biol.)tindingeben(os temporale)
vangabrestur	lussing,hon gav honum ein vangabresthun gav ham en lussing
vangafjaðrar	1fjerene på en fugls kind,steggin hevur svartar vangafjaðrar;(talem.)tað hanga ongar vangafjaðrar við hannhan kan ikke kritiseres for noget2sidehår,hann hevur klipt hasar gráu vangafjaðrarnar av særhan har klippet de grå sidehår af
vangagráur	med grå kind,hin vangagrái1ung lunde2årsgammel lomvie
vangahallur	med bøjet hoved
vangamynd	profil
vangaskegg	bakkenbart
vangi	1kind,hella vangalægge hovedet på skrå;gráur í vongunummed grå tindinger;sláa e-n undir vanganslå en på kinden2side,í sunnara vanga á gjónnii den sydlige side af klippekløften
vanhalga	vanhellige, profanere,hann vanhalgar Guds navnhan vanhelliger Guds navn
vanhalgan	vanhelligelse, profanation
vanheiður	(bibl.)vanære
vanheilagur	vanhelliget
vanheilsa	skrøbeligt helbred, sygdom
vani	vane,gera e-t av gomlum vanagøre noget af gammel vane;(ordsp.)(gamalur) vani bítur bestvanens magt er stor
vanigla	1(om person)drog, døgenigt2udskud3(om dyr)værdiløs el. unyttig skabning, sølle dyr4dårligt udført stykke håndværk
vanigli	1(om person)drog, døgenigt2udskud3(om dyr)værdiløs el. unyttig skabning, sølle dyr4dårligt udført stykke håndværk
vanilja	vanilje, vanille(Vanilla planifolia)
