y	1(lingv.)vokal2(lingv.)26. bogstav i det færøske alfabet (kaldesseinnael.sj.langa)3(mat.)tegn for den anden af to ubekendte størrelser,x og y
y-ás	(mat.)y-akse, ordinatakse, andenakse
yðja	vrimle, myldre,yðja avel.í (e-m)vrimle med noget,býurin yður av fólkidet myldrer med mennesker i byen;yðjandi lívmyldrende liv
yðjan	vrimlen, myldren
ylheitur	1som holder længe på varmen,hesar gløðurnar eru so ylheitardisse gløder holder længe på varmen2glohed, gloende,hann helt eina ylheita verjurøðuhan holdt en glødende forsvarstale
ylliniviður	(bot.)hyld
ylna	blive lunt,nú er farið at ylnael.nú er ylnað inninu er det blevet lunt inde,ylna um oyruniblive hed om ørene;hann ylnaði viðhan blev varm om hjertet
ylur	1mild varme som holder sig længe, indegemt varme,hoyggið tók ylder kom mild varme i høet2lummer varme,ylur í luftinilummer varme i luften3i ordforb. somylur rann at honumhan blev bange;tað dró ylur at honumhann blev hidsig4varm følelse,ein ylur av gleði streymaði ígjøgnum hanaen varm følelse af glæde strømmede igennem hende
ymis	forskellig, vekslende, foranderlig
ymisháttaður	forskelligartet
ymiska	modgang,hann hevur so mangar ymiskurnar havthan har oplevet megen modgang
ymiskur	forskellig, adskillig,ymiskar útreiðslurdiverse udgifter;hon hevur havt ymiskar dagarnarhun har ikke kun haft medgang
ymisleiki	forskellighed
ymisliga	forskelligt, på forskellig måde,orðið er ymisliga stavaðordet staves forskelligt
ymisligur	forskellig, forskelligartet,ymisligt góðgætiforskellig slags søde sager
ymislitaður	forskelligfarvet,ymislitað bløðforskelligfarvede blade
ymislittur	forskelligfarvet
ymissur	1forskellig, vekslende, foranderlig,á ymsan háttpå forskellig måde2snart den ene, snart den anden,hann kysti hana á ymsar kjálkarhan kyssede hende snart på den ene kind, snart på den anden
ymisvorðin	forskelligartet
ymsastaðni	(på) forskellige steder
ymsumegin	snart på den ene, snart på den anden side,ymsumegin veginskiftevis på den ene og den anden side af vejen
ynda	1kæle for, kærtegne,hon yndaði barnið og tosaði við taðhun kælede for barnet og snakkede med det2nære kærlige følelser over for,hon yndar hann sohun er utrolig kærlig over for ham;yndastelske hinanden
yndi	1behag, yndest, godhed, kærlighed,fáa yndi til (e-n)fatte kærlighed til en2ynde, yndighed, skønhed,kvinnuligt yndikvindelig skønhed
yndigur	yndig, dejlig
yndisbarn	yndlingsbarn, yndling
yndisblóma	yndlingsblomst
yndisdjór	yndlingsdyr
yndisdýr	kæledyr
yndisfagur	(poet.)vidunderlig skøn
yndisfullur	yndig, dejlig, tækkelig
yndislag	1charme2yndlingsmelodi
yndisleiki	ynde,várið við sínum fríska yndisleikaforåret med sin friske ynde
yndisligur	yndig, dejlig, tækkelig,eitt yndisligt útsýnien vidunderlig udsigt;-liga
yndisorð	1kærligt ord,tey teskaðu yndisorðde hviskede kærlige ord til hinanden2ynglingsord, yndlingsudtryk
yndissangur	yndlingssang
yndistokki	ynde, charme
yndisvænur	yndig og smuk
yndugur	yndig, dejlig,her er yndugt at veraher er det dejligt at være
yngd	ungdom
yngdur	forynget;seyngja
ynging	1foryngelse2opdræt, avl
yngja	1gøre ung, forynge,(talem.)tú yngist sum ørnindu holder dig godt;yngjast upp(aftur)forynges, blive ung igen2opdrætte, avle,hann hevði eina kúgv at yngjahan havde en ko at avle3eggið er nógv yngten stor unge er i ægget
yngla	yngle
yngri	afungur
yngstur	afungur
yngul	yngel
yngulkanning	(fisk.)yngelundersøgelse
ynna	ynde, holde af, elske,(ordsp.)tá ið tvey ynnast, tey væl finnastel.tey, ið ynnast, tey finnastnår to elsker hinanden, finder de nok hinanden
ynnisligur	(poet.)elskelig
ynski	ønske,hægsta ynski hennara var at sleppa út at ferðasthendes største ønske var at komme ud at rejse;ynski um góða eydnuønske om held og lykke
ynskisdreymur	ønskedrøm,droyma ynskisdreymardrømme ønskedrømme
ynskisháttur	(lingv.)ønskemåde, optativ(optativus)
ynskisseðil	ønskeseddel
ynskissetningur	(lingv.)ønskende hovedsætning
