æ	1(lingv.)vokal2(lingv.)28. bogstav i det færøske alfabet (kaldesseinna)
æða	(ornitol.)edderfugl(Somateria mollissima),vappa sum æða í eggrásel.sum æða vappar í eggrás(om en som har meget at se til);(gåde)æða fer eftir fjøllum við átta ungum(vindretningerne)
æðr	1(biol.)åre2(bot.)ribbe, bladribbe
æðrabregd	(med.)årepresse
æðrabruni	(med.)årebetændelse(phlebitis)
æðrafløska	klukflaske
æðragrovur	med fremtrædende årer,æðragrovar hendur
æðrahinna	(biol.)årehinde(chorioidea)
æðrajarn	sneppert
æðrakálkaður	(med.,biol.)åreforkalket
æðrakálking	(med.,biol.)åreforkalkning(arteriosclerosis)
æðraknútur	(med.)åreknude(varix)
æðralag	(biol.)åresystem
æðralop	(med.)pungårebrok(varicocele)
æðrasláttur	(med.,biol.)pulsslag,æðraslátturin fjaraði burturpulsslaget døde bort
æðublikur	(ornitol.)edderfuglehan
æðudún	edderdun
æðudúnsdýna	edderdunsdyne
æðuflokkur	flok edderfugle
æðuhvalur	(zoo.)spækhugger(Orcinus orca)
æðukongur	(ornitol.)pragtedderfugl(Somateria spectabilis)
æðureiður	edderfuglerede
æðusetur	strandbred hvor edderfugle normalt sidder
æðuungi	(ornitol.)edderfugleunge
æðuvarp	rugeplads for edderfugle
æðuvíkingur	person iel.fra bygden Æðuvík
ægr	(uregelm.)->æðr
æl	byge, regnbyge,frekt æl;grumt ælvoldsom byge;ringt æl;hann setur eitt ælel.grundar fyri einum ælidet trækker op til regnbyger
æla	1regne med ophold imellem, være bygevejr,hannel.tað ælardet er bygevejr2(spøg.)græde for en ubetydelighed(især om børn)
ælabogalitur	regnbuefarve,við øllum ælabogalitumi alle regnbuens farver
ælabogasíl	(fisk.)regnbueørred(Salmo gairdneri)
ælabogi	regnbue
ælaleyst	uden regnbyger, med opholdsvejr
ælaligur	tegnende til bygevejr,hann sær so ælaligur útdet tegner til bygevejr
ælaluft	luft med regnbyger
ælaslettingur	mindre byge
ælaslit	opholdsvejr,tað er ælaslit núdet er opholdsvejr
ælaveður	bygevejr,tað er ælaveðurdet er bygevejr
ældrag	mindre (tynd) regnbyge
ælingur	1byger,grovur ælingurvoldsomme byger2bygevejr
ælmeiting	let regnbyge
ælmeitingur	let regnbyge
ælmusk	let regnbyge,hetta er bara eitt ælmuskdette er kun lette regnbyger
ælslit	med opholdsvejr,ælslitini gjørdust longri, sum frá leiðefterhånden blev det længere imellem bygerne
ælstroyggj	mindre byge
ælut	byget,tað er so ælut
ær	(zoo.)hunfår, moderfår
æra1	1ære, hæder, anseelse,halda í æruære, agte, påskønne;koma til heiðurs og æru (aftur)komme til hæder og ære (igen)(om noget glemtel.gammelt som igen kommer til nytte),gera e-t til æru fyri e-ngøre noget til ære for en;hann eigur æruna av at ...han fortjener ros for at ..., man kan takke ham for at ...;taka sær æruna av e-mtage sig ære for noget;(talem.)tað er ov góð æra (fyri hann)det har han ikke fortjent;(talem.)tað er orð(ið) við æru(ni) sagtdet er et sandheds ord;tað leikar tíni æru ádet gælder din ære2(hist.,jur.)respekt, agtelse, ry(som medførte borgerlige rettigheder som fx valgret),taka æruna av (e-m)gøre (en) æreløs;fáa æruna aftur
æra2	ære, hædre,elska og æraelske og ære;hann var ikki nógv ærdur í bygdini;seinasti ærdi røðarisidste ærede taler
æra3	(om lam)tage godt imod en ny mor,lambið æraði so væl
ærbløðra	urinblære fra hunfår
ærdur	seæra 2
ærfrælsi	"frælsi" tilstrækkeligt til fodring af et hunfår,eitt rossafrælsi varð mett javnt við sjey ærfrælsi
ærgi	(stedn.)sæter, græsgang
ærhálsur	hals påel.af et hunfår,eisini onkur ærhálsur varð royttur
ærhorn	horn på el. af et hunfår
ærhøvd	hoved på el. af et hunfår
ærkjøt	kød af hunfår
ærkrov	opskåren krop af hunfår
ærlamb	lam af et hunfår(dvs. et mindst 2 år gammelt får)
ærligheit	(talesp.)ærlighed
ærligur	ærlig, hæderlig;-liga
ærmaki	lam så stort som et voksent hunfår,lambið er ærmaki
ærsaldur	levetid hos hunfår,ærsaldur varð roknaður at vera sjey árlevetiden hos hunfår blev regnet til syv år
ærseyður	(koll.)1de hunfår der er over ét år gamle2hunfår
ærshorn	horn på el. af et hunfår
ærshøvd	hoved på el. af et hunfår
ærskját	en usædvanlig tynd krop
ærskjøt	kød af hunfår
ærskrinda	usselt gammelt hunfår
ærskrov	opskåren krop af hunfår
ærsperðil	endetarm fra hunfår
ærsperra	underarmsben af hunfår
ærsveiti	(det hele) blod fra et voksent hunfår
ærtálg	tælle af et hunfår
ærtjógv	kølle (lår) af et hunfår
ærufrykt	(talesp.)ærefrygt, respekt
ærugirnd	ambition
ærukensla	æresfølelse
ærukærur	ærekær
ærulítil	med liden respekt
ærull	uld af hunfår,ein ærull varð roknað at vera 6 merkur
æruloysi	æreløshed
æruloysingur	æreløs person
ærumeiða	(jur.)ærekrænke, injuriere, æreskænde
