í1	1(lingv.)vokal2(lingv.)11. bogstav i det færøske alfabet (kaldesel.fyrra)
í2	(med acc. i forb. med bevægelse og med dat. i forb. med væren på stedet)i1(om sted, genstand, retning)fara í býingå i byen;vera í býnumvære i byen;hann skrivaði í bókinahan skrev i bogen;tað stendur í bókinidet står i bogen2(om legemsdel indvortes)hjartað (lunguni, nýruni, magin) í mær;eyguni í mærmine øjne;eg havi ilt í høvdinum (maganum, fótinum)jeg har ondt i hovedet (maven, foden)3(om tøj o.lign.)lata seg í klæðitage tøj på;vera í skómhave sko på4(i forb. med visse bygdenavne, ønavne, landenavne o.lign.),í Havn;í Suðuroy;í Føroyum5(om tid)í dag;í fjør;í fyrstunii begyndelsen;í kvøld;í morguni morges, til morgen;í stundiniøjeblikkelig, straks;í allan daghele dagen;í heilumuafbrudt, til stadighed;í hvørjumefterhånden;tað minkar, versnar í hvørjumdet bliver mindre og mindre, værre og værre;í tvær vikur6(om (resultat af) en handling, tilstand o.lign.)fara í grindtage af sted til grindefangst;koma í neyðkomme i nød;fara í sor (knús, smildur, spønir)blive smadret;falla í óvitbesvime;húsini stóðu í gerðhuset var under opførelse;býta seg í tveir bólkardele sig i to grupper;vinna í talvivinde i skak;vera í gildivære gældende, være i kraft7(om omstændigheder i hvilke nogenel.noget erel.noget sker)medí dagslýsimens det endnu er (lys) dag,í kava, mjørka, myrkri;í loyndumskjult;í vandai fare8(i form af)ogn í jørð;átta merkur í jørð;løn í peningi;nógv í viðførimeget bagage;ódn í brimi;stormur í vindimeget stærk vind, storm;hann køvdi av í mjørkaluften formørkedes af tåge;har yður í fólkidet myldrer med mennesker9(om følelser o.lign.)teir bardust í góðumde sloges for sjov;vera í øðinivære rasende10(på grund af)bláur í rakiradmager;doyggja í tosta (kuldao.a.)vansmægte af tørst (kulde o.a.);skrædna í látri(være ved at) dø af grin11(med hensyn til, vedrørende)stórt í vaviomfangsrigt;hon líktist honum í brún og bráhun ligner ham fuldstændig;sterkur í hondunumstærk i hænderne (el.armene);vera kringur í e-mvære dygtig til noget;vera ivaleysur í e-mvære sikker på noget;ivast í e-mtvivle på noget  / /12festa sær ítænde en cigaret, pibe;eldur er ídet brænder;tað er nógv í koppinum, lastinikoppen, lasten er fyldt op;í sofor meget, lovlig meget;hatta er í so nógv avgjørtdet er overdrevet;tað er ikki undarligt ídet er ikke underligt;rópið ljóðaði aftur í aftur í berginumråbet gav genlyd i fuglefjeldet;gaman ígerne, med fornøjelse,tað er gaman íså gerne;í í er hann gamal, men ...godt nok er han gammel, men ...
ía	(barn.)iklæde,ía segtage tøj på
íbeiskur	lidt bitter
íbinding	1tilslutning(fx til vandforsyning, elforsyning)2(fuglefangst)bånd hvormed fuglefænger fastgøres til linen
íbindingargjald	tilslutningsafgift
íbinviður	ibenholt(Ebenus)
íbirta	forårsage
íbirtari	1anstifter, provokatør2initiativtager
íbirting	antændelse,omman kallaði tað vátaroyk, sum reyk úr brondunum, áðrenn íbirtingin kom
íbland	iblanding,har er málið enn óspilt av fremmandum íblandider er sproget stadig uspoleret af fremmed iblanding
íblástur1	inspiration
íblástur2	inspireret,hann helt eina íblásta røðu
íbláur	blålig
íbogin	lidt krummet
íborin	medfødt,íborið dreymalyndi
íbregðiligur	som slægter meget på, arvelig,tað er so íbregðiligt(fx om sygdom)
íbundin	fastspændt
íbúð	lejlighed,ein íbúð var á hvørjari hæddder var en lejlighed på hver etage
íbúðahús	beboelseshus
íbúðarhús	beboelseshus
íbúgvanavn	(lingv.)inkolentnavn
íbúgvi	indbygger
íbygdur	1(folketr.)(om sten, høje etc.)befolket med overnaturlige væsener,steinurin er íbygdur;náttúran og tilveranin vóru øll íbygd av óndum og góðum kreftum2(om rede)hvor fugle lægger og udruger deres æg,sama reiðrið hevur verið íbygt í meir enn hundrað ár(hos stork)3(spøg.)har man vera íbygthun er i omstændigheder
ídna	industrialisere
ídnaðarbýur	industriby
ídnaðarfelag	industriforening
ídnaðarfiskur	industrifisk, skidtfisk
ídnaðarframsýning	industriudstilling
ídnaðargrein	industrigren
ídnaðarkollvelting	industrirevolution
ídnaðarland	industriland
ídnaðarligur	industriel
ídnaðarmaður	industrimand
ídnaðarsamfelag	industrisamfund
ídnaðarsild	industrisild
ídnaðarskip	(skib.)industrifiskefartøj,teir hava eisini stór ídnaðarskip, flótandi virki, har øll veiðan verður virkað og tilgjørd
ídnaðarstreymur	(elektr.)industristrøm
ídnaðartrolari	(skib.)industritrawler
ídnaðarvirki	industrivirksomhed
ídnaðarvøra	industrivare, industriprodukt,russar vilja keypa føroyskar ídnaðarvørur í býti við fisk, olju, stál ella timburrussere vil købe færøske industrivarer i ombytning med fisk, olie, stål eller tømmer
ídnaður	industri
ídnast	i ordforb.ídnast ikkiikke magte noget,tað ídnast ikkidet nytter ikke noget,tað ídnast ikki at slíta dáar upp, tað verður líka nógv aftur um nakrar dagar;her ídnast ikki við fiskher fanges der ingen fisk
ídni	flid, iver
ídning	industrialisering
íða	1strømhvirvel, hvirvelstrøm(især tilbagegående strømning i bugter og fjorde ved kysterne)2strøm inde ved land gående i modsat retning af hovedstrømmen,íðan er uppi
íðan	1(eftergivende, samtykkende)íðan so, so noyðist eg at fara meðnija så er der ingen vej udenom, jeg bliver nødt til at gå2(ironisk konstaterende)íðan so!nå sådan er det!;íðan, íðan!hvad så!, nuvel!3(i utålmodige udtryk)íðan, hvat vilja tygum, eg skal gera?hvad vil De da have, at jeg skal gøre?
íðin	flittig, ivrig, stræbsom, ihærdig,hann hevði verið av ídnastu og dugnaligastu monnum til sjógvin
íðinskapur	flid, iver
íðka	1dyrke,íðka ítróttdyrke sport2indøve,íðka seg í e-m;deknarnir hildu seg ikki til at lesa føroyskar lestrar, fyrr enn teir høvdu íðkað seg eitt sindur3genopfriske, repetere,teir íðka upp brúðarvísuna4íðkastvokse i hastighed el. styrke, accelerere;hesin meldurin íðka í hvørjum
íðkan	dyrkelse
íðkanarbann	(idr.)karantæne
íðkari	dyrker (fx af sport), udøver
íðubrot	bølgebrud i (el. fremkaldt af) en hvirvelstrøm,einki var at síggja uttan íðubrot allastaðni
íðukálvur	mindre strømhvirvel el. sidestrøm
íðukendur	(om søen)fuld af strømhvirvler,har er ógvuliga streymhart og íðukent
íðuliga	jævnlig, hyppigt, uafbrudt,og tað var íðuliga, at hann noyddist ørindi fyri pápan
íðuligur	hyppig,veturin var óvanliga ringur við íðuligum ódnarstormum
íelvi	instinkt
ífaring	skoens åbning,skógvurin er ov trongur um ífaringina
íferð	skoens åbning,skógvurin er trongur um íferðinaskoen er trang omkring åbningen
ífesti	(fys.)ophængningspunkt
ífesting	antændelse
