ó	1(lingv.)vokal2(lingv.)18. bogstav i det færøske alfabet (kaldes )
ó-	(præfiks)u-
óalmennur	uofficiel
óampaður	uantastet, uforstyrret, uhindret
óansaður	ubemærket, upåagtet,tað ringasta er at sleppa hiðani óansaðurdet sværeste er at kommer herfra ubemærket
óansin	uforsigtig,óansið spæl við elduforsigtig leg med ild
óansni	uforsigtighed, letsindighed, uagtsomhed
óarbeiðsføri	uarbejdsdygtighed
óarbeiðsførur	uarbejdsdygtig,grunnurin fyri óarbeiðsførar fiskimennfondet for uarbejdsdygtige fiskere
óarbeiðsligt	besværligt at arbejde,tað er so óarbeiðsligtdet er ikke til at arbejde(fx pga. dårligt vejr)
óargadýr	bølle, skarnsknægt, bandit, lømmel
óargagerð	banditstreg, gavtyvestreg, skarnsstreg, skurkestreg
óargakroppur	skarnsmenneske, afskum,óargakroppur var hannhan var et skarnsmenneske
óargaligur	uartig,óargaligur dronguruartig dreng
óargaskapur	uartighed
óargaungi	bandit, ballademager, gadedreng, skarnsunge, skarnsknægt,tey vóru bara óargaungarde var bare ballademagere
óatfinnandi	uberygtet, ubesmittet, ulastelig,hann er óatfinnandihan er uberygtet
óatkomandi	utilnærmelig,Gud býr í einum óatkomandi ljósiGud bor i et utilnærmeligt lys
óatkomiligur	1utilnærmelig2afvisende, knibsk, reserveret, afmålt
óavgjørdur	(idr.,leg,kortspil)uafgjort,óavgjørt spæluafgjort spil
óavhøvdaður	(fisk.)med hovedet på
óavmarkaður	ubegrænset, grænseløs,óavmarkað álitubegrænset tillid
óavvitandi	ubevidst, uafvidende,mær óavvitandiuden mit vidende
óálítandi	upålidelig
óárligur	(om vejr)upassende for årstiden(fx varmt vejr om vinteren og koldt om sommeren),veðrið er so óárligtvejret er så upassende for årstiden
óártímiligur	upassende for årstiden,óártímiligt veðurupassende vejr for årstiden
óásettur	som man ikke er begyndt at spise / drikke af,fløskan er óásettflasken er hel
óát	noget uspiseligt,tað er so nógv óát í gomlum neytakjøtider er så meget uspiseligt i gammelt oksekød
óátalaður	upåtalt
óátuligur	uspiselig, uappetitlig, ulækker
óávinniligur	uovervindelig, urørlig
óávirkandi	(lingv.)intransitiv,óávirkandi sagnorðintransitivt verbum
óbati	skade, ugunst, disfavør,tað var mær til óbatadet var mig til stor skade
óbeinamaður	utjenstvillig mand
óbeinasamur	utjenstvillig,óbeinasamir og tvørir vóru teirde var utjenstvillige og besværlige
óbeinleiðis	indirekte;beinleiðis og óbeinleiðis ávirkan á borgararnardirekte og indirekte påvirkning på borgerne;tollur og nýtsluavgjøld eru óbeinleiðis skattirtold og brugsafgifter er indirekte skatter;óbeinleiðis talaindirekte tale;óbeinleiðis lýsingindirekte reklame
óbeinur	1ulige, kroget, skæv,óbeinur vegurvej der snor sig2urigtig, skæv, forkert,tað er óbeint at siga tað soleiðisdet er forkert at sige det sådan3hældende, skrånende4óbeintulige, urigtigt, forkert,hann viðgongur, at hann hevur gjørt óbeinurhan erkender, at han har gjort forkert
óbekvemmur	(talesp.)inopportun, ubekvem, ugunstig, umedgørlig, urimelig,eg eri so óbekvemmurjeg er så immobil / ubevægelig, jeg er så dårligt til bens
óbendandi	1stærk, ubøjelig, hårdnakket,hann sýndi óbendandi dirvi við røðu sínihan viste stort mod med sin tale2(lingv.)ubøjelig, indeklinabel, infleksibel
óbendiligur	stærk, ubøjelig, hårdnakket,óbendiligur forvitinskapurubøjelig nysgerrighed;ein óbendiligur viljien stærk vilje
óbendur	(lingv.)ubøjet
óbiðin	1ubudt,hvar skal óbiðin sita?hvor skal den ubudte sidde?2uopfordret, selvbestaltet, selvbeskikket, uanmodet,hann legði seg óbiðin upp í trætunahan lagde sig uopfordret imellem de stridende parter
óbindandi	uforbindende, uforpligtende,óbindandi tilboðtilbud uden forbindende
óbitin	(om græsgang)hvor får ikke har græsset,gott er hjá seyðinum at koma út í hagan, tá ið hann hevur ligið óbitin í tveir mánaðirdet er godt for fårene at komme i udmarken, når der ikke har græsset får i to måneder
óblandaður	ublandet, ren
óblíður	ugæstfri, ublid,rúmið var kalt og óblíttrummet var koldt og ugæstfrit
óblóðgaður	(fisk.)uopskåren(om fisk, som blodet ikke er løbet fra),lata fisk liggja óblóðgaðan og ósløgdanlade fisk ligge uopskåren og urenset
óblýggjaður	blyfri,óblýggjað bensinblyfri benzin
óboðin	ubudt,hvar skal óboðin sita?hvor skal den ubudte sidde?
óborin	1ufødt,óbornar ættirufødte generationer / slægter2som en mand ikke kan bære,hasin steinurin verður óborinder er ingen der kan bære den sten
óboyggiligur	ubøjelig;-liga
óbótagerð	ugerning, forbrydelse,her er gjørd ein óbótagerðher er der begået en forbrydelse
óbótaligur	ubodelig, uoprettelig,hetta hevur volt óbótaligan skaða fyri fólk og landdette har forvoldt ubodelig skade for folk og land;-liga
óbótamaður	ugerningsmand, forbryder
óbótaverk	ugerning, forbrydelse,illvirki og óbótaverkskade og forbrydelse
óbreiddur	óbreidd songuopredt seng
óbrigdil	(mat.)konstant
óbrigdiligur	uforanderlig,við óbrigdiligari vissumed uforanderlig sikkerhed
óbrotin	ubrudt, hel,slektin gongur óbrotin aftur til 1567slægten går helt tilbage til 1567
óbroytandi	invariabel
óbroytiligur	ensformig, monoton,óbroytiligt lívensformigt liv;í samfelagnum galda nakrar fastar og óbroytiligar siðaregluri samfundet gælder nogle faste og uforanderlige sædvaner;-liga
óbroyttur	uforandret, uændret,tey fyrstu hundrað árini sýnist málið hava hildið sær at siga óbroyttde første hundrede år synes sproget at have holdt sig så at sige uændret;óbroytt
óbrúkiligur	ubrugelig, ubrugbar, nytteløs
óbrýndur	usleben,líggin er óbrýndurleen er usleben
óbræddur	utjæret,tjøraðar innan, uttan vóru tær óbræddartjæret på indersiden, på ydersiden var de utjæret
óbundin	1ubunden, fri,hann var farin óbundin niður í bøkkarnar;tosið var rættiliga óbundið2(lingv.)ubestemt, indefinit,navnorð kunnu vera bundin el. óbundinsubstantiver kan være bestemte el. ubestemte;óbundin fornøvnubestemte pronomener3(litt.)prosa
óburður	vanskabning, misfoster
óburin	(bibl.)(om kvinde)ufrugtbar,men Sárai var óburin og fekk einki barnmen Saraj var en ufrugtbar kvinde og fødte ikke noget barn
óbúgvin	1ikke klar, uforberedt,málið er enn óbúgvið at leggja fyri fundinsagen er stadig ikke klar til at blive fremlagt på mødet21(om personer)umoden2(om planter, dyr, fugle osv.)ikke fuldmoden, ikke fuldvoksen
óbygd	ubeboetel.ubeboeligt sted,í óbygdumhvor ingen bor, i ødemarken
óbygdur	ubeboet, mennesketom,so stór oyggj hevur ikki ligið óbygden så stor ø har ikke ligget ubeboet
óbýli	ubeboetel.ubeboeligt sted, ødemark, ørken
óbýttur	(om fangstområdeel.fangst)udelt, fællesejet,hetta verður tikið av óbýttumdette bliver udtaget før delingen;mítt og títt er óbýttvi ejer alt sammen
óbægurt	i ordforb. somtað hevði ikki verið óbægurtdet ville være kærkomment;ikki óbægurtikke umuligt
óbøtandi	ubodelig, uoprettelig
óbøtiligur	ubodelig, uoprettelig,óbøtilig skommubodelig skam
ódagi	uenighed, klammeri, trætte,ódagi kom ímillum prestin og fútander opstod uenighed mellem præsten og fogeden;har eru altíð ódagar millum bøndurnarder er altid uenighed mellem bønderne;teir vóru komnir tilel.í ódagarde var blevet uenige
ódáð	udåd, ugerning, forbrydelse
ódálkaður	ubesmittet, pletfri, ren
ódámaður	(om tøj)snusket,plaggið er ódámaðtøjet er snusket
ódámligur	uindbydende, utiltalende, usympatisk,ódámligur gestur vardet var en usympatisk gæst;ódámlig hugsanutiltalende tanke;ódámlig lufttruende skyer(der varsler uvejr)
ódámur	uren farve,eingin hirðir at mála útyvir ódámin, húsini fáa av ódnarveðrinumingen gider overmale den urene farve, som huset får pga. uvejret
ódeyðaveður	vejr der giver fare for ulykker,annars hevur ikki verið ódeyðaveður fyri seyðellers har vejret ikke været til fare for fårene
ódeyði	død af ulykke(ikke sygdomel.sult; om mennesker især ved nedstyrtning i fuglefjeld),líðael.doyggja ódeyðastyrte ned i fuglefjeld
ódeyðileiki	udødelighed
ódeyðiligleiki	(bibl.)udødelighed,tað deyðiliga skal lata seg í ódeyðiligleika
ódeyðiligur	udødelig,gera ódeyðiligangøre udødelig;ódeyðiligar bókmentirudødelig litteratur
ódirvi	forknythed, modløshed, mismodighed, mismod
ódjarvur	modløs
ódjór	udyr, uhyre, monster
ódlátaður	støjende, larmende, højrøstet
