ø	1(lingv.)vokal2(lingv.)29. bogstav i det færøske alfabet (kaldes )
øða	(zoo.)hestemusling(Modiola modiolus)
øði	1galskab, raseri, ustyrlighed,øði er í honumhan er rasende;dansa av øðivære aldeles rasende;loypael.fáa øði í e-nbringe en i raseri;tá spannel.kom øði í hannhan blev rasende;í øðinirasende;koma í øðinablive rasende2skynding, hast,hon leyp heim aftur í slíkari øði, at hon mundi sorað seg sundur;í somu øðiniuden betænkning
øðibardagi	kamp, slag
øðiligur1	noget vild, ustyrlig
øðiligur2	(uregelm.)->øgiligur
øðimikil	vild, rasende, voldsom,øðimikið fjalladun
øðisligur	noget vild, ustyrlig
øðismikil	vild, rasende, voldsom
øðrum	seannar
øðrumegin	1på den ene el. anden side,doyggja niður øðrumeginlammes på den ene side;vera burtur øðrumeginvære borte et øjeblik (et ærinde);sita og grína burtur øðrumeginsidde og le for sig selv, le lumsk;øðrumegin við1ved siden af,bólturin fór øðrumegin viðbolden gik forbi stolpen,(overf.)syngja øðrumegin viðsynge falsk2underlig, mærkelig,hann er øðrumegin viðhan er mærkelig2på den ene el. anden side af,øðrumegin vegin
øðruminni	(talesp.)på den ene el. anden side
øðrvísi	anderledes, på en anden måde,vís teg ikki øðrvísi, enn tann tú ertprøv ikke på at være anderledes, end du er;ikki øðrvísi ennnæppe nok
øðrvísini	(talesp.)anderledes, på en anden måde,kundi tað verið øðrvísini?kunne det være anderledes?
øðuagn	madding af hestemusling
øðudregg	dræg til fangst af muslinger
øðudýr	(zoo.)musling(Modiola modiolus)
øðukelv	(zoo.)yngel af hestemusling(Modiola modiolus)
øðulingur	(zoo.)sort musculus(Modiolaria nigra)
øðuskel	skal af hestemusling,tað er málið í eini øðuskeldet er sagen i en nøddeskal
øga	forskrække, skræmme, gøre sky,øga e-nforskrække nogen;øgastforskrækkes, blive sky,mongum øgdist at síggjamange forfærdedes ved at se det
øgil	1brusende (snavset) vand i fremstyrtende elv(især om foråret ved tøbrud)2i ordforb. somhann er ein øgilel.hann leikar í sum ein øgilhan råber op som en gal;hann er ein øgil og ein bøðilhan er en hensynsløs person
øgiligur	1skrækindjagende, frygtelig,so øgilig var sjónin2megen, kraftig, voldsom,ein øgiligur vinduren kraftig vind;-liga1frygteligt, skrækkeligt2meget, særdeles, utrolig,tað var øgiliga stuttligt;eftir øgiliga stuttari tíð var drápið endað;ein øgiliga hørð kapping
øgilsvatn	brusende (snavset) vand i fremstyrtende elv
øgilvatn	brusende (snavset) vand i fremstyrtende elv,øgilvatn kemur sturtandi oman á slætt gjøgnum hvørt gil
øgn1	1(bot.)avne(palea)2(bot.)akseskæg, stak på aks(arista)3(farve)plet(spec. plet i fårets skind (uld))4en smule,ein øgn av kámum norðlýsi hekk í útnorðri
øgn2	i ordforb.vera væl (illa) í øgn við e-nstå sig godt (dårligt) med en, kunne (ikke kunne) lide en
øgn3	seagn
øgnutur	med akseskæg
øka	rutschebane
øki	1plads, rum, areal, område, zone, region,á e-m økipå et område;bygt økibebygget område;friðað økifredet område2(datal.)domæne
økil	(biol.)ankel,fótbóltsleikarin keikti økilinfodboldspilleren forstuvede anklen;upp um øklartil op over anklerne
øking	tillæg, forøgelse, tilføjet stykke
økismenning	egnsudvikling
økisnavn	(datal.)domænenavn
økja	øge, forøge, tilføje, lægge til,økja umforøge,økja um ferðinaforøge farten, sætte farten op;økja upp íindføje
øklabein	(biol.)fodrodsben, fodrodsknogle(ossa tarsi)
øklahosa	soklet
øklakavi	sne op til ankelen
øklaknútur	(biol.)ankelkno, ankelknude
øklaskeivur	med skæve ankler
øklasokkur	soklet
økrum	seakur
øks1	økse
øks2	seaks
øksarbit	mærke fra økse i træ
øksarblað	økseblad
øksarhamar	øksehammer
øksarhyrna	et af hjørnerne på et økseblad
øksarhøgg	øksehug
øksarkjaftur	økseæg
øksarskaft	økseskaft,(talem.)eg eri turrur sum eitt øksarskaftjeg er ædru
øksl	1(biol.)skulder;jf.herðar;mjáur um akslarsmal over skuldrene;líta um økslse sig tilbage, vende sig om,eg leit ikki um øksljeg lod som ingenting;yppael.kippa økslel.akslirrykke el. trække på skuldrene,skjóta akslirtrække på skuldrene;skjóta seg eftir øksltrænge sig frem sidelæns;(talem.)skeggið situr so nær høkuni og økslin so nær høvdinumen er el. føler sig forpligtet pga. det nære slægtskab2hjørne på spade("haki")3overgangen mellem hals og bug på en flaske,fløskan er um akslir4(stedn.)skulderlignende formation,Middagsøksl;Økslin5rabat,tað er ikki loyvt at seta bil á gongubreyt ella øksldet er ikke tilladt at parkere bilen på fortovet eller på rabatten
økt	tidsrum på 3 timer, 1 / 8 af døgnet
øl	1øl,(ordsp.)tá ið ølið fer inn, fer vitið út;(ordsp.)øl er annar maðurøllet gør mennesket til et andet2ølflaske,tvær ølto øl
ølaður	drukken, beruset
ølbjølgur	1øldrikker2ølmave, ølvom
ølbryggihús	ølbryggeri
ølbrygging	ølbrygning
ølbryggjari	ølbrygger
ølbúkur	ølmave, ølvom
ølbøli	(neds.)ølstue
øld	1tid, tidsalder,fornøldoldtid;miðøldmiddelalder2århundrede el. århundred, sekel,tjúgunda ølddet 20. århundrede;farna øldindet forrige århundrede
øldeymur	øldunst
