ú	(lingv.)1vokal224. bogstav i det færøske alfabet (kaldes )
úlda	(om mad)blive sur, fordærves
úldna	(om mad)blive sur, fordærves
úldrynja	(zoo.)hunsæl;jf.brimil
úldur	(om madvarer)fordærvet,úld mjólkfordærvet mælk;hatta luktarel.smakkar últ
úlma	(om mad)blive sur, fordærves
úlpa	skindforet frakke med hætte
úlvajarn	redskab til at klippe af drøbelen med
úlvasaksur	redskab til at klippe af drøbelen med
úlvdrynja	hunsæl
úlvfiskur	(fisk.)ålebrosme(Lycodes esmarkii)
úlvsur	drøbel
úlvungi	ulveunge
úlvur1	(zoo.)ulv(Canis lupus),(talem.)berjast sum úlvur á skógkæmpe bravt,(talem.)koma í úlvsins kjaftkomme i stor fare
úlvur2	(biol.)drøbel(uvula)
úr	med1fra, af,drekka úr fløskudrikke af flaske;fara úr einum felagmelde sig ud af en forening;missa úr hondunumtabe af hænderne;ganga hús úr húsigå fra hus til hus;lata segel.fara úr klæðunumtage tøjet af;fiskur úr sjónumfisk fra havet;koma úr skúlakomme fra skole;stað úr staðfra et sted til det næste;úr øllum ættumfra alle (vind)retninger;úr útlondumfra udlandet;ein úr hvørjum flokkien fra hvert parti;umsett úr norskumoversat fra norsk2(om position)væk fra,í ein útsynning úr Mykinesii sydvestlig retning fra Mykines, sydvest for Mykines;stutt úr landikort fra land;hann var burtur úr bygdinihan var ude af bygden3(om materiale i noget)lavet af,úr jarni, viði, gulliaf jern, træ, guld4i ordforb.nú er tikið væl úr honumsøen er blevet roligere;hava frí úr skúla(num)have fri fra skolen;tað kennist úr honumdet (fin)regner;tikin úr leikumfremragende;úr enda í annanfra den ene ende til den anden;seta úr gildisætte ud af kraft5(sammen med adverbium)burtur úr:ull at gera hosur burtur úruld til strømper;sleppa sær burtur úr e-mstoppe med noget;hin djarvasti burtur úr flokkinumden modigste i klassen;hann er farin burtur úrhan er ikke med mere(fx i leg),bregða (burtur) úr ætt,sebregða;fáa (e-t) burtur úr e-mfå (noget) ud af noget;hvat fekst tú burtur úr tí?hvad fik du ud af det?;fram úr:fram úr seinginiud af sengen;fram úr flokkinum;fáa (e-t) fram úr særmed nød og næppe få sagt noget;oman úr:oman úr fjallinumned fra fjeldet;upp úr:upp úr jørðiniop af jorden;roykur kom upp úr skorsteininumder kom røg op af skorstenen;upp úr svøvniop af søvne;út úr:út úr húsunumud af huset  / /6hava úr at gerahave meget at lave;verða úrske, hænde,ilt verður okkum úr, um vit ikki finna onkur góð ráðdet går galt (for os) hvis vi ikke finder på råd;illa varð honum úr henda dagdet gik galt for ham den dag;tað varð so úr, at hann doyðidet førte til at han døde7(præposition / adverbium sammen med verbum)fxanda úr;binda úr;drekka úr;fáa úr;skipa úr;taka úr(se verbum)
úra	(barn.)úra segtage tøjet af
úrbeina	udbene,úrbeinað neytakjøtudbenet oksekød
úrbregði	(biol.)mutation,tey frábrigdini, ið upp eru komin tey seinnu árini av úrbregðide afvigelser, som er opstået de senere år ved mutation
