ý	1(lingv.)vokal2(lingv.)27. bogstav i det færøske alfabet (kaldesseinnael.sj.langa)
ýa	vrimle, myldre
ýl	1(tyre)brøl,ýlini hoyrast frá teimumbrølene kunne høres fra dem2hyl, vræl,hann gjørdi eitt ýlhan satte i et hyl3tuden,ýlið frá hvirluni minkaðituden fra vindstødet blev mindre
ýla	1(om kreaturer)brøle2tude,ávaringarlúðurin ýldisirenen tudede3hyle,stormurin ýlir um húsarhorniðstormen hyler om hushjørnet;bilurin fór við ýlandi ferðbilen for med rasende fart4aftur at ýlaså skal vi i trædemøllen igen
ýlan	hylen, tuden
ýsopsleggur	(bibl.)stængel af isop,teir settu ein svamp fullan av ediki á ein ýsopslegg og bóru honum at munni
ýsopur	(bot.)isop(Hyssopus officinalis)
ýta1	overflade
ýta2	pejle, orientere sig (på havet) ved hjælp af mærker på land, bestemme (især et fiskemeds) position,ýta (eitt mið) avafpejle (en fiskebanke)
ýti	sømærke for fiskere, mærke på land hvorved en fiskebanke findes igen,sigla inn eftir ýtumsejle ind til land efter sømærker
ýva	ýva seg upprejse børster, indtage en truende holdning
ývin	1strid, strittende,hava ývið hárel.skegghave stridt hår el. skæg2stridbar, kradsbørstig,ývin tarvuren stridbar tyr;hann gjørdi seg ývnan og rópti: "Still børn!"han gjorde sig strid og råbte: "Tig stille børn!"
ývna	1(om hår, uld)blive strid,hárið ývnaði á høvdinumhåret blev stridt på hovedet2hæve sig, blive hoven, svulme (op),hon ývnaði av errinskapi3blive værre,veturin ývnaði í hvørjumvinteren blev mere og mere streng
