A,a	(málfr. og tónl.)A, a;hevur tú sagt a, mást tú eisini siga bin for a penny, in for a pound;frá a til zfrom A to Z
abbaba	(barnam.)granduncle, great-uncle
abbabarn	grandchild
abbabeiggi	granduncle, great-uncle
abbabróðir	(sj.)granduncle, great-uncle
abbadidd	(barnam.)grandaunt, great-aunt
abbadissa	abbess
abbadóttir	granddaughter
abbaligur	precocious; old-fashioned;hj-liga
abbasonur	grandson
abbasystir	grandaunt, great-aunt
abbati	abbot
abbi	1grandfather;(tlm.)grandpa, granddad2old man3abbar (skaldsk.)forefathers, ancestors, for(e)bears4steina abbarplay ducks and drakes
ABC	1ABC'sflt (t.d.he learned little more than his ABC's); (stavibók) spelling book; ABC-book2(byrjanarstig) ABC(t.d.the ABC of finance; the ABC of piano playing)
A. B. C. D.	(st.)American, British, Chinese, Dutch [londini, ið bardust ímóti Japan í seinna heimsbardaga]
abnorm	sífrábregðandi
abnormitet	sífrábrigdi
abonnement	síhald
abonnentur	síhaldari
abonnera	síhalda
abort	sífosturtøka
abortera	síeiga í ótíð,taka fostur
abrikosa	apricot
absoluttur	síavgjørdur;algildur
abstinensur	(lækn., tlm.)withdrawal symptom(s); sírúsfjáltur
abstraktur	síúrtøkur
absurdur	síhøpisleysur,skilaleysur
a-bumba	síkjarnorkubumba
Addis-Abeba	(sern.)Addis Ababa
adjektiv	sílýsingarorð
adjudantur	(herm.)aide-de-camp, A.D.C., ADC; (herflokkaadjudantur) adjutant
adjunktembæti	mastership
adjunktur	1upper secondary school teacher;(samb.lektari) junior teacher; master at a grammar school2(á fróðskaparsetri) lecturer at a university;(am.)assistant professor at a university
administrera	sístanda fyri,sita fyri,fyrisita,umsita,stíla fyri
admirálur	1(herm.)admiral2(firv.)red admiral(Vanessa atalanta)Vanessa atalanta ©iStock
adoptera	síættleiða
adoptivbarn	síættleiðingur
adressa	1(á brævio.tíl.ogteld)address,(t.d.not known at this address); Mr X, c/o Mr Y2(bústaður) address(t.d.he has changed his address; he has moved to another address); síáskrift3(áheitan) address, petition(t.d.present an address//a petition) to him; they got up an address to him among the people of the town)
adressera	sítilskriva
Adriahav	(sern., landafr.)the Adriatic
advent	(kirkj.)Advent,fyrsti//annar o.s.fr. sunnudagur í adventthe First//SecondetcSunday in Advent
adventistur	(átr.)Adventist
adventskransur	Advent wreath
adventssunnudagur	Advent Sunday
adverbium	síhjáorð
advokatfulltrúi	(løgfr.; svarar til)solicitor's clerk
advokatloyvi	(løgfr.)fáa advokatloyvi be admitted (as a solicitor), be called to the Bar,(am.)be admitted to the Bar;missa advokatloyvibe struck off the Rolls, be disbarred
advokatpraksis	lawyer's practice, legal practice; law firm; (solicitor's) solicitor's practice; (barrister's) practice at the Bar
advokatráð	advokatráðið (svarar til) the General Council of the Bar
advokatsamsýning	(løgfr.)lawyer's fee
advokatskrivari	(uml.)legal secretary
advokatskrivstova	(løgfr.)lawyer's office; solicitor's office; (barrister's) chambersflt
