ba	(barn.)brother, little brother, (um tann yngstaeis.)baby brother
babb	nonsense, rubbish;(tlm.)drivel, guff, tosh, waffle, poppycock
babba1	(barn.)dad, daddy
babba2	talk nonsense(el.rubbish);(tlm.)drivel;Stalk daft;babba um (tlm.)drivel on about; (ósamanhangandi) babble about; (møsna) talk rubbish, blabber about, witter about, waffle (on) about; (óskiljandi) burble about(t.d.what is he burbling about?); (uttan íhald) blabber; (langrøkjutur, um einki) witter;(serl.:tosa uttanum) waffle
babbaba	(barn.)uncle
babbaræddur	(stb.) síbebbaræddur
babl	nonsense, rubbish
babla	talk nonsense(el.rubbish);(tlm.)drivel;Stalk daft
badminton	(ítr.)badminton
badmintonbóltur	shuttlecock;(am.)bird, birdie
badmintonketsjari	badminton racket
bað1	1(innandura) bath(t.d.a cold bath, a Turkish bath); (brúsubað) shower;vera í baðbe in the bath, be taking(el.having) a bath, be bathing;hann er í baðhe is in the bath; (brúsubað) he is having(el.taking) a shower;fara í bað, fáa sær baðhave(el.take) a bath;(am. eis.)bathe2bath water3(bath)tub; bathroom4(ídn.)bath(t.d.acid bath)
bað2	síbiðja
baða	1(úti) bathe, go bathing, go for a swim, have a dip2take(el.have) a bath3baða e-m barnibath a child
baðhús	1(public) bathsflt2(svimjihøll) swimming bath3(svimjihylur) swimming pool4(heilsubótarstøð) hydro
baðibóltur	beach ball
baðigestur	bather; holidaymaker;(ofta =)visitor
baðihandklæði	bath towel; (til strond) bathing towel, beach towel
baðihetta	bathing cap, swimcap
baðihotell	seaside hotel; (heilsubótarstøðeis.)hydro
baðihús	síbaðhús
baðikar	(bath)tub
baðikápa	bathrobe(el.bath robe);(ofta =)dressing gown; (til nýtslu á strondini) bathing wrap
baðimátta	bath mat
baðirúm	bathroom
baðirúmsútgerð	bathroom equipment
baðisalt	bath salts; bath cubesflt
baðisanatorium	hydro
baðistrond	bathing beach
baðivatn	bath water
baðivekt	bathroom scalesflt
baðiviðgerð	cure (at a spa); balneotherapy;(lækn.)hydrotherapy
baðkar	(sj.)síbaðikar
baðrúm	(sj.)síbaðirúm
baðstaður	1(strond) bathing place(el.beach)2(býur) seaside resort, watering place3(heilsubótarstaður) spa, health resort; hydro
baðstova	1sauna2bathroom
baðvørður	bath attendant; (á strond) bathing attendant; (bjargari) lifeguard
baga	hvat bagir tær? what is the matter(el.what is wrong) with you?;honum bagir einkithere is nothing the matter(el.wrong) with him; he is all right;lungum hansara bagir einkithere is nothing the matter(el.wrong) with his lungs; his lungs are sound;tær bagir okkurt (tlm.)you ought to have your head examined
bagal	(sø.)crosier, crozier
bagavirt	(sj.)difficult
bagga	síbaga
bagi	trouble, inconvenience, loss
bagsteinur	(sj.)síbágsteinur
