d	(eis. tónl.)D, d
d.	(st.)day, date; died
dadda	1nurse,(tlm.)nanny; baby(-)sitter;sita daddababy-sit2little sister; little girl
daddast	(tlm.)baby-sit
daddudrongur	sídaddusonur
daddumentan	nannyism
daddusonur	foster son
daddusøga	old wives' tale,(tlm.)cock-and-bull story, baloney
dadla	(plfr.)date
dadlupálmi	(plfr.)date palm(Phoenix dactylifera)©iStock
dadlusteinur	date stone
daffa	slander, calumniate,daffa fólkslander people
daga	come into sight,daga upp móti luftinibe silhouetted against the sky
-daga	síupp-
dagamunur	difference from day to day,tað sæst dagamunur á honumyou see a difference in him from day to day
dagaskil	ikki vita el. duga dagaskil1lose track of time, lose (all) sense of time2be simple (-minded)
dagast	come into sight, loom (up)
-dagast	síav-
dagatal	1number of days2calendar, almanac
dagblað	daily (paper)
dagbók	diary; journal; (at skriva avtalur í) appointments diary;(sigl.)log;skriva dagbókkeep a diary (of);(sigl.)keep a log;skriva í dagbókinaenter into the diary (, log)
dagbóka	journalize, enter in the journal;(tlm.)log
dagbókarhøvundur	diarist
dagbókasavn	medical archivesflt
dagbót	1(løgfr.)[fine proportionate to the offender's daily income]2daily penalty, daily fine
dagbretting	(sj., stb.)dawn, daybreak;í dagbrettinginiat daybreak
dagdeild	(lækn.)day section
dagdreymur	daydream, reverie
dagdroymari	daydreamer
dagdvølja	1pastime(t.d.watching television now seems to be the most popular national pastime)2(spæl) puzzle3(fl.m.,stb.) tú vart mær ein rættilig dagdvøljayou completely wasted my time
dagfallin	due, payable, falling due,dagfallin veksilbill which has fallen due, matured bill
dagfastur	fixed (date)
dagfesta	date(t.d.a letter dated May 2nd, 1890);bræv tygara dagfest 2/5your letter of May 2nd;tilnevning dagfest fráappointment to date from;dagfesta segdate(fráfrom, back to);ikki dagfestundated, not dated
dagfesting	date, dating; (handilsm.)ár til dagfestingyear to date;við ongari dagfestingundated
dagføra	bring sth up to date; update sth;(teld.)update;dagføra bøkurnarkeep the books up to date;dagføra okkum viðkeep us up to date with, keep us informed(el.posted) as to;dagføra segkeep up (to date) with, keep abreast of(el.with)
dagførdur	updated, up-to-date(t.d.information)
dagga	amble(t.d.we ambled down to the beach; they ambled along for miles),koma daggandicome trailing(el.straggling);koma daggandi aftanáamble along in the rear
daggamal	one day old, day-old(t.d.chicks);daggomul eggeggs straight from the nest;daggomul tíðindiup-to-the-minute news
daggari1	1idler, loafer2dagger
daggjald	day rate
dagglæma	sídagsglæma
daggrýti	(jarðfr.)extrusive rock, effusive rock
daghol	(kolanám) main shaft
-dagi	síbar-,ó-
daginar	(stb.) í osb: um daginarthe other day
dagin-eftir-bolli	morning after pill
dagini	sídaginar
dagkrem	day cream
daglangt	for the whole day
dagleið	day's journey
dagligstova	(tlm.)sitting room, lounge
dagligur	1daily,(bíbl.) dagligt breyðdaily bread; everyday, familiar2hj-ligadaily, every day(t.d.he comes here every day);dag og dagligaevery single day
daglilja	(plfr.)day lily(Hemerocallis)
dagljóst	tað er dagljóstday has come
dagløn	1(løn fyri arbeiði í ein dag) day's wages, day wage2(móts.akkordløn, vikuløn) wages by the day;arbeiða fyri daglønbe paid by the day
dagmerki	date-marking, date-stamping
dagmerkja	date sth, mark the date of sth
dagmiðstøð	day-care centre
dagna	sídegna
dagpeningur	maintenance(el.subsistence) allowance, daily(el.per diem) allowance; unemployment benefit; (sjúkrapengar) sickness benefit(s); (ES) daily subsistence allowance;(trygg.)daily benefit;fáa dagpeningbe on the dole
dagrúm	(stb.)sídagræði
dagræði	1í osb: eg fekk dagræði aftur til húsI reached home before it got dark2daylight (by daylight, in daylight)
dagrøkt	day-care (in private homes)
dagrøktarheim	day-care center
dagrøktarmamma	child-minder, baby-minder;kommunal dagrøktarmammaregistered child-minder
dagsarbeiði	day's work
dagsbrúgv	(gl.)dawn, daybreak
dagsbrún	sídagsbrúgv
dagseta1	í osb: nú fer at dagseta now daylight is fading;nú er dagsettdaylight has gone
dagseta2	sídagfesta
dagseting	sídagfesting
dagsetur	close of the day, twilight, dusk, gloaming,um dagseturin the dusk
dagsetursskeið	(hour of) twilight
dagsferð	day's journey
dagsfreist	(løgfr., handilsm.)day of grace
dagsgerð	1day's work,hatta er ein heil dagsgerð at gerathat is a whole day's work2(sj.)the business of the day, the day's work, the daily round
dagsglæma	streak of dawn
dagskeið	(skúlam.)day course
dagskúli	(skúlam.)day school
dagsleið	day's journey
dagsljós	daylight;í dagsljósiby daylight, in daylight,eg síggi at lesa við dagsljósiI can see to read by daylight
dagslýsi	daylight,í dagslýsiby daylight, in daylight
dagsløn	sídagløn
dagsmøði	the day's toil
dagsprísur	current(el.today's) price, market price;fyri lægsta dagsprísat today's lowest prices
dagssetningur	day's work
