e	(eis. tónl.)E, e
EBS	(Evropiskt Búskaparligt Samstarv)EEA (European Economic Area)
Edda	(sernavn.) (bókm.)Edda (the Elder Edda; the Younger Edda)
eddukvæði	(bókm.)Eddic(el.Eddaic) poem
ediksbakteria	vinegar bacterium
ediksfløska	vinegar bottle
ediksgeri	acetifier
ediksgering	acetous fermentation
edikshunang	oxymel
edikssprit	vinegar essence
edikssýra1	acetic acid
edikssýra2	(evnafr.)acetic acid
edikssýrugering	acetic acid fermentation
edikur	vinegar,(t.d.cider vinegar; malt vinegar);leggja í edikkpickle
ediligur	1noble2precious;hj-liga
edilingur	1(kvæð.)noble,(ofta =)lord2noble person
edilsteinur	(tlm.)precious stone; (ofta minni viðgjørdur) gem
edrúur	sober(t.d.he is never sober; he is completely sober; drunk or sober he is gloomy);gerast edrúurget sober, sober up(el.down);gera edrúansober(t.d.this sobered him); sober down;pínliga edrúurstone cold sober;edrúur(when) sober(t.d.he never goes to bed sober); in a state of sobriety; sober as a judge
edv	(teld.)EDP, edp(stelectronic data processing); computer(t.d.centre; network);brúka (, skifta til) edvcomputerize
eðiligur	síediligur
eðilingur	síedilingur
eðilsteinur	síedilsteinur
eðulingur	síøðulingur
effinett	just, precisely, exactly
