F	1(stavur ogtónl.) (forml.)2(st.fahrenheit)(forml.) (t.d.32F)
f.	(st føddur)b. (stborn)
fabrikk	síverksmiðja
faddur	sponsor, godparent, godfather, godmother;standa faddur atstand sponsor to, be(el.act as) godfather (, godmother) to;biðja hann til faddurask him to be godfather
faddurgáva	christening gift (from a sponsor)
faðir	1father(t.d.become a father; biological father);hann var mær sum ein faðirhe was (like) a father to me;hann er faðir at Xhe is the father of X;leggja hann undir at vera faðir at barninumfather the child on him; name him as the father of the child;(tlm.)dad, daddy;(am.)pop;(tlm.: í umtalueis.)the old man2(fl.m.)father(t.d.he is the father of English literature)3(um prest) father(t.d.the Jesuit fathers; Father Brown); (framman fyri navn á gomlum monnum) Father(t.d.Father William);(tlm.)Old Man(t.d.Old Man Jones); the governor;(skaldsk.)sire4(um Gud)faðirinthe Father5(um pávan) the Holy Father
faðirarvur	patrimony, paternal inheritance
faðirbinding	(sálarfr.)father fixation
faðirbróðir	(paternal) uncle
faðirfólk	(sj.)family line on the father's side
faðirgleði	joy of fatherhood, paternal joy
faðirhatur	father hatred
faðirhjarta	father's heart
faðirhús	(bíbl.)father's house; ancestral home
faðirkompleks	(sálarfr.)father complex
faðirkærleiki	paternal love
faðirleivd	ancestral property
faðirleysur	fatherless
faðirligur	1fatherly, paternal;(fl.m. ofta =)avuncular(t.d.his avuncular manner towards me);faðirligt vælsignilsifatherly blessing2hj-ligain a fatherly way, like a father, paternally;taka sær faðiliga av honumlook after him like a father
faðirloysingur	fatherless child
faðirmorð	patricide, parricide
faðirmynd	(sálarfr.)father figure
faðirsgarður	ancestral farm, ancestral estate; (spæl)leiða í faðirsgarðplay bind man's buff
faðirskaparmál	(løgfr.)affiliation proceedings, paternity suit
faðirskaparroynd	(løgfr.)paternity test(ing)
faðirskapur	(løgfr.)paternity, fatherhood;frákanna sær faðirskapdeny paternity;leggja hann undir faðirskapfather it on him, name him as father
faðirsnavn	(málfr.)patronymic
faðirstoltleiki	paternal pride
faðirsystir	(paternal) aunt
