g	(stavur ogtónl.)G, g; g(st. fyri:gramm) gram, gramme
G10	(st.)Tíggjulandabólkurin G10; the Group of Ten
G5	(st.)Fimmlandabólkurin G5; the Group of Five
G7	(st.)Sjeylandabólkurin G 7; the Group of Seven
gabb	1boasting, bragging, brag, swaggering, boastfulness;tað er tað bera gabbit is an empty boast2braggart, boaster
gabba	1boast, brag, exaggerate, talk big, crow;(tlm.)shoot a line(t.d.she said she was an expert skier but I think she was just shooting a line);gabba sær av e-mboast of(el.about) sth, brag of(el.about) sth, crow about sth;gabba sær avshow off, display, make a show of, parade(t.d. one'slearning, one's jewellery); flaunt(t.d. one'snewly acquired riches);hann gabbaði sær av tíhe made a show of it;einki at gabba sær av (eis.)nothing to write home about; not up to much; nothing to make a song and dance about2(sj.)take in, trick, fool, impose upon;gabba eindeceive (somebody)
gabbari	boaster, braggert
gabbi	sígabbari,(stb.) kasta gabbaplay ducks and drakes
gabbro	(jarðfrøði) gabbro (innskotið grótslag eins og basalt)
gabbutur	boasting, bragging, swaggering, boastful; showy, ostentatious; (hátíðarligari) vainglorious
gadda	1(um hár og gras) crop(t.d.crop a meadow; croped grass,), cut close;alt hárið varð gaddað omanavhis head was cropped2[bite the grass down to the roots]
gaddajørð	sígaddur
gaddur	hard ground (, soil)
gaddutur	(um lendi) hard
gaffateyp	gaffer tape, duct tape
gaffil	1fork,tindarnir á gafflithe prongs of a fork2(stemmigaffil) tuning fork3(á súkklu) fork;(tøkn. t.d.til liðsambindingar) yoke4(sjóm.)(til bumm) crutch; (til gaffilsegl) gaff
gaffilbiti	gaffilbitartitbits of pickled herring
gaffillykil	fork wrench, fork spanner
gaffilsegl	(skip.)gaff sail, trysail, spencer;stóra gaffilseglmain trysail.
gaffiltoppsegl	gaff-topsail
gaffiltrukkur	fork-lift truck
gagg	[imitation of the sound of fulmars]
gagga1	1clog; wooden-soled boot2football boot
gagga2	(barn.)louse(fltlice)
gagga3	(barn.)hen, duck
gagga4	[imitate the sound of fulmars]
gagguskógvur	clog
gagn	1(fyrimunur) benefit, profit, good, gain, advantage,fáa/hava gagn avbenefit by, derive(el.get) benefit from, profit from, derive profit from;hann gjørdi meira skaða enn gagnhe did more harm than good;eg havi einki gagn av tíI get nothing out of it; it does not benefit me; it does not do me any good;vera til gagns fyribe of benefit to, benefit2(nytta) use,gera gagn, vera at gagnibe useful, do good, prove useful;kanst tú fáa gagn av tíif it's any use to you; (um fólkeis.)make oneself useful;tað er lítið gagn í tíit is very little use;eg havi einki gagn av tíit is no use to me;gera gagn fyri tveywork for two; do the work of two;vera til gagns fyribe of use to;til gagns fyri hvat?what is the good(el.use) of it?, what use is it?, what is the use?,(tlm.)what's the point3(til lítar)til gagnsthoroughly, with a vengeance4(lívfr.)organ
gagna	1benefit, profit, be good for(t.d.it is good for my health); be beneficial to, avail2be useful to, be of use to;gagna e-mbe to (somebody's) advantage, agree with someone3[íyms.samb.]væl gagnist teimum taðthey really deserve that;(niðr.) væl gagnist teimumthey are getting what they deserve;væl gagnist!(sagt av heimafólki tá ið ein biður manga takk) may it do you good!;hvørjum gagnar tað?what is the use of that?, what use is that?, what is the use?,(tlm.)what's the point of that?;(bíbl.) hvat gagnar tað manni um hann fær (vinnur) allan heim?what is a man profited, if he shall gain the whole world?; what will it profit a man, if he gains the whole world?; what will a man gain by winning the whole world?
gagnfiskur	food fish
gagnfuglur	food birds
gagngera	work up(t.d.raw materials into finished goods)
gagngóður	useful, profitable, advantageous, lucrative
gagnleysur	useless, unprofitable, ineffective, futile; of no benefit, of no advantage,(eis.)no use(t.d.it is no use)
gagnligur	1beneficial, advantageous, profitable2useful, serviceable(t.d.a useful lesson)3expedient, suitable;tá ið tygum halda tað vera gagnligtwhen you think it expedient, when you see fit4(aðrar máliskur)arbeiðið tykist hava verið gagnligtyour efforts seem to have changed things for the better;hetta hevur havt gagnligt árin áthis has had a positive effect on
gagnlist	applied art; decorative art; (verksmiðjugjørdeis.)industrial art
gagnlítil	useless(t.d.advice, effort, remedy, thing); unprofitable, profitless(t.d.a profitless discussion); purposeless, unavailing(t.d.effort); ineffective, futile(t.d.a futile attempt; resistance would be futile); fruitless, vain(t.d.effort)
gagnloysi	uselessness, futility, pointlessness
gagnlutur	utensil, useful object, article for everyday use
gagnmeta	criticize(t.d.a book, a work of art);gagnmeta harðligacriticize severely,(tlm.)pull to pieces(GG:the critic did a hatchet job on the book); rubbish(t.d.the critics rubbished the book)
gagnmetari	critic, reviewer
gagnnýta	1utilize(t.d.one's opportunities, a machine)2make use of, turn to account,gagnnýta eitt vælturn it to good account;gagnnýta tað so væl sum til berturn it to the best (possible) account; make the best possible use of it; make the most of it3exploit(t.d.atomic energy);gagnnýta eitt vinnuligaexploit sth commercially; put sth to commercial use(GG:Christmas is becoming commercialized)4make the most(el.best) of(t.d.one's talents)5work(t.d.an invention, a mine, a patent); develop(t.d.a colony, the resources of a country); tap(t.d.new resources; there are many new resources waiting to be tapped);gagnnýta vatnorkudevelop(el.utilizeel.exploitel.harness) (the) water power; the country has fine reserves of harnessable water power;gagnnýta kunnleika (eis.)pick sby's brains
gagnnýti	(teld.)efficiency
gagnnýtsla	utilization, exploitation; development;gagnnýtsla av vatnorkudevelopment(el.exploitationel.utilizationel.harnessing) of water power
gagnnýtur	(teld.)effective
gagnplanta	utility plant
gagnsamligur	appetizing, tempting,lítið gagnsamligurnot at all tempting;hj-liga
gagnsemi	sígagn
gagnsleysur	useless, unprofitable, ineffective, futile, unproductive
gagnsligur	1sígagnligur22(um mat)sígagnsamligur
gagnsmál	advantage benefit, profit,røkja egin gagnsmállook after one's own interests
gagnstøður	(sj.)opposite, contrary
gagnsverk	usefulelprofitable work
gagnturrur	thoroughly dry
gagnvegur	short cut
gagnviður	timber
gakk	síganga
gal	crow(ing), bawl(ing), yell(ing), squall(ing), shout(ing)
gala	1(serl.um høsn) crow2(fl.m.) hann datt, so tað gól í kroppinumhe fell with a thump3(meyla um)nú er tað tað, sum gelur í honumnow that is what he is always talking about
galaksa	sístjørnubreyt
galantur	síkurteisligur
galda	1(vera í gildi, standa við) be valid(t.d.the permit is no longer valid; this coupon will be valid from 1st Dec.); hold good(t.d.my promise still holds good); apply(t.d.does this regulation still apply?); be in force(t.d.the law, the contract, is still in force); remain in force(t.d.as long as our obligations remain in force); be effective(t.d.these prices are effective as from January 1st); obtain(t.d.the conditions obtaining for; as long as present conditions obtain); pertain(t.d.the level of unemployment today is higher than that pertaining in 1990);(tlm.)go(t.d.what he says goes); (um ferðaseðil) be valid, be available(t.d.the ticket is available for a month, for the return journey); (um mynt) be current, be legal tender; (blaðhald) run,blaðhaldið geldur frá 1. jan.the subscription runs (as) from 1st Jan.; (lyfti) hold,lyftið geldur ennthe promise still holds (good); (tilboð) be open,tilboðið geldur í tveir dagarour offer is open(el.remains open) for two days;okkara tilboð geldur bert um svar verður latið okkum beinanvegour offer is subject to confirmation by return of post2(telja við) count(t.d.a goal does not count if it is shot from outside the circle)3(við røttum sigast um) be true of(t.d.it is true of Nelson that he never lost a battle); apply to(t.d.the word blackmailer applies to the father as well as to the son); hold true of; hold good of4(viðvíkja) apply to(t.d.this rule does not apply to foreigners); concern(t.d.rules which concern the transfer of property); be about, be a matter of;(tlm.)go for(t.d.you will all be dismissed if you smoke here ­ this goes for you too, Smith!)5(um lóggávu) apply to, concern, govern(t.d.the legislation governing the sale of alcohol);treytirnar sum galda fyrithe conditions which govern(t.d.the conditions which govern the acquisition of property);reglan geldur ikki longurthe rule no longer applies;henda regla geldur allastaðni (eis.)this rule is of general application;hetta geldur ikki sum nakað prógv (um)this cannot be accepted as proof (of);hesar ásetingar galda til 1. meithese regulations remain in force until 1st May;rættargangsreglur sum galda við tjóðardómastólar(ES) the rules of procedure applicable before the national court (, tribunal);henda lóg geldur ikki fyri Føroyarthis Act does not apply to the Faroes;lóggávan sum geldur fyri hesi málthe legislation governing these matters;henda lóg geldur frá 1. junithis Act comes into force on 1st June; this Act applies as from 1st June6(vera ætlað) be aimed at(t.d.the remark was aimed at me)7(fevna um) apply to(t.d.these statistics apply to adults as well as to children); hold(el.go) for(t.d.this holds(el.goes) for every case I have examined)8(verða hildin at vera) pass for(t.d.among his friends he passes for a genius); be regarded as; be supposed to be(t.d.he was supposed to be a millionaire); be true of(t.d.it is true of him that he never failed a friend in need); apply to, hold true of, hold good of(t.d.my remarks about motor engines also hold good of aircraft engines)9[orðingar við ,,tað geldur"]tað geldur ikki(1) it does not apply (any more); it is invalid; (2) it does not count; (= ikki loyvt eftir reglunum) you cannot do that; that is not allowed; that is not fair (play); that is not playing the game;(tlm.)that is not cricket;tað geldur líviðhis life is at stake; it is a matter of life and death for him;tað geldur bæði landsmann og útlendingboth in the case of a compatriot and a foreigner; whether the person in question is a compatriot or a foreigner;hann rann sum galt tað lívhe ran for dear life;um tað so galt mítt lív so hevði eg ikki kunnað sagt taðI couldn't tell you to save my life;tá ið tað geldur (um at)(= tá ið tað er neyðugt) at a pinch(t.d.I can live on bread and margarine at a pinch); when it comes to(t.d.financing a costly defence system); (í truplari støðu) in an emergency, when it counts(t.d.that type of man is always best in an emergency);(tlm.)in a tight spot; (tá ið til stykkis kemur) when it comes to the crunch(el.to it); when the chips are down; (raka)tá ið tað geldur hansara egna pengapungwhen it is a question of his own purse;tað geldur hansara heiðurhis honour is at stake; it is a matter which touches his honour
galdandi	1(sí:í gildi) valid; (um ferðaseðileis.)available(t.d.a ticket which is available for the return journey); (um mynt) current; (um mynt: sum umsagnarlið) legal tender2(við denti á: nú; sí: í gildi) present(t.d.the present system); current(t.d.at the current scale of wages); existing; prevailing; applicable(t.d. galdandi tollgjøldduties applicable);ásetingar galdandi til eina og hvørja tíðthe rules in force at the time in question;galdandi áskoðanircurrent opinions;galdandi gjaldskráthe scales at present in force, the present(el.current) scales; (um fortíð) the scales then(el.at that time) in force;galdandi lógirthe acts at present (, at that time) in force, the existing(el.current) legislation;galdandi sáttmálarexisting agreements
galdra	1shout, cry out, squall, scream, make a noise (, din); be noisy; make a racket; storm, rage, fume; brawl; (um barn) prattle; (um pinkubarn) babble; (um hjarta) beat, throb, pound;hjartað fór upp at galdramy heart started beating2practise sorcery, cast spells
galdrakvendi	(sa.)shrew, termagant
galdran	screaming, noise(t.d.what a noise you make!); din(t.d.an awful din); racket; uproar(t.d.the uproar of an angry crowd); clamour(t.d.of the crowd), tumult;(tlm.)hullabaloo(t.d.the boys made an awful hullabaloo), row(t.d.stop that row)
galdrutur	noisy, boisterous, uproarious; tumultuous; (ógvisliga) rowdy
galdur	1sígaldran22witchcraft, sorcery, magic, spell(s)
galeasa	galeas(s)
galeiða	(sø.)galley,døma til galeiðurnarcondemn(el.send) to the galleys
galeón	(seglskipaslag) carrack
Galilea	Galilee
galileari	(bíbl.)Galilean
galileiskur	(bíbl.)Galilean
galin	1(sinnisveikur) mad, demented, lunatic, insane, mentally deranged;(løgfr.)of unsound mind;(tlm.)crazy, not all there, potty, dotty, dippy, loony, cuckoo;(am.)nuts2(rasandi, í øðini) angry, mad, furious, wild, frantic, frenzied,hann var ikki óður men galinhe lost his temper; he flew into a rage, he lost all patience;(tlm.)he blew his top top, he lost his rag rag, he flew off the handle, he went up in the air(el.in smoke), he got his knickers in a twist3nú er spinnadi galiðthis is a nice kettle of fish; the fat is in the fire; there is the devil to pay; we (, theyo.s.fr.)are in the soup;her er okkurt galiðthere seems to be some mistake here;tað er ikki so galiðit isn't bad;so galið er tað ikkiit's not that bad;skuldi tað gingið galiðif the worst comes to the worst; at a pinch(t.d.at a pinch we can always borrow some money);havi ikki hoyrt so livandi galiðwell, I never!;hatta er for galiðthat is the limit!, that is a bit thick!, this is getting past a joke!
galión	sístevniskurður
galiónsfigurur	sístevnismynd
galipinnur	(lívfr.)clitoris
galisi	Galician
galjari	(stb.)(coat-) hanger
gall1	1(lívfr.)bile; (hjá dýrum) gall;(fl.m.)gall;tá var gallið tað besta í honumhe was boiling over with rage, his gall rose;gor og gall (fl.m.eitthvørt beiskt) gall and wormwood;spýggja bæði gor og gall úr særspit out gall and venom;oysa gallið úr særvent one's spite (upon); (órættvíst) take it out(t.d.he went home and took it out on the cat)2gall bladder
gall2	sígjalla
galla1	gala; (veitsluklæði) (full) dress, gala;í gallain full dress, in gala;(sk.)in one's best bib and tucker
galla2	(skip.)galley
gallarí	(í leikhúsi) the gallery;(tlm.)the gods;(fl.m. eis.)gallery(t.d.the author's gallery of female characters); (myndasavn) gallery;(byggil.)gallery; (fram við hillakanti) gallery; (gallaríáskoðarar) gallery;(spei.)the gods;sita á gallarínum(í leikhúsi,skemt.)sit in the gods;spæla fyri gallarínumplay to the gallery
gallasýning	gala performance;(konglig)command performance
gallbeiskur	(um smakk) bitter as gall, extremely bitter
gallbløðra	(lívfr.)gall bladder
gallbløðrubruni	(lækn.)cholecystitis
gallfrystur	frozen stiff
gallgongd	sígallræsi
gallharður	gallhart frost ringing frost
gallhvítur	(stb.)white as snow, snowy (white)
galli	(sø.)Gaul
Gallia	(sern.)Gaul
galliskur	Gallic; (málið) Gaulish
gallpína	bilious pain
gallróp	roar; (ofta fleiri) clamour
gallræsi	(lívfr.)cystic duct
gallsjúkur	(lækn.)bilious
