h	1(málfr.)H, h; (ljóðið verður stavað) aitch(t.d.drop one's aitches)2(tónl.)B
ha1	I beg your pardon; what?
ha2	fyri hectare
HA3	(tittul)Bachelor of Science degree (Economics); B.Sc (Econ)
Haag	(sern.) (landafr.)The Hague;dómstólurin í Haagthe Hague Court, the World Court
habengut	goods and chattelsflt
habilitetstreyt	qualification;grannskoðararnir skulu lúka habilitetstreytirnar í lóginithe auditors must not be under any disability
habilitetur	(løgfr.)capacity, competence to act
habilur	competent, able, efficient
hað	(gl.)that
haðan	from there, thence;haðan og hagarfrom there to there;fara haðanleave (there);hann fór haðan kl. 1he left (there) at one o'clock;haðan kann hann ikki komahe cannot come from there;langt haðanfar from there;burturkastið haðan(frá einum plássi) the refuse from there; (frá eini tilgongd) the resulting waste products;hann sleppur ikki haðanhe cannot get away;haðan stavar hansara óttithis (, that) is the cause of his fear, hence his fear;støðin er 12 fjórðingar haðanthe station was twelve miles away from there;tað eru uml. 50 fjórðingar haðan til Londonit is about fifty miles from there to London
haðani	(tlm.)síhaðan
haðanífrá	1síhaðan22(gl.)from the time of
haft	1band [especially used to tie together the legs of sheep and cattle]2(fl.m.)hindrance, obstacle, impediment; barrier; stumbling block;koma upp í haftget stuck, get bogged down;(tilt.) sum kúgv í haftiencumbered (with), saddled (with);(fl.m.) loysa úr haftiset at liberty, set free;(tilt.) tað erel.liggur sum eitt haft á mærit is like a burden imposed upon me;(tilt.) vera haft um beinið á e-mbe(el.formel.constitute) an obstacle to; interfere with; impede3(um hosu)ikki haft heiltcompletely worn out
haftbundin	(um seyð) tied together in pairs
haftseyður	[flock of sheep tied together in pairs]
