i1	prikkurin yvir i-num(fl.m.)the finishing touch(es); sigarin oman á døgurða var prikkurin yvir i-iðthe cigar gave the finishing touch to the dinner;seta prikkar yvir i-inidot the i's
I2	rómv. taltekn fyri 1
idealisma	síhugsjón
ið	1fnwho, whichsísum22hj/sb1where,hvar iðwhere; whereever,hvar ið hann ætlaði sær?where he was going?2(kvæð.)whenárla var um morgunin, ið sól tók fagurt at roðait was early in the morning when the sun began turning the sky into beautiful red3tá iðwhen, every time4nú iðnow that, as soon as5(kvæð.) higar iðwhen, as soon as6(kvæð.)how,hygg, ið væl hann bítursee how it bites?7no matter; whoever; whatever,hvat ið hann (so) gerno matter what he does;hvør ið hann (so) erwhoever he is;ið hvussu el. hvussu ið;síhvussu
iðra	iðra seg eftir e-m el. e-t el. iðra seg um e-t el. iðrast el. iðrast eftir (e-m)regret sth, be sorry for sth, repent (of) sth; be penitent for;iðra seg um at hava gjørt taðregret(el.repent of) having done it;eg iðri meg um at eg gjørdi taðI regret having done it; repent(t.d. one'sfolly, sins; he has bitterly repented it); repent of(t.d. one'ssins);hetta fert tú at iðra teg umyou'll be sorry for this; you will live to repent this;sum ikki iðrar segunrepentant; unrepenting
iðran	regret, repentance, remorse, contrition
iðranarbolli	morning-after pill
iðranardagur1	penitential day
iðranardagur2	penitential day
iðranarfreist	cooling-off period
iðranarfullur	repentant (um for); (sterkari) contrite, remorseful (over about);(átr.)penitent(t.d.a penitent sinner; with a penitent air, penitently);hj­ly
iðranargongd	(penitential) pilgrimage; procession of supplication; rogation procession
iðranargrátur	cry of repentance(el.contrition)
iðranargrein	(løgfr.)cooling-off provision
iðranarleysur	unrepentant
iðranarloysi	unrepentance
iðranarprædika	call(el. exhortation)to repentance
iðranarprædikumaður	preacher of repentance
iðranarrættur	[the right to annul a contract or hire-purchase agreement]
iðranarsakramenti	sacrament of penance
iðranarsálmur	(Davids) penitential psalm
iðranarskeið	cooling-off period
iðranarskjúrta	(kat.)hair shirt
iðranartár	tears of repentance(el.contrition)
iðranarverk	(átr.)penance
iðrari	a repentant person,størstu halgimennini eru iðrararthe greatest saints are repentant sinners
iðri	(sj.)síiðran
iðring	(sj.)síiðran
iðringarsamur	(sj.)repentant (over for); (sterkari) contrite, remorseful (over about);(átr.)penitent(t.d.a penitent sinner)
iðrun	(gl.) síiðran
igil	(dý. gl.)leech(Hirudo medicinalis)
iglagras	(plfr.)pondweed
iglasjúka	síiglasótt
iglasjúkur	(um seyð) suffering from distomatosis (, liver rot)
iglasólja	(plfr.)spearwort(Ranunculus flammula)© Wikimedia Commons
iglasótt	distomatosis, liver rot (distomatosis)
iglasóttarseyður	sívatnseyður
igli	(dýr.)liver fluke
iglutur	(seyðal.)[with small dark spots]
igulker	(dý.)sea urchin(Echinoidea)© Wikimedia Commons
igulkøttur	(dýr.)(common) hedgehog(Erinaceus europaeus)© Wikimedia Commons
ikin	síaka
ikki	1not(t.d.I am not rich; I did not do it); (við herðing) never(t.d.he never took his eyes off her face); (ofta endurgivið við) fail(t.d. skipið náddi ikki havnthe ship failed to reach port); omit(t.d.you have omitted to stamp the letter); (framman fyri miðstig) no(t.d.he is no bigger than me); not(t.d.he is not taller than me ((forml.)I) and perhaps he is even shorter); (undrandi)ikki?no?, really?, is that so?, you don't say so!2[íyms.samb. ]als ikkinot at all(t.d.it isn't bad at all; it isn't at all bad); certainly not!,(tlm.)not on your life!;ikki á nakran hátt!oh no!, by no means!, not at all!, certainly not!,(tlm.)not on your life!;men hann er heldur ikki so ríkurwell, he is not very rich (either);heldur ikki beiggi hansaranor his brother (either);hví ikki?why not?;hví kom hann ikki?why did he not come?;tað geri eg ið hvussu er ikki!I jolly well won't!, you bet your life I won't!, nothing doing!;kemur hann ikki komi eg heldur ikkiif he does not come I shall not come either;ikki nógvnot much, little;hann segði ikki meirahe said no more;ikki meira enn... sono sooner... than(t.d.no sooner did he return than his friend left);ikki minni enn£50(t.e.ið hvussu er ikki minni) not less than £50;ikki minni enn ein millionno less than a million;ikki skikkaður (námsfr.)(formally) not qualified;eg veit ikki um eg skal gera tað ella ikkiI do not know whether to do it or not
ikkiakademiskur	non-academic
ikkialkoholiskur	non-alcoholic
ikkiálopssáttmáli	non-aggression pact
ikkiroykjari	non-smoker
ikta	(dý.;snultari) fluke (Trematoda)
