J	(st.)joule
ja1	1(játtandi) yes; yes;kemur tú? ja, eg komiare you coming? Yes I am coming;(sigl., tingm.)ay(e); (í yvirhúsinum) content;(t.e.tað skilji eg) I see!, yes!(t.e.tað skal eg gera;eis.í vígslusiði) I will; (ja fegin) certainly;(am.)sure; (drálandi) well; (ofta umskrivað við it is, I am etc.;t.d.is it still raining? it is; are you John Smith? I am; did you catch him? I did; did he see you? he did);ja ja (t.e.alt í lagi meðni!) all right(t.d.all right, if you must, you must!); all right then!;ja ella neiyes or no;siga (e-m) jasay yes (to someone);tala tykkara skal vera ja, ja, nei, nei (bíbl.)let your communication be Yea, yea, Nay, nay2[íyms.samb.]á ja!(ja endiliga) yes, rather!, (ivasamt) yes, in a way; well, yes (and no);ja á ein háttyes in a way;ja ger so væl!certainly!, yes, by all means!ja sjálvandi(yes) of course;ja so!I see!, indeed!, really!ja so?indeed?, really?, oh yes?, yes?,(serl. am.) is that so?;ja um so ervery well in that case;ja takk(svar upp á fyrispurning) yes, thank you; yes, thanks(t.d.have you had tea? Yes, thank you); (svar upp á tilboð) yes, thank you; yes, thanks; yes, please(t.d.do you want any tea? Yes, please);ja vístcertainly!, to be sure!,(spei.)indeed!;ja víst menthat is all very well, but;ja víst er hann erligurcertainly(el.of course) he is honest;atkvøða javote for the proposal; vote in the affirmative;ja-atkvøðurnarthe "yes"- vote;meirlutin hevur atkvøtt ja (tingm.)the ayes have it;ja tað haldi egI think so;ja og hvat so?well, what of it?;ja hvat heldur tú?well, what do you think?;ja hví ikki?(well,) why not?;ja kanskaperhaps;ja men(yes,) but;siga ja til eittagree to sth;siga ja til líviðsay "yes" to life;svara jaanswer in the affirmative, answer yes
ja2	fáa jaobtain sby's consent; (um fríggjara) be accepted;geva fríggjara sítt jaaccept a proposal
ja-atkvøða	affirmative vote; (yvirhús) content; (undirhús) aye;am. tingm.)yea
jabb	twaddle, waffle,hetta er sama jabbið afturthat's the same (old) story
jabba	maunder, twaddle, drool, ramble, waffle (on)
jabban	síjabb
jabróðir	yes-man, time-server; sycophant; mediocrity, nonentity(t.d.he surrounded himself with nonentities);(tlm.)a stuffed shirt nonentity
jada	síjáta
jaðar	síjaðari
jaðari	1edge, border2(stb.)edge of a current
jaðarkliptur	(bíbl.) allar jaðarkliptar, ið búgva í oyðimørkiniall who dwell in the desert that cut the corners of their hair; the dwellers in the desert who clip the hair on their temples
jaðarmorena	(jarðfr.)lateral moraine
jaðrakona	(fugl.)síjarðarkona
jaður	layer, stratum (flt.strata), vain, seam, bed, lode; eis.flógv
jaga	1(sj.)hunt (as a hunter)2chase(t.d.a person, an aeroplane, a ship); pursue, hunt
jagaraflogfar	(herm.)fighter;(am. eis.)pursuit plane
jagari	1hunter2(herm.) síjagaraflogfar
jagarsveinur	(kvæð.)hunter
jagg	1(um sjógv) choppiness2grumblingsflt,nú fekst tú løn fyri jagg títtyour grumblings were rewarded3grumbler
jagga	1(um sjógv) be choppy2grumble at, reprove, reprimand
jaggutur	1(um sjógv) somewhat rough, choppy2grumbling
jagl	1munching2síknarr(3)
jagla	munch,(t.d.he was munching a large apple)
jagldýr	(dýr.)edentate(Edentata)
