kabarett	cabaret, show
kabál	1(kort.)patience;(am.)solitaire;kabálin gongur uppthe patience comes out;leggja kabálplay patience (, solitaire); lay out (a patience), set out a game of patience;leggja fleiri kábálirplay several games of patience (, solitaire)2intrigue, cabal;smíða kabálirscheme, intrigue
kabúss	(skip.)galley
kabússa	síkabúss
kaðal	1cable(t.d.armoured, electric, insulated, lead-covered, submarine, underground cables);(ravm. eis.)lead; (tynnri,t.d.til bil) wire;fjarrita um kaðalcable(t.d.cable us at once);leggja kaðal útlay (out) a cable2(gl.)line, rope
kaðalboya	cable buoy
kaðalbrek	cable fault
kaðalbrúgv	suspension bridge
kaðaldiagramm	cable(el.cabling) diagram
kaðalendi	cable head, cable termination
kaðalgrein	cable-branch
kaðallegging	(teld.)cabling
kaðalrulla	cable reel
kaðalsjónvarp	cable TV, cable television; closed-circuit television(stCCTV);senda um kaðalsjónvarpcablecast
kaðalskip	cable ship, cable-laying boat
kaðalskoyti	cable joint
kaffi	coffee,(t.d.a cup of coffee, roasted, unroasted, strong, weak coffee);brenna kaffiroast coffee;mala kaffigrind coffee;kaffi við mjólk (el. róma)white coffee;kaffi við ongari mjólk (el. róma)black coffee
kaffiautomat	coffee (vending) machine
kaffibakki	coffee tray
kaffibarr	coffee bar;(ofta =)espresso bar
kaffiblanding	coffee blend
kaffiblikk	coffee tin; (størri) coffee canister
kaffiborð	coffee table;eftir fundin verður kaffiborð (svarar til)after the meeting light refreshments (, teao.s.fr.)will be served
kaffibóndi	coffee planter, coffee grower
kaffibót	coffee substitute
kaffibrennarí	coffee roasting business
kaffibreyð	(uml. =)rusk
kaffibrúnur	coffee-coloured
kaffibøn	coffee bean, coffee berry
kaffibøna	síkaffibøn
kaffieitran	caffeine poisoning
kaffievni	(evnafr.)caffeine
kaffifiltur	coffee filter, filter bag
kaffigildi	coffee party;(tlm.)bun fight
kaffigrugg	coffee grounds;(lækn.)coffee grounds(t.d.coffee grounds vomit);spáa í kaffigruggi (svarar til)tell fortunes by tea leaves
kaffihandil	1coffee trade2(krambúð) coffee shop
kaffihít	[person who is addicted to drinking coffee] coffeedrinker
kaffihús	(sø.)coffee house
kaffikanna	coffeepot
kaffikelling	(niðr.)coffee fiend
kaffiketil	coffee kettle
kaffikíkur	síkaffihít
kaffikjaftur	(óvand.)síkaffimuður
kaffikolba	(vacuum) coffee maker; percolator
kaffikoppur	coffee cup, cup of coffee; (lítil) demitasse
kaffikrúss	coffee mug
kaffikvørn	coffee grinder (, mill)
kaffilitaður	coffee-coloured
kaffiløta	síkaffisteðgur
kaffimaskina	coffee urn; (lítil privat) automatic coffee maker; percolator
kaffimuður	cup of coffee
kaffimunnur	vilt tú hava ein kaffimunn?would you like a cup of coffee?síkaffimuður
kaffimylla	síkaffimylna
kaffimylna	coffee mill (, grinder)
kaffiposi	[filtering bag used in making coffee]
kaffipulvur	instant coffee
kaffipunsur	laced coffee, coffee laced with spirits
kaffirunnur	coffee bush
kaffiskeið	coffee spoon
kaffislag	sort(el.type) of coffee
kaffismílur	smell of coffee
kaffisteðgur	coffee break
kaffistova	coffee room, restaurant, café
kaffisutl	coffee party;(tlm.)bun fight
kaffitíð	coffee time, coffee hour(t.d.in Turkey it is always coffee hour)
kaffitræ	(plfr.:Coffea) coffee tree
kaffitystur	thirsty for coffee;eg eri kaffitysturI feel like a cup of coffee
kaffivermari	cosy
kaffivognur	coffee stall
kag	1(á skipi í sigling) lookout, observation, watch,standa á kagikeep (a) lookout, be on the lookout, watch;(tlm.)keep one's eyes skinned(el.peeled);standa á kagi eftirlook out for, be on the lookout for(t.d.land, signals)2(sigl.)lookout; observation post
kaga	1glance, look, peep;(am. eis.)peek,kaga uttan um seglook about (one);kaga gjøgnum lyklarholiðpeep through the keyhole;kaga í eina bókskim(el.leaf) through a book;kaga í blaðiðglance through the newspaper;kaga út gjøgnum eitt vindeygalook out of a window;(orðt.) hin ríki traðkar skógvarnar á hol, men hin fátæki kagar teir á hol[the poor man is (too) careful with the things he has]2(teld.)browse
kaggaber	(plfr.)bog whortleberry(Vaccinum uliginosum)
kaggafullur	(as) drunk as a lord(el.a billy goat);(óvand.)pissed; pissed as a newt
kaggandi	síkaggafullur
kaggi	(wooden) container; keg
kaghol	síkagingarhol
kagi	(teld.)browser
kagingarhol	peephole; (í hurðeis.)judas, judas hole; (í fongsulskliva) observation hole
kagmaður	(sjóm.)lookout (man); (í mastrini) mastheadman
kagøki	(teld.)browser area
kahútsdekk	(skip.)accommodation deck
kahútsdrongur	(skip.)cabin boy
kahútsjomfrú	(skip.)stewardess
kahútskappi	(skip.)companion hatch; (á smáum bátum) booby hatch
kahútsleytari	(skip.)companion ladder, companionway
kahútspláss	(skip.)cabin passage;bíleggja kahútsplássreserve(el.book) a cabin
kahútsruff	(skip.)companion hatch
kahútt	(skip.)cabin; (fínari) stateroom; (á smáskipum) cuddy;onnur kahúttsecond-class cabin
kahúttkappi	síkahútskappi
kai	(tlm.)quay, wharf;leggja at kaicome alongside the quay, moor alongside the quay;vit liggja við kaiwe are alongside;loysa frá kaicast off
kaigjald	quayage, wharfage, quay dues
kaijakkrógving	kayak paddling
kaijakmaður	kayaker
kaipláss	moorage, mooring space; mooring accommodation; (fyri stakt skip) quay berth;tøkt kaiplássavailable berth;eitt 1500 fóta kaiplássa berthlength of 1500 feet
kajakk	kayak;venda við kajakkroll a kayak
kajakkmaður	kayaker
kaka	1cake; pastry;fáa ein bita (, sín part) av kakuni (fl.m.)get one's(el.a) slice(el.share) of the cake; get a piece of the action;Sget a slice;fara við allari kakuni (fl.m.)bag the (whole) lot2(kondittarakakauml. =)fancy cake, piece of pastry; (terta) tart3(smákaka) biscuit;(am.)cookie4(fóðurkaka) oil cake, cake5(grafiskt) pie chart
kakao	1cocoa bean2cocoa(t.d.a cup of cocoa)
kakaobøn	cocoa bean
kakaofrukt	cocoa pod
