L1	rómv. taltekn fyri 50
l2	1L, l2stytting fyri liturlitre
labba	(um dýr) pad
labbarí	í osb: koma í labbarí av e-m get into a scrape(el.difficultiesel.hot waterel.a fixel.a jamel.a holeel.the soup); be put on the spot
labbaskav	(sj.)superficial wash, a lick and a promise, an apology for washing, catlick
labbavøttur	(sj.)mitten, mitt
labbi	1(hundi, kettuo.tíl.)paw; (sagt við hund)labbin!shake hands!;labbarnar burtur!(sagt við hund) down! (sagt við fólk) hands off!2(sj.)mitten, mitt
laborantur	sístarvsstovutøkningur
laboratorium	sístarvsstova
labrarí	sílabbarí
lað	1pile, stack2(pallur) stand; (arbeiðspallur) scaffold(ing)3courtyard4[place in the outfield where one stacks turf]; stack of newly-cut turf;(stb.) torvið stendur í laðithe newly-cut turf is stacked5(kvæð.)decorative ribbon, head ornament
laða	1pile (up), stack, amass, accumulate,laða upp í dyr(nar) el. uppíthrow up(el.in) the sponge;laða upp á borðiðstack food on the table2build (up), erect, construct,laða garðconstruct a stonewall;laða varðarbuild cairns;laða torvstack turf;laða niðurdecrease, diminish, decline3load, ship, fill,laða bátinload the boat;handilsskipið lá laðið at fara avstaðthe freighter was full-laden and ready to sail;væl er fiskað, tó ikki er laðiðthe catch is good even if the boat is not full
laðarstokkur	(gl.)ramrod
laðberg	[flat rock on the shore where it is possible to go alongside with a boat]
laðfiskið	(sj.)(um bát) full-laden
laðin	(um bát) full-laden
laðing	1building a stone wall2(bát.)loading
laðingargrót	stones for building fences
laðklettur	sílaðberg
laðstokkur	sílaðarstokkur
laðubyrsa	(stb.)sífjaðurbyrsa
laðustokkur	(stb.)sílaðarstokkur
