n	(málfr.)consonant
nabb	poor take;vit vóru við snøri, og har var eitt fitt nabbwe were fishing with handline and the fish rose fairly freely
nabba	catch a little now and then (av fiskiel.fugli, of fish or birds);vit nabbaðu nakrar fiskarwe caught some fish;tað fleyg ikki nógv, men við góðum hugi nabbaði hann kortini fittnot many birds were flying (circling), but with patience he caught quite a few;eg nabbaði tveir nátarI caught two fulmars (young of fulmar)
nabbafiskur	fish that are not willing to take the bait;tá ið nabbafiskur var, tóktist fuglaagn at vera bestit seemed as ifnabbafiskurpreferred bait of bird meat
nabbafleyg	only a poor catch (with afleygastong)
naddahjól	(sj.)sítannhjól
naddamáttur	(tøkn.)jack;hydrauliskur naddamátturhydraulic jack;naddamáttur við skrúvuscrew jack;flyta við naddamáttijack;lyfta/hevja við naddamáttijack up
naddasteinur	(gl.)pointed stoneel.boulder
naddi	(á lissu, on a shoelace) tag, (jarnstyrking undir skógvi) studding
nadding	(byggil.)toothing
nadir	(stjfr.)nadir
naftalin	(evnafr.)naphthalene (tekn: C10H8)
naga	(sj.)gnaw, sígnaga;samvitskan pínir og nagarhis//her conscience is preying on his//her mind
nagg	which hurts a little;eg havi sovorðið nagg í tonninione of my teeth hurts (not toothache)
-nagg	sífleyta-
nagga	1rub, (fyri at fáa hitan aftur) chafe(t.d.she chafed the baby's hands);hann situr og naggar føturnarhe is chafing/rubbing his feet (to restore the circulation);nagga eygunirub one's eyes; naggaseg/naggast upp at e-m (fl.m.)rub shoulders with sby, ingratiate oneself with sby;nagga teg ikki ov mikið upp at honumdon't seek his company too much;naggast upp á e-nrub up against sby;nagga seg uppi á e-mrub up against sby2(stb., óvand.)fuck, screw; bang, shag, bonk
naggatódn	unsuccessful fulling; naggatódnkom í1the fulling was unsuccessful/failed2(fl.m.) impasse, standstill, deadlock; naggatódner komin í samráðingarnarthe negotiations have come to/arrived at a deadlock/an impasse;fáa naggatódnina úr afturbreak the ice and get the negotiations started once more
nagghosti	(stb.)sískriðhosti
naglabítur	nail-biter
naglabonkur	(sigl.)pinrail, (við mastureis.)fife rail
naglabust	nail brush
naglafastur	fixed;vegg- og naglafast tilhoyrfixtures
naglafíl	nail file
naglahol	nail hole;(eis.)stigmata;naglaholinithe prints of the nails, the nail marks
naglahøvd	nailhead
naglajarn	síseymløð
naglaklippari	nail clipper
naglaknívur	manicure knife
naglakuldi	frostbite in fingertips (finger nails)
naglalakk	nail lacquer, nail polish; nail varnish; eis.neglalakk
naglalakkloysari	nail varnish remover
naglamerki	nail hole;(eis.) naglamerkinithe prints of the nails, the nail marks
naglapinnur	orange stick
naglareinsari	nail cleaner; orange stick
naglarót	(likam.)root of the nail;bruni í naglarótiniwhitlow;blóð sprakk undan naglarótwork one's fingers to the bone
naglasaksur	nail scissors
naglasjúka	(lækn.)disease of the nails, onychosis
naglaskøta	(fisk.)thornback ray(Raja clavata)© Wikimedia Commons
naglasoppur	(lækn.)onychomycosis; tinea unguium; ringworm infection of nails
naglavatn	water which one shakes from wet fingers;at sletta naglavatn eftir fólki var vanvirðingto sprinkle water on a person indicated contempt
nagli	1nail;(tilt.) nú stendur á gomlum nøglumit's all or nothing, it's, neck or nothing, it's kill or cure, the risk must be taken;vera (so trúgvur) sum naglin í trænumbe very faithful/loyal;hann svarar ikki heldur enn naglin í trænumhe never says a word in reply;tá ið vit komu á Høvdasund, stóð tað sum naglin í trænumwhen we reachedHøvdasundwe made no headway at all (of sailing)2peg, wooden pin;(sigl.)tre(e)nail
