o1	(málfr.)vowel, /o:/
o2	O!, oh!, well!, ah!
o.a.	(st.)and others
o.a.m.	og annað mangt//meiraand many other things
obeliskur	obelisk
oberstur	(herm.)síovasti
oblát	(kirkj.)wafer; host
obo	(tónl.)oboe
oboleikari	(tónl.)oboist
odda	point(t.d.a knife at sby);sit ikki og odda ímóti beiggja tínumdon't sit there pointing the knife at your brother
oddablað	(bókb.)half-title page
oddafiskur	1(fl.m.)leading person(t.d.of a party); pioneer, motive power, driving force2[the first whale in a school of pilot whales]3[the first fish in a shoal];tá ið sildin er á gongd, síggjast oddafiskarnir leypa leysir úr sjónumwhen a shoal of herring is on the move, the herring at the head of the shoal can be seen jumping out of the water
oddafólk	advocate, champion(t.d.a champion of the cause of civil rights); protagonist (of); person who takes the lead; front runner, prime mover, leading light, (principal) leader(t.d.the principal leader of the organization)
oddafundur	(stjm.)summit (meeting)
oddagás	(fugl.)[goose heading a flying flock of geese]
oddagrein	(í blaði) leader, leading article;(am.bara) editorial
oddaleiðsla	top management
oddaleysur	without a point(t.d.knife)
oddalið	1(ítr.)top team;oddaliðini í 1. deild hittast sunnudaginthe top teams of the first division are playing on Sunday2(herm.)advance guard, vanguard, advance party; (í heri, ið tekur seg fram) spearhead
oddamaður	1advocate, champion(t.d.a champion of the cause of civil rights); protagonist (of); person who takes the lead; front runner, prime mover, leading light, (principal) leader(t.d.the principal leader of the organization);tey ungu fylktust um oddamann felagsins2(í seyðarakstri, in sheep drive) either of the two foremost men in the line
oddanevni	acronym (t.d.SEV, NATO)
oddaráðstevna	summit conference
oddaseyður	[sheep heading a flock of sheep];tungt var at ganga í kavanum, so oddaseyðurin lækkaði seg og hinar eisiniit was tiring walking in the deep snow so the leading sheep moved downhill and the others followed it
oddaskapur	leadership; leading role
oddastarv	top rank, top position;(tlm.)top job;fólk í oddastørvum (tlm.)top people;(eis.) í oddastarvitop-flight(t.d.a top-flight lawyer)
oddbogadánaður	(byggil.)ogival
oddbogaskapaður	(byggil.)ogival
oddbogastílur	(byggil.)Gothic style
oddbogavindeyga	Gothic window; (smalt) lancet window
oddbogi	(byggil.)ogive, pointed arch, Gothic arch
oddhvassur	(plfr.)pungent
oddi	1the foremost part of a flock of sheepel.of a school of pilot whales;vera á oddanum(in driving sheep) stay with the leading part of the sheep; (um seyð, of sheep)taka odda í segtake the lead of the others which then follow;(fl.m.) standa á oddabe at the head of sth(t.d.a party, affairs);tey múgvandi og ráðandi á odda, vesalavættini á halanumthe rich and the powerful lead the way and the poor at the rear end;liggja á oddabe leading(t.d.í kapping, in a competition)2spit (of land), tongue of land, point (of land)3(herm.)advance guard, vanguard
oddklingrutur	(plfr.)elliptic;oddklingrut blaðelliptic leaf
oddklombur	pointed brackets (< >),í oddklombrumin pointed brackets
oddmjáur	(plfr.)mucronate conical;frukthylkið er oddmjáttthe utricle is mucronate
oddspískur	(plfr.)pointed;oddspísk bløðpointed leaves
oddur	point(t.d.of a bayonet//knife//nail//needle//pencil//pin//spear//sword), tip, end(t.d.cut off the end of a cigar), head, (á penni) nib; (á blýanti) lead, point, (á rakett) nose cone;oddurin á lítlafingrithe outermost joint of little finger;út í odd og eggto smallest details, entirely, completely, wholly, altogether;(stb.) vera oddur eldribe cautious, know how to beware (of treacherous/ underhand/insidious attacks or the like);draga saman oddar(of clouds) drift towards one another from opposite directions;royna odd við (e-n) (kvæð.)to fight sby in a single combat
offiserur	(herm.)(commissioned) officer,(herm sigl.)officer; síeis.heryvirmaður
offset	(prent.)offset
offsetprent	offset (print)
offsettprenting	offset (printing)
offur	1sacrifice, offering;bera Gudi offursacrifice to God2(kirkj.)sacrifice, offering (gifts given in connection with a wedding or with a christening)
offurbolli	(kvæð.)sacrificial bowl
offurdjór	sacrificial animal(s)
offurdýr	sacrificial animal(s)
offureldur	sacrificial fire
offurfólk	wedding procession;offurfólkini skipa seg í pørthe persons of the wedding procession are being grouped in pairs/are arranged in pairs
offurfundur	(fornfr.)offering (find)
offurfúsur	helpful, readyel.willing to help, willing to oblige, friendly, obliging, co-operative
offurgangur	(kirkj.)[the act when the wedding guests go up to the altar to present their (wrapped up) gifts]
