p	(málfr.)consonant, /pe:/
pa	(barnam.)excrement, faeces;gera parelieve oneself
pabba	(stb.)dad, daddy,(am.)pop
padda	(dýr.)amphibian, toad(Amphibia)
paddufiskur	(fisk.)tadpole fish, lesser forkbeard(Raniceps raninus)© Wikimedia Commons
padla1	paddle
padla2	paddle
pað	1(likam.)fascia2(stb.)the layer of skin
paða	1[by loosening the skin of a slaughtered sheep (sítumma), detach pieces of membrane inside with detached flesh and let them hang fast to the skin (totummaclumsily)]2(stb.)peel (off), come off in flakesel.in strips, scale (off), flake (off)(t.d.his nose is peeling)
pagoda	pagoda
Pakistan	(sern., landafr.)Pakistan
pakistani el.pakistanari	Pakistani
pakistanskur	Pakistan, Pakistani
pakk	(niðr.)rabble, riff-raff, scum
pakka	1wrap up, pack(t.d.a parcel);(am. eis.)package(t.d.goods); (stúva) cram, stuff; (fylla), pack(t.d.one's suitcase); pakkafiskwrap up fish;pakka inn(um pappír) wrap up, do up, make a parcel of; pakkagávu innwrap up presents;pakka niður(stúva) pack(t.d.clothes into a suitcase); (stúva) cram, stuff; (fylla) pack(t.d.one's suitcase), stow away; pakkaklæðini niðurpack away;pakka samanpack;pakka uppunwrap(t.d.a parcel; a present); unpack(t.d.unpack one's lunch);skal eg pakka tað inn?shall I wrap it up?, would you like me to do it up for you?, shall I make it into a parcel?, (í eskju) shall I put it in a box?2cram, stuff, pack;lundalondini vóru ikki so pakkað við lunda núthe nesting sites of the puffins were not so crammed now as they used to be3pakka seg burtur(rýma) run away; clear out; abscond(t.d.three boys absconded from the detention centre);(tlm.)take oneself off, be off; bolt; slope off;Sbeat it, hop it, hook it, scram;pakka teg burtur!clear out!; scram!; hop it!, beat it!,(óvand.)piss off!, get the hell out of here!, get lost!;pakka teg avstað! sípakkateg burtur4(teld.)pack: pakkateldutøkan tekstpack machine readable text
pakkaferð	package holiday
pakkaloysn	package deal (t.d.they were looking for a package deal)package solution(t.d. apackage solution was by far the cheapest option)
pakkamjólk	milk in cartons
pakkapostgjald	parcel post rate
pakkapostur	(postm.)parcel post(t.d.by parcel post)
pakkari	wrapper
pakkdós	(tøkn.)stuffing box
pakkhús	warehouse, storehouse
pakki	1(gjørdur til høvið) parcel(t.d.a parcel containing their Christmas presents; she made the shirts into a neat parcel); (lítil) packet2(um pakkavørur) packet(t.d.a packet of cigarettes, these needles are sold/come in packets of twenty);(am. eis.)pack(t.d.a pack of cigarettes);(serst. am.)package(t.d.gift package); (kartong) carton(t.d.a carton of cornflakes)3(postpakki) parcel4(teld.)packet
pakkikona	wrapper
pakking	1wrapping, packing;(am. eis.)packaging; (í kassareis.)boxing; (í tunnureis.)barrelling2(tøkn.)packing; (í stempli) gasket; (til kranao.tíl.)gasket; (í sjálvsmyrjandi leguo.tíl.)seal; pakkingí vatnkranagasket
pakkingarskiva	(tøkn.)(packing) washer, gasket
pakningur	1(tøkn.)packing; (í stempli) gasket; (til kranao.tíl.)gasket; (í sjálvsmyrjandi leguo.tíl.)seal; pakningurí vatnkranaa gasket2(sigl.)packaging; boxes, cases,etc
pakt	sísáttmáli
paleosenøld	(jarðfr.)Palaeozoic (era), síupphavsøld(jarðar)
Palestina	(sern., landafr.)Palestine
palestinari	sípalestini
palestini	Palestinian
palestinskur	Palestinian
palisandur	(plfr.)Brazilian rosewood, palisander
palladium	(evnafr.)palladium
pallagrús	[multitude of stars which are seen close together]
pallakker	(oljuv.)rig anchor
pallast	(um royk, of smoke) [gather in layers and appear for a few moment to be stationary]
pallborð	panel
pallborðsfundur	panel debate/discussion
pallborðsluttakari	panellist;(am.)panelist
pallborðsorðaskifti	panel debate/discussion
pallkjallari	(sjónl.)scene dock
pallleiðbeining	síleikleiðbeining
palllýsing	(sjónl.)stage lighting
pallmaður	(sjónl.)stage mechanic; sceneshifter
pallmanning	(oljuv.)rig crew
pallmynd	(sjónl.)scenography; set piece, flat; stage picture
pallseta	(sjónl.)stage
pallseting	(sjónl.)staging; (stage) setting; production
pallskifti	(sjónl.)change of scene, scene-changing; (leiktjaldabroytingo.tíl.)change of sceneryel.of décor;(viðv.filmi,o.tíl. eis.)cut (to)
pallsmiður	(sjónl.)scenographer
pallsmíð	(sjónl.)scenography, scenic deign, set design, production design
pallstarvsfólk	(sjónl.)stage hand
pallstjóri	1(sjónl.)stage manager2(oljuv.)offshore installation manager
pallstokkur	edgeel.moulding in front of a bench, stool, tabouretel.footstool
pallstøð	(oljuv.)terminal platform
palltøkningur	(sjónl.)stage technician; (tíðum) assistant stage manager(st.ASM)
pallur	1scene, stage,standa á palliappear; eis.leikpallur2(oljuv., jarnb.) platform; rig;boripalluroil rig;byggipallurscaffold3small ledgeel.shelf in a bird cliff
pallut	with many small ledgesel.shelves
palmin	vegetable fat
palur	(tøkn.)pawl, ratchet; catch; (lítil) click;(sigl.)pawl
pampari	(uml.)trade union careeristel.boss;(niðr.)apparatchik
pan-	síal-,sam-ogstór-
Panama	(sern., landafr.)Panama
panamabúgvi	Panamanian
panamahattur	panama (hat)
panamaskur	Panamanian
Panamaveit	(sern., landafr.)Panamaveitin the Panama Canal
panda	(dýr.)panda(t.d.the giant panda)(Ailuropoda melanoleuca)©iStock
panel	panel, (gólvlisti) skirting board,(am.)baseboard
panna1	frying pan
panna2	forehead, brow
pannubreyð	[bread made in a frying pan]
pannudrýlur	[drýlurmade in a frying pan]
pannuhola	(likam.)síennihola
pannuhvítur	(um dýr, of animal) with a white spotel.blaze on its forhead
pannukaka	sípannukøka
pannukøka	pancake, griddle cake, hot cake;(am. eis.)flapjack
pannukøkudeiggj	(pancake) batter
pannukøkuhús	(samsvarar við) gingerbread house
pannumatur	frying pan food
panorera	(lmynd.)pan
panorering	(lmynd.)panning (shot)
pansari	1(herm.)coat of mail2(herm.)armour, armour-plating3(speis.)ragged and patched garb
pant	(løgfr.)security, lien; (í fastogn) mortgage, lien;seta húsini í pantmortgage the house;taka pant í húsinummortgage the house
panta	1(bú.)pledge, pawn, (fastogn) mortgage2(bú.)levy (a) distress (on sby); pantae-n fyri skattlevy distress on sby's goods for non-payment of taxes3(um ross, of horse) defecate,(óvand.)shit
pantalortur	(stb.)horse droppings(flt)
pantari	(dýr.)panther, leopard(Panthera pardus)©NTNU
pantifúti	(bú.)bailiff, sheriff's officer
panting	(bú.)distress, distraint;panting fyri skattdistress, distraint, execution
pantingarboð	(løgfr.)distress warrant
pantingartiltak	(løgfr.)distress
pantseta	1pledge, pawn;vera pantsetturbe in pawn(t.d.after this war the country will be in pawn to the banks);Hetland og Orknoyggjar vóru pantsettar til SkotlandsShetland and the Orkneys were in pawn to Scotland2(fastogn) mortgage
pantseting	pledging, pawning;(viðv.fastogn) mortgaging
pantur	1sípant2(stb.)horse droppings(flt)
paparassi	paparazzi
papi	(sø.)Irish monkel.hermite.g.living in the Faroes and Iceland before the Norse landnam
papp	cardboard; (tjúkt) millboard
