r	h (málfr.)consonant,/ær:/
rabarba	(plfr.)rhubarb(Rheum)
rabarbudropar	rhubarb tincture
rabarbugarður	rhubarb plot
rabarbugreytur	stewed rhubarb
rabarbuplanta	sírabarba
rabarburót	rhubarb (root)
rabarbusaft	1rhubarb juice; (við sukri) rhubarb syrup2(lækn.)extract of rhubarb
rabarbusuppa	rhubarb soup
rabarbusúltutoy	rhubarb jam
rabarbuúrdráttur	extract of rhubarb
rabarbuvín	rhubarb wine
rabbassi	(stb.)small catfish
rabbinaembæti	rabbinate
rabbini	(átr.)rabbi
radar	síradari
radarabákn	radar signal
radaraeftiransan	radar scanning, radar monitoring
radaraeftirlit	radar scanning, radar monitoring
radaraendurkastari	radar reflector
radarafrástøðumeting	range resolution
radarageisli	radar beam
radarainnstøkk	radar impulse
radarakósararmeting	bearing resolution
radaramóttakari	radar receiver
radaramynd	radar image
radaraórógv	interference; jamming
radarasamband	radar contact
radaraskermur	(sigl.)radarscope;avmynda á radaraskerminumdisplay on the radarscope
radaraskipan	radar system;høvuðsradaraskipanprimary radar;undirradaraskipansecondary radar
radaraskíggi	radar screen
radarastrála	radar beam
radarastøð	radar station
radaratól	radar set, radar equipment
radaraútgerð	radar set, radar equipment
radaravirki	radar installation
radaraviti	radar beacon
radari	radar
raddaður	(málfr.)voiced(t.d.sounds)
raddarførsla	voice(t.d.he has an unpleasant voice); diction
raddarvirkin	(sum t.d. hjálpir blindum at ringja) voice activated
raddarvirka	(sum t.d. hjálpir blindum at ringja) voice activate
raddband	(likam.)vocal chordel.cord
raddbandaglopp	(ljóðfr.)glottis
raddlega	(tónl.)vocal pitch
raddloysi	(málfr.)voicelessness
raddlæra	vocal coaching
raddskrá	(tónl.)score
radiatorur	radiator; síeis.ovnur2
radio	1(alisfr.;ljóðflutningur) radio,(gl.)wireless;(am.)radio2transmitter, radio station;Tórshavnar radioTórshavn Radio3(tlm.)radio set, receiver;tendra radioturn/switch on the radio;sløkkja radioturn/switch off the radio; síútvarp,útvarpslurt
radiohandil	radio shop
radioknappur	radio button
radioknøttur	(teld)radio button
radiopeilari	(sigl.)radio direction finder(st.RDF)
radiopeilingarstøð	direction-finding station
radioviti	(radio) beacon, radio direction finding station,(st.)R.D.F.; eis.útvarpsviti
radisa	(plfr.)radish(Raphanus sativus)©iStock
radium	(evnafr.)radium (teknRa)
radius	(stfr.)radius(fltradii)
