t.	(st.)hour
T1	Roman numeral for 160
t2	1(málfr.)consonant, /te:/2(st.) ton(1.000 kg) metric ton, tonne3(st.)inch
ta	sítann
tabell	(stfr.)table, arithmetical table; (tíðum) ready reckoner
tabernakkul	tabernacle;leyvsmáttuhátíðThe Feast of the Tabernacle
tablett	(lækn.)tablet, (fyri hálsin) lozenge
tabu	taboo;tað er tabuit is under a taboo
tadd	a badly picked bone
tadda	(sj.)reduce speed (by using the oars); taddabátinum eitt sindurreduce speed by putting the oars in the water
tadna	> tadna/tadna sundur; (of woollen material) become looserorless tight;hatta er tadnaðthat woollen garment has become looser
tadsjikari	Tadzhik, Tajik
tadsjiki	Tadzhik, Tajik
tadsjikiskur	Tadzhiki, Tajiki; (sum viðsetingeis.)Tadzhik, Tajik
Tadsjikistan	(sern., landafr.)Tadzhikistan, Tajikistan
tað1	tey fn1(í staðin fyri navnorð í hvørkikyni í 3.pers. eint,instead of a noun in the neuter in the third personsing.)it;skipið er komið, men eg havi ikki sæð tað ennthe ship has arrived but I have not seen it yet;tey fóru út at spælathey went out to play;tey bæðithe two of them;tey gomluthe old;(eis.)(my) parents;trøllini tey eru sterktrolls are strong;býráðið og fyrisiting tessthe Town Council and its administration2(sum fyribilsgrundorð í 3.pers. eint,as introductory subject)tað er gott, at tú kemurI am glad that you will come;tað var eina náttinait was one night;tað hendi í gjárit happened yesterday;tað ein vakran summardagone fine summer's day3(íosb.um veðuro.tíl.,concerning the weatheretc) tað kavarit is snowing,tað regnarit is raining;tað tornarthe air is dry; it is a good drying day4(nýtt sumhj,used as anadv.) prísurin er valla tað høgurthe price is hardly that high;húsini standa ikki tað høgtthe houses are not that high-lying
tað2	sítann2
taða1	(stb.)sí tøða1
taða2	(náttúrlig tøð) manure, (handilstøð) fertilize;jørðin var vorðin forn, og henni tørvaði at verða taðaðthe infield had not been tilled for a long time and needed to be fertilized
taðan	(sj.)manuring, fertilization
taðevni	nutrient
taðfall	manure, fertilizer, dung, muck
taðing	manuring, fertilization;tað eru heldur ikki allar plantur, ið tola stórvegis taðingmany plants do not stand much manuring
taft	taffeta
taftkjóli	taffeta dress
tagað	sítiga
tagdi	sítiga
tagga	1prong, point, spike, stump, jag;kombikk er slag av smávaksnum fiski við spískum, hvøssum taggumstickleback are small fish with pointed jags2(lækn.)hemorrhoidsel.haemorrhoids, piles
taggusaksur	pinking shears(flt)
taggutur	jagged; (um frímerki) perforated;(plfr.um blað) serrate; (um rond, egg) serrated;ein taggutur koyrila jagged whip
tagl	[the long hairs in the tail of a horseorcow], switch;hann fekk í halan á tarvinum, men taglið slitnaðihe grabbed the tail of the bull but the switch broke
tagla	hang up one at the time, hang up in a row;tagla (byrði) upp á segtake a load on one's backorshoulders;taglaður/avtaglaðurbe covered with, wear a profusion of, be overloaded with;tekjan var taglað við smáfuglumthe roof was covered with little birds
tagna	1stop talking, become silent;hann tagnaði og sá ógvuliga hulur úthe stopped talking and looked very secretive;fyri at fáa barnið at tagna tók daddan nú eina ringluin order to quiet the child the babysitter took out a rattle;sjarrið av barninum tagnaði so líðandithe baby's wailing stopped gradually;(tilt.) tagnar/tigur ikki heldur enn ritan í berginumhe//she talks and talks, he/she never stops talking2(um ljóð) die away, fade away;ljóðið var tagnaðthe sound had died away
tagnar	sítøgn
tagnarbundin	bound to (observe professional) secrecy
tagnarlyfti	promiseel.vow of secrecy
tagnarmerki	(tónl.)rest
tagnarskylda	professional secrecy, confidentiality;hava tagnarskyldube bound by one's professional secrecy
Taiflógvi	(sern., landafr.)the Gulf of Thailand
Tailand	(sern., landafr.)Thailand
tailendingur	Thai(lander)
tailendskur	1Thai(t.d.I love Thai food; her husband is Thai);(avelt)Siamese(t.d.The Siamese people are very friendly )2tailendskt málThai(t.d.he speaks Thai fluently);(avelt)Siamese(t.d.Siamese is the official language of Thailand)
Taivan	(sern., landafr.)Taiwan
taivanbúgvi	Taiwanese
taivani el.taivanari	Taiwanese
taivanskur	Taiwanese
tak1	roof;húsini eru komin undir takthe house has been roofed;slætt takflat/flat-topped roof;við fløtum takiflat-roof;tigultaktiled roof;skifurtakslate roof; skrátekjaslanting roof; spískt takpitched roof;reyst taksteep/high-pitched roof;vera undir taki(inni) be in, be under cover,hann var sjáldan undir taki - hann streyk um bygdinahe was seldom in/at home, he was was always gadding about;tað gongst illa at fáa kornið undir takthey//we have difficulty gathering in the corn
