u	(málfr.)vowel, /u:/
U-	(ítr., st.)ungdóms-, youth;enska U-16 landsliðiðthe All-England team (up to 16 years);U-18 landslið(up to 18 years);U-21 landslið(up to 21 years)
U-dalur	(jarðfr.)u-shaped valley (glacial trough)
uddi	síyðja
uff	ugh, oof;uff, uff
Uganda	(sern., landafr.)Uganda
ugandabúgvi el.ugandi el.ugandari	Ugandan
ugandari	Ugandan
ugandiskur	Ugandan
ugga	comfort(t.d.she comforted her sobbing child;(bíbl.)comfort all that mourn), console(t.d.the widow was somewhat consoled by the presence of her sister; he consoled himself by the reflection that),(skaldsk.)solace; calm, soothe, cheer up; uggae-ncomfort sby;hann uggaði seg við, at...he took comfort from the fact that...;uggandi orðconsoling/comforting words; words of consolation
uggabein	fish's clavicle
uggabreiður	1(um flaktan fisk, of fishespwhen split) broad-throated2(um mannfólk, of men) broad-shouldered3[íyms.samb.] given to puffing oneself up;hann ger seg so uggabreiðanhe is puffing himself up
uggafiskur	1the thin flesh on the clavicle2(on fish) `topmost piece' (part of the body which is near the breast fins and closest to the head)
uggafjøður	pectoral fin;(tilt.) reisa uggafjaðrarnar/láta við uggafjøðriniget/become angry
uggaleysur	which gives smallorno consolation, comfortless;hesi uggaleysu orðthese words gave no consolation at all
uggan	til ugganar as a comfort;eg væntaði uggan, men onga eg fannI expected to be comforted, but I found no consolation; síuggi2
ugganarát	(uml.)compulsive eating; compensatory eating;(eis.)eating for comfort
ugganarátari	(lækn.)sufferer from (neurotic) bulimia, compulsive eater
ugganarleysur	(bíbl.)síuggaleysur
ugganarorð	orð søgd til ugganar consoling/comforting words; words of consolation
uggari	comforter, consoler,(bíbl.)the Comforter, the Paraclete; uggarimín í lívi og deyðamy Comforter in life and dead
uggastykki	(on fish) `topmost piece' (part of the body which is near the breast fins and closest to the head)
uggi1	[the thin flesh on the clavicle]
uggi2	comfort, consolation;(skaldsk.)solace; soothing, calming;(orðt.) lítil er barnsins uggia child is easily comforted
uggileiki	(stb.)síugguleiki
uggilsi	(tlm.)síuggi2
uggingarsamur	consolatory, consoling, who comforts sby, who brings comfort to sby;vinir vilja vera uggingarsamirone's friends will bring one comfort
ugguleiki	(stb.) til ugguleikaas a means of comfort;hann hevði tað til ugguleikahe used it as a means of comfort;tað er ein ugguleiki at hava barnið hjá særit is a comfort that the child is here;uggi2
ugla	(dýr.)owl(Strigiformes)
ugli	(sj.)síugla
uglubóndi	1(fugl.)short-eared owl(Asio flammeus)(Pontoppidan, 1763)2(kvæð.)male owl© Minette Layne
Ukraina	(sern., landafr.)Ukraine
ukraini el.ukrainari	Ukrainian
ukrainskur	Ukrainian
Ukreina	síUkraina
uks	(stb.)síups
ukulele	(tónl.)ukulele
ulka	(fisk.)bull-rout(Myoxocephalus scorpius)© Wikimedia Commons
ull	wool;leita eftir ullcollect wool in the outfield, sílesull;tann fínara ullin verður kallað rót og tann grovara broddurthe fine inner wool is calledrót(undercoat) and the coarse outer wool of the fleece is calledbroddur (overhair/guard hair/shoddy);ein ullthe fleece of a sheep (after it has been shorn offorshed off)
ullaður	(um seyð, of sheep)væl ullaðurwith good (suitable) wool;illa ullaðurwith little wool and of poor quality
ullarband	woollen rope, woollen collar(t.d.dog collar)
ullarbeiði	wool preparation, woollen clothing manufacture
ullardigla	tuft, wisporscrap of wool
ullarfiti	wool fat, wool grease (lanolin)
ullarfløta	[a field covered with wool which has been spread out to dry];havið var sum ein hvít ullarfløta, brot í brotthe foam-crested sea looked like a field covered with wool, one breaking wave after another
ullarfólk	1(sø.)[people who travelled about the countryside begging for wool]2(sø.)[people who collectlesullin the outfield](lesull= wool that sheep shed in (the) spring)
ullargóður	(um seyð, of sheep) with high-quality wool;ullargott og trivaligt seyðaslaga breed of sheep of tall build and with high-quality wool
ullarhelsi	woollen collar (to which the tether is tied)
ullarhít	bag of wool
ullarklæði	(sj.)woollen clothing;matmóðirin kom við fullum føvningi av ullarklæðumthe mistress of the house came carrying an armful of woollen clothes
ullarknýti	1bundle of wool2carded tuft of wool (rolled into cylindrical form by spinning on the spindle)
ullarkona	1(sø.)[woman who travelled about the countryside begging for wool]2(plfr.)[dandelion after it has withered](Taraxacum)3(plfr.)símýrifípa4(fugl., stb.)downy young one of a puffin
ullarlagdur	tuft, wisporscrap of wool
ullarlíki	material resembling wool(t.d.rayon)
ullarmeis	[net mounted on frame for drying wool];hárið er sum ein ullarmeisthe hair is thick and tousled
ullarnipil	(small) tuft, wisporscrap of wool
ullarnippa	(sj.)síullarnispa
ullarnispa	small tuft, wisp, lumporscrap of wool
ullarnípa	síullarnispa
ullarposi	bag with wool in it
ullarprísur	price of wool
ullarríkur	with much and good wool; ullarríkurseyðursheep with much and good wool
ullarroyting	(stb.)síáseyðaroyting
ullarrúgva	heaporpile of wool(espin the sheepfold)
ullarsaksur	sheep shears(flt)
ullarsekkur	síullarposi
ullarslag	typeorquality of wool
ullarstrýggja	long hair of coarse wool
ullarstúka	woollen shirt
ullartálg	síullarfiti
ullartíggjund	(sø.)tithe of wool
ullartjóvur	(sø.)[someone who collects wool in the outfield without permission]; sílesull
ullartoddi	(stb.)síullarlagdur
ullartógvi	(a tuft of) matted wool felt
ullartóvi	síullartógvi
ullarvág	(measure) onevág(18 kg) of wool
ullarvøttur	woollen mitten
ullast	become fluffy;at dúnnappa er at nappa so fínt, at plaggið ullastpull(nappa)wool so that it becomes as fluffy as down
ullband	1double-ortreble-threaded woollen stringorrope2wollen bandorrope around a cow's neck (strap with which cattle are tied to the cowshed)
ullfakt	(stb.)síullferð
ullferð	growthorquality of wool;neytaslag við lodnari ullferðbreed of cattle with hairy fur
ullfríður	(um seyð, of sheep) with beautiful wool; ullfríðurseyðursheep with beautiful wool;eitt sera ullfrítt lamba lamb with very beautiful wool
ullgarn	woollen yarn, wool
ullhærdur	1(plfr.)villous;ullhært legugrasYorkshire-fog(Holcus lanatus)2(um fólk, of people) woolly-haired
ulling	síullferð;ullingin er óføra tøttthe wool is very thick
ullintur	woollen;ullint klæðwoollen clothing;ullintar hosurwoollen stockings
ullkarði	wool card
ullklæði	woollen clothes;lata seg í ullklæðiput on one's woollen clothes
ullprúður	with good, thick wool; ullprúðurseyðursheep with good, thick wool
ullrísin	(um seyð, of sheep) with ugly and rough wool
ullsjal	woollen shawl;hon hevði eitt lætt ullsjal hangandi um herðarnarshe had thrown a light woollen shawl across her shoulders
ullteppi	blanket
ulltíggjund	(sø.)síullartíggjund
ulltog	woollen band, stringorrope
ulltóvi	tuft of matted wool felt
ulltráður	strand of wool
ulltroyggja	woollen jersey
ullvirki	síspunavirki
ullvirkishús	(sj.)síullvirki
ulnast	(of wool) become fluffy
