u	(málfr.)vowel, /u:/
U-	(ítr., st.)ungdóms-, youth;enska U-16 landsliðiðthe All-England team (up to 16 years);U-18 landslið(up to 18 years);U-21 landslið(up to 21 years)
U-dalur	(jarðfr.)u-shaped valley (glacial trough)
uddi	síyðja
uff	ugh, oof;uff, uff
Uganda	(sern., landafr.)Uganda
ugandabúgvi el.ugandi el.ugandari	Ugandan
ugandari	Ugandan
ugandiskur	Ugandan
ugga	comfort(t.d.she comforted her sobbing child;(bíbl.)comfort all that mourn), console(t.d.the widow was somewhat consoled by the presence of her sister; he consoled himself by the reflection that),(skaldsk.)solace; calm, soothe, cheer up; uggae-ncomfort sby;hann uggaði seg við, at...he took comfort from the fact that...;uggandi orðconsoling/comforting words; words of consolation
uggabein	fish's clavicle
uggabreiður	1(um flaktan fisk, of fishespwhen split) broad-throated2(um mannfólk, of men) broad-shouldered3[íyms.samb.] given to puffing oneself up;hann ger seg so uggabreiðanhe is puffing himself up
uggafiskur	1the thin flesh on the clavicle2(on fish) `topmost piece' (part of the body which is near the breast fins and closest to the head)
uggafjøður	pectoral fin;(tilt.) reisa uggafjaðrarnar/láta við uggafjøðriniget/become angry
uggaleysur	which gives smallorno consolation, comfortless;hesi uggaleysu orðthese words gave no consolation at all
uggan	til ugganar as a comfort;eg væntaði uggan, men onga eg fannI expected to be comforted, but I found no consolation; síuggi2
ugganarát	(uml.)compulsive eating; compensatory eating;(eis.)eating for comfort
ugganarátari	(lækn.)sufferer from (neurotic) bulimia, compulsive eater
ugganarleysur	(bíbl.)síuggaleysur
ugganarorð	orð søgd til ugganar consoling/comforting words; words of consolation
uggari	comforter, consoler,(bíbl.)the Comforter, the Paraclete; uggarimín í lívi og deyðamy Comforter in life and dead
uggastykki	(on fish) `topmost piece' (part of the body which is near the breast fins and closest to the head)
uggi1	[the thin flesh on the clavicle]
uggi2	comfort, consolation;(skaldsk.)solace; soothing, calming;(orðt.) lítil er barnsins uggia child is easily comforted
uggileiki	(stb.)síugguleiki
uggilsi	(tlm.)síuggi2
uggingarsamur	consolatory, consoling, who comforts sby, who brings comfort to sby;vinir vilja vera uggingarsamirone's friends will bring one comfort
ugguleiki	(stb.) til ugguleikaas a means of comfort;hann hevði tað til ugguleikahe used it as a means of comfort;tað er ein ugguleiki at hava barnið hjá særit is a comfort that the child is here;uggi2
ugla	(dýr.)owl(Strigiformes)
ugli	(sj.)síugla
uglubóndi	1(fugl.)short-eared owl(Asio flammeus)(Pontoppidan, 1763)2(kvæð.)male owl© Minette Layne
Ukraina	(sern., landafr.)Ukraine
ukraini el.ukrainari	Ukrainian
ukrainskur	Ukrainian
Ukreina	síUkraina
uks	(stb.)síups
ukulele	(tónl.)ukulele
ulka	(fisk.)bull-rout(Myoxocephalus scorpius)© Wikimedia Commons
ull	wool;leita eftir ullcollect wool in the outfield, sílesull;tann fínara ullin verður kallað rót og tann grovara broddurthe fine inner wool is calledrót(undercoat) and the coarse outer wool of the fleece is calledbroddur (overhair/guard hair/shoddy);ein ullthe fleece of a sheep (after it has been shorn offorshed off)
ullaður	(um seyð, of sheep)væl ullaðurwith good (suitable) wool;illa ullaðurwith little wool and of poor quality
ullarband	woollen rope, woollen collar(t.d.dog collar)
ullarbeiði	wool preparation, woollen clothing manufacture
ullardigla	tuft, wisporscrap of wool
ullarfiti	wool fat, wool grease (lanolin)
ullarfløta	[a field covered with wool which has been spread out to dry];havið var sum ein hvít ullarfløta, brot í brotthe foam-crested sea looked like a field covered with wool, one breaking wave after another
ullarfólk	1(sø.)[people who travelled about the countryside begging for wool]2(sø.)[people who collectlesullin the outfield](lesull= wool that sheep shed in (the) spring)
ullargóður	(um seyð, of sheep) with high-quality wool;ullargott og trivaligt seyðaslaga breed of sheep of tall build and with high-quality wool
ullarhelsi	woollen collar (to which the tether is tied)
ullarhít	bag of wool
ullarklæði	(sj.)woollen clothing;matmóðirin kom við fullum føvningi av ullarklæðumthe mistress of the house came carrying an armful of woollen clothes
ullarknýti	1bundle of wool2carded tuft of wool (rolled into cylindrical form by spinning on the spindle)
ullarkona	1(sø.)[woman who travelled about the countryside begging for wool]2(plfr.)[dandelion after it has withered](Taraxacum)3(plfr.)símýrifípa4(fugl., stb.)downy young one of a puffin
ullarlagdur	tuft, wisporscrap of wool
ullarlíki	material resembling wool(t.d.rayon)
ullarmeis	[net mounted on frame for drying wool];hárið er sum ein ullarmeisthe hair is thick and tousled
ullarnipil	(small) tuft, wisporscrap of wool
ullarnippa	(sj.)síullarnispa
ullarnispa	small tuft, wisp, lumporscrap of wool
ullarnípa	síullarnispa
ullarposi	bag with wool in it
ullarprísur	price of wool
ullarríkur	with much and good wool; ullarríkurseyðursheep with much and good wool
ullarroyting	(stb.)síáseyðaroyting
ullarrúgva	heaporpile of wool(espin the sheepfold)
ullarsaksur	sheep shears(flt)
ullarsekkur	síullarposi
ullarslag	typeorquality of wool
ullarstrýggja	long hair of coarse wool
ullarstúka	woollen shirt
ullartálg	síullarfiti
ullartíggjund	(sø.)tithe of wool
ullartjóvur	(sø.)[someone who collects wool in the outfield without permission]; sílesull
ullartoddi	(stb.)síullarlagdur
ullartógvi	(a tuft of) matted wool felt
ullartóvi	síullartógvi
ullarvág	(measure) onevág(18 kg) of wool
ullarvøttur	woollen mitten
ullast	become fluffy;at dúnnappa er at nappa so fínt, at plaggið ullastpull(nappa)wool so that it becomes as fluffy as down
ullband	1double-ortreble-threaded woollen stringorrope2wollen bandorrope around a cow's neck (strap with which cattle are tied to the cowshed)
ullfakt	(stb.)síullferð
ullferð	growthorquality of wool;neytaslag við lodnari ullferðbreed of cattle with hairy fur
ullfríður	(um seyð, of sheep) with beautiful wool; ullfríðurseyðursheep with beautiful wool;eitt sera ullfrítt lamba lamb with very beautiful wool
ullgarn	woollen yarn, wool
ullhærdur	1(plfr.)villous;ullhært legugrasYorkshire-fog(Holcus lanatus)2(um fólk, of people) woolly-haired
ulling	síullferð;ullingin er óføra tøttthe wool is very thick
ullintur	woollen;ullint klæðwoollen clothing;ullintar hosurwoollen stockings
ullkarði	wool card
ullklæði	woollen clothes;lata seg í ullklæðiput on one's woollen clothes
ullprúður	with good, thick wool; ullprúðurseyðursheep with good, thick wool
ullrísin	(um seyð, of sheep) with ugly and rough wool
ullsjal	woollen shawl;hon hevði eitt lætt ullsjal hangandi um herðarnarshe had thrown a light woollen shawl across her shoulders
ullteppi	blanket
ulltíggjund	(sø.)síullartíggjund
ulltog	woollen band, stringorrope
ulltóvi	tuft of matted wool felt
ulltráður	strand of wool
ulltroyggja	woollen jersey
ullvirki	síspunavirki
ullvirkishús	(sj.)síullvirki
ulnast	(of wool) become fluffy
ulpa	[fleece-lined overcoat with hood]
um1	1about, around(t.d.the garden around the house);runt (um)round(t.d.go round the corner; sit round a table; put a rope round the tree);dansa um jólatræiðdance round the Christmas tree;hava reim um miðjunahave a belt around one's waist;binda um fingurinbandage (up) a finger;runt um borðiðround the table;taka/tríva um e-ttake hold of sth2over, across, via, by, through;nógv fólk ferðast um flogvøllinmany people travel via the airport;leiðin lá um Fútakletttravelling by way of Fútaklettur;inn//út um dyrnarin//out through the door3within the boundaries of sth;ganga (runt) um gólviðwalk up and down the floor;um allar bygdirtravel through all the villages;fara vítt um landiðtravel round the country4across, cross; walk, drive, sail pastetc; sigla um nesiðround the headland;rógva um tanganrow round the point;fara um horniðturn the corner;tað rekur um mánanclouds are drifting acrossorover the moon5over, across; umfjørðinover/across the fiord;um ánnaover the stream;detta um ein steinfall/stumble over a stone;detta um seg sjálvanbe very clumsy;komin um tað ringastabe over the worst6(of a compact group, in close formation);lið um liðside by side;vit fylgdust borð um borð úteftirwe sailed out together side by side7(um tíð, of time, past, farther on, further on, beyond);tað leið út um mikkjalsmessuMichaelmas (29 September) (had) passed;tað var farið um midnáttit was past midnight(eis., t.d.it was after midnight when he came home; just after six o'clock);hon var farin um 90 árshe was past/over ninety8(um tíð, of time, after a certain elapse of time); umein mánaðin a month;um eina løtuin a moment;um nakrar dagarin a few days9about, in the neighbourhood of, round about,(am.)in the area of(t.d.2, 000 dollars); umhundrað mansabout one hundred men;um tíggju ára aldurabout ten years old10as regards; as to(t.d.as to his motive, I cannot say anything at present); regarding, with regard to, concerning; in relation to;tosa um e-ntalk about sby;tað eru nógvar søgur um hannmany stories are told about him;dysturin um fyrsta plássiðthe match (struggle) for the leading place;teir atkvøddu um uppskotiðthey voted on the proposal,(stjm.)motion, (lógaruppskot) Bill;ótti kom á fólk um bátarnarpeople were worried about the boats;hvat veitst tú um tað?can you tell me anything about it?;teir vóru fleiri um arbeiðiðmany men did the job;lata seg úr um beininitake off one's shoes;tað var einki um hannhe was silent (faint-hearted);vera óður um e-tbe furious about sth11(umt.d.likamspart, of parts of the body);vaska sær um eyguniwash one's face;kína e-m um enniðcaress sby's forehead;hvítur um hálsinwhite around the neck12[sumhj]1about, (a)round;fara víða umgo aroundorabout;har er so ringt umit is difficult to walk there;tað er vátt umthe ground is wet, it is wetlands2anew, afresh, again, once more, over again; (tíðum verður skrivaðel.sagt) re(-)(t.d.re-establish a system, retry a criminal case, repopulate a country); rewrite, redo, rebuild,etc); skriva e-t umrewrite sth;gera e-t um afturredo sth13(um tíð, of time, duration); umnáttinaat night(t.d.he works at night; late at night); by night(t.d.travel by night);um daginby day, during the day, in the daytime;um kvøldiðin the evening, at night;um summariðin (the) summer, during (the) summer, in (the) summer time;um jóliniat Christmas; during Christmas;um somu tíðat the same time;1000 kr. um mánaðin daginonce a day;tvær tablettir um dagintwo tablets a day;dag um dagday by(el.after) day14[ísamb.viðhj]framum,sífram;niðanumfurther up than;niðan um bøgarðarnarfarther up than the village fence (out into the outfield);omanumfurther down than;oman um húsinidown below the house(s);yvirum hann fór yvir um ánnahe crossed the stream;yvir um fjørðoveroracross the fiord15[fs/hjsaman viðs] t.d.:biðja um; brýggja seg um; bøta um; galda um; halda um; hálsa um; hugsa um; kenna um; leggja um; reika um; ríva um; røða um; spyrja um; tala um; vera um(sísagnorðsumleitorð)
um2	1on condition that; on the understanding that; provided that;eg komi, um eg sleppiI'll come provided the sevice isn't cancelled, provided I'm not hindered by a matter of urgency;um so er, at...in the case that;um enn/(eis.)umenn (kvæð.)even though, even if2(sum inngangsorð í óbeinleiðis spurnarsetningum, as initial word in indirect interrogative sentences) if, whether;spyr hann, um hann veit taðask him if he knows something about it;vitago and look; vita um tú sært nakaðgo and look whether you can see something;hann spurdi, um eg tímdihe asked me whether I would do it3though, in spite of the fact that;minnið livir, um maður doyrthe memory of a man outlives him
umaftur-	anew, afresh(t.d.start afresh), again, once more, over again, (tíðum verður nýtt) re(-)(t.d.re-establish a system; retry a criminal case; repopulate a country)
umafturteljing	recount
umbera	1make allowances for; bear with; be indulgent towards; forgive;vit eiga at umbera næsta okkarawe should forgive our neighbours2decline, refuse (to); excuse oneself (from)(t.d.excuse oneself from coming);teir umbóru seg ikki fyri øllum tí starvi, ið her varthey did not decline doing all the work which was/lay before them;teir tóku allir at umbera segthey all began to excuse themselves from3make excuses, explain away; umberaseg við e-mmake sth a pretext (for doing//not doing sth);vit kunnu ikki umbera okkum við tí, at..we cannot explain it away by saying...4[-'b-] íosb.sumtað umber seg ikkiel.tað umberst ikkiit is unavoidable, it cannot be avoided;tað kundi ikki umberast, at hann fekk at hoyra allar hesar søgurthat these stories reached him was unavoidable
umbering	1forgiveness;biðja um umbering (fyri e-t)ask (sby's) forgiveness (for sth)2excuse;hava sum umberingas an excuse; excuse oneself on the score/plea that(t.d.one is busy); plead that(GG:on the score of illness; on the plea of being too busy)
umbermis	in circumference, in perimeter
umbersla	forgiveness
