V1	1rómverskt taltekn fyri 52(st.)volt
v2	(málfr.)consonant; /ve:/
VA	(st., sigl.)registration letters for vessels from the island of Vágar (Vaagø)
vadmal	sívaðmal
vað1	ford;at leita sær vað at koma um ánnabe looking for a suitable place to cross the river
vað2	1handline complete with all fittings2full length of a handline;eitt vað er 60 favnarthe full length of a handline is 60 favnar(app122.4 yards)
vað3	shoal, school (swimming near the surface of the sea);sildrekin eltir sildavaðinithe lesser rorqual is pursuing the shoals of herring;leggja í vaðið (fl.m.)1gorge oneself on/with food, stuff oneself with food2begin sth without hesitation, not hesitate to do sth
vaða	wade(t.d.through water//high grass);(t.d.í kava) highstep; (tungliga,t.d.í evju) flounder; (í sandi) plod(t.d.through the sands); vaðayvir um ánnawade across the brook;vaða í kavahighstep in the snow;vaða ígjøgnum kavanhighstep through snow;báturin veður um æsingarnarthe boat is heavily laden;sólin vóð í havsbrúnnithe sun was setting;sólin veður í/á luftinithe sun can sometimes be seen through breaks/rifts in the clouds;hann veður úr einum evni í annaðhe skips from one subject to the next; síeis.vassa
vaðagot	[current in still water in a fiordorsound where the tidal current is not noticeable (with sharply rising barometer the water flows out of the fiord and back)]
vaðans	(gl.)[party given to the rest of the boat crew by the young man who has hooked a halibut for the first time]
vaðansgildi	sívaðans
vaðanskalvi	(gl.)[the very first halibut a young man catches]
vaðbein	(sigl., gl.)[wooden stick grooved at the top for the passage of the handline and mounted on the gunwale of a smack];hann stendur við vaðbeiniðhe is a fisherman (of profession)
vaðbeinatíð	[the period of time when all sea fishing was done with handline];í vaðbeinatíðini
vaðblýggj	sinker (lead weight) on a handline
vaðbløðra	[blister in the hand from hauling up the handline]
vaðfiskur	(gl.)[cod which a fisherman could get in advance before the distribution of the catch took place];vaðfisk fingu ofta teir, ið hildu snørithe men who did the fishing were often allowed to pick out a fish before the distribution of the catch took place
vaðfótur	(dýr.)wading foot
vaðfuglur	(fugl.)wading bird, wader
vaðhorn	1heelbone of cattle and sheep2(dýralfr.)chestnut, corneous warty formation on the inner side of a horse's leg
vaðhornsliður	(dýr.)ankle (joint) (of animal)
vaðhornslittur	(seyðal.)[colouring around the ankle];ærin var vaðhornslittthe ewe had colouring around its ankles
vaðhornssina	(dýralfr.)Achilles tendon (of cattle and horses)
vaðkallur	(bát.)[small round wooden block fixed to the gunwale of a boat, over which the fishing line is run]
vaðmal	frieze, homespun
vaðmalsbummur	beam (of a loom)
vaðmalsklæddur	dressed (all) in homespun
vaðmalsklæði	(gl.)cloth of homespun
vaðmalskot	coat of homespun
vaðmalssegl	(gl., bát.)sail of homespun
vaðsa	(upprfr.)sívassa
vaðskítadagur	(on board a smack) [day when a fisherman doesn't catch one single fish]
vaðskítur	1draga vaðskítpull up the handline in the vain belief that there is a fish on the hook;fiska vaðskítar (skemt.)not catch one single fish2(sigl.)unlucky fisherman who does not catch many fish;vera vaðskíturcatch no fish
vaðskrín	(bát.,box for food, hooks, compassetc)
vaðsteinur	(bát., gl.)stone used as a sinker
vaðstelkur	(fugl.)wood sandpiper(Tringa glareola)(Linnaeus, 1758)Tringa glareola ©Ian White
vaðtritla	(fugl.)collared pratincole(Glareola pratincola); vongsvørt vaðtritlablack-winged pratincole(Glareola nordmanni)Glareola pratincola ©iStock
vaðvøttur	(bát.)[mitten suitable for use when fishing with a handline]
vaff	(gl.)the name of the letterv
vafla	waffle;baka vaflurmake waffles
vaflujarn	waffle iron
vagga	1lull to sleep; vaggabarnilull a child to sleep;vaggaður í blundrocked to sleep (of child)2rock, sway, bend, swing;sóljurnar stóðu og vaggaðu í lotinummarsh marigolds were swaying in the light breeze
vagl	1perch, roost2(stn.) Vaglið(the town centre of Tórshavn)
vagnborg	corral;(sø.)ring of chariots; (í Suðurafrika) laager
vagnsveinur	(sø.)charioteer
vagnur	coach, carriage, wag(g)on
vaka	1be awake; vakaalla náttinabe up all night;vaka eyguni út á kinnbe worn out with watching;hann hevði brotið svøvn og vakt eyguni út á kinnhe had not got his normal amount of sleep (on account of urgent work) and was worn out with watching2watch(t.d.beside a sick-bed); sit up; (hátíðarligari) keep vigil; vakauppi yvir barniwatch over a child
vakhús	(gl.)[house in the outfieldoron a mountain where watch was kept for pirate ships]
vakin	1awake2watchful, wakeful, vigilant, observant, alert, wide awake; quick-witted, bright(t.d.a bright boy);fólkið eigur at vera vakið og variðthe people should be watchful and careful
vakja	(tlm.)be awake; sívaka
vakka	(gl.)wander (about), roam, walk (about)
vakmyndatól	(electronic) surveillance camera, security camera; eis.sjóngá
vakna	1wake; wake (up)(t.d.from a long sleep//from inaction//from a trance; wake up with a start);(skaldsk.)waken, awake, awaken;vaknawake up(t.d.wake up!);samvitska hansara vaknaðihis conscience began to stir;vakna (upp) við kaldan dreymjerk awake, wake up with a start2(rakna við) come round, come to; vaknavið afturcome round, come to;hon fall í óvit, men vaknaði skjótt við afturshe passed out but came round quickly
vakning	awakening;tjóðskaparlig vakningnational awakening;eitt fólk í vakninga nation in process of awakening
vaks	sívoks
vaksa	(kvæð.1grow (up), grow biggerortaller; grow up, spring up; grow, increase; breed, propagate;børnini vaksathe children grow;hann er vaksin upp undir skýggjhe has grown tall;tað kendist, sum vaks bitin í munninumit was as if the food grew in his//her mouth;tá vuksu eyguni í honum (fl.m.)he watched it wide-eyed/round-eyed;alt sum dagurin vaksas the day was approaching evening;herurin vaks skjóttthe army grew rapidly;talið veksur støðugtthe number grows by the minute;brimið vaksthe surf rose;vindurin vaks/hann vaks vindinthe wind grew in force;hitin veksurthe heat increases2(um plantur, of plants) grow(t.d.nothing will grow in this soil); thrive(t.d.this plant will thrive in all soils); flourish; (hvar tær vaksa) occur(t.d.this plant does not occur/is not found in England); grow;gularøtur vaksa best í sandmoldcarrots thrive best in sandy loam;plantan veksur bara herthe plant grows only here;skeggið var farið at vaksathe beard had begun to grow;landið er vaksið við skógithe country is wooded3[ísamb. viðfs/hj]vaksafram(um fólk) grow(t.d.he has grown); grow tall(er), shoot up; (blíva vaksin) grow up;vaksafrá:outgrow (one's clothes); grow out of(t.d.he has grown out of his clothes);mamman læt hann í nakrar frávaksnar spjarrahis mother dressed him in some clothes which he had outgrown;vaksa frá e-mgrow too old for sth(t.d.he has grown too old for that kind of thing);hon var vaksin frá at spæla við dukkurshe had grown too old to play with a doll;vaksasamancoalesce (t.d.the edges of the wound coalesced;a group of young reformers who gradually coalesced into a political movement); vaksaummake additions; (tíðum) add/build a new wing; enlarge(t.d.a house);vaksaupplive one's years of childhood, live one's childhood years;hann vaks upp í tryggum heimihe grew up in a good home;vaksandi 1eitt vaksandi brús a steadily growing roar of enthusiasm2(stjfr.) vaksandi sól waxing moon;vaksin:ansurin er vaksinthe interest is growing
vaksdúkur	sívoksdúkur
vakshattaættin	(plfr.)Hygrocybe;bláreyður vakshatturlilac waxcap(Hygrocybe lilacina); bleikgulur vakshatturcitrine waxcap(Hygrocybe citrinopallida); bróskvakshatturheath vaxcap(Hygrocybe laeta); døkkflusutur vakshatturno common name(Hygrocybe turunda); eingjarvakshatturmeadow waxcap(Hygrocybe pratensis); fagurligur vakshattursplendid waxcap(H. splendidissima); gulur vakshatturgolden waxcap(Hygrocybe chlorophana); hunangsvakshatturhoney waxcap(Hygrocybe reidii); leðurvakshatturcedarwood waxcap(Hygrocybe russocoriacea); pappageykvakshatturparrot waxcap, parrot toadstool(Hygrocybe psittacina); reyður vakshatturscarlet waxcap(Hygrocybe coccinea); skarlaksvakshatturcrimson waxcap(Hygrocybe punicea); toppvakshatturblackening waxcap(Hygrocybe conica)
vakshattur	(plfr.)sívakshattaættin
vaksiknappur	(teld)maximise button
vaksin	1grown up(t.d.he is grown up); grown-up(t.d.he has grown-up children); grown(t.d.a grown man); adult(t.d.adult voters; dogs, puppies and adults ­ of all breeds for sale); full-grown(t.d.animal; man); fully grown, fully developed(t.d.animal; plant);tað ert tú ikki nóg vaksin tilyour are not equal to the task yet2overgrown;vaksin viðoverrun/rank with(t.d.weeds);tær flestu tekjurnar vóru vaksnar við lundasinumost of the roofs were overrun with red fescues3(-)shaped;hann er so lubbut vaksinhe has a flabby figure
vakskaka	(bíbl.)(empty) honeycomb
vaksljós	wax candle; (lítið) wax taper
vaksmyndasavn	waxwork showel.museum
vaksnamanna-	concerning grown ups, adult
vaksnamannabók	book for adults
vaksnamannadópur	adult baptism
vaksnamannatal	íosb. koma upp í vaksnamannatalbe considered an adult
vaksnamannatonn	(likam.)permanentel.persistent tooth
vaksreyðflíggj	(plfr.)honey pinkgill(Entoloma cetratum)
vakstar	sívøkstur
vakstramanna-	sívaksnamanna-
vakstrar	sívøkstur
vakstrarár	year of growth
vakstrarbeindur	growth-oriented
vakstrarbelti	vegetation zone
vakstrarbýting	(lívfr.)mitosis
vakstrarfarmynd	growth curve
vakstrarfremjandi	growth-stimulating, growth-promoting
vakstrarfremjari	growth promotant
vakstrargarður	garden;rundan um húsini er stórur vakstrargarðurthe house is surrounded by/with a large garden
vakstrarhallur	growth-oriented
vakstrarhormon	(lækn.)growth hormone
vakstrarhormonstørvur	(lækn.)growth hormone deficiency
vakstrarhorvin	growth-oriented
vakstrarhugaður	growth-oriented
vakstrarhús	(landb.)greenhouse, glasshouse, forcing-house; (upphitaðeis.)hothouse
vakstrarhúsárin	(vistfr.)greenhouseel.hothouse effect
vakstrarídnaður	growth industry
vakstrarískoyti	(bú.)growth contribution, contribution to growth (t.d.contribution to GDP growth)
vakstrarkista	(landb.)garden frame
vakstrarkveikur	source of inspiration;har funnu teir tann vakstrarkveik, sum fólkaháskúlin er ætlaður at geva ungfólkithere they found the source of inspiration which the folk high school is intended to give youngsters
vakstrarlag	figure, form;langfiskurin er eyðkendur á vakstrarlagnumrazor shell has a characteristic form
vakstrarlagaður	growth-oriented
vakstrarlendi	growth area;gott//ringt vakstrarlendigood//poor growth area
vakstrarlíkindi	(lækn.)growth condition;vakstrarlíkindigrowing conditions, conditions of growth;góð vakstrarlíkindifavourable conditions of growth;sum gevur e-m góð vakstrarlíkindiwhich is a good breeding ground for sth(t.d.racism)
vakstrarlítil	short (of stature); undersized;sum barn var hann vakstrarlítilhe was short of stature as a child
vakstrarlop	(lívfr.)germinal layer;(plfr.)growth layer, cambium
vakstrarmáttur	vegetative power(t.d.the vegetative power of corn);(lækn.)capacity of growth
vakstrarmegi	sívakstrarmáttur
