w1	(málfr.)consonant only used in words of foreign origin (calleddupult/ve:/
w2	(st.)wolfram
W3	(st.)Watt
Wales	(sern., landafr.)Wales (Kymru)
walisi el.walisari	Welshman, Welshwoman
walisiskur	Welsh;walisiska fólkiðthe Welsh
watt	(ravm.)watt;peran er 40 wattthe bulb is 40 W
wattleysur	(ravm.)wattless;wattleysur virknaðurwattless power/output;wattleysur streymurwattless/idle current
wattmálari	(ravm.)wattmeter
wattmissur	(ravm.)watt loss
wattnýtsla	watt consumption, wattage
wattsekund	(ravm.)joule
wattstreymur	(ravm.)watt current, active current
watttal	(ravm.)watt loss
watttímamálari	(ravm.)watt hour meter
watttími	(ravm.)watt hour
w.c.	sívesi
weekend	sívikuskifti
Weimarstýrisskipanin	(sern., sø.)the Weimar Constitution
weltervekt	welterweight
weltervektari	welterweight
whisky	whisky,(serst.um írskt whisky) whiskey,(am.:rugwhisky) rye (whisky);(am.:av mais og rugi) bourbon (whisky);whisky og soda(vand)whisky(flt.whiskies) and soda;(am.)highball;skotskt whiskyScotch (whisky);eg drekki whisky óblandaðI take/drink my whisky neat;whisky við ísterningumwhisky on the rocks
Wien	(sern., landafr.)Vienna
Windows-tænastur	(teld.)Windows services
