y	1(málfr.)vowel, (called seinnael. sj.langa y /i:/)2(stfr.)y (unknown numerical quantity)
y-ás	(stfr.)y-axis, ordinate; síuppás
ydda	(handv., stb.)point(t.d.a nail); put a fresh point to, give a point to(t.d.a tool);ydda knívpoint a knife
yðja	swarm(t.d.children swarm in the streets), teem (with), abound(av, íin, with)(t.d.the rivers abound/teem with fish); yðjaav/í (e-m)be teeming with, be alive with(t.d.the meadow was alive with insects)(GG:the book bristled with errors);gøturnar uddu av fólkithe streets were swarming/teeming/alive with people, there were crowds of people in the streets;har yður í fólkicrowds of people are there;yðjandi lívseething with life;yðjandi fult av (e-m)be teeming with sth, be alive with sth;tá vaskaðu fólk sær sjáldan og uddi tí í øllum livandiat the time people seldom washed and were crawling with lice
yðjan	swarming, teeming
Yggdrasil	(sern., gudal.)Yggdrasill
y-kromosom	y chromosome
ylheitur	1which stays warm for a long time;hesar gløðurnar eru so ylheitarthese embers stay warm for a long time2scorching (hot), glowing;eg kendi blóðið ylheitt brenna mær í barmimy blood was running burning hot in my body;hann helt eina ylheita verjurøðuhe delivered a fiery speech
ylliniviður	(plfr.)elder(Sambucus nigra)© Wikimedia Commons
ylna	become warm;nú er farið at ylna/nú er ylnað inniit has become warmer now(t.d.of heat from an oven);ylna um oyrunibecome uneasy;hann ylnaði viðit did his heart good;so ylnandi heit var hjartakenslan (fl.m.)his//her feelings were tender and strong
ylur	1[gentle warmth which is retained for a long time]; ylurer í hoynumheat is in the hay2sultryorclose heat; ylurí luftinia touch of warmth in the air3íosb.sumylur rann at honumhe was embarrassed, he was scared;tað dró ylur at honumhe got into a temper4warm, friendly feeling;ein ylur av gleði streymaði ígjøgnum hanaan intense feeling of joy rushed through her body;tað fer ylur gjøgnum ein at síggja konufólkaandlit afturit is an electrifying feeling to see women's faces again (after such a long time);(skaldsk.) ein ylur í barmi mær branna fire burned in my chest
ymis	síymissur
ymiseksingur	(plfr.)heterostachyae
ymisháttaður	varied, different; diversified; diverse;jørðin er ymisháttað innanthe interior of the earth consists of diverse materials
ymiska	adversity, bad luck, reverse(s) of fortune, adverse fortune;hann hevur havt/liðið/tolað manga ymiskuhe has suffered many adversitities;hann hevur so mangar ymiskurnar havthe has often been down on his luck
