á1	1river(t.d.the Murray is the largest river of(el.in) Australia; a swift(-flowing) river), stream, brook,(am. eis)creek,(skotskt eis.)burn;Tigris áthe (river) Tigris;Jordan áthe (river) Jordan;áin tekur seg upp í Alpunumthe river takes its rise(el.the river rises) in the Alps;áin rennur ígjøgnum fruktbart lendithe river runs through fertile country;áin rennur út í Miðjarðarhaviðthe river falls(el.flows) into the Mediterranean;við eina áby(el.near) a river; (um by, húso.a.)on a river(t.d.the town stands on the River Avon);eini hús við ánna (eis.)a riverside house;fossandi áa torrent, a torrential river2(sigl.) brúka ánnaprofit by the tide;(sigl.) hava ánna við særcome up with(el.be carried on by) the tide;(sigl.) hava ánna ímóti særhave the tide against one, come up against the tide;niðan eftir ánniup the river, upriver, upstream;oman eftir ánnidown the river, downriver, downstream3í osb: fara yvir um ánna eftir vatnicross the river in search of water; take unnecessary trouble;mangir løkir smáir gera stórar áirmany a little makes a mickle; every little helps;tað gekk sum eftir ánniit went very smoothly
á2	1(um flatael.linju) on, upon(t.d.on the beach, on the ceiling, on the chair, on the coast, on deck, on this earth, on the floor, on the ground, on the line, on page four, on the river, on the seas, on the table, hang on the wall, spots on the sun)(GG:upon merkir tað sama sum on, men verður sjáldan brúkt í talumáli);legg bókina á borðiðput the book on the table;fara umborð á skipiðgo on board the ship;skriva e-t á talvunawrite something on the blackboard2(um pláss hugsað sum eitt punkt) at(t.d.at the corner, at a place, at the top);(viðv.bygningiserl.tá ið hugsað verður um virksemi knýtt at honum) at(t.d.at the consulate, at the custom house, at the office, at the school, at the station, at the theatre, at the university)3(= innan fyri eitt økiel.rúm) in(t.d.in a café, in the country (á bygd), in the field(GG:on the football field, on the battlefield)); in the meadow, in the picture, in the pulpit, in a restaurant, in the sky, in the w.c., in the toilet); (um stórar oyggjar) in(t.d.in the Isle of Wight, in New Guinea, in Sicily; live in Malta); (um smáar oyggjar) on4(viðv.likamsparti) on(t.d.on one's knees, on one's toes, have a ring on one's finger, put gloves on one's hands; she wore a crown on her head);fóturin (beinini, armurin) á mærmy foot (legs, arm)5(um málel.endapunkt á rørslu) on to(t.d.climb on to the roof);(am.ofta skrivað onto); on(t.d.drop it on the floor); into(t.d. lata tað á fløskurput it into a bottle;fara út á bygdgo out into the country); to(t.d. eg fari á posthúsiðI am going to the post office)6(um tað ið hoyrir saman ofta samanseting við) of(t.d.the captain of the ship; the roof of the house; the leaves of the trees)7(ymsar tíðarfestingar) in,seint á kvøldilate in the evening;á morgniin the morning (at four in the morning);á sumriin (the) summer (, winter));seint á árilate in the year;tað var liðið á veturinlate in (the) winter(o.tíl.);at(t.d. á jólumat Christmas; á middegi at noon);á fjøruat low water(t.d.you cannot cross the bar at low water); ofbesta tíð á árinumthe best time of the year;langt út á náttinafar into the night, well into the small hours;nú á døgumnowadays8(viðv.aldri)á fimmti ára aldriat the age of fifty;á mínum aldriat my time of life, at my age;á ungum aldriearly (in life), at an early age;hann er á mínum aldrihe is my age9(um hátt) in(t.d.in this way(el.manner))10(um tungumál) in(t.d.in English; in any language);á føroyskum eftir ABtranslated (from the Englisho.s.fr.)by AB; Faroese translation by AB11(um eginleika, eyðkenni) byeg kenni hann á málinumI know him by his voice;fimur á fót(un)umswiftel.light on one's feet;fastur á hondinimiserly, stingy, tight-fisted;tungur á hondiniheavy-handed;hásur á málinumhoarse;lættur á særagile; light(el.quick) on one's feet12(um mát)á støddbe the size of(t.d.it is the size of an egg; he is about my size); be as big as13(nøvn á býarpørtum, gøtumo.ø.)in (, on)(t.d.he lives in the Market Square; in (, on) Oxford Street);(am.)on(t.d.he lives on Harvard Square, on Fifth Avenue)14(í smb. við ávís bygdarnøvn, staðanøvno.tíl.), in, at,á Eiðiat Eiði; (um vág, fjørð, havno.tíl.) skipið kom á Vestmannathe ship called(el.touched) at Vestmanna15(viðv.sinni, kenslum, kærleikao.tíl.) hava hug á e-mbe taken by sby;leggja ást á e-nhave a crush on sby;hon hevði álit á honumshe had confidence in him;vita á særhave a feeling that, have a hunch that;tá kom illgruni á teirthen they became suspicious16(í smb. við vindætt)á norðriwhen the wind is northerly17(fyri hvønn) of(t.d.2 cases of 25 bottles (each)); each containing(t.d.2 boxes, each containing 25 bottles); (um prís) at(t.d.5 bottles at 70 p. each)18í osb: á kroppisoaked, rain-soaked, drenched;á lívialive;ganga á oddago in front, lead the way;á tremurchock-full, chock-a-block, cram-full, crammed, packed;maður á manni el. kropp á kroppone after the other;nevna ánavni call(el.mention) by name;bíta á kampiswallow(t.d.one's resentment); control(t.d.one's temper);ganga á illumrutting, on heat,(am.)in heat;gevast á hendurthrow up the sponde, give up;hava á orði el. munnimention, make mention of;hava barn á bróstibe breastfeeding a child;á blikibleaching;standa á berum;sita eftir á berumhigh and dry;(vera) á fótumbe up19(saman við hjáorði)aftan á:after, in succession to(t.d.James II reigned after(el.in succession to) Charles II);aftur á:mala aftur á blóðiðreturn, go back;fram á:stumble across(el.upon);inn á:skipið kom inn á Havninathe ship called at, touched at Tórshavn;gera seg inn á e-nannoy, intrude upon;niðan á:ganga niðan á heygginwalk up the hill;oman á:on top of; above;og oman á altand into the bargain;hvat skulu vit hava oman á døgurða?what are we having for afters?upp á1for each, per2upp á seg hava nógv/lítið upp á segsignificant, insignificant;upp á segproportionally, proportionately3í osb: bera upp á e-tbe, fall on(t.d.the 13th of May is(el.falls on) a Sunday);bera upp á rímrhyme4bjóða e-m upp á málengage in conversation with sby; engage sby in conversation;taka e-t upp á tungunaspeak of, mention;læra el. rætta upp á e-nreprove, rebuke, reprimand, censure, take to task;upp á sítt besta el. tað bestain the prime of life;lættur upp á sporiðswiftel.light on one's feet;uppi á:hava e-t uppi á særon(t.d.I had no money (, papers) on me; have you a match on you?);vera uppi á gosibe stirred up;út á:gera út áthicken;úti á:úti á opnum havion the open sea;yvir á:hann kveitir yvir á hanahe glances at her20hj: tað er áthere is a rise!21av ogánow and then, now and again, occasionally, off and on, at intervals, from time to time
á3	(til at vísa m.a. iva, ovfarni, spurningo.tíl.)oh;á, heldur tú tað?oh, do you think so?
á4	síeiga2
áar-	(jarðfr.)fluvial
áararvi	(plfr.)Bog Stitchwort(Stellaria uliginosa)
áarbakki	river bank, riverside
áarbotnur	river bottom, river-bed
áarbugur	(landafr.) meander
áarbýur	riverine town
