æ	(málfr.)vowelordiphthong; (called seinna æ /æa/)
æða	(fugl.)common eider(Somateria mollissima)(Linnaeus, 1758); vappa sum æða í eggrás/sum æða vappar í eggrás(said of sby who is busy and scuttles about); (gáta, puzzle)æða fer eftir fjøllum við átta ungum(the wind directions); Steller's Eider síhøvuðhvít æða(Polysticta stelleri)Somateria molissima ©iStock
æðr	1(likam.)vein;sláa upp æðr,sísláa;(lækn.) taka e-m blóð úr æðr (gl.læknaráð) bleed(t.d.the doctor bled him of a large quantity of blood)2(plfr., dý.)vein
æðrabregd	(lækn.)tourniquet
æðrabruni	(lækn.)phlebitis;sum hevur æðrabrunaphlebitic
-æðraður	t.d.bein-,bogin-,fjaður-,hand-,stjørnu-
æðrafløska	(uml.)pinchbottle
æðragrovur	vained;æðragrovar hendurvained hands
æðrahinna	(lívfr.)choroid membrane(chorioidea)
æðrahinnubruni	(lækn.)choroiditis
æðrahválv	(byggl.)ribbed vault(ing) (hválv við krossaðum hválvskorðum, ið bera hválvið uppi)
æðrajarn	(til blóðtøku) lancet; (til dýr) fleam
æðrakálkaður	(lækn., likam.)suffering from arteriosclerosis
æðrakálking	(lækn., likam.)hardening of the arteries,(fakl.)arteriosclerosis
æðraknútur	(lækn.)varicose vein, varix;hava æðraknútarhave varicose veins
æðralag	(likam.)blood-vascular system; (lívæðralag) arterial system; (blóðæðralag) venous system
æðralop	(lækn.)varicocele
æðrasláttur	(lækn., likam.)pulse, pulsation, beat of the pulse,æðraslátturin fjaraði burturthe pulse/pulsation became weaker and weaker
æðrasoppur	(plfr.) arrhenia;flipputur æðrasoppurno common name (Arrhenia lobata)
æðraveingjaður	(dýr.)membrane-winged;tey æðraveingjaðu(skordýr) hymenoptera
æðravíðkan	(lækn.)angioplasty
æðubliki	(stb.)síæðublikur
æðublikur	(fugl.)drake(Somateria mollissima)(Linnaeus, 1758);(tilt.) hann er sum æðublikur(a man who doesn't help his wife to bring up the children)Somateria mollissima © iStock
æðudún	eiderdown;dýnur við fínasta æðudúnieiderdowns of finest quality
æðudúnsdýna	eiderdown
æðuflokkur	flockel.flight of eiders
æðuhvalur	(dýr.)killer whale(Orchinus orca);síbóghvítuhvalur
æðukongur	(fugl.)King Eider(Somateria spectabilis)(Linnaeus, 1761)© Martha de Jong Lantink
æður	(stb.)síæðr
æðureiður	eider's nest
æðutur	(seyðal., stb.)with white throat, white-throated (of sheep)
æðuungi	(dýr.)young eider
æðuvarp	breeding placeel.areael.site of (common) eiders;á summum hólmum eru so stór æðuvørp, at tað er ein heil innløga í dúninumso large flocks of eiders nest on some islets that the eiderdown collected constitute a small fortune
Æðuvík	(stn.)village on the island of Eysturoy;í//úr Æðuvíkat//from (the village of) Æðuvík;til Æðuvíkarto (the village of) Æðuvík
æðuvíkingur	person from (the village of) Æðuvík
ægir	(gl.)sea, ocean; (í tátti)á ægin bláon the blue ocean;Ægirthe Norse sea god,teir, ið sigldu yvir Ægis vað
ægr	(óregl.)síæðr
æl	shower;grovt/frekt/grumt/ringt ælheavy shower;hann setur eitt æl/grundar fyri einum ælia shower is approaching;hava mangt ælið køvt (fl.m.)having weathered many storms, having ridden out many storms;betri er kalt æl á vári enn einkia white squall in spring is better than no shower at all;fara ælanna millum[the distance is so short that the destination can be reached between showers]
æla	1be showery;hann/tað ælarit is showery weather;mangan ælar hann grovligasometimes the showers are heavy;tað ælar úr honumthere are passing showers2(skemt.)cry for no (good) reason (of children)
ælabogalitur	one of the seven colours of the rainbow;við øllum ælabogalitumin all the colours of the rainbow/spectrum
ælabogasíl	(fisk.)rainbow trout(Salmo irideus)
ælabogi	rainbow;sæst ælabogi av mánalýsi, kemur illveður høgta moonlit rainbow betokens a northerly storm
ælaleyst	the rain has stopped, it has stopped raining;nú er ælaleyst eina løtuthere's a pause in the rain;er tað ælaleyst í kvøld?is it raining?
ælaligur	looking like showery weather;hann sær so ælaligur útwe can expect showers
ælaluft	showery weather
ælaslettingur	slight shower
ælaslit	pauseorinterval between showers;tað er ælaslitit isn't raining
ælaslot	(sj.)síælaslit
ælaveður	showery weather;ringt ælaveðurthere are many heavy showers
ældrag	light shower, drizzle
ældráttur	(stb.)síældrag
ældróg	síældrag
æling	(sj., stb.)shower;grov æling stóð í honum
ælingur	1shower;grovur ælingurheavy shower;ælingur sæst í havsbrúnniá a shower cloud can be seen in the horizon2showery weather
ælmeiting	light shower
ælmeitingur	slight shower
ælmusk	light shower;hetta er bara eitt ælmuskthis is only a slight shower
ælmuska	(stb.)drizzle;hann fer at ælmuskait is going to drizzle, a drizzle is coming
ælnám	(stb.)light shower
ælnisp	(stb.)light shower;okkurt ælnisp niðurá við hvørtthere's a light shower every now and again
ælslit	pauseorinterval between showers;ælslitini gjørdust longri, sum frá leiðthe pauses between the showers became gradually longer
ælstavur	(stb.)shaft of sunlight seen through a shower
ælstroyggj	light shower
ælut	showery, squally;tað er so ælut
ær	>(dýr.)ewe, female sheep; ærmist um várið eru tríggir mistir seyðir um heystiða ewe lost in spring are three sheep lost in autumn;(orðt.) ofta eigur svørt ær hvítt lamb,sísvartur
æra1	1honour, credit; glory, distinction, prestige, standing;halda í æruhold in respect;koma til heiðurs og æru (aftur)be restored to favour(t.d.I see your silk dress has been restored to favour);ikki fáast aftur til æru(said of sth in bad condition) it is beyond repair;gera e-t til æru fyri e-ndo sth to honour sby, do/pay honour to sby;hann eigur æruna av at vit vórðu bjargaðwe were saved thanks to his courage;taka sær æruna av e-mappropriate/take the credit for sth to oneself;hann hevur æruna avthe credit is his/is due to him;(tilt.) tað er ov góð æra (fyri e-n)sby does not deserve sth,tað var ov góð æra fyri hana, at slíkur maður skuldi hirða at fríggja til hennarashe did not deserve to be courted by a man of his standing;(tilt.) tað er orð(ið) við æru(ni) sagtthat is the naked/plain/unvarnished truth;tað leikar tíni æru áyour honour is at stake2(sø., løgfr.)reputation, esteem;taka æruna av (e-m)punishment involving the loss of civil rights;fáa æruna afturregain one's honour
æra2	honour, respect, esteem; (ógvisligari) revere, venerate; hold in great honour/esteem;elska og æralove and honour;æra faðir tín og móður tínahonour thy father and thy mother;hann var ikki nógv ærdur í bygdinihe was not held in great esteem in the village;hinar fínu vórðu sjálvandi ærdar og nógv mettarthe better-class women were of course honoured and respected;høgt hevur súlan verið ærd í Mykinesithe people of Mykines have always appriciated the gannet;seinasti ærdi røðarithe previous/last speaker;(tingm.)the honourable member who has just spoken/who spoke last;(skaldsk.) síðan tey meg væl ærdusince that time I was respected
æra3	(um lamb, of lamb) accept its new ewe (mother);lambið æraði so vælthe lamb accepted quickly its new mother ewe
ærast	(stb.,of corn, potatoesetc)thrive, do well, give good harvest;Gud lati tað ærastmay the good Lord bless us with a good harvest
ærdur	síæra2
ærfrælsi	pasture for a ewe
ærgi	(stn.)mountainel.summer pasture, alpine pasture
ærgislerkur	(dýr.)calandra lark(Melanocorypha calandra)
ærhálsur	1ewe's neck2(skemt.)wrinkled neck of a woman
ærhorn	ewe's horn
ærhøvd	ewe's head
-æringur	(bát.)síseks-,tein-
ærkjøt	meat of ewe
ærkrov	cut up carcass of a ewe (hung up for wind drying)
ærlamb	lamb of a ewe (of a two-year old ewe or more)
ærligheit	(tlm.)honesty, fairness, straightforwardness, uprightness, integrity
ærligur	honest(t.d.man); straightforward(t.d.answer); upright(t.d.character); honourable(t.d.motives); (falsleysto.tíl.)frank(t.d.a frank look); (reiðiligur) sincere(t.d.I am not sure whether he is sincere; a sincere conviction); (rættvísur) fair(t.d.a fair statement of facts);hjærliga
ærmaki	[lamb which is as big as a fully-grown ewe];lambið er ærmakithe lamb is as big as a ewe
ærsaldur	life(time) of a ewe
ærseyður	1(samn.)ewe that is more than one year old2ewe(oppto ram);hatta er ein ærseyðurthat's a ewe
ærshorn	síærhorn
ærshøvd	síærhøvd
ærskját	[unusually lean carcass (krov) of a ewe]
ærskjøt	síærkjøt
ærskrinda	lean old ewe
ærskrov	síærkrov
ærsveiti	full-grown ewe's blood (used for black pudding)
ærtjógv	legorhaunch of ewe
æru-	síeis.heiðurs-
ærudráp	honour killing (í summum mentanarøkjum snýr tað seg um at at beina fyri skyldfólki,serst.gentuel.kvinnu, sum verður mett at hava æruskemt familjuna); eis.ærumorð
ærufrykt	(tlm.)awe, veneration (for);hava ærufrykt fyri e-mstand/be in awe of sby; hold sby in (great) veneration; revere/reverence/venerate sby
ærugirnd	morbidel.excessive ambition
ærukensla	sense of honour;følsk ærukenslafalse/misguided sense of honour;hann hevur onga ærukensluhe is dead/lost to shame;maður við ærukenslua man of honour
ærukærur	self-respecting, high-spirited;hann eru ærukærurhe is jealous of his honour
æruleysur	dishonourable, infamous;(sø., løgfr.)who has been deprived of civil rights;verða dømdur æruleysurbe sentenced to lose one's civil rights
ærulítil	with little honour, ignominious; ærulítiltjóðignominious nation
ærull	wool from a ewe
æruloysi	dishonourableness, infamy, ignominy
æruloysingur	dishonourable or infamous person
ærumeiða	(løgfr.)defame
ærumeiðandi	defamatory
ærumeiðari	defamer, calumniator
ærumeiðing	(løgfr.)defamation;munnlig ærumeiðingslander;skrivlig ærumeiðinglibel
ærumikil	honourable(t.d.action; peace); creditable(t.d.it is creditable to him); (ógvisligari) glorious;hatta er ærumikið starvit is a great honour
ærumorð	honour killing (í summum mentanarøkjum snýr tað seg um at at beina fyri skyldfólki,serst.gentuel.kvinnu, sum verður mett at hava æruskemt familjuna); eis.ærudráp
æruríkur	síærumikil
ærusjúka	morbidel.excessive ambition
ærusjúkur	morbidlyel.excessively ambitious
æruskemd	defamation
æruskemma	defame, slander;næstu ferð tú æruskemmir fólk, verður tú ryggbrotinI'll see to it that you'll be broken on the wheel the next time you defame someone
æruskemmandi	defamatory;æruskemmandi átaksmear campaign;æruskemmandi ritlampoon;æruskemmandi vísasatirical song
æruskemmari	defamer, calumniator, slanderer
ærutrá	morbidel.excessive ambition
ærutur	obliging, helpful, willing; polite, civil, courteous
æruverdur	venerable(t.d.person; custom); (tignarligur, gøvigur) august(t.d.assemblage; personage); (um kirkjumenn) reverend(t.d.the reverend gentleman; reverend father)
ærviðri	(dýr.)hermaphrodite sheep
æs	1eyelet [one of the foureltwo holes in a skin shoe's upper through which shoelace (tvongur) is threaded];onnur æsin slitnaði úr skónumone of the eyelets broke2(tilt.) út í æsirin every respect, through and through, exhaustively(t.d.study a subject exhaustively); thoroughly; down to the last detail(el.particular); go(el.enter) into details; go into particulars; (ofta um keðiligar og truplar smálutir)(tlm.)get down to the nitty-gritty;kanna út í æsirexamine inside and out/in every detail, overhaul thoroughly;greiða málið heilt út í æsirinvestigate the matter exhaustively;toyggja e-t út í æsirstrain sth to breaking point3(tilt.) tað hava verið æsir í honumhe has been a capable man, he has had guts
æsa	(sj.) tað er ikki æsan heil í hosunumcompletely worn out; síæs
æsing	(bát.)[the end piece of a gunwale];báturin vóð um æsingarnarthe water came up to the gunwale;aldan legði inn yvir æsingarnarthe wave washed over the gunwale
æt	síeita
-æta	síó-,ógv-
æti	1(dýr.)plankton, various plankton organisms2(niðr.)small fishes, small fry3bait(t.d.bait the trap)
ætl	1(approximate) calculation(t.d.at a rough calculation), estimate(t.d.at an approximate estimate), assumption,(sigl.)dead reckoning;eg gjørdi eitt ætl um taðI made a rough calculation of it;eftir ætlian approximate estimate;sigling eftir ætlisailing by (dead) reckoning2plan, intention;eg ætli mær ofta at ..., men tað verður bara ætlI often think of doing... but it never comes off;tað var ætlið hjá skiparanumit was the skipper's intention/plan;ofta brestur ætlit was never realized; it never came off
