í1	
í2	1(um stað í víðastu merking) in(t.d.in the army, in a box, in another chapter, in England, in a hole, in the house, in the newspapers, in the sea, in the wood; the wind is in the North)2(um stað/umstøður)í dagslýsiby daylight, in daylight;í kavain snow;í loyndumin secret;í mjørkain a fog;í myrkriin darkness;í óveðriin foul weather;í vandain danger; at risk3(framman fyri nøvn á stórum býum) in(GG:kortini: I have never been to London; he is on a visit to Paris)4(framman fyri nøvn á smáum býum) at(t.d.we stopped at Lincoln); (= ,,inni í" tó) in(t.d.old houses in Lincoln; the King was besieged in Lincoln)5(um umfevnandi viðurskiftio.s.fr.)in(t.d.in a dangerous situation)6(um støðu) in(t.d.in chains, in despair, in a violent rage);vera í neyðbe in peril; be in distress, be in want;liggja í óvitibe unconscious;mær stendur íI've been offered;hann stendur í vøkstrihe is growing;koma í skuldrun into debt, incur debts;vera í døpurhugabe in two minds;vera í ørvitibe confused;vera í gildibe valid (, current; present)7(um klædnabúnao.s.fr.)in(t.d.a man in a black coat, in evening dress, in rags, in slippers)8(soleiðis sum eitt er skipaðo.s.fr.)in(t.d.a play in 5 acts; a poem in 5 cantos; in groups of five; in packets of ten; in rows)9(inn (, niður, úto.s.fr.)í) into(t.d.jump into the water); in(t.d.put the key in the lock)10(hvussu leingi eitt varar) for(t.d.I have lived in London for 5 years); during(t.d.I was in India during the hot season);(am. eis:)in(t.d.I haven't seen him in years)11(um klokku) to(t.d.it is 5 minutes to 8)(GG:,,í hálvgum" má verða endurgivið við minuttum eftir seinasta heila tíma,t.d. 5 minuttir í hálvgum 812(um mánað) in(t.d.in June)13(ávísar tíðarásetingar:í morgunthis morning;í gjárkvøldiðlast night;í gjáryesterday)14(um samhoyring) of(t.d.the professor of German; the capital of the country; the University of Oxford; the wars of the Middle Ages; the events of 1914; he is a teacher of English); (í einstøkum førum) in(t.d.a commercial traveller in cotton; a speculator in railway shares); on(t.d.an expert on that question)15(støddfr.: um potens, veldi) to the... power(t.d.ten to the fifth power)16(um gjaldsslag) in(t.d.pay in gold, in pounds sterling); by means of(t.d.the fee is payable by means of stamps)17(sum) as, by way of(t.d.as a reward; by way of reward); in(t.d.pay £200 in taxes; in reward, in compensation); for(t.d.she gave him £100 for a wedding present)18(um evnið, sum eitt er gjørt úro.s.fr.)in(t.d.paint in oils; a statue in bronze; carved in wood)19(viðvíkjandi) in(t.d.his equal in strength)20[íyms.samb.]. í og fyri segin itself(t.d.it is not so bad in itself); per se; as far as it goes(t.d.the system is satisfactory as far as it goes); properly speaking; in a way;hava ein flokk í fronskumhave (, take) a form for(el.in) French;í og við ateo ipso(t.d.being King, he was eo ipso Commander-in-Chief of the army);í hesum mánaðithis month; during this month;tað er okkurt í títhere is sth in that;nóg gott í sjálvum særgood enough in itself21[ísamb.viðhj]burtur í:fara burtur í hagago out into the outfield;skorpna burtur í einkishrink to nothing;fram í:koma fram í ljósið (fl.m)appear, come to the fore;draga fram í ljósiðbring to light, reveal; (brotsverko.tl.)bring to light, expose;inn í:inn í húsiðinto the house;inn í náttinainto the night;inni í:inni í húsinumin(side) the house;niðan í:teir fóru niðan í gerðiðthey went up into the field;niðri í:niðri í fjørunidown on the beach;oman í:oman í fjørunadown to the beach;upp í:skeinkja upp í glasiðpour out(t.d.he poured himself (out) another glass of wine);klintra upp íclimb(t.d.a tree); scale;uppi í:uppi í seinginiin bed;út í:koma út í orðbecome the object of rumour;sukur út í tesugar in the tea;yvir í:e-m tykir yvir í, sítykja22[samb.viðfs/hjsaman viðs]t.d.anda í;festa í;helma í;klára í;koma í;leika í;leggja í;ríkja í;seta í;skjóta í;slíta í;spinna í;taka í;vita í;sísagnorðið
ía	(barn.)dress,ía segdress
ían	(óregl.)->íðan
íbeiskur	embittered
íbindi	(stb.)síbindindi
íbinding	1(bjarg.)harness2connection, (til vatn, ravmagno.s.fr.á tjaldingarplássi) hook-up
íbinviður	ebony (wood)(Ebenus)
íbirta	síbirta í
íbirtari	1entrepreneur, promoter, originator (originator to...)2instigator; (til uppreisturo.s.fr.)ringleader, agent provocateur
íbland1	admixture,har er málið enn óspilt av fremmandum íblandithere the language is uncontaminated by any foreign admixture;men eisini tær løturnar vóru fyltar við beiskum íblandibut these moments were filled with a bitter strain too
íbland2	(stb.)among others; including(t.d.including the following)
íblástur1	inspiration;geva e-m íblásturinspire sby;tað var hesin tilburður sum gav honum íblástur til kendu yrkinginait was this event which inspired him to write his famous poem
íblástur2	inspired;ein íblást grein (eis. fl.m.)an inspired article
íbláur	bluish
íbogin	slightly bent (, bowed, curved, crooked)
