ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
ó	(málfr.)a vowelel.diphthong, [`u])
óalmennur	unofficial;(tlm.,um framsøgno.tíl.)off the record(t.d.this remark is off the record)
óamerikanskur	un-American;óamerikanskt virksemiun-American activities(flt)
óampaður	unconstrained, free and easy, unhindered, unhampered, unimpeded, unobstructed
óansaður	unobserved, unnoticed, unheeded, unperceived (by);tað ringasta er at sleppa hiðani óansaðurthe worst part is to get away from here unnoticed
óansin	incautious, rash, heedless, careless, inattentive, remiss, slack;óansið spæl við eldincautious play with fire
óansni	incautiousness, imprudence, unwariness, unguardedness, rashness, injudiciousness, heedlessness, carelessness, inattention, remissness, slackness
óarbeiðsføri	incapacityel.unfitness for work, disablement
óarbeiðsførur	unfit for work, disabled; (bráðfeingis) incapacitated
óarbeiðsligt	awkward,tað er so óarbeiðsligt í hesum veðrinumit is awkward to work in such weather
óargadjór	síóargadýr
óargadýr	1brute, beast, rascal, lout, villain, scoundrel, a bad lot, a bad egg, a nasty character2(stb.)quick-tempered person, choleric person, irascible person
óargagerð	viciousness, naughtiness, rudeness;hann øsir hana upp til synd og óndskap við sínum óargagerðumhis viciousness incites her to acts of sin and wickedness
óargakroppur	brute, beast, rascal, lout; óargakroppurvar hannhe was a brute
óargaligur	naughty; óargaligurdrongura naughty boy
óargaskapur	naughtiness
óargaungi	rascal, scamp, cheeky fellow; Smart-Alec(k);tey vóru óargaungarthey were brats
óast	(stb.)síhóast
óatfinnandi	impeccable(t.d.behaviour; dress; manners; style; taste); blameless(t.d.lead a blameless life); irreproachable(t.d.conduct); unexceptionable(t.dconduct);ein umsjónarmaður eigur at vera óatfinnandithe conduct of a supervisor must be irreproachable
óatkomandi	inaccessible(t.d.coast; country; document; mountain; person); impenetrable(t.d.forest); not easy of access;(tlm.)ungetatable(t.d.a remote ungetatable village)
óatkomiligur	1síóatkomandi2(um fólk) unapproachable(t.d.he is an unapproachable sort of person); distant(t.d.he was rather distant with me); remote(t.d.his remote manner); reserved; noli-me-tangere(t.d.look);(tlm.)stand-offish
óavgjørdur	(ítr., spæl, kortsp.)drawn;(herm.)inconclusive(t.d.battle, war);óavgjørt spæla draw/a tie/a drawn game
óavgreiddur	unclarified, not sufficientlyel.not yet clarified; inconclusive; confused(t.d.the situation is still confused); (óloystur) unsolved; (ikki fingin frá hondini) not carried out, unexecuted, undone; (um postsending) undelivered;óavgreidd brøv (eis.)dead letters
óavhøvdaður	(fisk.)with the head on (of fish, in course of trade)
óavmarkaður	unbounded(t.d.confidence); boundless, unlimited(t.d.freedom, possibilities, quantities, resources); limitless;óavmarkað ábyrgdunlimited liability(GG:an unlimited company);óavmarkað álitunbounded confidence
óavvitandi	unwittingly(t.d.you may violate the rules unwittingly); without one's knowledge;mær//honum//henni//teimum//tykkumo.tíl.óavvitandiwithout my//his//her//their//youretcknowledge,(eis.)unknown to me//himo.tíl.
óálítandi	unreliable(t.d.he is unreliable in money matters); untrustworthy, undependable(t.d.undependable servant); unsafe(t.d.newspapers are unsafe guides to a student of public opinion); shifty(t.d.a shifty fellow, shifty eyes)
óár	badel.lean year
óárligur	(um veður, of weather) unseasonable;veðrið er so óárligtthe weather is unseasonable
óártímiligur	síóárligur;óártímiligt veðurunseasonable weather
óásettur	intact, (um breyð) uncut, (um kjøt) uncarved, (um fløsku) unopened; óásetturhálsura uncarved/untouched sheep's neck;fløskan er óásettthe bottle is unopened
óásýniligur	insignificant(t.d.appearance; person; sum); unimpressive(t.d.building; person); inconsequential(t.d.detail; sum)
óát	something uneatableel.inedibletað er so nógv óát í gomlum neytakjøtithere is so much that is uneatable in old beef
óátalaður	unchallenged, uncontradicted;hatta kann ikki sleppa at standa óátalaðthat remark should not be allowed to pass uncontradicted/unchallenged
óátuligur	unappetizing, not very tempting; (ógvisligari) repulsive, disgusting, unsavoury
óávinniligur	unconquerable(t.d.nation); indomitable(t.d.courage; pride; will); invincible(t.d.army, courage); impregnable(t.d.fortress)
óávirkandi	(málfr.)intransitive; óávirkandisagnorðintransitive verb
óbarkaður	(um húðir) untanned
