ø	(málfr.)vowel, /ø:/
Ødipus	(sern.)Oedipus
ødipuskompleks	(sálfr.)Oedipus complex
øða1	(dýr.)horse mussel(Modiola)
øða2	1make sby angry; (ógvisligari) exasperate sby; infuriateel.enrage sby; øðae-ninfuriate sby;øðastbe angry, be in a temper, be in a rage2(um veður, of weather) increase; get rougher;hann øðar veðriðthe weather is getting worse/is deteriorating;hann øtlar vindinthe wind is rising
øði	1fury, rage; øðier í honumhe's in a rage;nú er øði í monnummen are angry;dansa av øðiin a black fury/in a frantic rage/in a frenzy of rage/in a savage rage;gera e-t í øðido sth while in a fury;loypa/fáa øði í e-nmake sby furious, infuriate/enrage/madden sby, drive sby to frenzy;tá spann/kom øði í hannhe suddenly got/flew into a rage, he suddenly got/flew into a passion, he flared up;í øðinifurious/infuriated/mad/in a rage;koma í øðinabecome furious;knappliga gekk øðin úr honumhe suddenly calmed down2hurry, haste;hon leyp heim aftur í slíkari øði, at hon datt og mundi sorað seg sundurshe ran home in such a hurry that she fell and was lucky escaping injuring herself;(skaldsk.) hjarta mítt titar í øðimy heart is throbbing wildly;í somu øðiniwithout reflection/consideration/thought
øðibardagi	stubbornel.savage fight
øðiligur1	síøðisligur
øðiligur2	(óregl.)síøgiligur
øðimikil	wild, angry, furious, mad, violent, fierce, tremendous;øðimikið fjalladunangry mountain rumbling;øðimiklir logarfierce flames
øðisligur	rather angry; wildorunmanageable
øðismikil	síøðimikil
øðrum	síannar
øðrumegin	1[sumhj] on one sideorthe other;doyggja niður øðrumeginbe paralysed down one side;vera burtur øðrumeginbe away for a moment (on an errand);sita og grína burtur øðrumeginlaugh slyly, sit laughing to oneself;øðrumegin við1over, pastoracross one side;bólturin fór øðrumegin viðthe ball went past the (goal) post;syngja øðrumegin við(ikki reint, falskt)(fl.m.)sing out of tune/false/off key2a little to one side, somewhat silly;hann er øðrumegin við2[sumfs] on one side or the other side of; øðrumeginveginon one side of the road
øðruminni	(tlm.)síøðrumegin
øðrvísi	in another way, otherwise(t.d.I could not have acted otherwise); differently;sonurin var heilt øðrvísi, spakførur, hevði lyndi av mammunithe son was quite unlike his father, he was mild, he had his mother's disposition;øll halda kongin vera øðrvísi vorðnan nú enn fyrrpeople think that the King is different now from what he used to be;ikki øðrvísi ennnóg illa hardly/scarcely;tað var ikki øðrvísi enn, at teir kendu lívsbragd í honumhe hardly showed signs of life;eg eri ikki øðrvísi enn haggongdurI am just about able to go out into the outfield;einki øðrvísi hava hinar vitjanirnar veriðthe other visits were no different from this one
øðrvísihugsandi1	who thinks differently;øðrvísihugsandi starvsbrøðurcolleagues who think differently
øðrvísihugsandi2	those who think differently, people of a different opinion//persuasion; dissenters
øðrvísini	(tlm.) kundi tað verið øðrvísini?could things have been different?, things worked out that way, life is like that;leiðini eru ikki øðrvísini at síggja enn aðrar langar túgvurthe burial places don't look different from other long tussocks; síøðrvísi
øðudregg	[grapnel for catching (horse) mussels]
øðudýr	(dýr.)shellfish
øðukelv	(dýr.)mussel larva(flt-ae); (øðukelv sum hava fest seg í botn) spat
øðulingur	(dýr.)no common name(Modiolaria nigra)
øðuskel	(horse) mussel shell
øga	frighten, alarm, scare, terrify; øgae-nfrighten sby;Valindur tokar í herin fram, øgir Haralds menn (kvæð.)Valindur pushes forward to the forefront of the battle and frightens King Harold's men;(gl.) meg øgdi tað fyri eygunumI was a little afraid when I saw it;øgastbe surprised;mongum øgdist at síggja taðmany were alarmed when they saw it
øgil	1breaking up of ice (in a river);øgil er komin í ánnawater mixed with snow and ice (in a river) during the thaw2dirty (brownish) water in a river when there is heavy rain3thawing4flooded river(espduring spring thaw);einaferð kom øgil úr Hovsegg og tók ein hjall av grund og førdi hann oman á sjógv5íosb.sumhann er ein øgil/hann leikar í sum ein øgilhe behaves like a madman;hann er ein øgil og ein bøðilhe's ruthless, he's a brute
øgiliga	síøgiligur
øgiligur	1terrible(t.d.a terrible disaster//loss//sight//situation//vengeance//wound; sth terrible has happened); dreadful(t.d.a dreadful monster//voice); frightful(t.d.a frightful calamity, the soldiers committed frightful atrocities); appalling(t.d.an appalling sight//situation); ghastly(t.d.his face was ghastly to look at; a ghastly sight//murder); horrible(t.d.a horrible crime//sight); dire(t.d.consequences); dreaded(t.d.disease);(skaldsk.)awesome;(tlm.)awful;so øgilig var sjóninthe sight was ghastly2strong, furious;tað var ein øgilig ferðat a furious speed;ein øgiligur vindurvery strong wind3[sumhj)øgiliga1horribly(t.d.dirty; mutilated//scared//uncomfortable); appal-lingly(t.d.bad); dreadfully(t.d.frightened//bad// clumsy//ill//poor//uncomfortable); mon-strously(t.d.exaggerated//over-decorated)2(ógvuliga um bæði gott og ringt); terribly(t.d.he suffered terribly; we are terribly fond of him; terribly afraid//boring//dirty/-/glad//hungry//ill//im-portant//poor//rich; she is terribly sweet//unhappy); awfully(t.d.bad//dirty//glad//good//interesting//poor//rich//stupid); frightfully(t.d.
øgilsvatn	síøgilvatn
øgilvatn	[turbulent (dirty) water in a river in full spate]
øgn1	1(plfr.)glume(palea)2(plfr.)awn3(differently coloured) spotorpatch;ærin var eyðkend av svartari øgn, sum hon hevði aftan fyri oyraðthe ewe was easily recognized by a blackish mark which it had behind its ear4bit, scrap;ein øgn av kámum norðlýsi hekk í útnorðria faint streak of northern lights hung in the north-western sky
øgn2	í osb. vera væl//illa í øgn við e-n get on well//badly with someone; like//not like someone
øgn3	síagn
øgnkarpi	blackspot sea bream, red sea bream(Pagellus bogaraveo)
øgnutur	1(plfr.)with beard (on ears of barley)2(seyðal.)with patchesorspots of different colours;dimmur seyður kann vera øgnuturblack sheep can have a few white hairsel.whitish spots;hvítur seyður við smáum svørtum blettum er øgnuturwhite sheep with blackish patchesorspots isøgnutur
øgul	(stb.)síøgil
øguligur	(stb.)síøgiligur
øka	switchback;(am.)roller-coaster, (til børn) helter-skelter;koyra/aka í økugo/ride on a switchback
-øka	t.d.bartals-,bótals-,halvarðs-,jóans-,ólavs-,pæturs-,syftun-
øki(r)	1open space, room, territory(t.d.this territory belongs to France); area(t.d.the cultivated area); region; precincts(flt) (t.d.the precincts of the university);(serst. am., viðv.fróðskaparsetrum) campus2limited area;á e-m øki(r)in an area;bygt øki(r)built-up area;friðað øki(r)preserved/protected area3department(t.d.all departments of knowledge); domain(t.d.the domain of history//of science); field(t.d.in the economic field; in the field of practical politics); sphere(t.d.he is unsurpassed within his sphere; his studies belong to another sphere; international co-operation in the economic sphere); province(t.d.it comes within the province of sociology; the province of a Government department); purview(t.d.it does not come within the purview of the book; outside the purview of this department); concern(t.d.that is not the concern of the Board of Trade); jurisdiction(t.d.of a Government department, of a court of law); sector(t.d.of economic life)4(mál) scope(t.d.the scope of a scientific work; a subject which comes/lies within his scope; it lies outside the scope of this book)5(hugtaksøki) extension (of a term)6(har dýr og plantur eru) habitat7(í hagtølum) range(t.d.in the plastic range)8(teld.)domain
økil	(likam.)ankle;stivlarnir ganga upp á økilinthe boots come up to the ankles;upp um øklar: ganga upp um øklar í runuflounder in mud up to one's ankles
øking	addition, supplement; increase
økisfelagsskapur	(stjm.)regional organization
økisnavn	(teld)domain name
økisnummar	(tlf., tel.)area code
økistíð	local time
økja	add to, increase, supplement;økja ummake greater, enlarge, increase, add to(t.d.this added to my difficulties);(tlm.)make bigger; økjaum ferðinaincrease the speed;økja upp íinsert (an extra piece);útreiðslurnar økjastthe expenses are growing
øklabein	(likam.)anklebone, tarsal bone(ossa tarsi)
øklahosa	ankle sock
øklaketa	(prýði) anklet
øklaknúta	(sj.)síøklaknútur
øklaknútur	(likam.)ankle joint, malleolus(fltmalleoli)
øklasokkur	ankle sock
økonoma	(á sjúkrahúsi,uml.)catering officer, síeis.matmóðir2
økrum	síakur
øks1	axe,(am. eis.)ax, (lítil) hachet, (køksøks, kjøtøks) chopper, cleaver, (á sláturvirki) pole-axe, poll-axe,(handv.tvørøks, skarøks) adze, (stríðsøks) battleaxe, (indiansk) hatchet, tomahawk, (viðarøks, skógarøks) felling axe, woodman's axe;føroysk øks hevði beina eggthe old Faroese axe had a straight edge
øks2	síaks
øksa	(stb.)síøks1
øksarbit	[cut in wood after a stroke of an axe]
øksarblað	blade of an axe, axe blade
øksareyga	eye (for the handle of an axe)
øksarhamar	back of axe, the thick part of an axe
øksarhyrna	[either of the corners of the blade of an axe]
øksarhøgg	blowel.stroke of an axe
øksarkjaftur	edge of an axe;hann skuldi verja seg, so leingi sum øksarkjafturin helthe would defend himself for as long as his axe had an edge;tungt var høgg av øksarkjafti (kvæð.)the well-directed blow of the axe was fatal
øksarskaft	axe shaft;(tilt.) eg eri turrur sum eitt øksarskaftI am as sober as a judge, I am stone cold sober
øksarstavur	(gl.)long (shepherd's) stave fitted with an axe head
øksi	(gl.)axe;(kvæð.) Álvur reiggjaði øksi háttÁlvur was brandishing his axe
øksl	1(likam.)shoulder;mjáur um akslarnarrow-shouldered;líta um øksllook round, look back, turn, turn round;eg leit ikki um økslI behaved as if nothing had happened, I went on as usual, I ignored it;eg kann ikki líta um øksl fyri hasum, tí hatta leggur alt til merkisI can do nothing for him//her, he//she notices everything;yppa/kippa øksl/akslirshrug (one's shoulders);skjóta akslirshrug (one's shoulders);hann royndi at skjóta seg eftir øksl út afturhe tried to push his way out sideways;(tilt.) skeggið situr so nær høkuni og økslin so nær høvdinum,sískegg2[íflt] part between neck and "belly" of a bottle;fløskan er um akslirthe bottle is full up to the neck3(stn.)shoulderlike formation4(ným.)shoulder, roadside, wayside;tað er ikki loyvt at seta bil á gongubreyt ella økslno parking on the pavement or along the shoulder
økt	period of three hours, one eight of a day
økusól	(stjfr.)[lunar month reckoned from the next appearance of the new moon after the summer solstice (summarsól, 21 June)]
øl	1[sum hvørkikynsorð,h3e] beer;ljóst øllight beer;myrkt øldark/brown beer; (tíðum) dark lager;pilsnarøllager;sterkt ølstrong beer;veikt ølweak beer;yvirgerað øltop-fermented beer;(orðt.) tá ið ølið fer inn, fer vitið útas the beer goes in, sense goes out;(orðt.) øl er annar maðurbeer changes one into another man (a person's true nature come out when one is drunk, in vino veritas)2[sum kvennkynsorð,kv2] bottle of beer;tvær øltwo beers (eis. t.d.gev mær eina veðr)
ølaður	beery(t.d.a beery voice);hann var ølaðurhe had obviously had a pint too many
ølavgjald	beer duty, beer tax
ølavlating	bottling of beer
ølbilur	(brewer's) dray
ølbjølgur	1beer drinker2beer paunchel.gut
ølbryggihús	brewery
ølbrygging	brewing
ølbryggjari	brewer
ølbúkur	beer paunchel.gut
ølbøli	(niðr.)low(-class) pub, dive;Sjoint
øld	1time, age, era, period;fornøldantiquity;miðøldthe Middle Ages; medi(a)eval times2century;tjúgunda øldtwentieth century;øld eftir øldcentury after century;farna øldinthe last century
øldeymur	beery smell, smell of beer, beer fume(GG:his breath reeked of beer);drykkjustovan var full av tubbaksroyki og øldeymithe pub was full of smoke and beer fumes
øldós	beer can
øldrekkari	beer drinker;Sfroth-blower
øldrekking	beer drinking
øldunkur	beer can
ølfløska	bottle of beer, beer bottle
ølfroða	(beer) froth, (beer) foam; (á ølglasi) head
ølger	(plfr.)brewers' yeast, barm
ølgerð	brewing
ølglas	beer glass; (stórt) tumbler
ølgøgn	(sø.)brewing vat
øljarn	bottle opener
ølkaggi	beer barrel; (lítil) beer keg
ølkanna	beer jug
ølkapsil	(beer-bottle) cap, crown cork
ølkar	brewing vat
ølkassi	beer crate; (kassi av øli) crate of beer
