ú	(málfr.)a vowelordiphthong
úla	(dý., sj.)síugla
úlda	síúldna
úldna	(um mat, of food) turn sour, go sour, go off, go bad, be tainted;hann gongur ikki og úldnast (fl.m.)he speaks his mind, he speaks bluntly, he is outspoken, he doesn't mince his words, he doesn't beat about the bush
úldrynja	(dýr.)síopna1
úldur	1(um mat, of food) spoiled, gone bad, tainted(t.d.meat, meat gone bad), which has a disagreeable taste;úld mjólkthe milk has gone sour;fiskurin er úldurthe fish has gone bad;kjøtið er últthe meat has gone bad2[sumhj]hatta luktar//smakkar últit has a disagreeable smell//taste
úlma	síúldna
úlpa	síulpa
úlvagangur	(kvæð.)noise of wolves, barking of wolves, baying of wolves;hann hoyrir so miklan úlvaganghe heard wolves barking noisily
úlvajarn	síúlvasaksur
úlvarungi	(sj.)badornaughty boy
úlvasaksur	[scissors for cutting off the uvula]
úlvdrynja	síúldrynja
úlvfiskur	(fisk.)Esmark's eelpot(Lycodes esmarkii)
úlvhundur	(dýr.)wolf dog;írskur úlvhundurIrish wolfhound;dreingirnir bardust sum úlvhundarthe boys were fighting like cats;higar ið teir úlvhundar vildu at honum leggja (kvæð.)this is the place where he was attacked by the wolf dogs
úlvinfinn	(seyðamark) [a particular sheep mark]
úlvungi	cub scout
úlvur1	1(dýr.)wolf(Canis lupus); (tilt.) berjast sum úlvur á skógfight like a lion;(tilt.) koma í úlvsins kjaftbe in a mess, be in a predicament©iStock2(stb.)large bag, duffel bag
úlvur2	(likam.)uvula
