ý	(málfr.)vowelordiphthong; (called seinnael. sj.langa ý /ui/)
ýa	síyðja
ýl	1(av villum dýrum) roar(t.d.of a lion); (av fíli, of elephant) trumpeting2(av tarvio.tíl.,of bulletc)bellow; (av hundi, úlvi; of dog, wolf) howl3shriek, shrill shout;hann gjørdi eitt ýlhe let out an ear-piercing shriek;ýlini hoyrdust frá teimumthey could be heard shrieking4(av illveðrio.tíl.;of stormetc)roar, roaring;ýlið frá hvirluni minkaðithe roar of the whirlwind died down5(frá løgreglubilum) wail (t.d.the wail of the police sirens)
ýla	1(um kríatúr, of animals) yell, howl, squeal;ein hundur stóð uttanfyri og ýldia dog was howling outside (our house);drekar tóku at ýla hart (kvæð.)dragons began to roar2(av floytu) hoot, whistle;tá hoyrdi eg eimskipið ýlathen I heard the hooting of the steamship3shriek, let outorgive a shrill shout;tað ýlir av stormithe storm is roaring;bilurin fór við ýlandi ferðthe car was driving at top speed;ýlandi vetrarstormura roaring winter storm4(sigl.) aftur at ýlaback to work(espboring work)
ýlan	bellowing; roaring; howling, yelling, shouting; shrieking
ýling	bellowing; roaring; howling, shouting
ýlingur	stomach rumbling
ýsopur	(plfr.)hyssop(Hyssopus officinalis)
ýta1	surface, outside, exterior
ýta2	1(á sjónum, at sea) take bearings, find one's position by means of a mark on land; establish a position(espa fishing ground);ýta eitt mið avestablish the position of a small fishing ground2(handilsm., nýggjy.)ýta avbenchmark
ýtar	(kvæð.)men;vil eg fyri ýtum greinaI'll clarify (the situation) for you men
ýti(r)	navigation mark (for fishermen) (landmark by means of which a fishing ground is found again);hann tók tað til ýti(r)he used it as landmark;aðrir bátar royndu at fáa ýtini av teimummen on other boats tried to establish the exact position of their (very) small fishing ground (its exact position had up to then been kept as a secret);so fell hann á við roki og tók øll ýti(r) burturthen it began snowing heavily and the landmarks disappeared;sigla inn eftir ýtumsail home by means of landmarks
-ýting	síavýting
ýva	> ýva seg upp bristle, take up/adopt a threatening attitude, blow oneself out;hann ývdi seg upp ímóti honumhe took up a threatening attitude;nú fer hon at ýva hárygginshe's beginning to be annoyed with waiting
ývin	1(plentiful, expansive):hava ývið hárbe rough-haired; with rumpled/ruffled hair;hava ývið skegghave a bristly beard;mítt hár var so ývið sum ein fjøsmy hair stood on end2swollen with anger; aggressive, fierce, combative; ývintarvuran angry bull;hann var ývin og ilskurhe was swollen with anger;hann gjørdi seg ývnan og rópti: " Still børn!"he blew himself out and shouted, "Be quiet!"
ývna	1(um hár, ull; of hair, wool) become more coarse, get rough, stifforbristly;hárið ývnaði á høvdinumhis//her hair became bristly2become more prominentorconspicuous; (of flower buds) tighten up, become tighter;knubbarnir ývna dag undan degithe flower buds grow tighter day by day;hon ývnaði av errinskapishe puffed up with pride3get worse, become worse, worsen; deteriorate;bágin ývnaði í hvørjumthe defect grew steadily worse;veturin ývnaði í hvørjumthe winter became harder;veðrið ývnaðist í hvørjumthe weather grew more and more violent
