b	1(málfr.)hjáljóðsstavur (nevndur[be:])2(tónl.)tóni(hálvur tóni lægri enn h)og samsvarandi nóti
ba	(barn.)(lítli) beiggi
babb	svass, tvætl, møsn
babba1	(barn.)pápi
babba2	tvætla, møsna, roksa, svassa
babbaba	(barn.)pápabeiggi
babbaræddur	(stb.)bebbaræddur
babl	tað at babla
babla	tvassa, babba, roksa
babsur	(slang)baptistur (2)
badminton	(ítr.)bóltleikur við fjaðurbólti ið verður sligin við kettjara tvørtur um net(sum einmansleikurel.tvímansleikur)
badminton-	sms. t.d.-dystur,-høll,-kapping,-leikari,-vøllur
bað1	1tváttur, vask (niðri í vatni), leyg, tað at baða særel.øðrum,fáa sær bað;vera/fara í bað2baðivatn3baðikar, baðirúm4(ídn.)løgur at skolael.viðgera e-t í(t.d. sýrubað);sms. t.d.blóð-,brúsu-,fót(a)-,fríggjadags-,gos-,guvu-,kar-,skúr-,stoyti-,sýru-,vatn-
bað2	síbiðja
baða	tváa, vaska (í bað), leyga,baða sær/e-m;snældan baðar sær(loypir fram av sær)
baðhús	hús við almennum bað
baðihús	baðhús
baðikar	(stórt) kar í baðirúmi til at baða sær í
baðikápa	plagg úr mjúkum tilfari at vera í eftir bað
baðirúm	rúm til at baða sær í(við kari el. skúrbaði)
baðistrond	strond (sandurel.møl) har sum fólk svimur
baðivatn	vatn til at baða e-mel.sær í
baðivekt	lítil lág vekt til at standa á
baðkar	(sj.)baðikar
baðolja	(angandi) olja 1(1) at lata í baðivatn
baðrúm	(sj.)baðirúm
baðstaður	staður har ið fólk baðar sær, baðistrond
baðstova	1(stn.,ným.)rúmel.hús til guvubað[finsktsauna]2baðirúm
baga	bila, meina, feila, verða at meini,honum bagir einki;(orðt.)altíð bagir illum barni okkurt
bagal	(søg.)biskupsstavur
bagavirt	(sj.)torført,tað er bagavirt
bagg	tað at e-t baggar, bági,hvat er nú at baggi?;baggið, tað er tað vanliga!
bagga	baga
bagi	mein, bági(Ev)
bagsteinur	(sj.)bágsteinur
bai	(tlm.)heilsan tá ið farið verður avstað,bai;bai bai
