d	1(málfr.)hjáljóðsstavur (nevndur[de:])2(tónl.)tóni og samsvarandi nóti3stytting fyridesi-(sum t.d. í desimetur, desilitur (dm, dl))
d.	stytting fyrideyður
dadda	1ein ið ansar smábørnum, barnagenta, fostra,sita dadda2(Sumb.)didda, systir3(Sumb.)smágenta
daddast	(slang)ansa børnum, sita inni hjá børnum,vit kundu farið, um eg fekk onkran at daddast
daddudrongur	drongur ið dadda hevur til fosturs, fostursonur
daddusonur	daddudrongur
daddusøga	skrøggsøga
dadla	(plfr.)frukt av dadlupálma
dadlupálmi	(plfr.)slag av suðurlendskum træ(Phoenix dactylifera)
dadlusteinur	steinur (kjarni) í dadlu
daffa	bíta í bak, spilla út, baktala, klaffa,daffa fólk
-daga	síupp-
daga	1koma til sjóndar(upp ímóti luftini),koma undan, bredda,tindurin dagar upp móti luftini;teir daga uppi á eggini;trø og hús dagaðu upp úr morguntokuni;(flutt m.)hava latið nakrar einstakar løtur daga upp um tær vanligu2degna,tá var farið at daga(í gl. tátti)
dagamunur	munur sum sæst dag frá degi,tað sæst dagamunur á (e-m)
dagaposi	(sj.,stb.)klæði sum er illa voviðel.er ógvuliga opið og leyst,hatta er sum ein dagaposi(sum eyrriðanet)
dagaskil	skil á vikudøgum(í raðfylgi og tali),missa dagaskilið;vita dagaskil;ikki vitael.duga dagaskil1ikki hava skil á vikudøgunum2ikki hava nógv til, vera fávitskutur
dagast	daga, koma til sjóndar,ikki eitt fjall ella tindur dagaðist;høgar mastrar dagaðust uppi í myrkrinum;ein bátur dagaðist úti í fjarðarmunnanum(hómaðist);tað dagast fyri e-mein varnast e-t,nú tað dagast fyri honum, hvat ið hent er
-dagast	síav-
dagatal	1tal á døgum,eg skal telja tær dagatal, so tú fert ikki villur2yvirlit yvir dagar í mánaðiel.ári, kalendari
dagavillur	sum ikki veit dagaskil
dagblað	tíðindablað (sum kemur út dagliga)
dagbók	bók sum skrivað verður í um dagsins hendingar
dagbóka	føra í dagbók[da.journalisere]
dagbót	1(løgfr.)bót í samsvari við dagsinntøku hins revsaða2dagligt endurgjald fyri arbeiði ið ikki er liðugt ásetta tíð
dagbretting	(sj.,stb.)tað fyrsta ið lýsir av degi, lýsing (1),í dagbrettingini
dagdeild	(lækn.)viðgerðarstovnur har ið fólk gerandisdagar fáa viðgerð(men ikki eru innløgd)
dagdreymur	tað at ímynda sær e-t gott meðan ein er vakin, vøkudreymur
dagdroymari	ein ið droymir dagdreymar, veruleikafjart fólk
dagdvølja	1e-t at stytta sær stundir við, ítriv,hon hevði funnið eina frálíka dagdvølju;lesnaðurin veitir okkum meinaleysa dagdvølju2(spæl)spæl líkt fimlu,loysa dagdvølju(Sv Indb.1189);(flutt m.,stb.)tú vart mær ein rættilig dagdvølja(um e-t el. e-n sum ómakar el. tarnar e-n)
dagfallin	fallin til gjaldingar(Ev)
dagfastur	sum ber upp á dagstevndan dag á hvørjum ári,um sama mundið sum tólvti sunnudagur er eisini líradagur, men hann er dagfastur, 26. aug.
dagfesta	festa dag á, dagseta 2, tíðarmerkja,í brævi dagfestum 25. mai 1990
dagfesting	tað at dagfesta, dagseting
dagføra	føra fram til dagin, føra til dags[da.ajourføre]
dagga	1ganga spakuliga (og tungliga), róla, ragga, deiga,hann fór daggandi;rossini komu so spakuliga daggandi heim eftir vegnum2(stb.)(hanga og) sveiggja (aftur og fram), reiggja,hatta hongur og daggar
daggamal	(um fisk o.tíl.)ein dag gamal
daggari1	letingi, letivætti(Sv)
daggari2	stórur knívur, svørð(Sv)
dagglæma	dagsglæma
daggrýti	(jarðfr.)storknað groyti beint undirel.oman á jarðaryvirflatanum(t.d. rhyolitt, andesitt, basalt)(JR Øldir61)
daghol	høvuðsgongd í kolanámi
-dagi	síbar-,ó-
daginar	sbr.dagini,degini
daging	(stb.)har sum lendi dagar móti luftini,litur á seyði sæst ikki móti dagingini
dagini	(stb.)í osb.um daginium daginar
dagkrem	krem til andlitsrøkt um dagin
daglangt	hj:í daglangtfyri dagin,hav tú hetta í daglangt
dagleið	dagsferð
dagligstova	góðastova, fínastova, setstova (1)
dagligur	sum er (hendir) hvønn dag, vanligur, gerandisligur,dagligt breyð;hj-liga,dag og dagliga;dagliga dagshvønn dag, á hvørjum degi
daglilja	(plfr.)planta í slektiniHemerocallis
daglína	fiskilína úr eintáttaðum evnislíki (pvc monofilament)(stendur um dagin)
dagljóst	l h:tað er dagljóst(ljóst av degi)
dagløn	løn fyri arbeiði í ein dag
daglønarmaður	(bíbl.)bønarmaður
dagmaður	(sjóm.)maður sum arbeiðir umborð á skipi men sum ikki gongur vakt,eg fari við sum dagmaður
dagmerki	merki við (framleiðslu)degi á
dagmerkja	seta merki við (framleiðslu)degi á,nú verða nærum allar matvørur dagmerktar
dagna	(skaldsk.)degna,og á ta síðstu stund meg minn, tá ikki meir tað dagnar
dagpeningur	1daglig peningaupphædd(sum t.d. verður latin óarbeiðsførum fólki)2peningur fyri vistir(hjá persóni á ferð í starvsørindum)
dagrúm	(stb.)dagræði,fáa dagrúm aftur til hús
dagræði	1í osb.fáa dagræðikoma fram í ljósum;eg fekk dagræði aftur til hús2dagslýsi (1),dagræðið var ikki heilt fánað burtur;dagræðið hvarv spakuliga í vestri
dagrøkt	1tað at børn verða ansað heima hjá fólki(meðan foreldrini eru til arbeiðis),kommunan hevur kommunala dagrøkt2dagrøktarmamma,tað ber ikki til at vera dagrøkt bara hjá sínum egnu børnum
dagrøktarbarn	barn sum verður ansað í dagrøkt
dagrøktari	dagrøktarmamma
dagrøktarmamma	kvinna sum hevur børn í dagrøkt, dagrøktari, dagrøkt (2)
dagsarbeiði	arbeiði í ein dag, dagsverk, dagsgerð
dagsaskeið	dagsetursskeið
dagsbrúgv	(gl.)dimmalætting, degningur
dagsbrún	(gl.)dagsbrúgv
dagseta1	skýma, myrkja,nú fer at dagseta;nú er dagsett(dagurin komin at enda)
dagseta2	dagfesta,brævið er dagsett 25. mai 1990
dagseta3	(sjóm.)lína sum stendur um dagin,seta dagsetu,sbr.seta 2(2)
dagseting	dagfesting
dagsetur	tíðin tá ið dagslýsið fánar og tað fer at myrkja, skýming,um dagsetur í gjárkvøldið;um kvøldarnar sita hegrarnir út móti dagsetri
dagsetursskeið	tíðin um dagsetur,um dagsetursskeið(Sv)
dagsferð	1teinur sum farin verður í ein dag,tað var langt at fara, einar tvær dagsferðir2ferð sum varir í ein dag,vit gjørdu eina dagsferð til Vágs
dagsgerð	1dagsarbeiði,hatta er ein heil dagsgerð at gera til(um e-t sum tekur langa tíð at gera)2(sj.)dagsins gerningur,nú var tíð at fara til sína dagsgerð
dagsglæma	ljósglæma á luftini tá ið dimmi lættir, fyrsta dagsljósið,dagsglæman roðar í eysturætt
dagskeið	(skúl.)skeið 2(4) hildið um dagin
dagskúli	(skúl.)skúli sum hildin verður um dagin,móts.kvøldskúli
dagsleið	dagsferð
dagsljós	ljós um dagin,móts.náttljós,eg síggi at lesa við dagsljósi
dagslýsi	1dagsljós,dagslýsið limaði alt sundur, ið inni var2tíðin á degi sum tað er ljóst,í dagslýsi;eg fekk dagslýsi til hús(dagræði)
dagsløn	dagløn
dagsmøði	dagsins møði,bera boð um góðan frið aftan á dagsmøðina(aftan á dagsins strev)
dagsprísur	(vøru)prísur í gildi ávísan dagel.tíðarskeið,húshaldsvørur, sum verða seldar limunum eftir dagsprísi
dagsróður	róður í ein dag,hiðani til Hetlands eru tveir dagsróðrar, halda menn
dagssetningur	fyrisett arbeiði í ein dag
dagsskipan	dagsskrá, fundarskrá
dagsskrá	tað sum er á skránni (á einum fundi), fundarskrá,dagsskráin verður kunngjørd samstundis sum fundurin verður lýstur
dagssýni	(stb.)dagræði
dagstevndur	1(um tíð)fastsettur, ásettur,á dagstevndum degi;koma dagstevndan dagkoma ásettan dag2sum ber upp á sama dag hvørt ár,hann kom dagstevnt á hvørjum ári
dagstíð	tíð á degi,um somu árstíð og somu dagstíð
dagstjørna	(stjfr.)(bjørt) stjørna sum stendur í eystri kl. 6 á morgni(sbrt. summumVenus, sbrt. øðrumArcturus),áðrenn klokka var vanlig, høvdu teir gomlu til merkis, at tá ið dagstjørnan fór niður í degninginum, var vártíðin liðug, og tá ið hon jólamorgun stóð í beinan sunnan, var dagur undir henni;sbr.stakkalastjørna
dagstovnur	1ansingarstovnur fyri børn sum er opin um dagin2tilhald hjá gomlum fólki um dagin, dagtilhald
dagstudningur	(sjóm.)slag av inntøkutrygd hjá fiskimonnum,dagstudningurin er munurin millum 8 vanligar tímalønir sambært sáttmála millum Føroya Arbeiðarafelag og Føroya Arbeiðsgevarafelag og dagminstulønina
dagstútt	dagstøtt
dagstøtt	hvønn dag, dagliga
dagsverður	tað sum eitt fólk etur um dagin
dagsverk	arbeiði ið gjørt verður í ein dag,tá ið dagsverkið var lokið
dagtilboð	tilboð um samveru og ítriv sum stendur fólki við serligum tørvi í boði(eldri, brekaðumo.s.fr.),dagstovnurin veitir dagtilboð til 30 heimabúgvandi eldri, ið koma saman til ítriv og stimbrandi samveru
dagtilhald	1tilhald hjá gomlum fólki um dagin2dagstovnur (2),dagtilhaldið er opið allar dagar í vikuni
dagtjóvur	ein sum gongur fyri einki, letingi, daggari 1
dagur	1tíðin millum sólarris og sólsetur,móts.nátt,ein daginonkun dag;nú ein daginein dagin herfyri;nú á døgumnú í tíðini, í okkara tíð;árla dagstíðliga á degi;á degium dagin;í daghenda dagin;um daginmeðan dagur er;við deg(i)numfrá morgunstundini, árla;fyri dagáðrenn tað lýsir;góðan dag(heilsan um dagin)2dagsljós, dagslýsi,nú er dagur(ljóst av degi);tað lýsir av degiel.tynnir fyri degi(degnar);vit koma í degi til lands(í dagsljósi);tá ið tað leið fram til dagsel.tá ið dagur komtá ið tað lýsti;halda e-t upp fyri dagin(upp móti ljósinum)3samdøgur,í árinum eru 365 dagar;um átta dagarum eina viku;um fjúrtan dagarum tvær vikur4serst.fltlív, lívstíð, æviskeið,farin av døgumdeyður;taka av døgumtaka lívið av (e-m), drepa;á døgum hansarael.meðan hann var (uppi) á døgumtá ið hann livdi;eg havi aldri í mín dag hoyrt slíkt(ikki á lívstíðini);okkara dagur er ikki uppi(skulu ikki doyggja enn)5vit, tilvitska,dagurin fór frá eygunumtað sortnaði fyri eygunum;hon fekk ikki dagin aftur, fyrr enn góð løta var farin(fekk ikki vitið aftur)6dagur og náttbindingarmynstur(HMD Bindm.29)7í osb.hetta var dagur í viku(óvanliga góður dagur);tað sæst dagur ígjøgnum(er so opið at tað sæst út ígjøgnum);dag sum náttáhaldandi, støðugt;dag og dagligahvønn dag, á hvørjum degi;annan dag(in)annan jóladag;fyrsta daginskjótt, í næstum;sum fyrsta dagin(um fólk)við góða heilsu, væl fyri;nú gerast góðir dagar fyri neyðini(sagt tá ið illa er statt til heilsu, terrao.s.fr.);tað verður seinur dagurel.seinna dagin(ikki í bræði);ein av døgunumonkun dagin, í næstum;dagur dettur av degitíðin gongur;enn á døgumenn dagin í dag;fyrr á døgumí forðum;dag frá degiel.dag undan degialsamt, í heilum;koma fyri ein dagkoma til sjóndar, koma upp;føra til dagsdagføra;dagliga dagsdag og dagliga;taka dag(ar) (í)millummeta (um), taka støðu (til)(hvør hevur rætt tá ið tveir partar eru ósamdir),ein nevnd skal setast at taka dagar ímillum, nær fjølmiðlarnir fara um mark;vit skulu ikki taka dagar ímillum, hvør hevur rætt og ikki;sms. t.d.arbeiðs-,avgongu-,fjall-,gerandis-,halgi-,heystar-,høgtíðar-,óveðurs-,rok-,summar-,terra-,torv-,vár-,vetrar-
dagvakt	(sjóm.)vakt um dagin
dagverk	dagsverk
dagvísa	kv1:Dagvísannavn á danska sálminum "Den signede dag med fryd vi se",oman á bakkan at syngja Dagvísuna, áðrenn bátarnir fór til útiróðrar
dala	1farael.detta hóvliga niður,kavaflykrurnar dala av himli2(um ljós)fána, kámast,lampan fánar
dalamjørki	(Sumb.,sj.)pollamjørki
dalbingur	fólk íel.úr Dali;sbr.dalbúgvi (2)
dalbotnur	botnur (t.e.tað innasta) í dali
dalbúgvi	1fólk sum býr í einum dali2(gl.)fólk íel.úr Dali, dalbingur
dalbygd	bygd sum liggur í dali
dalda	1(um fólk)ganga og sleingjast (fyri einki), tveitast,hvar gekst tú og daldaði, tá ið seyðurin slapp;hví gongur tú og daldar við hasum(sleingir)2reiggja, geva seg, vera óstúttur,línan daldaði nakað nógv(gav seg upp og niður);fossurin daldar aftur og fram (í vindinum);nú er stuttligt hjá børnunum at dalda(at reiggja)3láta, sveiggja,hundurin daldar við halanum
daldimaður	(stb.)(leika)træmaður við steini festum millum beinini(flýtur upprættur, daldar upp og niður tá ið klikt verður niður á hann)
dalfinna	(lívfr.)galipinnur
dall	ljóð, kiman,tað síðsta dallið frá kirkjuklokkuni
dalla	1meyla, skræða seg,slatra, sleya og dalla2láta, kima,nú dallar kirkjuklokkan
dalmaður	(stb.)gásadalsmaður
dalsaki	1(samanvavd) rúgva, fløkja(t.d. á línu el. snøri),(flutt m.)ein dalsaki av fremmandum nøvnum2(stb.)dassaki
dalsbotnur	dalbotnur
dalsifals	fjas, ónytta,fást ikki við sovorðið dalsifals(nyttuleyst);tað mesta, tey vinna, fer fyri dalsifals(verður nýtt til ónyttufjas)
dalsíður	1sum hongur (ov langt) niður,ganga dalsíður(laggarsíður)2niðurtyngdur,hatta var ein dalsíður dagur(tungur regndagur)
dalsmunni	munni á dali
Dalur	(stn.)bygd í Sandoynni,í/úr Dali,til Dals
dalur	djúp lægd millum fjalla(ofta opin í tveimum støðum),tey gingu fram ígjøgnum dalin;sms. t.d.aldu-,av-,áar-,fjalla-,megin-,neyðar-,rivu-,skugga-,tvør-,vambar-
dalverpi	lítil dalur
dama	kvinna, genta
dambla	damla
daml	tað at damla, spakuligur róður
damla	skvatla við árunum, rógva spakuliga,so damla vit okkum norður við landinum
damm	(spæl)slag av borðspæli
damma1	(gl.)dama
damma2	leika damm
dammborð	(spæl)borð (2) við 64 puntum til damm;sbr.talvborð
dammfiskur	(sjóm.)fiskur havdur í dammi (2)
dammskip	(gl.,skip.)skip við dammi (2)
dammstilli	blikalogn og dýrd á sjónum, svartastilli
dammtalv	(spæl)damm
dammur	1(demdur) hylur2(á skipi)brunnur(við holum út í sjógv)til livandi fisk
dampa	1(gl.)rúka (3) illa, deyma,sárini dampa2guva,tað dampar úr ketlinum;dampa avfáa ráan úr,hon leggur dúkin á radiatorin at dampa av
dampari	(skip.)dampskip, guvuskip
dampmaskina	guvumaskina
dampskip	(skip.)skip sum gongur við dampmaskinu, guvuskip, dampari
dampur1	1ringur roykur2guva
dampur2	endi á línu(Sv)
danadái	(plfr.)slekt í kurvablómuætt(Senecio),loðin danadái(S. vulgaris);sms. t.d.vár-
danadrotning	drotning yvir Danmørk
danakongur	kongur yvir Danmørk
danastjórn	danska stjórnin
Danaveldi	danska kongsríkið
danda1	danditræ
danda2	1geva seg upp og niður, reiggja, rugga, duffa,akrarnir aldaðu og dandaðu undan vindinum;báturin lá og dandaði á vágni;tað dandar undir mær(júst komin av báti el. skipi);(flutt m.)ganga dandandiganga í tonkumel.burtur í øðrum heimi;hugur tín dandar sum reki á vág2(spæl)sita á endanum á langari fjøl sum vigar á einari tunnu og aðruhvørja ferð fara upp og niður, ríða grimilsi, ríða ryssuni skjarru, klaggja,børnini dandaðu á danditræ
dandakelda	flotkelda
dandifjøl	danditræ
dandisfrú	(gl.)dugnalig og reiðilig kvinna, megnarkvinna,hon er ein dandisfrú
dandiskur	góður, sámiligur, siðaður,hann er ikki dandiskur(skikkar sær ikki væl)
dandisligur	l3:ikki dandisliguródámligur
dandist	(stb.)hampiligt, sámiligt, gott,tað man vera so dandist;agnið mundi ikki vera so dandist;tað er ikki so dandist á útiróðri í dag(ikki so dælt);tað var ikki dandist at fara um streingin(ikki tespiligt)
dandisvullur	flotkelda
danditræ	træ at danda á, danda 1, dandifjøl, duffitræ
danga1	(slang,sjóm.)gamalt, vánaligt skip(serst. slupp),eyrsáld, rotabukka
danga2	ganga spakuliga,hann kemur dangandi
dangbukka	(sjóm.,sj.)danga 1
dangla	(stb.)dingla
danguldrív	í osb.ganga upp á danguldrívganga fyri einki, taka sær av løttum, letast
danguldríva	ganga fyri einki
dangutur	(stb.)1sum fær lítið av skafti, seinførur2maggutur, kloddutur
dani	danskari
danimaður	(gl.)heiðursmaður, hampamaður,lúsin er ein skemd, men danimaður er, um enn loppan er undir lonini
dank	(gl.)í osb.dríva dankganga fyri einki og mala, ganga upp á danguldrív
dankalahov	dankulhov
dankast	s74:dankast avsíavdankast
dankuldrív	danguldrív
dankuldrívari	ein ið gongur fyri einki, letingi
dankulhov	(stb.)danguldrív,ganga upp á dankulhov
Danmark	eitt av Norðurlondum, Danmørk
Danmørk	(skr.)Danmark
dansa	trína dans, fara upp á gólv,(orðt.)mangur dansar og dansar av neyð(um)(um e-n ið letst at vera glaður men ikki er tað);dansa undir loftiðdansa við gleim, dansa í góðum lag;dansa uppidansa til tann ljósa morgun;(spæl)dansa deiga,sídeiga;dansa á breiðafóti,síbreiðifótur;dekilin dansi,sídekil;fara dansandifara við ferð,vit fóru dansandi út eftir eystfallinum;dansandi óður,sídansandi
dansandi	hjí osb.dansandi óðurí øðini, í luftini
dansari	ein ið dansar,góður dansari
dansiboð	boð um at dansur verður
dansifelag	felag fyri fólk ið dansarserst.føroyskan dans
dansiferð	ferð burtur í bygd ella uttanlands at dansa
dansifólk	fólk sum er við í (føroyskum) dansi
dansigildi	veitsla við dansi
dansigólv	gólv í dansistovu
dansihugur	hugur at dansa,dansihugin hevði hann góðan
dansikvæði	h24:gott dansikvæðikvæði sum gongur væl á gólvi
dansikvøld	(sunnu-el.halgidags)kvøld við dansi
dansilag	1tónalag at dansa eftir2dansingarháttur,hann hevur gott dansilag
dansimóður	móður av at dansa
dansinátt	nátt sum dansað verður,eftir eina dansinátt
dansingarlag	háttur hjá kvøðara at dansa, dansilag (2);sbr.kvøðingarlag
dansipengar	atgongugjald til (føroyskan) dans
dansiringur	1ringur av fólki sum dansar (føroyskan dans)2dansiringurinbindingarmynstur(bordi 1(1))(HMD Bindm.49)
dansisalur	salur til (eingilskan) dans
dansisiður	siður í dansi, dansiskikkur,ikki duga dansisið
dansispæl	leikkendur dansur tillagaður føroyskum dansilagi (við kvøðing)(t.d. ríða ediling, bandadansur, gamla keta, sandoyardansur)
dansistova	stovael.hús til (føroyskan) dans
dansiterandi	hj(skemt.)í osb.so dansiterandi óðurfrá sær sjálvum av øði
dansitíð	tíðin tá ið dansað varð(hvørt sunnukvøld millum jól og føstu)
dansiveitsla	veitsla við dansi, dansigildi, ball
dansivertur	(um føroyskan dans)maður ið skipar fyri og hevur ábyrgd av dansinum
danska	1gera danskanel.líkan donskum2týða til danskt
danskari	fólk íel.úr Danmark, dani
danskarimpa	(niðr.)ein ið fjeppist uppi í tí sum danskt er
danskaskógvur	(gl.)skógvur úr leðri við sóla(t.e. útl. skógvur),móts.húðarskógvur,spenni á danskaskógv
danskatíð	kv2e(søg.)danskatíðintíðin tá ið Noreg var saman við (og undir) Danmørk (1380-1814, serst. 1536-1814);í Noregi er lív í einum hugtaki, sum eitur danskatíðin
dansking	tað at danska
