g	1(málfr.)hjáljóðsstavur (nevndur[ge:])2(tónl.)tóni og samsvarandi nóti3stytting fyrigramm
gabb	1reyp, skrøgg, geip2gabbari
gabba	1reypa, skrøgga, geipa, skróla, breggja,hann gabbaði sær av tí2(sj.)lumpa, svíkja,gabba ein;kommandanturin og fútin vórðu gabbaðir av einum skálki
gabbari	ein ið gabbar, reypari, geipari, skrólari, skrøggari
gabbi	gabbari,(stb.)kasta gabbaskjóta vørpur
gabbutur	sum hevur lyndi at gabba, reyputur, geiputur, skrøggutur, stórorðaður,hann er so gabbutur
Gablatíð	(søg.):Gablatíðinringt tíðarskeið í Føroya søgu tá ið Christoph von Gabel og eftir hann sonurin Fríðrik von Gabel høvdu Føroyar í len frá Fríðriki kongi III(1655-1709)
gadda	1klippa nær,gadda omanav;alt (hárið) varð gaddað omanav2(um gras)eta niður at rótini,rossini gadda hagan;hagin er avgaddaður(avetin, avbitin);gadda niður í rótinaeta grasið niður í rótina3(um fisk)avoyða,hann gaddaði plinkin
gaddajørð	gaddur
gaddgrivin	grivin burtur so bert gaddur er eftir,har er so grunt, alt er gaddgrivið av torvskurði
gaddur	grunt og skurslutel.grýtut lendi(við lítlari mold),gaddajørð,hetta er tann beri gaddur
gaddutur	(um lendi)við gaddi,har er harðlent og gaddut
gaffil	1amboð við skafti sum hevur tveirel.fleiri spískar tindar(t.d. at eta við),eta við knívi og gafli2lyftiútbúnaður át.d.trukki(tveir í tali)3(á súkklu)stong frá stýri við armi hvørjumegin framhjólið4(sjóm.)ásurel.rundtræ sum ovara viðferð á gaffilsegli er fest við(við klógv á endanum sum grípur um mastrina)
gaffilbiti	k1:gaffilbitarkryddsild sum dósamatur(skorin í bitar)
gaffilsegl	(skip.)segl fest at gafli (4) í erva,stórseglið og mesanurin eru gaffilsegl
gaffiltrukkur	akfar við gaffillíkum lyftiamboð framman(til flutning og til at stápla upp við)
gagg	(um ljóð hjá havhestiel.náta)
gagga1	1(ítr.)skógvur at spæla fótbólt í(við dobbum undir botninum),fótbóltsskógvur, fótbóltsstivli,nógvar gamlar fótbóltskempur høvdu leitað sær gaggurnar fram aftur til hetta høvið2(stórur) leðurstivli við træbotni(serst.hjá sjómonnum)
gagga2	(barn.)lús
gagga3	(barn.)høna, dunna
gagga4	láta sum havhesturel.náti,gagga eftir nátunum
gagguskógvur	gagga 1(2),hann hirdi annan gagguskógvin inn í skinnabeinið á honum
gaggutur	giggutur, maggutur
gagn	1nytta 1, dugur, hjálp,verða e-m at gagni;koma e-m til gagnsel.at gagni;gera gagn;røkja sítt yrki til gagns(til lítar)2(lívfr.)yrkisgagn[da.organ];sms. t.d.mál-,ó-;sbr.gøgn
gagna	vera (e-m) til gagns, vera (e-m) at gagni, nytta, duga,gagna e-m;hann biður um gentuna, men foreldrini siga, at tað gagnar ikki, tí hann er ríkur og tey eru fátæk;e-t gagnast e-m væl/illa;maturin gagnast mær ikki;væl gagnist teimum tað, teir fáa;væl gagnist!(sagt av heimafólki tá ið ein biður manga takkeis.tá ið ein kemur inn har ið fólk situr og etur);væl gagnist honum!fast taki honum!
gagnfiskur	fiskur til matna hjá fólki, matfiskur
gagnfuglur	fuglur til matna hjá menniskjum, matfuglur
gagngera	góðska 2,virki, sum gagngera seið, livur og slógv
gagngóður	gagnligur, nyttuligur, hentur, nýtur,bøkurnar hava verið gagngóðar
gagnleysur	uttan gagn, ónyttigur, ónýtur, nyttuleysur
gagnligur	ið gevur gott og nýtiligt úrslit, ið e-t gott spyrst burturúr, hentur, nyttuligur, gegniligur
gagnlist	listarlig tilevning av gagnlutum
gagnlítil	sum lítið gagn er í
gagnloysi	tað at e-t er gagnleyst, tað at vera gagnleysur
gagnlutur	lutur ið er e-m at gagniel.sum ein fær nyttu úr, nyttulutur,móts.prýðislutur
gagnmeta	meta gjølla um dygdir og brek, skildøma,gagnmeta listaverk, bók[da.kritisere]
gagnmetari	ein ið gagnmetir, ummælari, ritdómari
gagnnýta	fáa sum mest burtur úr (e-m), nýta gagnligael.til fulnar,gagnnýta fiskastovnarnar
gagnnýtsla	tað at gagnnýta,fáa eina skynsamliga gagnnýtslu av fiskastovnunum
gagnplanta	planta sum kann verða nýtt til matnael.matgerð(el. onnur gagnlig endamál),gagnplantur sum epli og mais
gagnsamligur	átuligur,lítið gagnsamlig máltíð;hj-liga
gagnsemi	gagn, nytta,gagnsemi og skaðasemi
gagnsleysur	sum ikki er at gagniel.til gagns, nyttuleysur, ónyttigur
gagnsligur	(sj.)1gagnligur,hann fekk virðisløn fyri sítt gagnsliga virki fyri Føroyum2(um mat)gagnsamligur, átuligur, leskiligur;hj-liga
gagnsmál	tað ið er e-m at gagni, fyrimunur, vinningur, frami,røkja egin gagnsmál(áhugamál)
gagnstøður	(sj.)mótsettur, øvutur, øvigur,tað gagnstøða streymaskiftið
gagnsverk	e-t ið er at gagni, gagnligtel.nyttuligt verk,háskúlin hevur gjørt gagnsverk;tú gert ikki gagnsverk her kortini(gert ikki manslít)
gagnturrur	heilt turrur, skróvturrur, gegnturrur, gjøgnturrur,hetta er ikki gagnturt(um klæði ið hava hingið og ikki eru heilt turr),hoyggið er gagnturt
gagnvegur	stytsta leið
gagnviður	viður sum kann nýtast til e-t endamál, gegnistræ
gakk	síganga
gal	tað at gala, skrál, geyl, ýl, gól, gólan;sms. t.d.hana-
