H	rómv. taltekn fyri 200
h	1(málfr.)hjáljóðsstavur (nevndur[hɔa])2(tónl.)tóni og samsvarandi nóti3stytting fyrihekto-(sum í hektogramm, hektolitur (hg, hl))
ha1	1hvat? hvat sigur tú?(sagt tá ið spurt verður upp aftur),ha, hvat sigur tú?2(nýtt til at tryggja sær undirtøku frá samtalsfelaga fyri tí ið sagt verður),tú gert tað ikki, ha?;soleiðis átti tað at verið, ha?
ha2	stytting fyrihektari
hað	tað(Sv)
haðan	(gl.)haðani
haðani	av hasum stað, haðan,móts.hiðani
haðanífrá	1haðan(i)2(gl.)hareftir, aftan á tað
haft	1ullband at hefta afturbein á neyti við(meðan mjólkað verður),neytahaft,tað kundi ganga rúm tíð, áðrenn allar kýrnar vóru komnar í haft(tá ið mjørki var);(tilt.)sum kúgv í haftitarnaður, seinførur2ullband at binda seyð niður við, seyðband, loðband,leggjael.lata seyð upp í hafthefta seyð til at reka sum haftseyð(tvey køst um framfótin);leggja hund (upp) í haftbinda annað frambeinið á hundi upp(so at hann fær ikki runnið eftir seyði o.tíl.);(tilt.)koma upp í haftrenna seg fastan, koma í kløtur,sbr.rasshaft;(flutt m.)loysa fólk úr haftivinna fólki frælsi;(tilt.)tað erel.liggur sum eitt haft á mær(sum ein byrði, sum ein kleppur);(tilt.)vera haft um beinið á e-mvera e-m til hindurs, darva e-n;ikki haft heilt (í hosunit.d.)slitin á hol, ikki seilin heil;sms. t.d.bóg(v)-,klepp-,neyta-,rubbi-,seyða-
haftbundin	(um seyð)bundin við hafti
haftseyðafylgi	fylgi av haftseyði
haftseyðagonga	gonga av haftseyði,har var vanliga rikin haftseyðagonga í skurð
haftseyðarakstur	rakstur av haftseyði
haftseyður	seyður darvaður í rakstri(t.d. bundin saman tveir og tveir el. lagdur upp í bógvhaft),reka haftseyð;seyðurin varð rikin í haftseyð
haftsnælda	snælda til at spinna høft á
-haga	síinnan-
haga1	1haga sær1skikka sær, hátta seg,sum hatta hagar sær;hann hagar sær illa2(sj.)bara sær, halda sær2dáma,(kvæð.)illa mundi honum haga tað3(um klæði)geva snið, skapa,tú hevur ikki einar buksur at lata meg haga eftir;hon hjálpti mær at haga tað til
haga2	s30:seyðurin hagaði sær ikkiel.seyðurin hagaðist ikki(fekst ikki at taka fasta gongu í haganumel.leggjast)
haga3	(stb.)aga, tykta, tekstra,hann lovaði, at hann skuldi haga hann;eg skal haga teg!eg skal læra teg!(sagt við óvita sum skikkar sær illa)
hagabark	rót av børkuvísu sum veksur í haganum(litar roð reyðgult),øll roðini vórðu barkað í hagabarki;sbr.heimabark
hagaboð	boð um at koma við burtur í haga(at hyggja eftir seyði),koma við hagaboðum
hagabýti	býti av haga (til seyðabit)
hagadagur	dagur burtur í haga(at hyggja eftir seyði),hetta var hansara fyrsti hagadagur
hagaegg	egg undan hagafugli
hagafastur	hagfastur
hagafiti	(stb.)glærfiti
hagafressur	útlagstur fressur sum heldur til í haganum
hagafuglur	(fugl.)heiðafuglur
hagafundur	fundur um hagaviðurskifti
hagagarður	garður millum bø og haga, bøgarður, eingjargarður
hagagonga	gonga í haganum(serst. til at hyggja eftir seyði),hann skøddi seg til hagagongu
hagagongd	gongd í haga(num),ólóglig hagagongd
hagagóður	l16:hagagott kjøtsmakkgott kjøt(av seyði sum hevur gingið á góðum haga, tað feita glærut og tað soltna drivið)
hagagras	gras í haganum,móts.bøgras
hagagrift	hagaveit, -grøv
hagagrind	grind í bøgarði, hagaportur, garðalið
hagagrót	grót í/úr haganum
hagagrøv	hagaveit
hagagyllin	gyllin í haga
hagagøta	traðkað gøta í haganum,ganga hagagøtuna
hagajørð	óvelt jørð(innløgd til dyrkingar)
hagalamb	(um lamb)lamb ið hevur mist móður sína (seint)(og sum ikki verður tikið heim at føða),avmøðingur;sbr.heimalamb;ganga sum eitt hagalamb (um geilar)verða forfjónaður, ongan góðan eiga
hagalendi	lendi í haga, stykki av hagajørð
hagaleykur	(plfr.,stb.)kattarklógv
hagaleysur	(um innangarðsjørð)sum eingi rættindi í haga og bjørgum hoyra til,hagaleys mørk
hagalitur	(brúnligur) litur á haga(móts. liti á bø),oyggin er so nær, at hon hevur hagalit
hagalóg	(løgfr.)lóg um hagarøkt (frá 1866),Seyðabrævið var grundarlagið undir hagalógini frá 1866
hagamaðkur	(dj.)reyðbrúnur maðkur við bláreyðum blettum(Lumbricus rubellus)
hagamaður	seyðamaður, røktingarmaður
hagamark1	mark millum hagar
hagamark2	seyðamark hjá haganum, hagansmark(vanl. í vinstra oyra);sbr.kenningarmark,ognarmark
hagamerki	hagamark 2;sbr.kenningarmerki,ognarmark
hagamjólkarsoppur	(plfr.)slag av mjólkarsoppi(Lactarius pseudouvidus)
hagamógvur	slag av mógvi,hagamógvur er reydligur og ikki so góður;sbr.kolamógvur
hagamús	(dj.)mús sum heldur til í haganum,móts.heimamús
hagansmark	hagamark 2
hagapartur	partur av haga
hagaportur	portur í bøgarði, hagagrind
hagar	til handa stað,móts.higar,higar og hagaraftur og fram, so hissini;tað man vera so higar og hagar(svar frá heilsuveikum fólki, tá ið spurt verður, hvussu livst)
hagareyðflíggj	(plfr.)slag av reyðflíggi(Entoloma subsepiaceum)
hagari	longri hiðan, fjarari;sbr.hagar
hagaringur	(sj.)(um kjøt)við lítlum smakki(av seyði sum hevur gingið á ringum haga);sbr.hagagóður
hagarotta	rotta sum livir í haganum
hagarøkt	røkt av haga(serst. av seyði)
hagaseyður	seyður sum ikki kemur á bøin;sbr.heimaseyður
hagasíl	(stb.)rak síl við stórum høvdi(í áum uttan fyri garðar)
hagaskurðargrift	hagaskurðarveit
hagaskurðarmaður	maður ið sker upp haga
hagaskurðarveit	veit í haganum;sbr.hagaskurður
hagaskurður	tað at skera upp haga(til at veita burtur vatn),um veturin, vanliga í adventini, boðaðu seyðamenn til hagaskurð
hagaskylda	(sj.)áseting um at ein hevur skyldu at grava upp haga, hegnao.s.fr.hagaskylda var ikki so afturvendandi sum fjallskylda, men tó líka bindandi í mun til ognarpartin
hagasmør	(sj.)smør av mjólk undan kúm ið ganga í haganum, summarsmør
hagasólja	(plfr.)1felagsheiti fyri gular kurvaplantur(t.e.várhagasólja, heysthagasólja, smyrilsurt),ullarkona 2, illamansblomstur2heysthagasólja, tyrilshattur, lokkakona(Leontodon, Hieracium, Taraxacum)
hagastevna	hagafundur
hagastur	longst hiðan
hagastykki	stykki í haga(ætlað til dyrkingar)
hagastýri	stýri fyri ognarhaga(tekur avgerðir um hagaviðurskifti),so samtykti hagastýrið, at felin skuldi takast av
hagaveðrur	veðrur sum hevur gingið í haga(ikki í feitilendi);sbr.heimaveðrur
hagaveikur	(stb.)veikur til kolu (úr sevi)
hagaveit	hagaskurðarveit
hagavillur	l20:fara hagavillurskjótast av haga,lambið fer hagavilt
hagaær	ær sum ikki kemur á bøin;sbr.hagaseyður
hagdeild	deild í landsstýrinum sum savnar og skipar hagtøl,Hagdeildin(nú Hagstova Føroya)
hagfastur	1(um seyð)sum liggur fastur á haga2(um neyt)sum hevur vant seg til at ganga í haganum,neytini eru hagføst(t.e. tá ið tey fara út um várið og hava verið úti so nógvar dagar, at tey ikki ganga aftur)
hagfesta	gera hagfastan, fáa at heftast,fjallmenninir savnaðu seyðin til at hagfesta hann;føða sleppingarlamb saman við lambi úr haganum fyri at hagfesta tað
hagfrøði	vísindi um at savna, skipa og týða talfrøðiligar upplýsingar[en.statistics]
hagfrøðiligur	viðv. hagfrøði;hj-liga
hagfrøðingur	ein ið er lærdur í hagfrøði
hagg	(stb.)agg
hagga	s30:hagga inn á (e-n)(í heilum) hava at (e-m), meyla inn á (e-n)
haggongdur	førur fyri at ganga í haganum,handa kúgvin er ikki haggongd(ov gomul el. rak at fara í hagan);(um fólk)eg eri ikki øðrvísi enn haggongdurnóg illa førur fyri at fara burtur í haga
haggóður	(stb.)hagagóður,hatta kjøtið er haggott
hagi	1óvelt jørð uttangarðs(vanl. nýtt til bit hjá seyði og neyti),móts.bøur,tann lági haginundirhagin;bíta haganliggja á biti í haganum;taka hagagerast hagfastur, hagfestast;hava víðan haga(um fólk sum ganga víða um bygdina og eru ring at fáa fatur í),fallinel.skotin av haga(um seyð sum er farin úr sínum fylgi);seyðurin var skotin inn av øðrum høgum;styggja seyð av hagaræða seyð so hann rýmir av biti sínum;farael.leggjast av haga1(um seyð sum fer av tí stað har hann eigur at liggja)2(flutt m.)(um fólk sum skiftir trúarflokk);seyðurin lækkar seg niður á haga, tá ið hann veit óveður í(legst lægri);(skemt.)hann hevur verið (el.gingið) á góðum haga1nógv hevur verið skonkt fyri honum, hann hevur notið góðan blíðskap2hann hevur fingið gott í beinini, er væl í holdum;síðan hann fór frá haganum(gavst at røkta haga og seyð);(um veltan bø)farin aftur í haganógv fyrndur;(um jørð)liggja í haga(óvelt),ganga burtur í hagarøkta seyð;vera burtur í hagavera í haganum at hyggja eftir seyði;(um ull)fara í haganfara fyri skeytið sum lesull;liggja hóvliga til haga1(um seyð sum liggur so at høgligt (stuttur vegur) er at koma til hansara)2(flutt m.)(um gamalt fólk ið ikki fer so langt fyri aldur, kanska uppilagst),eg liggi so hóvliga til haga;liggja illa til haga(um seyð)liggja soleiðis á biti, at hann ikki sæst;brótael.dyrka upp úr hagabróta upp úr nýggjum, velta haga;skerael.grava upp hagagrava veitir til at veita av haga2(sj.)(í sms.)urtagarður,kálhagi;sms. t.d.bakka-,bjarga-,fela-,fjalla-,granna-,haru-,kenningar-,langfara-,lyng-,mýri-,neyta-,ognar-,seyða-,summar-,undir-,vatn-,vetrar-,yvir-
hagl	1lítil kúla av blýggj, blýggjhagl(til byrsu),eittans haglið í dintilin fekk(í tátti)2harðfryst snjókorn, heglingur (2)3dropi,leska meg eitt hagl upp í glasið(av brennivíni);kúgvin mjólkaði eitt lítið hagl4lítil kenning,hann hevði eitt hagl5ampi, stingur,eitt hagl inn fyri flagbróstið
haglbyrsa	høglbyrsa
haglendi	hagi,gott/ringt haglendi;eg man hava verið í onkrum góðum haglendinum(notið góðan blíðskap)
hagligur	1(gl.,sj.)hóvligur, lagaligur, umhugsin;hj-liga,hann kom so hagliga (fram) við tí2(sj.)hegnigur
haglposi	posi við høglum,ein haglposi við rykkibandi fyri kjaftinum
haglsteinur	(bíbl.)stórt hagl (2),haglsteinar skulu koma av himni og harðveður bresta á
hagreiða	1(um seyð)velja út tað ið takast skal og tað ið sleppast skal upp (í klipping),seyðamaðurin fór í rættina at hagreiða;tann seyður, ið ikki kom í rætt, var ofta hagreiddur við hundi2fara við, viðgera, handfara, arbeiða,væl/illa hagreiddurvæl/illa viðfarinel.viðgjørdur;hagreiða fisk;hagreiða mjólk;hagreiða tógv
hagreiðing	1tað at hagreiða2(stb.)tíð tá ið hagreitt (1) verður,í hagreiðing
hagreiðingarmaður	maður sum hagreiðir (1)
hagri	(sj.,kvæð.)hegri,Geyti eigur hagra tann, ið árla plagar at gala
hagrøkja	(sj.)røkja skipan í haga(serst. viðv. sleppingarlombum),er tað at hagrøkja at sleppa tí, ið avdeyða er og tannleyst?;sbr.hagreiða (1)
hagseyður	hagaseyður
hagstova	skrivstova sum savnar og skipar hagtøl,Hagstova Føroya
hagtal	1seyðatal í haganum;sbr.áseyðatal2hagtølhagfrøðilig tøl;sbr.hagfrøði
hagur	hegnigur, við góðum handalagi,hagur í hondunum;sms. t.d.eygna-,handa-,orð-,ó-
hagvillast	(um seyð)skjótast av haga, fara hagavillur
hagvillur	1hagavillur,fara hagvillur2(bíbl.)burturvilstur
hai	ha(Sv)
haia	siga ha (í heilum),statt ikki og haia!(serst. við børn)
hak	(á árarskeyta)skarð fyri homlubandi(Varð. 27201)
haka	taka, grípa, krøkja,línan hakar so illa í botn;áðrenn akkerið hakaði, var skipið dikst í briminum;kjølurin hakaði við botn(bar við botn);haka áfáa fótafesti,sporið var so burturmolnað, at fótur hakaði ikki á;(sj.)altíð hakar hasum ilt á(er altíð óheppin);tað hakar ikki fyri hjá honumtað stendur ikki á hjá honum, hann greiðir tað sum einki
hakaakslaður	við sneiddum akslum, akslasneiddur, slútakslaður
hakablað	niðari breiði parturin á hakafóti
hakabløðra	bløðra (3) í lógvanum av hakavelting, veltingarbløðra
hakabreidd	breidd á haka(sum mát),torvan í skotveltu er hakabreidd breið
hakadýpi	(í torvskurði)dýpi sum hakablað
hakafótur	skaft og blað á haka,skefta grev upp á hakafótin
hakagrev	jarnblað niðast á haka;sbr.grev,torvskeragrev,pinnagrev
hakakrossur	fornt sólarmerki(krossur við hornrættum hakum)[sanskritsvastika]
hakalongd	longd á haka(upp undir hondina á manni),hav ikki meir enn hakalongd í benið (á torvluti)
hakaskaft	ovari partur á hakafóti(tá ið hakablaðið er frá)
hakaskot	1hakadýpi(upp undir akslir)2tað sum grivið verður í einum við haka
hakaspjað	1gamal slitin hakafótur2(sjónavn)hegri
hakavelting	velting við haka
hakaveltur	veltur við haka,hakaveltur bøur
haki	1handamboð til veltingo.tíl.(Før. I329-30)2(sjóm.)langskeftur krókur(til at krøkja inn fisk við),rætt mær hakan!3(kvæð.)høkja,bar hakan undir hond;sms. t.d.avgrevstrar-,báts-,bógv-,epla-,gjar-,lang-,loysingar-,saks(ingar)-,sparr-,velt(ingar)-
hakk	skarð, barð,gera eitt hakk í e-t;eitt hakk er í gáttini
-hakk	síeggjar-,kvørn-,livur-,putur-
hakka	1skera smátt, karva(t.d. kjøt o.tíl.),hakkað kjøt2sláa (4)(við stuttum sveipum),hakka bakkarsláa veitarbakkar3stama, stanka,hann hakkaði eitt sindur
hakkaranev	oddur á hakkara
hakkaraskaft	skaft á hakkara
hakkari	handamboð at høgga við(eyr, leir o.a.);sms. t.d.eyr-
hakkingarknívur	(gl.)knívur at hakka kjøt við
hakkubúffur	búffur úr hakkaðum kjøti
hakkukjøt	hakkað kjøt(til hakkubúff, grýturætt o.tíl.)
halaband	1(á klyvjarossi)band úr klyvbera og aftur undir halan2(stb.)band av halafaksi, faksareip
halabein	(lívfr.)lítið spískt bein niðast á rygginum(3-4 samanvaksnir smágeislar)(os coccygis)
haladoddur	ullardoddur uttast á hala
halafaks	(á rossi)faks áel.av hala, (hala)tagl
halaferð	kv2eí osb. sumsíggja í halaferðina á e-msíggja e-n júst áðrenn hann hvørvur;ikki síggja (aftur) í halaferðina á e-mikki síggja e-n longur, missa e-n heilt úr eygsjón(ofta um e-t ið fer við nógvari ferð);hann legði í halaferðina á honumhann royndi í stórum skundi at fáa fatur á honum(við at elta hann)
halafetil	halaband
halageisli	(dj.)geisli í halanum,halageislarnir eru misjavnir í tali, eftir sum halin er til longdar
halagrógvin	(um lamb)við skitju skorpnaðari upp undir halan,lambið er halagrógvið
halagubbi	yngsti gubbi(gongur aftast)
halagumma	yngsta gumma(gongur aftast)
halahár	(á kúgv)hár ytst á halanum, (hala)tagl,halahárini máttu verða klipt av í neðra
halahokin	(stb.)halahoykin,hann kom krúpandi sum ein halahokin hundur
halahoykin	(sj.)hámur, foyur, snópin
halahvassur	l12(fisk.)halahvassa skøtaskøtuslag(Bathyraja spinicauda)
halahvítur	(seyðal.)við hvítum hala
halakleppur	(á seyði, serst. smálambi)skorpnað skitja (ytst) á halanum(sum er til ampa),bera halakleppbera halakukk
halaklukk	(stb.)í osb.bera halaklukkbera halakukk
halaklúkur	halakukkur,bera e-n í/á halaklúkiel.bera e-n halaklúk
halaknópur	(stb.)(lítil) halakleppur
halakola	(gl.)árund lýsikola holað úr royðugróti(við stuttum skafti el. "hala");sbr.steinkola
halakongur	ein ið er aftastur, hin seinasti í røðini, drumbur (1),sbr.hali
halakukkur	sbr.beinabak,beinaskip,halakleppur,halaklúkur,høvdamaður
halakveistur	(á krovi)ullardoddur uttast á halasnippinum, tagl,halakveisturin skuldi ræða mýsnar, tá ið krovið hekk í hjallinum
halalangur	1við longum hala;(sjónavn)tað størrael.kristna halalangaketta, stuttnøs;(sjónavn)tað minnael.heidna halalangarotta;sbr.langhølutur2halahoykin, nakkalangur, snópin
halaleysur	við ongum hala;ikki vera halaleysureiga børn og barnabørn
halareim	(á ríðingarrossi)leðurreim frá saðlinum aftur um halan
halareip	reip av halafaksi
halarót	festi halans við drunnin
halaróva	kv1í osb.hevði eg fingið um halaróvuna á honum(at nepsa hann fyri e-t)
halasár	(hjá rossi)sár undir halanum(t.d. av tí at halatógvin marvar)
halaslettingur	1hundur sum ber halan lágt,halan bóru teir ringdan upp á drunnin - einstakir vóru tó "halaslettingar"(MáR Dýral.17)2maður sum ikki torir at standa við sína hugsan, ómenni, vanmenni, bløka, blágómi
