K	1rómv. taltekn fyri 2502tekn fyri frumevniðkalium
k	1(málfr.)hjáljóðsstavur (nevndur[kɔa])2stytting fyrikilo-(sum í kilometur (km), kilogramm (kg))
kabal	(kortsp.)kortbreiðsla,leggja kabal
kabúss	(skip.)1kokkhús, galla2komfýrur
kabússa	kabúss
kaðal	1(ravm.)ravmagnsleidningur við tjúkkari bjálving uttanum(serst. at leggja í jørðina el. í vatn),kápil (1)2(gl.)tjúkt tog, lína, reip,Sigmundur tekur ein kaðal í hond;sms. t.d.jarð-,sjó-,telefon-
kaðalrás	(ravm.)leið sum sjókaðal liggur[da.kabeltracé]
kaðalsjónvarp	tað at fleiri sjónvørpt.d.í einum býlingi eru bundin saman í eina felags antennu við kaðlum
kaðalskip	(skip.)skip ið leggur út sjókaðal
kaffi	1(heilarel.malnar) bønir av kaffitrænum,mala kaffi2drekka gjørt av brendum kaffi og kókandi vatni,drekka kaffi;kaffið er ov heitt
kaffibarr	(bílig) kaffistova(við sjálvtøku)
kaffibein	(gl.,stb.)herðablað av skerpikrovi til at venda kaffi við tá ið tað varð brent
kaffiborð	borð borðreitt við kaffi (og køkum)
kaffibót	evni latið í tá ið kaffi verður kókað(at drýggja við)
kaffibøn	fræ av kaffitrænum(at mala til kaffi)
kaffibøna	kaffibøn
kaffievni	(evnafr.)koffein
kaffifiltur	posi av pappíri til at trakta kaffi ígjøgnum(í kaffimaskinu)
kaffigrugg	grugg (1) av kaffi (2)
kaffihít	fólk ið drekkur nógv kaffi, kaffikíkur
kaffihús	kaffistova
kaffikanna	kanna til at skeinkja kaffi viðel.gera kaffi í
kaffikelling	(niðr.)kona ið drekkur nógv kaffi
kaffiketil	ketil til at kóka kaffi í
kaffikíkur	kaffihít
kaffikjaftur	(slang)kaffimunnur
kaffikoppur	koppur tilel.við kaffi
kaffikrúss	krúss tilel.við kaffi
kaffikvørn	kaffimylna
kaffiløta	kaffisteðgur
kaffimaskina	ravmagnstól til at kóka kaffi við
kaffimuður	kaffimunnur
kaffimunnur	koppur av kaffi, kaffimuður,vilt tú hava ein kaffimunn?
kaffimylla	kaffimylna
kaffimylna	amboð til at mala kaffi á, kaffimylla, kaffikvørn
kaffiposi	posi í kaffikannu til at trakta kaffi ígjøgnum
kaffipunsur	brennivín blandað upp í kaffi
kaffismílur	angi av kókaðum kaffi
kaffisteðgur	stuttur steðgur í arbeiði til at drekka kaffi (teo.s.fr.), kaffiløta
kaffistova	(lítil) matstova har fólk kann keypa sær kaffi(við onkrum afturvið)
kaffisutl	tað at sutla kaffi
kaffitystur	sum vil hava kaffi, tystur eftir kaffi
kaffivognur	lítil kaffistova
kag	1tað at kagael.hyggja frameftir(á skipi í sigling),standa á kagi2staður haðan ið kagað verður(við góðum útsýni)
kaga	1hyggja (eftir e-m), líta, kveita (loyniliga) eftir e-m,kaga uttan um seg;kaga eftir e-m;(orðt.)hin ríki traðkar skógvarnar á hol, men hin fátæki kagar (el.hyggur) teir á holhin fátæki er (ov) varin um tað ið hann eigur2(bát.)(um stavn á báti)standa ov nógv framav,móts.fattur,hann kagar nakað frameftir;sbr.lotur (2)
kaggaber	(plfr.)heiðabláber
kaggafullur	dýrandi fullur(av brennivíni),ovdrukkin
kaggandi	kaggafullur,hann er so kaggandi fullur
kaggi	(træ)ílatel.lítil tunna(serst. at goyma vatn í á báti),vatnkaggi,á afturferðini var vatnið í kagganum gingið undan;sms. t.d.brennivíns-,keksa-,potta-,tíggjupotta-,vatn-
kaghol	kagingarhol
kagi	(teld.)telduforrit til at leita eftir tilfari á alnetinum,tá trýst verður á ímyndina, kemur ein kagi fram, har tú kanst leita eftir myndum á telduni[en.browser]
-kagi	sísjó-
kagingarhol	hol at kaga ígjøgnum, kaghol
kagmaður	(sjóm.)maður ið stendur á kagi og heldur vakt,síkag
kahútskappi	(skip.)kappi 3 niður í kahútt
kahútsmaður	(gl.)maður ið hevði koyggju í kahúttini(t.d. á slupp),kahúttmaður;sbr.lugarsmaður
kahútt	(skip.)1(gl.)rúm har menn svóvu og hildu til(har afturi)2uppihalds- og sovirúm umborð á skipi (t.d.ferðamannaskipi);sbr.koyta 2
kahúttkappi	kahútskappi
kahúttmaður	kahútsmaður
kai	bryggja, atløgubryggja
kajakk	smalur bátur heilur omaná við holi til róðrarmannin rógvin við tvíblaðaðari ár(í kappróðri eis. til tvey el. fýra fólk),grønlendingar nýta nógv kajakk
kaka	(søtur) bakstur av fínum mjøli og sukri, køka (1);sms. t.d.hjals-,smá-
kakao	1long, reyðbrún bøn 2 av kakaotræ(fræini verða nýtt til kakaopulvur)2malnar kakaobønir, kakaopulvur3drykkur av kakaopulvuri, sukri og mjólkel.vatni,drekk nú kakaoið!
kakkul	brend leirflís(t.d.at leggja á veggirel.borð)
kakkulakkur	(dj.)reyðbrúnt slag av skordýri við bitmunni(alátið skaðadýr ið ofta heldur til inni í húsum)(Blatella)
kakkulárakó	(um ljóð hjá hana, hanagal)
kaktus	(plfr.)sevjumikil hitalandaplanta við nógvum tornum í slektiniCactus(vanl. havdar sum inniplantur)
kakubiti	kakuflís
kakuflís	flís skorin av kaku, kakubiti, køkubiti, køkuflís
kakuformur	formur (2) at baka kaku í
kakurulla	runt træel.plastik(við handtaki í hvørjum enda)at rulla kakudeiggj út við
kakuskapilsi	eitt eiti av eini kaku;sbr.skapilsi (3)
kala	halla, hella, skráa, horva undan(helst um stein, brekku, líð ofta um skráandi yvirflata),steinurin kalir(er omanhallur);steinurin kalir framúrel.fram úr garðinum(hellir so at hann stingur fram úr hinum steinunum)
kaldarak	deyðarak, diddarak
kaldaroykur	1(um klæði)kaldur og slavin roykur(ið luktar illa)2roykur úr brondunum ið kyndir vórðu áðrenn íbirtingin kom;sbr.vátaroykur
kaldasjúka	kv1e:hava kaldasjúkualtíð vera kaldur(RKR Heimaráð73)
kaldasveitti	sveitti, skjálvti og kulsan samstundis(av ræðslu, sjúku, skelki o.tíl.),ómagasveitti,kaldasveittin spríkti út um meg
Kaldbak	(stn.)bygd í Norðstreymoy,í/úr Kaldbak,til Kaldbaks
kaldbaksmaður	maður íel.úr Kaldbak
kaldfeingin	1sum ikki tolir heitt drekkael.heitan mat,hví drekkur tú ikki kaffið? tað nyttar mær einki, tí eg eri so kaldfeingin - eg má lata koppin standa eina løtu2(stb.)sum tolir væl kulda,móts.heitfeingin
kaldgløggur	sakligur (1), turrisligur (3)(ið ikki letur kenslurnar hava ræði),eitt kaldgløgt svar;hann helt uppat at læa og fekk smá kaldgløgg eygu
kaldhamra	smíða kalt jarn(um jarn sum ikki varð lagt í eld so tað verður harðari og óbendiligari),tá ið liðugt var at svarva stóronglar, vórðu teir altíð fyrst kaldhamraðir, áðrenn teir vórðu lagdir, t.e. boygdir, bugur gjørdur á teir(til tess at teir ikki skuldu rætna um e-t stórt kom á)
kaldhugaður	kaldur av lyndi, kenslukaldur
kaldkrem	slag av húðsmyrsli[en.coldcream]
kaldligur	1(um veður)heldur kaldur, kølin,ein kaldligan heystardag;kaldligt og ónossligt var at vakna næsta morgun2óblíður, óvinaligur, ófryntligur, kaldur (2),munnu tey ikki halda tað vera kaldligt, um eg fari og ikki kyssi tey(kensluleyst);kaldligt var teirra millum(sótu illa um sátt);hj-liga,hann tók heldur kaldliga ímóti teimum
kaldlyntur	kenslukaldur, kensluleysur
kaldroyking	tað at kaldroykja
kaldroykja	roykja 1 (fisko.a.) við lítlum hita
kaldsmiður	(handv.)smiður ið smíðar kalt jarn(tí hann nýtir ikki eld),tilt.kaldsmiður hoyrir heima í helviti(sagt tá ið e-r smíðaði kalt jarn)
kaldsótt	(lækn.)malaria
kaldur	1við kulda í sær, við lítlum hita, kalin, svalur, svalligur,móts.heitur,eg eri kaldur;vindurin er kaldur;eg verði kaldur;ganga bæði svangur og kaldur;vakna við kaldan dreymvakna brádliga, støkka upp úr svøvni;(kvæð.)tað kalda jarn(leinkjur, fjøtur);(kvæð.)tað kalda stál(svørð);sita við kaldar steinar1sita við útkalt2(flutt m.)standa á berum;koma (aftur) til kaldar steinar(útkalt);tað rann sum kalt vatn niður eftir bakinum á honum(fekk kuldaskjálvta av ótta);liggja á køldum(tá ið bøgan er rýmd av reiðrinum tí vatn er komið í tað),eggini liggja á køldum2uttan kenslur, kensluleysur, harðhjartaður, kaldligur (2),(orðt.)køld eru konuráð;hann er púra kaldurhann vísir ongar kenslur, einki ger honum mun3róligur, óræddur4deyður,sláa e-n kaldansláa e-n so at hann doyr, sláa e-n til deyðis;hann sat kaldur í látri(í skellilátri);tað verður kalt í bjørgunum(útdeytt, eingin fuglur)5(stb.)kaldarak, tussarak,veðragjólingurin er kaldur6(sj.)við ongum máli (at syngja við), ísakaldur (4)7í osb. sumtosa við køldum máli(uttan at nýta raddarbondini, eitt slag av tesking);sms. t.d.bístur-,deyða-,frost-,gler-,ísa-
kaldvátur	vátur og kaldur, slavin, ráligur, ráur (2),fiskur liggur undir kaldvátum presendingum og modnar
kalendari	yvirlit yvir dagar, vikur og mánaðir í ávísum ári;sbr.álmanakki
kalessja	regnskjól úr vatntøttum tilfari ið kann leggjast saman(í opnum bili, barnavognio.tíl.),lastbilur við kalessju;koyristólur við kalessju
kali	(evnafr.)salt av kalium(serst. til tøð)
kaliff	(stb.)dýrandi fullur,hann var so kaliff
kaliffur	(søg.)andligur og veraldligur oddamaður hjá muslimum
kalikur	(kirkj.)steyp sum vín verður drukkið av við altargang;sms.ser-
kalin1	(t.d. um klæði)slavin og kaldur, ráur (2), ráligur, vátligur, kaldur, kaldligur,undirklæðini eru kalin at fara í(eru illa turr);lakið er kalið;veðrið er kalið(dossleitt);her er so kalið inni;kalið torv
kalin2	kalur,steinurin liggur so kalin
kalium	(evnafr.)bleytt, silvurhvítt metal(má goymast í petrolium, teknK)
kalkun	(fugl.)stórur høsnafuglur(Meleagris gallopavo)
kalkunur	(fugl.)kalkun
kalkúnur	(fugl.)kalkun
kall1	(kvæð.)kallur
kall2	1tað at kalla, róp2embæti serst. prestaembæti, breyð (3),tríggjar ferðir søkti hann kall í Føroyum3økiel.umdømi (1) ið prestaembætið fevnir um, prestagjald,prestur ferðaðist um kallið4(átr.)arbeiði ið ein kennir seg kallaðan til av hægri maktum(sprettur ofta úr eini innari trongd at hjálpa øðrum);sms. t.d.á-,neyðar-,nummar-,vað-
kalla	1rópa á, boðsenda (e-m),hann kallaði Per á tal við seg;(bíbl.)eg eri ikki komin at kalla rættvísar, men syndarar;teir kallaðu á Sjúrðarberg(gjøgnum telefon)2siga,(kvæð.)eg kalli tað ei vera moyggjasið at sigla tað salta hav;eg kalli hann at vera frískan;at kallanæstan, nærum;vit eru at kalla lidnir;nú er hann frískur at kalla3geva navn, nevna,tey kalla fjallið Hestin;kalla (e-n) burtur úr ættskíra (e-n) í ættini við fremmandum navni4geva eyknevni, eyknevna, skíra (2),kalla e-n (e-t);tit mugu ikki kallaviðfs/hjkalla aftur1biðja koma aftur,hann var afturkallaður2taka aftur(t.d. umsókn);kalla samansavna saman,hann kallar arbeiðsfólkið saman;kalla upplata eita eftir (e-m), uppkalla,kalla e-n upp;hann er uppkallaður eftir abbanumkallast1verða nevndur, eita,fjallið kallast Hesturin(eitur)2kalla (4) hvør annan, skíra, skeldast,orð ókst av orði, og báðir at kallastkallaðurið hevur fingið kall til e-t (trúarligt yrki),(bíbl.)mangir eru kallaðir, men fáir útvaldir
kallan	1tað at kalla (á), ákallan,eisini til hansara var kallanin komin2tað at geva eyknevni,ósemjan endaði við bardaga og kallan
kallari	(gl.)boðberi, sendisveinur
kallavøttur	(stb.)kallvøttur
