L	rómv. taltekn fyri 50
l	1(málfr.)hjáljóðsstavur (nevndur[ɛl:])2stytting fyrilitur 2
-la	(gl.)-laga
labba	(sj.)1(um dýr)ganga tungliga,bjørnin kemur labbandi2hanka seg eftir einum tog, taka seg fram eftir einum bandi
labbarí	hí osb.koma í labbarí av e-m(í kløturel.trupulleikar)
labbaskav	(sj.)kisukáv
labbavøttur	(sj.)vøttur við ytstu liðunum á hvørjum fingri berum(at arbeiða fisk í køldum veðri),labbi (2);sbr.kubbi 1(6)
labbi	1fótur á dýri (hundi, kettuo.tíl.)2(sj.)vøttur (av grovari ull) fram á knúgvar við tumli(opnir frammantil);sbr.labbavøttur,kubbi 1(6);sms. t.d.aftur-,fram-
laborantur	ein ið arbeiðir á starvsstovu(við evnafrøðiligum greiningumo.s.fr.)
labrarí	labbarí,koma í labrarí (av e-m)
lað	1e-t laðað;sbr.sagulað2steinsett tún,fólk kemur út á laðið uttan fyri kirkjuna3garður (3) av nýskornum torvi(áðrenn tað varð útumborið),torvið stendur í lað(num)4(stb.)laðað torv, lutur,torvið stendur í laði5(kvæð.)prýðisband um enni, ennislað;sms. t.d.báta-,skúla-,torv-
laða	1leggja í løðel.rúgvu, stápla upp(hvørt oman á annað),laða upp í dyr(nar)el.uppíkasta frá sær, gevast á hendur,har gjørdist einki uttan at laða upp í dyr(gevast at halda hús);laða upp á borðiðseta nógvan mat á borðið;(spæl)laða hendurdraga handska(tvey børn leggja hendur sínar aðruhvørja ferð høgru og vinstru hvør oman á aðra, hann hevur vunnið sum hevur hondina ovast tá ið komið er upp í tjúgu)2byggja, reisa,laða garð, veggo.tíl.gera garðo.tíl.við at leggja steinar hvønn oman á annan (stundum við flagi ímillum);laða varðar;laða torvbera saman (í krógvel.lut);laða niðurleggja niður, rívat.d.grótgarð3(bát.)laða bátinskapa borðini til og seta tey hvørt upp á annað, bera borðini at4løða, ferma,laða bátin;handilsskipið lá laðið at fara avstað(fullfermt);væl er fiskað, tó ikki er laðið(hóast báturin ikki er fullur)
laðarstokkur	(gl.)stokkur til at pressa krút, høglel.kúlur niður í byrsupípu við(eis. nýttur at reinsa byrsupípuna við)(Sv)
laðberg	hella niðri við sjógv har sum bátur kann leggja at,báturin kemur spakuliga inn at laðberginum
laðfiskið	(sj.)fiskað so nógv at báturin er laðin,so var laðfiskið;tað var laðfiskið, vit róðu frá miðinum
laðin	(um bát)fullur, fullfermdur,bátur laðin av fólki, fiskio.tíl.;báturin er laðin í gripsborð,sígripsborð;sms. t.d.deyð-,kav-,rang-,søkk-
laðing	1tað at laðat.d.garð, tað ið laðað ert.d.grótlaðing2(bát.)tað at laða (3)
laðingargrót	grót til at laða garðaro.tíl.av,gott/ringt laðingargrót
laðingarjarn	jarnstong nýtt til grótlaðingaro.tíl.(styttri enn jarnbrot)
laðingarmaður	maður ið laðar garðaro.tíl., grótmaður
laðingarsteinur	steinur at laða garðo.tíl.av,góður/ringur laðingarsteinur
laðklettur	laðberg,har er góður laðklettur(at leggja bát at)
laðstokkur	laðarstokkur
laðubyrsa	(stb.)fjaðurbyrsa
laðustokkur	(stb.)laðarstokkur
lag	1(tunn) skónel.tunt jaður (oman áel.uttan á e-m), lind,eitt tunt lag av sandi, skervio.tíl.;fleiri løg av máling eru á vegginum2tað at vera saman, e-t ið hoyrir saman,bygdarlag;grannalag3tað at e-t er sum tað eigur, rættlag, røtt støðael.viðurskifti, rættur standur,avel.úr lagií ólagi;hann er nú heilt út av øllum lagi óður(frá sær sjálvum);bera í lageydnast;mamma vildi ugga, men tað vildi so lítið bera henni í lag;ganga av øllum lagiganga av skriðuni;í lag:fáa (e-t) í lagavrika,tað er hann, ið hevur fingið hetta í lag;ganga í lagverða framdur;ganga, falla væl í lageydnast væl;koma í laggerast veruleiki, verða framdur,soleiðis kom ferðin í lag;(tilt.)tað, sum fyrst kemur í drag, kemur seintel.seinni í lag;tað er lagiðsoleiðis er vorðið, soleiðis gongur;eg skilji á lagnum, at ...(á øllum brøgdum);hvør í sínum lag(i)hvør einsæris;tey sita og arbeiða hvørt í sínum lag;í sínum lagteimum so líkt,sambandsflokkurin í sínum lag heldur fast;í lagií standi,nú er motorurin í lagi aftur(gongur aftur);tað er í lagi, at tú fert nú(einki forðar fyri);alt í lagifrálíkt;í besta, fagrasta, fínasta lagi;um tað lagið1(um e-t sum er ivasamt, tepurto.s.fr.),tað er um tað lagið, at vit klára tað(kanska, kanska ikki)2um tað mundið, um ta tíðina,okkurt um tað lagið, tá ið døgurðaeldarnir vórðu kyndir;upp í lag:fáa (upp) í lagfáa segel.spenna seg út til (at gera e-t);eg fái ikki upp í lag at fara;endiliga fekk eg uppi í lag at fara at vitja hana;tosa e-n upp í lagel.tosa upp í lag við e-nhalda við e-m upp á kvamsvís, tosa e-n til rættis(t.d. fyri frið skyld);út av lagi1ið ikki er sum eigur, í ólagi2ógvuliga, serstakliga, hendinga,út av lagi ringur;út av lagi illa;(út) av øllum lagiheilt burturvið;við hetta lagsoleiðis sum nú gongur, sum nú er vorðið,við hetta lag verður ringur standur;við sama lagí sama standi, framvegis, alsamt,hann liggur við sama lag;tað gongur við sama lag(sum tað plagar, sum vanligt);til lagstil vildar,eingin kann gera øllum til lags4handalag til e-t, kynstur, dugnaskapur,leggja e-m lag álæra e-n hvussu hann skal bera seg at;hann hevur gott lag á tí(hevur góða hilling á tí, dugir væl);koma á lagiðkoma eftir e-m, fáa hilling á e-t;tá ið tær vóru komnar á lagið, gekk alt sum spæl5háttalag, skipan, kervi (2),Svabo hevði sítt lag(til stavseting);arbeiðslag6tað at e-t hevur týdningel.er umráðandi;í osb. sumtað liggur einki lag átað hevur einki at siga, er týdningarleyst;tað liggur mær einki lag á(kemur mær ikki við)(Sv);(ikki) leggja lag í(einki) leggja í,hann legði ikki lag í, hvussu fólkið hevði tað;hann legði lítið lag í ein vátan karm7sinnisstøða, huglag, hýrur, skúrsur,í góðum/ringum lag;tað er einki lag á honumhann er í ringum hýri;tað treiska lagið kemur upp í honum/hann;tað býtta lagið kom á hann;tá ið tað góða lagið er á honum;nú er tað øra lagið á honum8snið, skap, útsjónd,báturin hevur annað lag enn hesir, fláari til endarnar og smalur um miðjuna9(tónl.)tónalag10(kirkj.)altarslag, altarsskari, borðgangur (2)11(stb.)í einum lagnumtil dømis, eitt nú,hann er ikki mætari í einum lagnum12leggja lag á(stb.)(um seyð)binda uppá, sløðra (2)13(um lýsingarorð í mið- og hástigi í smb. við at lýsa tíð, nøgd, røð, vekt o.tíl.),í fyrsta lagi1(um tíð)ikki fyrr enn,eg komi í fyrsta lagi á middegi2(um røð)fyrst er at siga,í øðrum lagisíðan, og so er at nevna;í triðja lagio.s.fr.;í fyrra lagiheldur tíðliga,hann kom í fyrra lagi;í seinna lagiheldur seint;í meira, minna lagiheldur nógv, lítið;í seinasta lagiikki seinni enn;umsóknin skal vera inni í seinasta lagi 20. mai;í meira, minna, størra, styttra, dýrara lagi;í minsta lagií hvussu er, í øllum førum;hann er í minsta lagi fjøruti ár14skerðinglag(FA II294)15flt:løgløgasteinar(um áo.tíl.);sms. t.d.á-,ára-,bindingar-,brúgva-,brøðra-,bygdar-,dráttrar-,fe-,ferða-,for-,fóta-,garð-,gongu-,granna-,grundar-,handa-,havnar-,hjarta-,hjúna-,hós-,høvda-,niður-,orða-,ó-,rætt-,sinna-,turki-,undir-,vakstrar-,veður-,veitslu-,vina-
-laga	sí t.d.aftar-,frammar-,niðar-,norðar-,ovar-
laga1	(Suð.)løga 1(4),ein ordans laga lá á trappuni;sms. t.d.mykju-
laga2	1gera (e-t á ávísan hátt), skipa, bera so í bandi(ð), fáa at legnast,helst lagaði hann tað so, at hann ikki kom gjøgnum túnið um kirkjutíð;laga e-t til e-t:vit mugu laga útbúgvingarnar til samfelagið2(stb.)maka 1,hann lagaði vindin3(um lagnuna)unna, geva, veita(oftast í tolsøgn),lívið var teimum lagaðteir vóru ikki feigir;okkurt má gerast, um dansinum skal verða lív laga(um dansurin ikki skal detta niðurfyriel.doyggja burtur);(orðt.)mangur fær tað, ið øðrum er ætlað, men eingin (fær) tað, ið øðrum er lagað4laga segkoma í (rætt)lag, legna seg,tað man fara at laga seg;tað lagar seg so væl fyri hennitað liggur væl fyri hjá henni við arbeiði, hon hevur gott hegnio.tíl.;tað lagaði seg illa við byrinum(ringur byrur);tað lagaði seg so, at ...tað vildi so til at ..., lagnan vildi at ...;laga seg eftir (e-m)vera í samljóðiel.samsvari við, gera eftir;hann lagaði seg eftir nýggjum umstøðum;vit mega laga okkum hvør eftir øðrum
laga3	1(fáa at) leypa saman av vætu,salt, sukur lagar2(um kjarna í korni)svinna burtur, molna,maturin lagaði burtur úr aksinum
lagaboð	hí osb. sumharel.tað var ikki lagaboð(sagt tá ið skundisliga verður atborið),tað er ikki lagaboð, so skjótt báturin leggur at, eru teir til hjálpar
lagað	sílaga 2(3)
lagaklókur	(gl.)(um fólk)hyggin, gløggur, skilagóður, skynsamur
lagaligheit	tað at vera lagaligur
lagaligur	1hóskandi, nýtiligur, høviligur,eingin lagaligur bátaviður var í handlinum;Judas royndi at fáa eina lagaliga stund at svíkja Jesus;lagaligar gjaldstreytir(góðar)2lættur at hava við at gerael.fáast við, (við)eiriligur,hann var góður at heita á, lagaligur og fólkaligur(góður í ávikum, hjálpsamur);døglingurin er lagaligur at reka;hagin var lagaligur at røkta(høgligur);seinni gjørdist tað lagaligari hjá monnum at fáa traðir(lættari, ómakaleysari)3høviskur, fólkaligur,(skaldsk.)so lagaligir eru teir í orð og tal4lagaligur í hondunumlætthentur5(stb.)sum fer um við góðum skili, skilagóður;hj-liga
lagamaður	skilagóður maður, skilamaður,hann var lagamaður til bakka
lagamanna	(stb.)lagamanni
lagamanni	gaman í(um e-t ið er lætt at gerael.sum saktans ber til),tað er lagamanni at keypa, tá ið onnur gjalda;tað var lagamanni at fara við tílíkum fari(lætt at fara við so góðum og stórum báti)
lagamannin	(sj.)lagamanni
lagbundin	(um yrking)við føstum ørindislag,lagbundin ørindi;sbr.lagfastur
lagda	(stb.)binda lagd 1(2) upp á,at lagda ein veðragjóling
-lagdaður	sísmá-
lagdámur	serstakt eyðkenni, huglag, dámur (2)
lagdi	síleggja
lagdraga	(um snøriel.línu)strekkja so at snúðurin fer úr,lagdrigið snøri;snørið er ikki lagdrigið hjá tær, tað fløkist;tað er gott fyri nýggja línu, at hon verður lagdrigin;sbr.løgudrigin
