M	rómv. taltekn fyri 1000
m	1(málfr.)hjáljóðsstavur (nevndur[ɛm:])2stytting fyrimetur3stytting fyrimilli-(sum í millimetur (mm))
m.a.	stytting fyrimillum annaðel.millum aðrar
madonna	Maria moy
madrassa	(í song)bleytt undirlag undir seingjarklæðunum til at liggja á
maðkaber	(sj.)(óstaðið) krákuber
maðkaboraður	maðketin,maðkaboraður viður
maðkabrot	(barn.)stiklavond,binda maðkabrot
maðkadrumbur	(fisk.)lítið (ungt) síl, nýgýta, maðkapirra, maðkasíl;sbr.álladrumbur
maðkafluga	skinfluga
maðkahorn	veðurlambshorn at hava reyðmaðkar í(til sílaagn)
maðkahøvd	fiskahøvd sum matmaðkur er í
maðkakrógv	grunningshøvdakrógv sum matmaðkur er í
maðkamatur	tað ið matmaðkur etur,at føra tosk og longu og kalva til lands um summarið fyri at rotna burtur í óterra ella verða maðkamatur, tað var ikki stuttligt
maðkapirra	(fisk.)1maðkadrumbur2(stb.)heilt lítil ternumurtur
maðkareiður	hola við matmaðki(t.d. í kjøti)
maðkasíl	(fisk.)maðkadrumbur
maðkasmogin	maðketin,tjógvið er maðkasmogið
maðkatíð	tíð á árinum tá ið vandi er fyri matmaðki
maðkatos	tos (3)el.suð av matmaðki
maðkatræ	(sj.)maðketið træ
maðkaveður	lýtt slaguveður(tá ið vandi er fyri at maðkur kemur í upphongdan fiskel.upphongt kjøt)
maðketin	sum maðkur hevur etið seg inn íel.ígjøgnum, maðkaboraður, maðkasmogin
maðkur	(dj.)1ormvera (hjá flugu), matmaðkur,sum maðkur í grunningshøvdiel.høvdarúgvuel.tarabrúgví stórum tali, í murlutali;tann, sum ikki átti maðk um summarið, átti ikki at kóka;(tilt.)móður sum maðkurógvuliga móður, deyðmóður2reyðmaðkur3(barn.)kráka (4),maðkur í nøsini;sms. t.d.blá-,bø-,fjøru-,flat-,mjólkar-,mosa-,roða-,sand-,sjó-,skel-,stór-,viðar-
