o1	(málfr.)sjálvljóðsstavur (nevndur[o:])
o2	áh
o.a.	stytting fyriog annað, og aðrir, og aðrar
o.a.m.	stytting fyriog annað mangtel.meira
obeliskur	høg fýrhyrnt steinsúla við pýramidulíkum toppi, minnissúla
oberstur	(herm.)høgur heryvirmaður
oblat	(kirkj.)altarbreyð
odda	peiggja, medda(við knívi ímóti e-m),odda knível.við knívi;sit ikki og odda ímóti beiggja tínum
oddabiti	biti aftur fyri at læna knív at skera kjøt við
oddablað	(bókb.)blað fremst í bók(áfast við blaðið límað innan um permuna),lívdarblað[da.forsatsblad, smudsblad]
oddabrak	(ítr.,slang)spennandi dystur millum tvey (jøvn) oddalið
oddadystur	(ítr.)dystur millum oddalið
oddafiskur	1fremsti hvalur í grind 1(1)2fremsti fiskur í torvu 2(1),tá ið sildin er á gongd, síggjast oddafiskarnir leypa leysir úr sjónum3(flutt m.)ein ið stendur á odda fyri e-m, oddamaður, undangongumaður
oddafólk	fólk ið stendur á odda (fyri e-m)
oddafundur	(stjm.)(millumtjóða) fundur á hægsta stigi, toppfundur
oddagás	(fugl.)gás ið flýgur á odda fyri flokkinum(skiftast um at flúgva á odda)
oddagrein	(í blaði)grein(á føstum plássi)við áskoðan blaðsins á ávíst mál, leiðari (2)
oddaleysur	(um knív)við ongum oddi
oddalið	(ítr.)fremsta lið (fremstu lið) í kapping,oddaliðini í bestu deildini hittast sunnudagin
oddamaður	1ein ið stendur fyri e-m, formaður, undangongumaður,tey ungu fylktust um oddamann felagsins2(í seyðarakstri)maður ið er á oddanum (1)(vanl. tveir)
oddasessur	(ítr.)tað at vera á fyrsta plássi í kapping,vinna sær oddasessin
oddaseyður	fremsti seyður í fylgi,tungt var at ganga í kavanum, so oddaseyðurin lækkaði seg og hinar eisini
oddaskapur	leiðsla (1), fyristøða
oddastarv	starv millum teirra hægstuel.fremstu(í samfelagiel.fyritøku)
oddastríð	(ítr.)kapping um at vinna fyrsta plássið í deildini,Kyndil dragnaði í oddastríðnum eftir ósigur móti grannunum úr Neistanum
oddbogastílur	(byggil.)byggingarstílur við oddbogum, gotiskur stílur
oddbogi	(byggil.)gotiskur bogi, spískbogi(ovast í gluggum og durum);sbr.rundbogi
oddi	1fremsti partur í seyðagonguel.grind,móts.hali 1(8),ein bátur róði fram innan fyri grindina fyri at boyggja oddan av henni út fyri tangan;vera á oddanumganga fremstur í seyðarakstri;(um seyð)taka odda í seg(nakrir undan og hinir aftaná);(flutt m.)standa á oddastandael.stíla fyri e-m;tey múgvandi og ráðandi á odda, vesalavættini á halanum;liggja á oddavera fremstur(t.d. í kapping)2landoddi;sms. t.d.háls-,land-,sand-,tanga-
oddklingrutur	l5(plfr.)oddklingrut blaðblað við bløðku ið er tvær ferðir longri enn breið, breiðast á miðjuni og mjækkast javnt móti báðum endum ið eru spískir
oddklombur	spískt klombur (4)<>,í oddklombrum;sbr.bugklombur,hornklombur,klovaklombur
oddmjáur	(plfr.)við mjáum oddi,frukthylkið er oddmjátt
oddpíkskur	(Suð.)spískur (sum nálaroddur)
oddspískur	(plfr.)spískur sum oddur,oddspísk bløð
oddur1	broddur (1), spíssur, tað fremstael.ytsta á e-m,(kvæð.)oddar bóru saman(t.e.svørðsoddar);oddurin á lítlafingri(fremsti liður);út í odd og eggút í æsir, heilt og fult;(Sa.)vera oddur eldriikki lata seg lumpa, duga at vara seg fyri svikum;draga saman oddar(um skýggj úr mótsettum ættum)reka hvørt móti øðrum;(kvæð.)royna odd við (e-n)berjast við, fara í bardaga við;sms. t.d.háls-,kjalarborðs-,klandurs-,knívs-,nálar-,nevs-,snið-,spjóts-,svørðs-,sýlar-,tungu-,ørvar-
oddur2	reiðskapur til sílaveiðu(framspísk fjøl við dorg drigin fram við landi)[no.oter]
oddviti	ein ið stendur á odda (fyri e-m), oddamaður,oddviti í tjóðskapar- og frælsisstríði føroyinga
offiserur	(herm.)yvirmaður, heryvirmaður
offur	1gáva ið latin verður gudiel.guddómi, offurgáva,bera Gudi offur2(kirkj.)peningur borin fram og latin í smb. við t.d. brúðarvígslu og barnadóp;sms. t.d.brenni-,drykkju-,fagnaðar-,lov-,mann-,royk-,skuld-,skurð-,slátur-,synda-
offurbolli	(kvæð.)bolli 1(1) til blóð av offurdjóri
offurdjór	djór ið ofrað verður
offurdýr	offurdjór
offureldur	eldur til brennioffur
offurfólk	fólk í brúðarskara,offurfólkini skipa seg í pør;sbr.brúðfólk
offurfúsur	fúsur at bera offur, hjálpsamur
offurgangur	(kirkj.)tað at fara fram í kór at lata offur(í brúdleypi)
offurgáva	offur (1)
offurgerð	tað at ofra (1), ofring (1), blót
offurheyggjur	(bíbl.)heyggjur har ið ofrað varð,eg rívi niður offurheyggjar tykkara
offurknívur	(bíbl.)knívur at drepa offurdjór við,sjálvur tók hann eldin og offurknívin
offurlamb	lamb at ofrael.ið er ofrað
offurpar	(í brúdleypi)tvey ið fylgjast í brúðargongu,einaferð ið offurgangur var í einum brúdleypi, vórðu offurpørini parað saman
offurpengar	(kirkj.)pengar latnir sum offur (2)
offursfólk	offurfólk
offurveitsla	(søg.)blótveitsla
offurvilji	vilji at ofra seg (fyri onnur)
o.fl.	stytting fyriog fleiri
ofra	1bera fram offur (1), blóta (1),ofra til skurðgudar2bera fram offur (2)(t.d. presti, dekni og klokkara)3siga frá sær e-t(til frama fyri e-t annað),bæði rík og fátæk hava víst vilja til at ofra bæði tíð og pening;ofra seg fyri e-t4(talv)lata fólk fyri betri støðu5(skemt.)spýggja(t.d. av sjóverki)
ofring	1offurgerð2(kirkj.)tað at ofra (2),meðan ofringin var fyri(við brúðarvígslu)
ofsin	opsin
ofta	við (heldur) stuttum millumbilum, í heilum, tíðum, mangan, javnan,ofta og tíðum;ofta og stund;tað er ikki oftari enn so(ikki hvønn dag);fyri tað oftasta(oftast, vanliga)
oftani	ofta
oftum	(gl.)ofta,oftum lýtst happ av hundi;(kvæð.)tað er enn, sum oftum er
og	1(bindur saman tvey orð, tveir setningsliðirel.setningar),himmal og jørð;svartur og hvítur;aftur og fram;av og á;ungur og óstiltur;væl og virðiliga;stórur og sterkur;kom og hjálp mær;ein fór, og annar kom;fyri berg og bláar skorar;virtur og so vín;fagran og so fríðan;so við og við;hvussu víkur og vendir;tað stendur upp og niður;við bit og slit;líkjast í brún og brá;leka í eyri og seyri;halda e-n fyri háð og spott;hava jól og góðar dagar;mítt og títt er óbýtt;sorg og sút;líkt og ólíkt2(í herðingarlættari støðu til at sýna hendingagongd),sit og tig;hann sat og roykti;gev uppat og royk;kom og dansa3(vanligt millum tveir teir síðstu liðirnar í upprokning),tær fýra høvuðsættirnar eru norður, suður, eystur og vestur;børn, ung og gomul4(partur av samsettari sambinding),bæði og;hon er bæði stór og sterk;eins og;henda myndin er eins vøkur og hin5(skaldsk.,bíbl.)(fremst í setningi uttan samband við tað sum frammanfyri stendur),og Jesus kom fram at teimum og nam við teir og segði;og hann beyð mannamúgvuni at seta seg niður á jørðina6eins og, sum,listansur føroyinga er hin sami og hjá øðrum tjóðum;hon líkist ikki støðin nú og hon var7(stb.)(saman við fyrra lýsingarhátti),nú kemur hann og stunandi niðan gjøgnum trappuna;nú kemur hann og støplandi;eg og spelandi inn
ogn	1tað at eiga (e-t), tað ið ein eigur, eigindómur,føst ogn;ogn og skuld;fáa e-t til ognar;mín dýrasta ogn;føra til ognargóðskriva;tað er ikki hvørs mans ogn;tað er ogn í tí(vert at eiga, virðismikið);tykja(st) ogn í e-mhalda vera vert at eiga,móður tykir ogn í unga sínum2(serst. um)óðal, óðalsjørð, ognarjørð,ognin skuldi eisini hava sín part av neytunum;hvør systirin setti seg á sína ogn3ognir(búsk.)ogn (1) av ymsum slag (t.d. peningur, útbúnaður, áogno.tíl.) við búskaparligum virði(t.d. í roknskapi);sms. t.d.almanna-,á-,fast-,felags-,fólka-,jarðar-,lands-,sam-,ser-,sjálvs-
ogna	luta, veita, geva,ogna særel.ognast (e-t)fáael.vinna sær, fáa til ognar,summum ognaðist eitt lamb(lutaðist);ogna e-m e-t(víga, kanna 3(2)),bókin er ognað honum
ognan	tað at ognast (e-t)
ognarbóndi	(sj.)óðalsbóndi, ognarmaður,hann er handilsmaður og ognarbóndi
ognarbræv	(løgfr.)skjal ið váttar fastogn, skeyti 2
ognarbygd	bygd har (næstan) øll jørðin er óðalsjørð,móts.kongsbygd
ognarbøur	bøur ið er ogn (2),toftin liggur í ognarbønum
ognarfornavn	(málfr.)fornavn (2) fyri tann ið eigur (e-t)(pronomen possessivum),mín, tín og sín eru ognarfornøvn
ognarfólk	(bíbl.)serliga útvald tjóð,teg hevur Harrin kosið sær sum ognarfólk fram um allar aðrar tjóðir á fold
ognargenta	genta ið situr við ogn,trúlovaður við einari ognargentu
ognarhagi	hagi ið hoyrir til ognarjørð
ognarhús	hús ið eigur jørð,størsta ognarhúsið í bygdini
ognari	1ein ið eigur (e-t), ánari, eigari,hann var ognari til tríggjar merkur í óðalsjørð2áognari,móts.skuldari
ognaríbúð	íbúð sum búfólkið sjálvt eigur;sbr.leiguíbúð
ognarjørð	óðalsjørð,móts.kongs(jørð)
ognarland	(bíbl.)serliga útvalt land,í ognarlandi tykkara
ognarleysur	ið einki eigur, blóðfátækur
ognarloysi	tað at vera ognarleysur
ognarloysingur	ein ið er ognarleysur, fæloysingur,summir ognarloysingar gjørdust niðursetumenn hjá óðalsmonnum
ognarlutur	lutur ið ein eigur, ogn (1),hann kom heim at fáa skil á ognarlutum sínum
ognarmaður	maður ið eigur jørð, óðalsmaður,óðalsjørðin er so smábýtt, at ognarmenn liva ikki av henni
ognarmark	kenningarmark, kenningarmerki(á høgra oyra);sbr.hagamark 2
ognarmørk	mørk 1(3) í ognarjørð,í Vágshaga er ein ognarmørk
ognarrættur	1rættur at eiga2(løgfr.)løgfestur rættur til ogn
ognarseyður	seyður hjá ognarbónda,móts.kongsseyður
ognarsíða	(búsk.)stað har ið ogn verður bókað í roknskapi,móts.skuldasíða
ognarskattur	skattur av fastogn
ognarsteyp	(ítr.)steyp 1(2) ið vinnari vinnur til ognar,móts.ferðasteyp
ognartaka	flytael.taka (sjálvboðiðel.tvingað) ogn til tað almenna fyri samsýning,ognartaka jørð til vegagerð
ognarteigur	teigur av ognarjørð,her er bara kongs og ikki ein ognarteigur
ognartræ	(stb.)bóndatræ
ognartøka	tað at ognartaka[da.ekspropriation]
ognaruppgerð	uppgerð ið sýnir ogn og skuld hjá skattgjaldara(at lata líkningarmyndugleika),ognaruppgerð skal latast inn saman við sjálvuppgávu
ognarviður	(stb.)viður av ognartræ, bóndaviður
ognarviðurskifti	tað ið viðvíkur ognarrættio.tíl.,ógreið ognarviðurskifti
ognskriva	(búsk.)skriva sum ognarael.bóka til ognar, góðskriva
