P	rómv. taltekn fyri 400
p	(málfr.)hjáljóðsstavur (nevndur[pe:])
pa	(barn.)e-t skitið, skarn, skittur, óreinska,gera pakukka;sbr.pá 1
pabba	(Suð.)pápi, babba
padda	(dj.)1slag av froskdýri(Amphibia)(froskar, salamandrur o.tíl.)2(stb.)kornormur;sms. t.d.eitur-,frosk-
pað	1hinna millum skinn og kjøt2(stb.)(á fugli)skinn uttan á filluni(fascia)
paða	1tumma kjøt upp í skinnið, fáa av misgáum pað við kjøtslintrum upp í skinnið2(stb.)gerast hamsalopin,eg paði so illa um fingrarnar(húðin flusnar uttanav);sbr.piða
pakk	(niðr.)óvandaslag, harkalið, sáð 2(4);sms. t.d.harkala-,íra-,útskots-
pakka	1balla inn í pappír, leggja í pakka, kassao.tíl., leggja pappír um,pakka fisk;pakka innleggja pappír um,pakka gávu inn;pakka niðursavna saman og stinga ít.d.kuffert,pakka klæðini niður;pakka samanstinga lutir sínar í taskuna tá ið liðugt er(t.d. um skúlabørn);pakka upptaka pappír uttan av pakka2savna tætt saman, trýsta (tætt) saman,lundalondini vóru ikki so pakkað við lunda nú(ikki so tætt bygd við lunda)3pakka seg burtursleppa sær burtur;pakka teg burtur!;pakka teg avstað!4(teld.)trýsta saman(so at e-t verður minni í vavi),pakka teldutøkan tekst
pakkaferð	ferð fyriskipað og løgd til rættis av ferðaskrivstovuo.tíl.(íroknað ferð aftur og fram, útferðir, gistingo.tíl.)
pakkamjólk	mjólk seld í pøkkum
pakkapostur	(postm.)postsending í pakka, pakkar sendir í posti
pakkari	ein ið pakkart.d.fisk á fiskavirki
pakkhús	stór vørugoymsla, goymsluhús
pakki	1e-t ið er innpakkað í pappír2lítil pappírsposi at pakka e-t inn í, eskjao.tíl.;sms. t.d.mat-,seym-
pakking	tað at pakka, innpakking
pakningur	tunnur ringur úr bleytum tilfari nýttur í skoytum til at fyribyrgja leka,pakningur í vatnkrana
pakt	sáttmáli
palestinari	palestini
palestini	fólk íel.úr Palestina, palestinari
palestinskur	íel.úr Palestina
pallalomvigi	lomvigi ið situr á pøllum
pallast	(um royk)hjallast
pallborð	borð (1) á palli sum fólk situr við og skiftir orð um ávíst evni og svarar spurningum frá fundarfólki,við pallborðið[da.panel]
pallborðsfundur	fundur við fólki ið situr við pallborð
pallborðsorðaskifti	orðaskifti við pallborðel.millum tey við pallborðið og fundarfólkið
Palleba	(nýtt um tann vanliga føroyingin),summar brúksvørur gerast eisini dýrari, so Palleba fær tað ikki lættari í ár enn í fjør;Palleba og Marsanna
palli	(fisk.,Hvlb.)stórur murtur,eg fekk ein palla;sbr.pálur
pallmunni	op á leikpalli út móti salinum
pallmynd	leiktjøld og annar ytri útbúnaður á leikpalli
pallseta	seta leik upp á palli, skipa fyri framførslu av leiki(viðv. leikhátti, pallmynd o.tíl.)
pallseting	tað at pallseta, uppseting
pallsmiður	ein ið ger pallmyndir í leikhúsi
pallsmíð	tað at gera pallmyndir
pallstokkur	fjølel.listi negldur upp á kantin frammantil á beinki, palli, skamlio.tíl.
pallur	1bonkur, sessur2lítil slætti í bergi, stutt og breið rók, stallur3flati hækkaður uppfrát.d.leikpallur,standa á pallispæla sjónleik;sms. t.d.breytar-,hamars-,há-,lívtøku-,oyði-,røðara-,seiðabergs-,trappu-
pallut	við pøllum (2),har er so pallut
palmin	feitt úr kokuskjarna
palstytta	(skip.)stytta niður gjøgnum dekkið og lugarið á slupp
panda	(dj.)slag av hálvbjørn(livir í Asia)(Ailuropoda melanoleuca)
panna1	flatt ílat við skaftiserst.til at steikja í, steikipanna;sms. t.d.bráð-,holukøku-,holu-
panna2	enni (1)(á fólki og dýri)
pannubreyð	hveitibreyð bakað á pannu 1(runt, fyllir alla pannuna)
pannudrýlur	drýlur bakaður á pannu 1
pannuhola	(lívfr.)ennihola
pannuhvítur	(um dýr)hvítur um pannuna 2, ennihvítur
pannukaka	pannukøka
pannukøka	rund tunn kaka bakað á pannu
pannukøkudeiggj	deiggj til pannukøku
pannukøkuhús	hús gjørt av pannukøkum(í ævintýri)
pannukøkusneis	(Mikld.)naddatvørra
pannumatur	matur gjørdur á pannu 1,berur pannumatur er so berligur
pannuskógvur	skógvur úr pannuskøði
pannuskøði	skøði úr pannuni 2 av høvuðleðri
pansari	1(herm.)herklæði, brynja2(herm.)verjuplátur av stáli(á stríðsvognum, herflogførum, herskipum o.tíl.)3(speis.)kloddut, bøtt klæði(Sv)
pant	(løgfr.)veð,seta húsini í pant;taka pant í húsinum
panta	1(búsk.)pantseta, veðseta, seta í veð2(búsk.)takael.krevja pant, gera fíggjartøku,panta e-n fyri skatt3(um ross)skíta
pantalortur	(Suð.)rossalortur
pantari	(dj.)leopardur
pantifúti	(búsk.)ein ið krevur inn pant(fyri skatt o.tíl.)
panting	tað at panta(fyri skatt o.tíl.)
pantseta	(búsk.)seta í pant, panta (1), seta í veð, veðseta,Hetland og Orknoyggjar vóru pantsettar til Skotlands
pantseting	tað at pantseta
pantur	(gl.)1pant2(Suð.)pantalortur
papi	(søg.)írskur munkurt.d.í Føroyum og Íslandi fyri norrøna landnámið
papp	tjúkt og stívt pappírslíkt evni(av fleiri samanpressaðum pappírsløgum)
pappa	klæða vegg (innan) við pappi
pappageykavakshattur	(plfr.)slag av vakshatti(Hygrocybe psittacina)
pappageykur	(fugl.)litfagur (hitabeltis)fuglur í deildiniPsittaciformes
pappeskja	eskja av stívum pappi
pappír	1evni av tunnum, samantrýstum tægrum(at skriva á, pakka inn í el. turka við)2blaðel.ark av pappíri, pappírsblað(at skriva, prenta el. tekna á o.s.fr.)3skjal(helst íflt);sms. t.d.bræv-,kardús-,sand-,skoyni-
pappírsarbeiði	arbeiðiel.arbeiðsgongd við nógvum skrivligum arbeiði
pappírsbátur	lítil leikabátur samanlagdur av pappíri
pappírsblað	blað (2) av pappíri(við teksti el. uttan),ark 1(1)
pappírsdukka	útklipt pappdukka við klæðum úr pappírio.tíl.
pappírsfiskur	(skemt.)partur av fiskakvotu sum einki veruligt virði hevur(einans á pappírinum)
pappírsfjas	(óneyðugt) pappírsarbeiði
pappírsflagg	lítið flagg av pappíri(til prýðis)
pappírshandil	handil ið selur pappír, skriviamboð, skrivstovuútgerðo.tíl.
pappírsklemma	klemma at halda leysum pappírum føstum við
pappírsklipp	klipp 1 úr pappíri
pappírsknívur	knívur við óhvassari egg at lata upp brøv, skera upp bøkur viðo.tíl.
pappírskurv	kurv til pappírsrusko.tíl.
pappírslepi	lepi av pappíri, lítið (vánaligt) pappírspetti
pappírsleypur	pappírskurv
pappírsligur	1(um fólk)lítil og neyðarsligur, visaligur2(um lut)veiktel.illa gjørdur(t.d. smíð)
pappírspeningur	peningaseðilel.-seðlar
pappírspetti	pappírslepi
pappírsposi	(lítil) posi av pappíri
pappírsryggja	(bókb.)tilskorin bók við límaðum ryggi og linari permu[en.paperback];sbr.fikkubók
pappírsskeyti	skeyti 1(1) av pappíri
pappírstunnur	tunnur sum pappír, sera tunnur
pappírsútgáva	bókel.tíl.útgivið í pappírssniði,móts.telduútgáva,pappírsútgávan av orðabókini
paprika	slag av brandgulum kryddi(gjørt úr reyðari piparfrukt)
papýrus	(søg.)sev nýtt til at skriva á(í Egyptalandi í fornari tíð)
par	1tvey sum hoyra (meirel.minni) saman, samstøða av tveimum,par um partveir og tveir, tvey og tveyo.s.fr.(fólk, lutir o.tíl.)2(gl.)einar hosur, hosupar, handilshosur(avreiddar til einahandilin),trettan vóru pørini3sekstan lomb,eitt par av lombum4merki á bismara, 1 1/2 mørk;sbr.langapar;sms. t.d.antar-,brúðar-,gása-,koppa-,offur-,vatta-
para	skipa í pør,brúðurin paraði offursfólkini;teir paraðu seg saman(at leita eftir reka tveir og tveir);spæla at parast(barnaspæl);para seg1skipa seg í pør, stilla seg upp í pørum2(um dýr)hava kynsligt samband, makast
parabil	(støddfr.)rás har ið punktini hava somu frástøðu til brennidepil og til fasta beina linju[da.parabel]
parabolur	slag av antennu ið ger tað møguligt at síggja sjónvarp sent um fylgisvein(líkt stórari skál),skálkampur
paradis	paradís
paradís	1himmiríki2aldingarðurin í Eden3lakka paradíslakka 2(2)
paralag	h6í osb. sumgeva seg í paralag við (e-n),koma í paralag við (e-n)geva segel.koma í hóslagel.felag við (e-n)
paralig	(um mann og konu)ið tykjast hóska væl saman sum par,tey eru so paralig
paranoða	stórt noða(til at binda hosupar av)
parastig	h3(stb.)lakka parastiglakka paradís
pardansur	dansur sum tvey og tvey dansa saman(eftir tónleiki)
pardón	(tlm.)náði, fyrigeving,eingin pardón
parhosa	(gl.)(long) ullint hosa til vásarbeiði(áður avreidd til einahandilin),í longum parhosum og við leypi á bakinum;hann var í parhosum uttan yvir buksunum
paring	tað at para(t.d. kort)
parisari	(gl.)hít (4)
parisarkunstur	k19eí osb. sumtað er eingin parisarkunsturtað er einki fyri;tað er ikki tann parisarkunsturintað er lítið fyri
park	útl. (urta)garður, (viðar)lund
parka	seta (bil) frá sær, parkera
parkera	(um bil)seta frá sær,parkera bilin
parkering	tað at parkera,parkering loyvd;parkering bannað
parkeringshús	(stórur) bygningur innrættaður til at parkera bilar í
parkeringskjallari	parkeringspláss undir jørð(t.d.undir stórum handils-el.skrivstovubygningi)
parkeringspláss	pláss at parkera bilar á, bilstøðil
parking	parkering
parlag	h6:vera í parlag(um tvey)liva saman(ógift)[da.parforhold]
parrag	1óhepni,í osb.vera fyri parraginumvera verri fiskimaður enn aðrir(Sv)2slánur (2)
parrak1	tað at koma illa fyri, óhapp,vera fyri parrakinumverða happaður
parrak2	(sj.,gl.)diddarak, tussarak
parrakur	(sj.,stb.)parrak 1,koma fyri parrakin
parta	býta sundur, luta sundur,teir hava partað tað sundur(jørð)
partabræv	(búsk.)skjal ið váttar partapening í partafelagi
partaeigari	parteigari
partafelag	vinnufelag har ið parteigararnir bert ábyrgjast tann partin ið teir hava sett í(styttpf.)
partafelagsskattur	skattur sum partafelag rindar(av skattskyldugari inntøku)
partaflokkur	(stjm.)politiskur flokkur
partagjald	(búsk.)tað at gjalda (skuld) í pørtum
partagrind	grind ið verður skift millum fólkið í grindaumdømi
partahvalur	hvalur ið skiftur verður til fólkið í grindaumdømi
partalag	tað at vera saman við øðrum, felagsskapur,honum dámdi einki at vera einsamallur, hann mátti altíð hava onkun uppi í partalagi við sær
partamaður	1ein sum ein er í parti við2(kortsp.)makkari3(sj.)parteigari
partaní	(niðr.)partaníggj
partaníggj	(niðr.)pakk, harkalið, harkalapakk,hatta er eitt verri partaníggj
partapeningur	peningur í partafelagi
partapolitikkur	(stjm.)politikkur rikin gjøgnum politiskan flokkel.av politiskum flokki
partapolitiskur	viðv. partapolitikki
partaskjal	(búsk.,sj.)skjal sum váttan um partapening, partabræv
partasól	(gl.,sj.)millumpartasól(NW Fær. Oldth.479)
partasvíkur	ein ið svíkur hini sum hann er í felagsskapi saman við
parteigari	(búsk.)ein ið eigur í partafelag, parthavari, partaeigari
parthallur	sum heldur við øðrum partinum, órættvísur, partískur
parthavari	parteigari,parthavari í einum skipi
partískur	parthallur,dómarin er ikki partískur
partleysur	lutleysur
partloysi	tað at vera partleysur[da.objektivitet]
partmongd	(støddfr.)mongd har ið allir lutir eisini eru í aðrari mongd,A er partmongd í Ballir lutir í mongdini A eru eisini í mongdini B
partna	í osb.á partnafyri seg sjálvan, í einingi,hon helt seg á partna
partrol	(sjóm.)trol ið tveir trolarar draga ímillum sín, samtrol;sbr.lemmatrol
partrola	(sjóm.)trola við partroli, samtrola
partrolari	trolari ið roynir við partroli(saman við øðrum trolara);sbr.lemmatrolari
partroling	(sjóm.)tað at partrola
partsreiðari	parteigari í partsreiðaríi
partsreiðarí	reiðaravirki har ið tveirel.fleiri parteigarar eiga skipini
partsútvegari	ein ið útvegar part í verkætlan[da.underleverandør]
parttíð	partur av fullari arbeiðstíð,arbeiða parttíðikki hava fulltíðarstarv
partur	1lutur, deild 1 (av størri heild),fýra krónur í part(til hvønn);tveir partartveir triðingar;fyrra partinfyrrapartin;seinna partinseinnapartin;hava tveir partar í føru,síføra 12lutur í veiðu,fáa partfáa tað ið einum líknast(av fongi, veiðu o.tíl.),tit býta mær ikki part í dag;hann fýltist á fuglin, sum hann fekk í part úr fuglabjørgunum;partarnir vórðu ikki upptiknir(grindapartarnir)3ognarlutur,eiga part í báti4fólk við somu áskoðanel.ið stendur saman (um e-t),partarnir á arbeiðsmarknaðinum;báðir partar eiga at viðurkenna tað;vera í parti við (e-m)halda við (e-m);hann er í parti við honum;sleppa upp í partverða tikin við, verða roknaður uppí;fara (geva seg) í part við (e-m)(fara at) halda við e-m;taka sær aðrarel.betri partar fyritaka sær annað skinn um bak, (fara at) skikka sær betur;taka sær góðar/ringar partar fyriskikka sær væl/illa;tað var betri parturintað var betri (fyri hann);fyri ein partlutvíst, partvíst;sms. t.d.aftur-,arva-,báts-,bróður-,fiska-,formans-,fram-,føringar-,haga-,heims-,hunds-,illi-,jarðar-,kastingar-,klova-,land-,lands-,leik-,mann-,mans-,megin-,mið-,mót-,niður-,nótar-,síggingar-
partú	í øllum førum, sanniliga, endiliga,hann skuldi so partú hava sín vilja ígjøgnum
partvísur	avmarkaður, ófullkomin, lutvísur,partvísur dagpeningur;hjpartvístí ávísan mun, fyri ein part, lutvíst
parykkur	hárkollur
pass	1samleikaprógv frá hinum almenna at nýta í útlondum, ferðapass, leiðarbræv2(kortsp.)meld ið sigur frá at meldið frammanundan stendur við óbroytt,melda pass3(mát fyri) longdel.hædd,báturin skuldi geva seg eitt vist pass niður við ferðini;(stb.)hann laðaði garðar so høgar sum ájavnt við høvdið á sær - tað hevði hann sum pass4(gl.)bil 1(2), (klokku)tíð,um tað passið;við tað passið;við tað pass(Sv)5lítið mið, fiskipass, strát, plinkur, repp (1), strøttur 1(helst nær einum størri)6í osb.tað er pass í lagi fyri tegfast taki(st) tær, tú hevur gott av tí7(gl.)um passumleið,har er bratt niðurfyri og um pass fimtan favnar hátt
passa1	1sáma, søma (seg), høva, hóska,tað passar mær ikki at koma(liggur ikki fyri)2vera um (e-n), fjálga um, sita hjá, ansa (eftir), røkta,hon passaði abba sín til tað síðsta;passa upp á e-n;passa uppá!ansa eftir, ver varin3(um plagg, skógvaro.tíl.)hava rætta stødd, sita væl,skógvarnir passa henni;eg passi ikki troyggjuna4(um plagg, skógvaro.tíl.)royna stødd á,passa eina troyggju5vera sattel.rætt,tað passar, at so er
passa2	(kortsp.)melda pass (2)
passaligur	1hóskandi, høviligur2ið kennir til, við góðari kenning (2);hj-liga
passar	í osb.til passarheitin,vera væl/illa til passar(væl/illa útborinel.hirsin, væl/illa fyri);illa til passarillhirsin
passari	(støddfr.)amboð við tveimum beinum at tekna rundingarel.at máta við, spannari
-passari	símotor-
passmynd	andlitsmynd at hava í passi (1)
passorð	(tlm.)loyniorð
passuligur	passaligur
pasta1	samnevni (1) fyri makaronni, spagetti og nudlur
pasta2	(lækn.)slag av salvu
patent	einarættur til at nýta uppfinning
patentur	(tlm.)hentur, snildur,hatta er øgiliga patent
patriarkur	1ættarfaðir gýðinga,patriarkarnir Ábraham, Ísakur og Jákup2tittul á høgum katólskum biskupi3hægsti biskupur í griksku kirkjuni
patriksmessa	(stb.)pátriksmessa (17. mars)
patrón	hylki við kúluel.høglum og spreingiløðing til byrsu, skothylki
patt	(talv)sum ongan leik fær leikt(tí javnur leikur)
pavnur	(skip.)uppskottað tippiel.brunnur til fisk, fiskakassi
pavstur	(kortsp.)(í stýrivolti)seksu(r) í velt(um)
pá1	(barn.)pa,gera pá
pá2	á, upp á,(kvæð.)fellur pá síni knæ
pábót	ábót
pábundin	(um seyð)við ullarlagdi bundnum uppá (sum eyðkenni), sløðraður,seyðurin er pábundin
páfinning	tað at finna uppá, uppfinning
páfirvaldur	(dj.)slag av firvaldi(Vanessa io)
páfuglamynstur	(í binding)fjøðurvond (2)
páfuglur	(fugl.)slag av útl. høsnafugli(við stórum bláum og grønum veli ið kann spílast upp)(Pavo cristatus)
Páll	mansnavn,(tilt.)tað er ikki oftari enn so, Páll fær røtur,sírót
pálmagrein	blað áel.av pálma
pálmaleygardagur	leygardagur fyri pálmasunnudag
pálmaolja	olja úr fruktini á oljupálma
pálmapílur	(plfr.)slag av runni av pílaætt, pálmi (2)(Salix phylicifolia)
pálmari	pílagrímur, vallari,hann var ein pálmari á ferð móti einum betri landi
pálmasunnudagur	sunnudagur fyri páskir
pálmatræ	(plfr.)pálmi
pálmi	(plfr.)1suðurlendskt stórvaksið træ við ongum greinum men við bløðum í toppinum2pálmapílur,føroyskur pálmi;sms. t.d.dadlu-,olju-
pálsmessa	25. januar,á pálsmessu koma súlan og lomvigin at landi
pálsmessudagur	pálsmessa
pálur	(fisk.,sj.)murtur
pápabeiggi	beiggi pápa, faðirbróðir, farbróðir,pápabeiggi mín;pápabeiggi hennara
pápabeiggjakona	kona pápabeiggja
pápaleysur	ið ongan pápa eigur, faðirleysur
pápasonur	sonur ið pápi er serliga góður við
pápasystir	systir pápa, faðirsystir, fastir
pápi	maður ið eigur barn (børn), faðir (1),pápi mín;pápi hennara;sbr.babba 1;sms. t.d.brúdleyps-,gud-,stjúk-
páputur	(stb.,sj.)hjáputur
páradís	paradís
pásetligur	ið heldur upp á sítt, treiskur
pásíggin	(stb.)pírin, neyvur,hann er so pásíggin, at hann unnar ikki fólki tað svarta undan naglinum
páskaaftan	dagurin fyri páskadag
páskaboðskapur	boðskapurin um uppreisn Krists páskamorgun
páskadagur	sunnudagur á páskum,annar páskadagurdagurin eftir páskadag
páskafríggjari	k1í osb.tað er ikki altíð, at jólafríggjari verður páskafríggjari,síjólafríggjari
páskafrítíð	frítíð um páskirnar(t.d. frá skúla)
páskahald	tað at halda páskir
páskakjøt	(Sumb.)turt kjøt etið á páskum(av besta geldseyðakrovi)
páskakvøld	páskadags kvøld
páskalamb	(bíbl.)1lamb ið slátrað varð til páskahátíðina(hjá jødum)2Jesus sum offurlamb fyri heimsins syndir, Kristus
páskalilja	(plfr.)slag av urtagarðsplantu við gulum blómum(Narcissus pseudonarcissus)
páskamorgun	páskadags morgun
páskamysing	mysing næst páskahátíðini
páskaregg	1(harðkókað) egg prýtt við litum at rulla á páskum,rulla páskaregg(spæl)rulla egg oman brekku í bønum annan páskadag2egglíkt sjokolátuhylki at geva børnum á páskum(ofta fylt við ymiskum søtmeti)
páskariv	(Sumb.)triðja skammriv av feitum seyði(gingið hús úr húsi á páskum við tílíkum rivi at vita hvør átti feitastu síðuna)
páskaskekil	barn ið verður flongt upp undir páskir;sbr.jólaskekil
páskaskýggjari	k1:jólafríggjari verður páskaskýggjari,síjólafríggjari
páskasnøkil	(sj.)páskaskekil
páskasól	kv2e(fólktr.)í osb.páskasólin dansar(tað sigst at sólin "dansar" tá ið hon rísur páskamorgun ið ber upp á sjálvan uppreisnardag Krists)
páskavetur	vetrarveður um páskirnar,jólasummar verður páskavetur
páskavika	1vikan fyri páskir, dymbildagavika2(gl.)vikan ið byrjar páskadag
páskir	(átr.)1kirkjuhátíð til minnis um uppreisn Jesu,halda páskir;á páskum;um páskirnar;(tlm.)páskini(h flt)2hátíð hjá gýðingum til minnis um útferðina úr Egyptalandi
páskot	veruligel.íspunnin grund(geving), hjáputur,eg mátti finna mær eitt páskot at fara inn á gólvið
páskotraður	noyddur inn á,tann danska tunga hevur verið okkum páskotrað í meira enn 400 ár;sbr.skotra
pástandur	uppáhald
pátra	(stb.)vera seinførur í arbeiði, pjaka sær, putla
pátriksmessa	17. mars, patriksmessa
pátriksmessudagur	pátriksmessa
pátrúgv	trúgv á yvirnatúrligar máttir(ið ikki samsvarar kristnari trúgv);sbr.fólkatrúgv
pátrúgvin	ið hevur pátrúgv
pávabræv	boðbræv frá pávanum(um átrúnaðarmál el. stjórnmál)
pávadømi	1embætistíð pávans2(søg.)veldi pávans, katólsku londini
pávaeyga	(stb.)feitur biti í tjógvi, músabiti
pávakirkja	rómverskkatólska kirkjan,pávakirkjan
pávaligur	viðv. pávanum,pávaligt loyvi
pávasetur	bústaður hjá páva(í Róm)(Vaticanus)
pávastoltur	stoltur sum ein pávi
pávastólur	hásæti pávans(catethra)
pávi	hægsti maður í rómverskkatólsku kirkjuni
pe	heiti á bókstavinump
pedagogur	námsfrøðingur
pedalur	útbúnaður at traðka á(á akfari, tóli o.tíl. t.d. til at økja el. minka um ferð el. steðga),ástig, føtil
-peð	síbekkja-
pegil	1/4 litur;sms. t.d.hálv-
peglafløska	fløska ið tekur ein pegil
peglaglas	(brennivíns)glas ið tekur ein pegil
peglatrøð	(søg.)brennivínstrøð,peglatraðir
peia	(gl.)gjalda
peiga	peiggja, peika
